gene1,gene2,correlation,project_id,project_name,grid_position
CCT6A,CCT6A,1,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,CLPX,0.2969924672451363,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,CRYAB,-0.4490438097002966,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,DNAJA3,0.32005041508436494,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,DNAJB2,-0.33091269207785906,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,DNAJB6,0.20014721249911133,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,DNAJC15,-0.22955748899603784,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,DNAJC19,0.025685531918984213,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,DNLZ,-0.16730556366773233,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,GRPEL1,-0.2595311046988583,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,GRPEL2,-0.0432339620547816,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,HSCB,-0.426275781800102,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,HSP90AA1,0.26013711218667734,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,HSP90AB1,0.3788742166166297,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,HSPA9,0.29938213930426877,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,HSPB1,-0.33122864295102894,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
