gene1,gene2,mean_correlation,n_projects
CCT6A,CLPX,0.14040462586288563,32
CCT6A,CRYAB,-0.2464151851234497,32
CCT6A,DNAJA3,0.07614543096345053,32
CCT6A,DNAJB2,-0.24878772440736943,32
CCT6A,DNAJB6,0.15116963451928775,32
CCT6A,DNAJC15,-0.059534573726627335,32
CCT6A,DNAJC19,-0.12031488030691544,32
CCT6A,DNLZ,-0.06628976464070087,32
CCT6A,GRPEL1,-0.03234078265708284,32
CCT6A,GRPEL2,0.09412921065624903,32
CCT6A,HSCB,-0.09626081445226996,32
CCT6A,HSP90AA1,0.20723222037037928,32
CCT6A,HSP90AB1,0.24048296343586253,32
CCT6A,HSPA9,0.14112198550721333,32
CCT6A,HSPB1,-0.24422513846899904,32
CCT6A,HSPB7,-0.2098663127411754,32
CCT6A,HSPB8,-0.20847926662065988,32
CCT6A,HSPD1,0.3104997019595519,32
CCT6A,HSPE1,-0.0267214400457895,32
CCT6A,SDHAF1,-0.16721268004670253,32
CCT6A,TRAP1,0.10109079875337483,32
CLPX,CCT6A,0.14040462586288563,32
CLPX,CRYAB,-0.1483994378322911,32
CLPX,DNAJA3,0.19089639611391698,32
CLPX,DNAJB2,-0.20825631257265267,32
CLPX,DNAJB6,0.12051307625018848,32
CLPX,DNAJC15,-0.005014558114265063,32
CLPX,DNAJC19,-0.05787996624885349,32
CLPX,DNLZ,-0.07697593520131366,32
CLPX,GRPEL1,-0.0493379674718168,32
CLPX,GRPEL2,0.2489179358051274,32
CLPX,HSCB,-0.14135406484906984,32
CLPX,HSP90AA1,0.08485839556129059,32
CLPX,HSP90AB1,0.093879434217333,32
CLPX,HSPA9,0.22382326289776402,32
CLPX,HSPB1,-0.4647571372891142,32
CLPX,HSPB7,-0.029815951099988344,32
CLPX,HSPB8,-0.03281287993974317,32
CLPX,HSPD1,0.08346682581242285,32
CLPX,HSPE1,-0.3676098283356572,32
CLPX,SDHAF1,-0.23462354228839644,32
CLPX,TRAP1,0.16736459907170095,32
CRYAB,CCT6A,-0.2464151851234497,32
CRYAB,CLPX,-0.1483994378322911,32
CRYAB,DNAJA3,-0.1923978971709434,32
CRYAB,DNAJB2,0.15100685117737123,32
CRYAB,DNAJB6,0.02317194313822785,32
CRYAB,DNAJC15,0.017874479474559814,32
CRYAB,DNAJC19,-0.040303934774612575,32
CRYAB,DNLZ,-0.036245778928915624,32
CRYAB,GRPEL1,-0.13443788934061576,32
CRYAB,GRPEL2,-0.12399634992124278,32
CRYAB,HSCB,0.006367799951452326,32
CRYAB,HSP90AA1,-0.16662943698245286,32
CRYAB,HSP90AB1,-0.1493963263552919,32
CRYAB,HSPA9,-0.22755147934147005,32
CRYAB,HSPB1,0.24652968533418457,32
CRYAB,HSPB7,0.35395661350371477,32
CRYAB,HSPB8,0.39649008809016734,32
CRYAB,HSPD1,-0.25396866013148794,32
CRYAB,HSPE1,-0.0838283318023314,32
CRYAB,SDHAF1,0.03861240094975191,32
CRYAB,TRAP1,-0.11420448858814145,32
DNAJA3,CCT6A,0.07614543096345053,32
DNAJA3,CLPX,0.19089639611391698,32
DNAJA3,CRYAB,-0.1923978971709434,32
DNAJA3,DNAJB2,-0.1886153166801667,32
DNAJA3,DNAJB6,-0.04781311792956701,32
DNAJA3,DNAJC15,-0.20405199018749245,32
DNAJA3,DNAJC19,-0.051879354783736106,32
DNAJA3,DNLZ,-0.006764806026013416,32
DNAJA3,GRPEL1,0.04489737914734706,32
DNAJA3,GRPEL2,-0.028037507887083313,32
DNAJA3,HSCB,-0.24958211265653,32
DNAJA3,HSP90AA1,-0.00951230210864578,32
DNAJA3,HSP90AB1,0.07006123907755843,32
DNAJA3,HSPA9,0.2606149263191908,32
DNAJA3,HSPB1,-0.21881867244591086,32
DNAJA3,HSPB7,-0.07355507697062605,32
DNAJA3,HSPB8,-0.10993533533902866,32
DNAJA3,HSPD1,0.10897929235233372,32
DNAJA3,HSPE1,-0.2230023593374663,32
DNAJA3,SDHAF1,-0.10027386177401217,32
DNAJA3,TRAP1,0.6128260761530929,32
DNAJB2,CCT6A,-0.24878772440736943,32
DNAJB2,CLPX,-0.20825631257265267,32
DNAJB2,CRYAB,0.15100685117737123,32
DNAJB2,DNAJA3,-0.1886153166801667,32
DNAJB2,DNAJB6,-0.009630216810581465,32
DNAJB2,DNAJC15,0.04996919756612229,32
DNAJB2,DNAJC19,0.040272734471622926,32
DNAJB2,DNLZ,0.1939706564598466,32
DNAJB2,GRPEL1,-0.008746985980356725,32
DNAJB2,GRPEL2,-0.20038173763232378,32
DNAJB2,HSCB,0.2349862414448805,32
DNAJB2,HSP90AA1,-0.18857359106384053,32
DNAJB2,HSP90AB1,-0.08131734636731906,32
DNAJB2,HSPA9,-0.30322543237217053,32
DNAJB2,HSPB1,0.35932220346923743,32
DNAJB2,HSPB7,0.13810031196610895,32
DNAJB2,HSPB8,0.08465962815254642,32
DNAJB2,HSPD1,-0.29855939976348816,32
DNAJB2,HSPE1,0.08849564693538367,32
DNAJB2,SDHAF1,0.3817277383010457,32
DNAJB2,TRAP1,-0.2278473357937146,32
DNAJB6,CCT6A,0.15116963451928775,32
DNAJB6,CLPX,0.12051307625018848,32
DNAJB6,CRYAB,0.02317194313822785,32
DNAJB6,DNAJA3,-0.04781311792956701,32
DNAJB6,DNAJB2,-0.009630216810581465,32
DNAJB6,DNAJC15,0.026099205219690717,32
DNAJB6,DNAJC19,-0.04554654617062347,32
DNAJB6,DNLZ,0.030434088068804,32
DNAJB6,GRPEL1,-0.17037490500750826,32
DNAJB6,GRPEL2,0.08629827698790393,32
DNAJB6,HSCB,-0.08472383529347899,32
DNAJB6,HSP90AA1,0.05738434259885232,32
DNAJB6,HSP90AB1,0.00821824068854582,32
DNAJB6,HSPA9,-0.07436724998825148,32
DNAJB6,HSPB1,0.04189045002172446,32
DNAJB6,HSPB7,0.075962104552605,32
DNAJB6,HSPB8,0.08284958607719496,32
DNAJB6,HSPD1,-0.16417223487324148,32
DNAJB6,HSPE1,-0.17804704383505895,32
DNAJB6,SDHAF1,-0.09494535212667693,32
DNAJB6,TRAP1,-0.10410721035195075,32
DNAJC15,CCT6A,-0.059534573726627335,32
DNAJC15,CLPX,-0.005014558114265063,32
DNAJC15,CRYAB,0.017874479474559814,32
DNAJC15,DNAJA3,-0.20405199018749245,32
DNAJC15,DNAJB2,0.04996919756612229,32
DNAJC15,DNAJB6,0.026099205219690717,32
DNAJC15,DNAJC19,0.06330103175994323,32
DNAJC15,DNLZ,0.025784550946124196,32
DNAJC15,GRPEL1,0.019182428043599268,32
DNAJC15,GRPEL2,-0.04800318512673478,32
DNAJC15,HSCB,0.10887642639128381,32
DNAJC15,HSP90AA1,-0.07415942381654761,32
DNAJC15,HSP90AB1,-0.13713819378134978,32
DNAJC15,HSPA9,-0.12875065937655047,32
DNAJC15,HSPB1,-0.010915042434494595,32
DNAJC15,HSPB7,0.005547427910827999,32
DNAJC15,HSPB8,0.039343378564880946,32
DNAJC15,HSPD1,-0.1644507717870042,32
DNAJC15,HSPE1,0.0582467169092338,32
DNAJC15,SDHAF1,0.058457205696368586,32
DNAJC15,TRAP1,-0.2049507906029596,32
DNAJC19,CCT6A,-0.12031488030691544,32
DNAJC19,CLPX,-0.05787996624885349,32
DNAJC19,CRYAB,-0.040303934774612575,32
DNAJC19,DNAJA3,-0.051879354783736106,32
DNAJC19,DNAJB2,0.040272734471622926,32
DNAJC19,DNAJB6,-0.04554654617062347,32
DNAJC19,DNAJC15,0.06330103175994323,32
DNAJC19,DNLZ,0.0636662483258474,32
DNAJC19,GRPEL1,-0.042546817689514536,32
DNAJC19,GRPEL2,0.05970865423769437,32
DNAJC19,HSCB,0.20807586321088567,32
DNAJC19,HSP90AA1,-0.15418096361604275,32
DNAJC19,HSP90AB1,-0.11256058277466328,32
DNAJC19,HSPA9,-0.07476584529185022,32
DNAJC19,HSPB1,0.03889060173424597,32
DNAJC19,HSPB7,-0.06454586375747036,32
DNAJC19,HSPB8,-0.09535695780263984,32
DNAJC19,HSPD1,-0.12847785099035186,32
DNAJC19,HSPE1,0.2040899299721122,32
DNAJC19,SDHAF1,0.18281974629950978,32
DNAJC19,TRAP1,-0.18975123048303474,32
DNLZ,CCT6A,-0.06628976464070087,32
DNLZ,CLPX,-0.07697593520131366,32
DNLZ,CRYAB,-0.036245778928915624,32
DNLZ,DNAJA3,-0.006764806026013416,32
DNLZ,DNAJB2,0.1939706564598466,32
DNLZ,DNAJB6,0.030434088068804,32
DNLZ,DNAJC15,0.025784550946124196,32
DNLZ,DNAJC19,0.0636662483258474,32
DNLZ,GRPEL1,-0.007641272978794241,32
DNLZ,GRPEL2,-0.02321794334236032,32
DNLZ,HSCB,0.09533168761906333,32
DNLZ,HSP90AA1,-0.12637505925993991,32
DNLZ,HSP90AB1,-0.07145711903977908,32
DNLZ,HSPA9,-0.1731547189603226,32
DNLZ,HSPB1,0.06811711279663228,32
DNLZ,HSPB7,-0.006689535412988516,32
DNLZ,HSPB8,-0.0580217256662008,32
DNLZ,HSPD1,-0.13422989836513544,32
DNLZ,HSPE1,0.10891469316633329,32
DNLZ,SDHAF1,0.22210398222512523,32
DNLZ,TRAP1,-0.03557678623709747,32
GRPEL1,CCT6A,-0.03234078265708284,32
GRPEL1,CLPX,-0.0493379674718168,32
GRPEL1,CRYAB,-0.13443788934061576,32
GRPEL1,DNAJA3,0.04489737914734706,32
GRPEL1,DNAJB2,-0.008746985980356725,32
GRPEL1,DNAJB6,-0.17037490500750826,32
GRPEL1,DNAJC15,0.019182428043599268,32
GRPEL1,DNAJC19,-0.042546817689514536,32
