ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,0.139834902092514,5.72880851564073,5.19944286951286,0.0227815653112844,0.0324157705012561,ENSG00000000003.15,CCT6A,TCGA-BRCA,TSPAN6
ENSG00000000005,1.14645840567122,0.423877967368225,56.1135651797354,1.39410032206879e-13,6.80008172511567e-13,ENSG00000000005.6,CCT6A,TCGA-BRCA,TNMD
ENSG00000000419,0.441413863306493,5.4109140945613,158.171353502076,5.038079831397069e-34,1.35682755175592e-32,ENSG00000000419.13,CCT6A,TCGA-BRCA,DPM1
ENSG00000000457,0.0424361345012523,4.84322863139458,1.32575950984907,0.249806963446072,0.294779462148089,ENSG00000000457.14,CCT6A,TCGA-BRCA,SCYL3
ENSG00000000460,0.728616032518218,3.72305567220834,273.721019690878,3.6330395263271496e-55,4.6614350310031e-53,ENSG00000000460.17,CCT6A,TCGA-BRCA,C1orf112
ENSG00000000938,-0.171982030405037,3.31539071195038,7.08941241262587,0.00786536756072176,0.0119693116820388,ENSG00000000938.13,CCT6A,TCGA-BRCA,FGR
ENSG00000000971,-0.152947849683525,5.72620861013748,5.56307348268844,0.0185143655785411,0.0266829847138642,ENSG00000000971.16,CCT6A,TCGA-BRCA,CFH
ENSG00000001036,0.287365564420711,5.58687500526658,44.2369119550744,4.5410178895848695e-11,1.71950393213066e-10,ENSG00000001036.14,CCT6A,TCGA-BRCA,FUCA2
ENSG00000001084,0.100091265717528,5.30905307316699,5.01753445304619,0.0252875894027841,0.0357104522717884,ENSG00000001084.13,CCT6A,TCGA-BRCA,GCLC
ENSG00000001167,0.516807733783845,5.85854435298546,173.180841639924,7.02033015942171e-37,2.3418916889057697e-35,ENSG00000001167.14,CCT6A,TCGA-BRCA,NFYA
ENSG00000001460,0.0340608249199176,3.59618728812071,1.02378584240247,0.311841521800648,0.360275707758529,ENSG00000001460.18,CCT6A,TCGA-BRCA,STPG1
ENSG00000001461,0.0793160533235361,5.67947997150659,2.59106914447292,0.107749810764878,0.13652383986581,ENSG00000001461.17,CCT6A,TCGA-BRCA,NIPAL3
ENSG00000001497,0.150282861342687,5.95783199512073,24.1100883425408,1.04500089311579e-6,2.56179259186035e-6,ENSG00000001497.18,CCT6A,TCGA-BRCA,LAS1L
ENSG00000001561,-0.0139507683175184,5.03247808991105,0.0393736359554142,0.842746324195166,0.864526440813267,ENSG00000001561.7,CCT6A,TCGA-BRCA,ENPP4
ENSG00000001617,-0.344416549407972,6.84670438661461,38.9869750703003,6.047254891590261e-10,2.0478694329665902e-9,ENSG00000001617.12,CCT6A,TCGA-BRCA,SEMA3F
ENSG00000001626,0.729869689241924,0.334871790134758,25.4286214442328,5.3603684106256e-7,1.35550093082901e-6,ENSG00000001626.16,CCT6A,TCGA-BRCA,CFTR
ENSG00000001629,0.378792196522418,6.40455452867631,123.952873693869,2.2264483922129998e-27,3.63898136070165e-26,ENSG00000001629.10,CCT6A,TCGA-BRCA,ANKIB1
ENSG00000001630,0.113784845612187,1.17088206621611,2.65097421602006,0.103769789570121,0.131935875310583,ENSG00000001630.17,CCT6A,TCGA-BRCA,CYP51A1
ENSG00000001631,-0.0212122061719065,2.77689280372199,0.560917463243759,0.454048404936726,0.504074783197413,ENSG00000001631.16,CCT6A,TCGA-BRCA,KRIT1
ENSG00000002016,-8.2158716010971e-4,3.29343782299743,5.2292900210986e-4,0.981759932436663,0.984785519971689,ENSG00000002016.18,CCT6A,TCGA-BRCA,RAD52
ENSG00000002079,-0.0792215552936369,-1.54835756242908,0.672935745873991,0.412193910505592,0.462563466333025,ENSG00000002079.14,CCT6A,TCGA-BRCA,MYH16
ENSG00000002330,-0.543676019792497,3.27350893980469,95.1828616335435,1.23008609351301e-21,1.2190652931324099e-20,ENSG00000002330.14,CCT6A,TCGA-BRCA,BAD
ENSG00000002549,0.265590699154952,7.10275272812168,42.1476567801648,1.26954090584875e-10,4.59495154866688e-10,ENSG00000002549.12,CCT6A,TCGA-BRCA,LAP3
ENSG00000002586,-0.251072619848596,7.59412590552026,23.2256263088624,1.63897243991686e-6,3.92603911804707e-6,ENSG00000002586.20,CCT6A,TCGA-BRCA,CD99
ENSG00000002586,-0.251072619848596,7.59412590552026,23.2256263088624,1.63897243991686e-6,3.92603911804707e-6,ENSG00000002586.20,CCT6A,TCGA-BRCA,CD99
ENSG00000002587,0.135976904409009,2.42261806263574,5.53964704768341,0.0187628627834262,0.0270171943157165,ENSG00000002587.10,CCT6A,TCGA-BRCA,HS3ST1
ENSG00000002726,0.842321047889806,2.15040680806863,27.7241501252344,1.67752879679396e-7,4.46609208999223e-7,ENSG00000002726.21,CCT6A,TCGA-BRCA,AOC1
ENSG00000002746,0.0719940352663839,-0.414334523491109,0.637561706852425,0.424766205479179,0.474917716441143,ENSG00000002746.15,CCT6A,TCGA-BRCA,HECW1
ENSG00000002822,-0.276582167613876,-1.11010200868905,14.2672101596917,1.6681843398261e-4,3.1589022605217e-4,ENSG00000002822.15,CCT6A,TCGA-BRCA,MAD1L1
ENSG00000002834,0.0448604198712548,8.56085206027448,0.546770936120783,0.459795179545947,0.509655722246405,ENSG00000002834.18,CCT6A,TCGA-BRCA,LASP1
ENSG00000002919,0.172324166413409,4.99498064986034,20.2681372715906,7.43543398128602e-6,1.65260879747947e-5,ENSG00000002919.15,CCT6A,TCGA-BRCA,SNX11
ENSG00000002933,-0.109076878970187,5.52576076693664,1.64568602228973,0.199812743954444,0.240645605151604,ENSG00000002933.9,CCT6A,TCGA-BRCA,TMEM176A
ENSG00000003056,0.342276399737628,6.18929949921939,80.8836353336174,9.9985713198006e-19,7.71966956795449e-18,ENSG00000003056.8,CCT6A,TCGA-BRCA,M6PR
ENSG00000003096,0.109843975848175,3.16528263452187,1.0981329321671,0.294902686855644,0.342704417898551,ENSG00000003096.14,CCT6A,TCGA-BRCA,KLHL13
ENSG00000003137,0.0843698938531021,2.63398324389421,0.875231800199638,0.34971311671509,0.399271580037914,ENSG00000003137.8,CCT6A,TCGA-BRCA,CYP26B1
ENSG00000003147,-0.0799182953036131,5.77258887550421,2.84777308113655,0.0917792725340945,0.117901383931936,ENSG00000003147.19,CCT6A,TCGA-BRCA,ICA1
ENSG00000003249,0.359042447704974,5.60568883575456,28.5089710639164,1.12888949903239e-7,3.05833749654624e-7,ENSG00000003249.15,CCT6A,TCGA-BRCA,DBNDD1
ENSG00000003393,0.237012565437357,5.03789203218793,70.8472396994217,1.16732107421442e-16,7.525818719553301e-16,ENSG00000003393.15,CCT6A,TCGA-BRCA,ALS2
ENSG00000003400,0.0504245010671443,3.55723976737503,0.655370778217189,0.418371205814269,0.468526397310018,ENSG00000003400.15,CCT6A,TCGA-BRCA,CASP10
ENSG00000003402,0.0672924863186652,6.41333188191278,3.65560859786393,0.0561358881717503,0.0748960634833495,ENSG00000003402.20,CCT6A,TCGA-BRCA,CFLAR
ENSG00000003436,-0.00697238756757027,4.43630191870331,0.0068584362691292,0.934012915828235,0.944333271543399,ENSG00000003436.16,CCT6A,TCGA-BRCA,TFPI
ENSG00000003509,0.19864233673046,3.6642850955,69.8894122646391,1.8441263965708e-16,1.1671271060963702e-15,ENSG00000003509.16,CCT6A,TCGA-BRCA,NDUFAF7
ENSG00000003756,-0.321138953774215,6.06420176678748,108.218169582623,2.94777297043699e-24,3.66605127502382e-23,ENSG00000003756.17,CCT6A,TCGA-BRCA,RBM5
ENSG00000003987,0.15271561299166,1.23052057135346,3.52495904338872,0.0607128878993776,0.0805404621775499,ENSG00000003987.14,CCT6A,TCGA-BRCA,MTMR7
ENSG00000003989,-0.370454152466414,8.0965892824479,6.30318032341164,0.0121923019201794,0.018055860055207502,ENSG00000003989.18,CCT6A,TCGA-BRCA,SLC7A2
ENSG00000004059,0.0081809926170333409,6.69722058516521,0.0416397116192506,0.838345193896705,0.860631562482767,ENSG00000004059.11,CCT6A,TCGA-BRCA,ARF5
ENSG00000004139,-0.125525234699721,2.3536665430311,3.39081510668704,0.0658255851293395,0.086762127246724,ENSG00000004139.14,CCT6A,TCGA-BRCA,SARM1
