ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,-0.03251805894499,5.72826153897403,0.290475850524642,0.59002296304814,0.637697568527736,ENSG00000000003.15,HSPD1,TCGA-BRCA,TSPAN6
ENSG00000000005,-0.0131356341066345,0.441752631608975,0.0068557178139738,0.934026127990307,0.944461703957402,ENSG00000000005.6,HSPD1,TCGA-BRCA,TNMD
ENSG00000000419,0.436926017332317,5.40861048155558,165.020229266733,2.4824721779935297e-35,7.24565514110075e-34,ENSG00000000419.13,HSPD1,TCGA-BRCA,DPM1
ENSG00000000457,-0.0111069811348988,4.8422767043799,0.0955529369681809,0.757290545544606,0.791201708083074,ENSG00000000457.14,HSPD1,TCGA-BRCA,SCYL3
ENSG00000000460,0.577873358276883,3.7213279233152,165.377812481062,2.127590511987e-35,6.2504933300455694e-34,ENSG00000000460.17,HSPD1,TCGA-BRCA,C1orf112
ENSG00000000938,-0.180517538975849,3.31581458877282,8.20440358491071,0.00425701774883,0.0067870978386482,ENSG00000000938.13,HSPD1,TCGA-BRCA,FGR
ENSG00000000971,-0.311844946915797,5.72616870795658,24.4345561511605,8.86170913604294e-7,2.20633457080958e-6,ENSG00000000971.16,HSPD1,TCGA-BRCA,CFH
ENSG00000001036,0.277406041644998,5.58669165589497,43.0024067138527,8.333657719806859e-11,3.11281323882618e-10,ENSG00000001036.14,HSPD1,TCGA-BRCA,FUCA2
ENSG00000001084,0.125102393971469,5.30600570487353,8.37975679129797,0.00386791004139291,0.00620197463059464,ENSG00000001084.13,HSPD1,TCGA-BRCA,GCLC
ENSG00000001167,0.531478155072519,5.85686371148117,195.59245450441,4.42402179791931e-41,2.05159440608056e-39,ENSG00000001167.14,HSPD1,TCGA-BRCA,NFYA
ENSG00000001460,0.0542398653315849,3.5948679825777,2.76461282301502,0.0966502004409933,0.124487188620343,ENSG00000001460.18,HSPD1,TCGA-BRCA,STPG1
ENSG00000001461,0.138550788458279,5.67680495422768,8.44903374905842,0.00372437281589101,0.00598593253510015,ENSG00000001461.17,HSPD1,TCGA-BRCA,NIPAL3
ENSG00000001497,0.24971444556937,5.95819943914809,72.56871533103,5.14212842654185e-17,3.3885811078606005e-16,ENSG00000001497.18,HSPD1,TCGA-BRCA,LAS1L
ENSG00000001561,-0.190727153482832,5.02932343992521,7.7350930990513,0.00550668885469371,0.00864802906126506,ENSG00000001561.7,HSPD1,TCGA-BRCA,ENPP4
ENSG00000001617,-0.122403527346749,6.84713239924715,5.11728164138378,0.023879873397726,0.0341412674955067,ENSG00000001617.12,HSPD1,TCGA-BRCA,SEMA3F
ENSG00000001626,0.158642039582146,0.336532696302123,1.18870206387269,0.275828920431654,0.32347458692139,ENSG00000001626.16,HSPD1,TCGA-BRCA,CFTR
ENSG00000001629,0.309046308399713,6.40245723354058,84.6402095173253,1.7039589992163798e-19,1.3958160488106399e-18,ENSG00000001629.10,HSPD1,TCGA-BRCA,ANKIB1
ENSG00000001630,0.182103052151642,1.17075704442863,7.14084239588266,0.00764497427262852,0.0117835082783373,ENSG00000001630.17,HSPD1,TCGA-BRCA,CYP51A1
ENSG00000001631,-0.0746544095936121,2.77765650788396,7.23575676280236,0.00725303680461175,0.0112132808292816,ENSG00000001631.16,HSPD1,TCGA-BRCA,KRIT1
ENSG00000002016,0.039320294990096497,3.29407274674444,1.25380154924315,0.263068109184611,0.310048504024816,ENSG00000002016.18,HSPD1,TCGA-BRCA,RAD52
ENSG00000002079,0.0939427233873533,-1.54067366314253,0.98260973922206,0.32175659848733,0.372144020047827,ENSG00000002079.14,HSPD1,TCGA-BRCA,MYH16
ENSG00000002330,-0.407026771784184,3.27895123107703,54.1595976454253,3.5723646163457e-13,1.66940919870663e-12,ENSG00000002330.14,HSPD1,TCGA-BRCA,BAD
ENSG00000002549,0.325122918834116,7.10077659692121,68.3922325760004,3.76776981517077e-16,2.29928204191158e-15,ENSG00000002549.12,HSPD1,TCGA-BRCA,LAP3
ENSG00000002586,-0.252355163088368,7.59833073526852,24.3185268990599,9.39974569205086e-7,2.33278739560019e-6,ENSG00000002586.20,HSPD1,TCGA-BRCA,CD99
ENSG00000002586,-0.252355163088368,7.59833073526852,24.3185268990599,9.39974569205086e-7,2.33278739560019e-6,ENSG00000002586.20,HSPD1,TCGA-BRCA,CD99
ENSG00000002587,-0.0544726703184773,2.42186804870087,0.917770379894641,0.338268382524419,0.389315652023412,ENSG00000002587.10,HSPD1,TCGA-BRCA,HS3ST1
ENSG00000002726,0.664815031018736,2.15319820497082,17.5416176496092,3.03242449416896e-5,6.31966274574023e-5,ENSG00000002726.21,HSPD1,TCGA-BRCA,AOC1
ENSG00000002746,-0.0206254685919288,-0.414525534691485,0.0540686472290788,0.816171945715912,0.842445588484417,ENSG00000002746.15,HSPD1,TCGA-BRCA,HECW1
ENSG00000002822,-0.388603721763661,-1.10241616180202,29.2765797057691,7.64983574625255e-8,2.13957088255001e-7,ENSG00000002822.15,HSPD1,TCGA-BRCA,MAD1L1
ENSG00000002834,0.142770208228976,8.5605069236413,5.8662465690859404,0.0155920135003228,0.0229498815013933,ENSG00000002834.18,HSPD1,TCGA-BRCA,LASP1
ENSG00000002919,0.178850966952787,4.99311067532985,23.2149930744426,1.64788630289422e-6,3.97131562662128e-6,ENSG00000002919.15,HSPD1,TCGA-BRCA,SNX11
ENSG00000002933,-0.0988246684494179,5.52582113752033,1.41913803561624,0.233797949323329,0.278727092609662,ENSG00000002933.9,HSPD1,TCGA-BRCA,TMEM176A
ENSG00000003056,0.350326371785863,6.18661768091176,90.7667990922744,9.639025431221671e-21,8.82692475739577e-20,ENSG00000003056.8,HSPD1,TCGA-BRCA,M6PR
ENSG00000003096,0.0451666281337355,3.16085351663672,0.194157459609829,0.659563875216802,0.702072995316377,ENSG00000003096.14,HSPD1,TCGA-BRCA,KLHL13
ENSG00000003137,-0.263025858517805,2.63501021206793,8.76275406152016,0.00313932616978703,0.00510299651512672,ENSG00000003137.8,HSPD1,TCGA-BRCA,CYP26B1
ENSG00000003147,-0.158575070620496,5.77269310547195,11.7987342605883,6.1443611623291e-4,0.00109611920391029,ENSG00000003147.19,HSPD1,TCGA-BRCA,ICA1
ENSG00000003249,0.398371018417196,5.60498611267574,36.9405273932954,1.6677866152282402e-9,5.5252355097856604e-9,ENSG00000003249.15,HSPD1,TCGA-BRCA,DBNDD1
ENSG00000003393,0.299737318127018,5.03631340382734,126.688890504593,6.44493927522284e-28,1.0325243542639299e-26,ENSG00000003393.15,HSPD1,TCGA-BRCA,ALS2
ENSG00000003400,0.0475797653683298,3.55902781372754,0.607818984974116,0.435775137032434,0.488413709712024,ENSG00000003400.15,HSPD1,TCGA-BRCA,CASP10
