ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,0.186377594182977,6.86622151878915,0.230954521409518,0.633681186611294,0.877154509451869,ENSG00000000003.15,CRYAB,TCGA-CHOL,TSPAN6
ENSG00000000419,-0.160675429769579,5.03030924397967,1.26121632234628,0.268744063748855,0.673590335520269,ENSG00000000419.13,CRYAB,TCGA-CHOL,DPM1
ENSG00000000457,0.556511509646401,4.5415440071926,4.25789244137378,0.0462250718426626,0.403960236312123,ENSG00000000457.14,CRYAB,TCGA-CHOL,SCYL3
ENSG00000000460,0.0181359449965866,2.87917959679266,0.00427398390148044,0.948231544377902,0.987189439199586,ENSG00000000460.17,CRYAB,TCGA-CHOL,C1orf112
ENSG00000000938,-0.37641233078183,3.10651361836089,0.79310201343591,0.378993895171248,0.749809852497294,ENSG00000000938.13,CRYAB,TCGA-CHOL,FGR
ENSG00000000971,-0.407050589073864,7.73850359834751,0.34575793973594,0.560140373490263,0.846781519700173,ENSG00000000971.16,CRYAB,TCGA-CHOL,CFH
ENSG00000001036,-0.118841225476646,5.87034985080845,0.196317367119569,0.660321508866143,0.888249951851408,ENSG00000001036.14,CRYAB,TCGA-CHOL,FUCA2
ENSG00000001084,-0.713377792083423,5.57457212334015,3.25375117406559,0.0795076788717643,0.461148759850225,ENSG00000001084.13,CRYAB,TCGA-CHOL,GCLC
ENSG00000001167,-0.0184828429419825,5.02707025933767,0.00725225252476903,0.932598857156185,0.982054516553177,ENSG00000001167.14,CRYAB,TCGA-CHOL,NFYA
ENSG00000001460,0.278541264651417,3.19444616547924,1.19064116949146,0.282347510101831,0.684648830279117,ENSG00000001460.18,CRYAB,TCGA-CHOL,STPG1
ENSG00000001461,0.539322274503545,4.74594301382332,6.30704599998618,0.0165796828852582,0.288399005741394,ENSG00000001461.17,CRYAB,TCGA-CHOL,NIPAL3
ENSG00000001497,-0.230732428829378,5.70550666795246,2.19697487845475,0.146853440846279,0.556754271225068,ENSG00000001497.18,CRYAB,TCGA-CHOL,LAS1L
ENSG00000001561,0.388117299823132,4.86234312145765,1.86185714846072,0.180753720443167,0.592912376579082,ENSG00000001561.7,CRYAB,TCGA-CHOL,ENPP4
ENSG00000001617,0.182751799480614,4.74824957208445,0.185257886175403,0.669420695297321,0.891975614431732,ENSG00000001617.12,CRYAB,TCGA-CHOL,SEMA3F
ENSG00000001626,-1.72896616295689,8.07906793876752,2.86672986434461,0.0989366993598629,0.490707158064824,ENSG00000001626.16,CRYAB,TCGA-CHOL,CFTR
ENSG00000001629,-0.0979101722382384,5.79835630819412,0.174219099509737,0.678830848341561,0.895771293440749,ENSG00000001629.10,CRYAB,TCGA-CHOL,ANKIB1
ENSG00000001630,0.393250258813033,1.49663418662486,0.808375356580641,0.374514164776212,0.747438456705671,ENSG00000001630.17,CRYAB,TCGA-CHOL,CYP51A1
ENSG00000001631,-0.263640444605905,2.79945046240451,1.61264870768036,0.212155256800086,0.622250386134108,ENSG00000001631.16,CRYAB,TCGA-CHOL,KRIT1
ENSG00000002016,-0.0183869658064435,3.79002651948629,0.00474797913660368,0.945440544530525,0.986682169812721,ENSG00000002016.18,CRYAB,TCGA-CHOL,RAD52
ENSG00000002079,-0.3934583559037,-0.644098019250277,0.366283915331324,0.548787815148707,0.842378362621545,ENSG00000002079.14,CRYAB,TCGA-CHOL,MYH16
ENSG00000002330,0.0466725895797247,3.88974960332711,0.0221875301312897,0.882408434635525,0.968127351335767,ENSG00000002330.14,CRYAB,TCGA-CHOL,BAD
ENSG00000002549,-0.194340047602081,6.61742737238664,0.810647782619914,0.373823298087492,0.746808249002002,ENSG00000002549.12,CRYAB,TCGA-CHOL,LAP3
ENSG00000002586,-0.268673171955768,7.18434038757194,1.04071964445785,0.314359684000595,0.707250857146938,ENSG00000002586.20,CRYAB,TCGA-CHOL,CD99
ENSG00000002586,-0.268673171955768,7.18434038757194,1.04071964445785,0.314359684000595,0.707250857146938,ENSG00000002586.20,CRYAB,TCGA-CHOL,CD99
ENSG00000002587,-0.576017743639871,5.3056157231077,0.871626527945737,0.356632626357589,0.736239459731357,ENSG00000002587.10,CRYAB,TCGA-CHOL,HS3ST1
ENSG00000002726,-0.772429133692501,3.07889869679089,0.440950656325067,0.51083569743586,0.823178468394798,ENSG00000002726.21,CRYAB,TCGA-CHOL,AOC1
ENSG00000002746,-0.676077910065546,-0.430888774983918,1.04073984940479,0.314400391283814,0.707250857146938,ENSG00000002746.15,CRYAB,TCGA-CHOL,HECW1
ENSG00000002822,-1.00395183312805,-0.954966188671779,3.23084185517367,0.0804015740956986,0.462330679588915,ENSG00000002822.15,CRYAB,TCGA-CHOL,MAD1L1
ENSG00000002834,-0.502525651133941,8.34657734773578,5.64577810680708,0.0228544897381914,0.320875343558672,ENSG00000002834.18,CRYAB,TCGA-CHOL,LASP1
ENSG00000002919,-0.293234203135585,4.73307408850409,2.14736614560249,0.151365400608441,0.560726517487213,ENSG00000002919.15,CRYAB,TCGA-CHOL,SNX11
ENSG00000002933,-0.143932622772587,7.0154887290079,0.0663546287514402,0.798165165180306,0.941005602136074,ENSG00000002933.9,CRYAB,TCGA-CHOL,TMEM176A
ENSG00000003056,-0.0699817775404368,5.99005479410291,0.0655719826091217,0.799332388068081,0.94135022642871,ENSG00000003056.8,CRYAB,TCGA-CHOL,M6PR
ENSG00000003096,0.837008512070268,1.8551173098809,2.73878727559921,0.106533994139288,0.502372043695581,ENSG00000003096.14,CRYAB,TCGA-CHOL,KLHL13
ENSG00000003137,0.206195662091373,3.6658413235939,0.058146123300114,0.810798886226427,0.946428823320987,ENSG00000003137.8,CRYAB,TCGA-CHOL,CYP26B1
ENSG00000003147,-0.0448401638551416,5.30680490905321,0.0228176713787536,0.880762835232689,0.967488187577955,ENSG00000003147.19,CRYAB,TCGA-CHOL,ICA1
ENSG00000003249,0.726838736794849,6.06940998908045,4.0895205781661,0.0505148670893492,0.413577606475424,ENSG00000003249.15,CRYAB,TCGA-CHOL,DBNDD1
ENSG00000003393,0.175270092311613,5.32305284616037,0.68945407164785,0.411741297034207,0.770612797827417,ENSG00000003393.15,CRYAB,TCGA-CHOL,ALS2
ENSG00000003400,0.0998971548210201,4.52000478478253,0.214859295453316,0.645733918913914,0.882246081371648,ENSG00000003400.15,CRYAB,TCGA-CHOL,CASP10
ENSG00000003402,0.197667872306084,7.31050851022207,1.52952545468203,0.224071909852356,0.634072124226585,ENSG00000003402.20,CRYAB,TCGA-CHOL,CFLAR
ENSG00000003436,-1.07788196175462,6.40713790284664,2.38800741199648,0.130885101955855,0.534578025808103,ENSG00000003436.16,CRYAB,TCGA-CHOL,TFPI
ENSG00000003509,-0.238768184126803,3.81560239316562,1.74618040492537,0.194573563259831,0.605555094560897,ENSG00000003509.16,CRYAB,TCGA-CHOL,NDUFAF7
ENSG00000003756,0.136052955312574,5.70227398809961,0.376839288804043,0.543101903909995,0.84015748768814,ENSG00000003756.17,CRYAB,TCGA-CHOL,RBM5
ENSG00000003987,-0.526529835306035,0.558931823145992,3.45828614796449,0.0710746152239508,0.452970458764669,ENSG00000003987.14,CRYAB,TCGA-CHOL,MTMR7
ENSG00000003989,-0.244542231962747,5.17333997430055,0.175590589902988,0.677642877254965,0.894728573311698,ENSG00000003989.18,CRYAB,TCGA-CHOL,SLC7A2
ENSG00000004059,-0.154912556326434,6.83493475147213,0.524356835202382,0.473599006743667,0.805902668919653,ENSG00000004059.11,CRYAB,TCGA-CHOL,ARF5
ENSG00000004139,0.18912771672426,3.12387685027497,0.276169091703666,0.60239981929285,0.864371226396483,ENSG00000004139.14,CRYAB,TCGA-CHOL,SARM1
ENSG00000004142,-0.196059653661371,7.47638154540827,0.919084400075824,0.344014754448436,0.728275384483387,ENSG00000004142.12,CRYAB,TCGA-CHOL,POLDIP2
ENSG00000004399,0.170894419053419,6.74580687998111,0.494254744414193,0.486489793866404,0.812873722212524,ENSG00000004399.13,CRYAB,TCGA-CHOL,PLXND1
ENSG00000004455,-0.14275342073706,6.91981337031434,0.303857771859293,0.584828391364706,0.856118435783196,ENSG00000004455.17,CRYAB,TCGA-CHOL,AK2
ENSG00000004468,-1.93457730761446,2.49512386111407,5.27805594116345,0.02743960425935,0.336343027966881,ENSG00000004468.13,CRYAB,TCGA-CHOL,CD38
ENSG00000004478,-0.0723252043979687,7.17009361471198,0.0857555380828431,0.771300283798639,0.932080826015323,ENSG00000004478.8,CRYAB,TCGA-CHOL,FKBP4
ENSG00000004487,-0.303476035562784,5.6610752656372,2.32541994220773,0.13588332025806,0.542614143399782,ENSG00000004487.17,CRYAB,TCGA-CHOL,KDM1A
ENSG00000004534,-0.117857454184993,6.29333085565083,0.191443731972624,0.664292484958952,0.889810556752216,ENSG00000004534.15,CRYAB,TCGA-CHOL,RBM6
ENSG00000004660,0.120382888096162,2.68274167197102,0.0882790164769622,0.76806105968336,0.93095598061504,ENSG00000004660.15,CRYAB,TCGA-CHOL,CAMKK1
ENSG00000004700,-0.0196298134216567,4.17419828810229,0.00271872851857338,0.958699973419952,0.989478247214632,ENSG00000004700.16,CRYAB,TCGA-CHOL,RECQL
ENSG00000004766,-0.222568909081668,4.52798359033379,1.1652463214209,0.287452809115744,0.687788604213974,ENSG00000004766.17,CRYAB,TCGA-CHOL,VPS50
ENSG00000004776,0.0668379858455914,1.61820087667492,0.0155829580337513,0.901343628474883,0.973391670841011,ENSG00000004776.13,CRYAB,TCGA-CHOL,HSPB6
ENSG00000004777,-0.167923035460041,3.86509781540478,0.346521800695599,0.559710632410384,0.846383373162716,ENSG00000004777.18,CRYAB,TCGA-CHOL,ARHGAP33
ENSG00000004779,-0.0581503098321901,5.73883297123563,0.0709222363514954,0.79149541075919,0.938063149095131,ENSG00000004779.10,CRYAB,TCGA-CHOL,NDUFAB1
ENSG00000004799,1.58433124938873,5.99616092789433,8.52840954307114,0.00595780332831001,0.189288080573171,ENSG00000004799.8,CRYAB,TCGA-CHOL,PDK4
ENSG00000004838,0.603722053768362,1.47062876366445,1.35378066482319,0.252195582317237,0.65856004518781,ENSG00000004838.14,CRYAB,TCGA-CHOL,ZMYND10
ENSG00000004846,-0.0198042628480059,-1.80866978207114,9.0300533710504e-4,0.976173938049762,0.993580647378084,ENSG00000004846.16,CRYAB,TCGA-CHOL,ABCB5
ENSG00000004864,-0.222706574231264,5.34903087746242,0.878722497664364,0.354705254519099,0.734734572849502,ENSG00000004864.14,CRYAB,TCGA-CHOL,SLC25A13
ENSG00000004866,-0.380674341528306,4.3236600858993,5.0151208752755,0.03130027335903,0.351874354596651,ENSG00000004866.22,CRYAB,TCGA-CHOL,ST7
ENSG00000004897,-0.351618599565865,5.65995581519494,5.26547898627517,0.0275978670745939,0.337147768741809,ENSG00000004897.12,CRYAB,TCGA-CHOL,CDC27
ENSG00000004961,-0.367062881283273,4.66683160762925,2.75266409790773,0.10565116440967,0.500877200060232,ENSG00000004961.15,CRYAB,TCGA-CHOL,HCCS
ENSG00000004975,-0.0732675730176308,5.14751008206457,0.138118938360311,0.712304192287317,0.908237341312392,ENSG00000004975.12,CRYAB,TCGA-CHOL,DVL2
ENSG00000005001,0.544004286512641,5.54828548923789,1.05271896557624,0.311624701210409,0.704669812582043,ENSG00000005001.10,CRYAB,TCGA-CHOL,PRSS22
ENSG00000005007,-0.0166933729521304,7.19835436759895,0.0172388253481077,0.89626067837192,0.971568328140514,ENSG00000005007.13,CRYAB,TCGA-CHOL,UPF1
ENSG00000005020,-0.396360374778743,5.54141547861164,1.81332214822511,0.186401986390239,0.59957808056295,ENSG00000005020.13,CRYAB,TCGA-CHOL,SKAP2
ENSG00000005022,-0.637392731059369,7.95666605339448,5.56216142092883,0.0238158668837092,0.324936934288387,ENSG00000005022.6,CRYAB,TCGA-CHOL,SLC25A5
ENSG00000005059,-0.226701145792943,3.80854309650588,0.220134690865704,0.641725282438979,0.880185011951463,ENSG00000005059.16,CRYAB,TCGA-CHOL,MCUB
ENSG00000005075,-0.086945233011671,5.3719814662967,0.119414358431378,0.73165165702792,0.916143046974426,ENSG00000005075.15,CRYAB,TCGA-CHOL,POLR2J
ENSG00000005100,0.160766329099789,4.67935187433177,0.589170203478516,0.447670955696996,0.790496135339062,ENSG00000005100.13,CRYAB,TCGA-CHOL,DHX33
ENSG00000005102,-0.770158518354598,1.23888306225128,1.27011226727065,0.267133182919618,0.672466303389791,ENSG00000005102.14,CRYAB,TCGA-CHOL,MEOX1
ENSG00000005108,0.280149040905729,2.8022529832546,0.286165740097078,0.595932066282371,0.860581361939881,ENSG00000005108.16,CRYAB,TCGA-CHOL,THSD7A
