"logFC","logCPM","F","PValue","FDR","gene_ensembl","grouping_gene","project_id"
-5.08623701535791,0.279591274323646,800.19724482738,1.00655203823031e-123,1.98260554970225e-119,"ENSG00000176343.5","CCT6A","TCGA-COAD"
-6.6164152995291,0.933310843058444,756.798863155985,8.65266996168069e-116,8.52158201176123e-112,"ENSG00000220583.1","CCT6A","TCGA-COAD"
-5.23816052923311,0.151282107118235,700.954525890532,8.17989594432009e-113,5.37064701384243e-109,"ENSG00000214259.3","CCT6A","TCGA-COAD"
-4.56688634948706,-0.206542052945078,655.490498789607,2.74329463512122e-107,1.35086686069957e-103,"ENSG00000237730.1","CCT6A","TCGA-COAD"
-4.31249201436336,-0.447282975738866,644.048456852954,4.55261447039105e-106,1.79345694446585e-102,"ENSG00000214297.3","CCT6A","TCGA-COAD"
-4.3969933393845,-1.08694480962923,649.783512443896,1.65964041621751e-105,5.44832287970605e-102,"ENSG00000219222.1","CCT6A","TCGA-COAD"
-4.11754785629058,-0.781634387685577,601.786253600805,2.91764961834562e-101,8.20984921893625e-98,"ENSG00000237077.1","CCT6A","TCGA-COAD"
-4.43411776850148,-0.116513213210076,597.655631801556,3.00390448573536e-99,7.39598833194116e-96,"ENSG00000242327.1","CCT6A","TCGA-COAD"
-3.61455504754803,-0.487578279440657,613.338350817434,3.74549076134736e-99,8.19721461402877e-96,"ENSG00000242616.4","CCT6A","TCGA-COAD"
-4.96542350223517,1.36823623485363,639.985583574125,2.01323464066096e-97,3.96546827170989e-94,"ENSG00000234985.2","CCT6A","TCGA-COAD"
-3.84630537473082,-0.745947494584052,558.01225060361,5.71733392661988e-95,1.02376660320574e-91,"ENSG00000214748.2","CCT6A","TCGA-COAD"
-3.94372673600637,-0.480349475991682,560.331314231776,1.62748260759338e-94,2.67137707681391e-91,"ENSG00000271303.2","CCT6A","TCGA-COAD"
-5.11309289386,0.7095677365326,565.558399954275,1.7879632711432e-94,2.70903942705443e-91,"ENSG00000232203.3","CCT6A","TCGA-COAD"
-3.10657775410036,-1.26228890630128,546.416541913018,5.33207721460492e-94,7.50185177829094e-91,"ENSG00000213082.3","CCT6A","TCGA-COAD"
-4.00763859884731,-0.850717503053558,533.249423947804,2.50374377011765e-92,3.28774940266716e-89,"ENSG00000256817.1","CCT6A","TCGA-COAD"
-4.05358461426122,-0.22537167947378,538.726774650786,1.00129071978445e-90,1.23265145672464e-87,"ENSG00000233287.1","CCT6A","TCGA-COAD"
-4.04693814622047,-0.307471188541276,526.890360269078,2.33422627095895e-89,2.60182061398862e-86,"ENSG00000210049.1","CCT6A","TCGA-COAD"
-3.54695417755388,-0.846855953411074,518.597982691104,2.37766010315252e-89,2.60182061398862e-86,"ENSG00000228847.1","CCT6A","TCGA-COAD"
-4.82062759014458,1.89691059144524,592.017153833393,1.33272049300651e-88,1.3816102921447e-85,"ENSG00000225616.2","CCT6A","TCGA-COAD"
-4.12138722849823,0.615368830593002,552.314741194753,1.65663140782589e-87,1.63153344199733e-84,"ENSG00000213820.3","CCT6A","TCGA-COAD"
-2.87365818165935,0.00157652557210861,568.433626808222,9.84087951460154e-87,9.23027637138603e-84,"ENSG00000248098.12","CCT6A","TCGA-COAD"
-4.48547002043746,-1.37239617031087,515.985669371926,1.0287059951475e-85,9.21019181200927e-83,"ENSG00000240972.2","CCT6A","TCGA-COAD"
-4.05367001718035,0.11876588208127,513.015363654422,1.90043983168589e-85,1.62752014629204e-82,"ENSG00000219146.1","CCT6A","TCGA-COAD"
-4.08767820026509,0.0314566401079021,494.13663642348,1.38984254970174e-83,1.14065536256147e-80,"ENSG00000239223.3","CCT6A","TCGA-COAD"
-3.24454615674165,-0.592742066257165,486.678335861621,2.14898904544327e-82,1.69314548912385e-79,"ENSG00000231684.3","CCT6A","TCGA-COAD"
-4.78035052254748,0.0279267540563596,462.101266075539,8.53558516280613e-82,6.46636234429971e-79,"ENSG00000211678.2","CCT6A","TCGA-COAD"
-4.02050679721043,0.777467318770713,512.416096137281,1.50091256408867e-81,1.0949435101798e-78,"ENSG00000213613.2","CCT6A","TCGA-COAD"
-4.86441352505492,-1.52584107592172,502.270002986622,1.05018983113503e-79,7.38771039423813e-77,"ENSG00000213816.3","CCT6A","TCGA-COAD"
