ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,0.270562146399433,7.40490371200827,10.3459401820628,0.00138429191401078,0.00304399510851148,ENSG00000000003.15,DNAJC19,TCGA-COAD,TSPAN6
ENSG00000000005,0.115780478487028,0.522678679132378,0.526554206261791,0.46840821510919,0.539042930820278,ENSG00000000005.6,DNAJC19,TCGA-COAD,TNMD
ENSG00000000419,0.557268572689969,5.85406435878792,82.4914763399725,2.69093096797726e-18,7.141983628163001e-17,ENSG00000000419.13,DNAJC19,TCGA-COAD,DPM1
ENSG00000000457,0.0808126535892584,3.8694589894433302,4.44962861522065,0.0354211876691589,0.0564142685285767,ENSG00000000457.14,DNAJC19,TCGA-COAD,SCYL3
ENSG00000000460,0.111005515826206,3.46846831162188,4.49790356571192,0.0344440480474089,0.0549820103367576,ENSG00000000460.17,DNAJC19,TCGA-COAD,C1orf112
ENSG00000000938,-0.680099574822032,3.05967779931989,37.5396439870254,1.8574307185527402e-9,1.33166601765506e-8,ENSG00000000938.13,DNAJC19,TCGA-COAD,FGR
ENSG00000000971,-0.359870644428366,4.63496541140913,10.9170120458462,0.00102336452325663,0.00231627595219246,ENSG00000000971.16,DNAJC19,TCGA-COAD,CFH
ENSG00000001036,-0.172137534418482,6.21259403492575,14.2195933539159,1.8274095296422e-4,4.8579414667405e-4,ENSG00000001036.14,DNAJC19,TCGA-COAD,FUCA2
ENSG00000001084,0.259572034148574,5.5947685832335,39.6347164197337,6.863170337497701e-10,5.374473943894731e-9,ENSG00000001084.13,DNAJC19,TCGA-COAD,GCLC
ENSG00000001167,0.225648699762959,5.17332683220897,36.9559115630167,2.44932809531274e-9,1.71922486434571e-8,ENSG00000001167.14,DNAJC19,TCGA-COAD,NFYA
ENSG00000001460,-0.0280309164707751,3.37499180706935,0.322012177889109,0.570663905260238,0.635990158872207,ENSG00000001460.18,DNAJC19,TCGA-COAD,STPG1
ENSG00000001461,-0.0408387577716567,5.4513414397446,0.895699606143239,0.344408772216021,0.416309735482784,ENSG00000001461.17,DNAJC19,TCGA-COAD,NIPAL3
ENSG00000001497,0.241196062643929,6.10646568187108,18.7865699166119,1.77849873908733e-5,5.80972337154696e-5,ENSG00000001497.18,DNAJC19,TCGA-COAD,LAS1L
ENSG00000001561,0.236610639339615,4.98365871984615,14.8324094917431,1.3326442812022e-4,3.6435806654055e-4,ENSG00000001561.7,DNAJC19,TCGA-COAD,ENPP4
ENSG00000001617,-0.344026626085842,5.55249023941952,14.9872204707254,1.2306519906e-4,3.3914539108202e-4,ENSG00000001617.12,DNAJC19,TCGA-COAD,SEMA3F
ENSG00000001626,0.720030139746779,7.67045173328805,40.5543780414773,4.44269029215673e-10,3.60317125294565e-9,ENSG00000001626.16,DNAJC19,TCGA-COAD,CFTR
ENSG00000001629,0.292167760595522,5.80896788200638,46.9034286788557,2.26643727614999e-11,2.31718015828923e-10,ENSG00000001629.10,DNAJC19,TCGA-COAD,ANKIB1
ENSG00000001630,-0.807112634070847,2.99060022487423,71.0948274966873,3.94166216087867e-16,8.175544427177281e-15,ENSG00000001630.17,DNAJC19,TCGA-COAD,CYP51A1
ENSG00000001631,0.149167368068235,2.78019045148213,8.39242076253829,0.00393879567657331,0.00783440367295886,ENSG00000001631.16,DNAJC19,TCGA-COAD,KRIT1
ENSG00000002016,0.213898426165114,3.39814779413957,20.605586783895,7.12867613971646e-6,2.52466352175191e-5,ENSG00000002016.18,DNAJC19,TCGA-COAD,RAD52
ENSG00000002079,-0.665630492082911,-0.694218766794744,17.2038199870851,3.91176571146851e-5,1.1914254992739e-4,ENSG00000002079.14,DNAJC19,TCGA-COAD,MYH16
ENSG00000002330,-1.04567046670694,3.76646185828071,192.070297338873,4.99964189932464e-37,6.377930275828779e-35,ENSG00000002330.14,DNAJC19,TCGA-COAD,BAD
ENSG00000002549,-0.137132417279686,6.92877632273689,5.20593065113773,0.0229424416551731,0.0382077738438252,ENSG00000002549.12,DNAJC19,TCGA-COAD,LAP3
ENSG00000002586,-0.0735664347620122,7.59232365808227,1.52332276386905,0.217715050572067,0.28046646002746,ENSG00000002586.20,DNAJC19,TCGA-COAD,CD99
ENSG00000002586,-0.0735664347620122,7.59232365808227,1.52332276386905,0.217715050572067,0.28046646002746,ENSG00000002586.20,DNAJC19,TCGA-COAD,CD99
ENSG00000002587,-0.563688879920719,3.98264656111167,56.5501222242973,2.67657886507221e-13,3.74285671139129e-12,ENSG00000002587.10,DNAJC19,TCGA-COAD,HS3ST1
ENSG00000002726,-0.335730921158877,7.86269687843258,11.5001746697219,7.5275137857228e-4,0.00175396570922812,ENSG00000002726.21,DNAJC19,TCGA-COAD,AOC1
ENSG00000002746,-0.332241008130666,0.46686070828882,7.10761555995783,0.00793279233600329,0.014718504537843,ENSG00000002746.15,DNAJC19,TCGA-COAD,HECW1
ENSG00000002822,-0.485749086349688,-0.70983531743931,15.7852714460183,8.06684571552828e-5,2.3026669602012e-4,ENSG00000002822.15,DNAJC19,TCGA-COAD,MAD1L1
ENSG00000002834,-0.01567784236396,8.43247239817707,0.117785092725192,0.731597972723169,0.781601832432204,ENSG00000002834.18,DNAJC19,TCGA-COAD,LASP1
ENSG00000002919,-0.145020292063519,4.72465120915866,11.1741976068539,8.9358876770713e-4,0.00204809675482475,ENSG00000002919.15,DNAJC19,TCGA-COAD,SNX11
ENSG00000002933,-0.265583527602011,7.84269808655195,5.67681349711818,0.0175748659973857,0.0301394471263059,ENSG00000002933.9,DNAJC19,TCGA-COAD,TMEM176A
ENSG00000003056,0.00414125545400007,6.26776601610423,0.0106507680458296,0.917844869205717,0.935693510716504,ENSG00000003056.8,DNAJC19,TCGA-COAD,M6PR
ENSG00000003096,-0.163104304397824,2.85981134073042,0.823842225656184,0.364511202576953,0.436340961893334,ENSG00000003096.14,DNAJC19,TCGA-COAD,KLHL13
ENSG00000003137,-0.632102775453042,1.56983350708842,27.5687181390029,2.28030667938689e-7,1.09704389225102e-6,ENSG00000003137.8,DNAJC19,TCGA-COAD,CYP26B1
ENSG00000003147,0.202019390104277,6.12094381473228,13.4926106834735,2.6616465156451e-4,6.8278070256682e-4,ENSG00000003147.19,DNAJC19,TCGA-COAD,ICA1
ENSG00000003249,-0.0238794723201647,4.78294636938036,0.0657781642918783,0.797694767894627,0.838489109860213,ENSG00000003249.15,DNAJC19,TCGA-COAD,DBNDD1
ENSG00000003393,0.115128248556051,4.51001113389868,6.00318790640388,0.0146325727346191,0.0255524031335886,ENSG00000003393.15,DNAJC19,TCGA-COAD,ALS2
ENSG00000003400,-0.340410472427814,5.34521774660497,30.6907862409249,4.97063679478359e-8,2.70457901329818e-7,ENSG00000003400.15,DNAJC19,TCGA-COAD,CASP10
