ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,-0.0331994138883549,7.40490370509773,0.151508682067373,0.697268590388206,0.757532518557473,ENSG00000000003.15,GRPEL1,TCGA-COAD,TSPAN6
ENSG00000000005,0.0270587060543922,0.522681532314736,0.0286533557063945,0.865652433832528,0.896755711242915,ENSG00000000005.6,GRPEL1,TCGA-COAD,TNMD
ENSG00000000419,0.308976711673639,5.85406459577671,22.7166850997621,2.48514641498972e-6,1.17500717512175e-5,ENSG00000000419.13,GRPEL1,TCGA-COAD,DPM1
ENSG00000000457,-0.0324767375083091,3.86945936083025,0.711346550166911,0.399413292442555,0.486455129748485,ENSG00000000457.14,GRPEL1,TCGA-COAD,SCYL3
ENSG00000000460,-0.0434161438340174,3.46846851023878,0.680719476830652,0.409745260063829,0.496926706773927,ENSG00000000460.17,GRPEL1,TCGA-COAD,C1orf112
ENSG00000000938,-0.503733820753098,3.05967773102399,20.0881341382155,9.24111839008563e-6,3.9253412229251e-5,ENSG00000000938.13,GRPEL1,TCGA-COAD,FGR
ENSG00000000971,-0.160353473101215,4.63496635829444,2.14802690695961,0.143401416521194,0.206727632609622,ENSG00000000971.16,GRPEL1,TCGA-COAD,CFH
ENSG00000001036,-0.155408939789292,6.21259392111627,11.5402155122996,7.3708060715708e-4,0.00202835818315538,ENSG00000001036.14,GRPEL1,TCGA-COAD,FUCA2
ENSG00000001084,0.20993270079627,5.59476880027345,25.2164619624008,7.21239994956828e-7,3.78579198839431e-6,ENSG00000001084.13,GRPEL1,TCGA-COAD,GCLC
ENSG00000001167,0.118836333805954,5.17332697146806,9.71362182511472,0.0019376102522925,0.00478964464540313,ENSG00000001167.14,GRPEL1,TCGA-COAD,NFYA
ENSG00000001460,0.185039565799321,3.37499239004014,14.4800051390772,1.5980450387905e-4,5.1563551814631e-4,ENSG00000001460.18,GRPEL1,TCGA-COAD,STPG1
ENSG00000001461,0.0895217209614489,5.45134155422207,4.35019608638369,0.0375268293288034,0.065439456417535,ENSG00000001461.17,GRPEL1,TCGA-COAD,NIPAL3
ENSG00000001497,0.198386415580955,6.10646564540168,12.5500724705982,4.3449024228372e-4,0.00126359399333374,ENSG00000001497.18,GRPEL1,TCGA-COAD,LAS1L
ENSG00000001561,0.0957964830111874,4.9836591550147,2.36544578569221,0.124700714397261,0.183637985088034,ENSG00000001561.7,GRPEL1,TCGA-COAD,ENPP4
ENSG00000001617,-0.210707610691571,5.55248984988431,5.55125869373711,0.0188643598224155,0.0359765612238253,ENSG00000001617.12,GRPEL1,TCGA-COAD,SEMA3F
ENSG00000001626,0.412740838086734,7.67045180674922,12.6090975403606,4.2131976939158e-4,0.00122945038373374,ENSG00000001626.16,GRPEL1,TCGA-COAD,CFTR
ENSG00000001629,0.184196026451583,5.80896820337096,17.6165600261567,3.21483337853474e-5,1.2140355308206e-4,ENSG00000001629.10,GRPEL1,TCGA-COAD,ANKIB1
ENSG00000001630,-0.669839921056247,2.99059346471825,47.2614529932445,1.92321604225997e-11,2.0951928817414002e-10,ENSG00000001630.17,GRPEL1,TCGA-COAD,CYP51A1
ENSG00000001631,-0.0922733258235116,2.78019127127457,3.16360784514742,0.0759247561757533,0.120554099724016,ENSG00000001631.16,GRPEL1,TCGA-COAD,KRIT1
ENSG00000002016,0.137852600805158,3.39814817771889,8.3496401313235,0.00403069213595166,0.00917344332460546,ENSG00000002016.18,GRPEL1,TCGA-COAD,RAD52
ENSG00000002079,-0.693524318702267,-0.69420793491498,18.6746169377575,1.85437028131849e-5,7.36422244878699e-5,ENSG00000002079.14,GRPEL1,TCGA-COAD,MYH16
ENSG00000002330,-1.00877130093804,3.76645826627109,174.693947213634,2.82276673826433e-34,1.99337738270359e-32,ENSG00000002330.14,GRPEL1,TCGA-COAD,BAD
ENSG00000002549,0.0989495381801358,6.92877635053499,2.71855246281769,0.0998354471565063,0.152316768446292,ENSG00000002549.12,GRPEL1,TCGA-COAD,LAP3
ENSG00000002586,-0.0297701434261905,7.59232364629142,0.249270487553137,0.617815598415332,0.689783615328423,ENSG00000002586.20,GRPEL1,TCGA-COAD,CD99
ENSG00000002586,-0.0297701434261905,7.59232364629142,0.249270487553137,0.617815598415332,0.689783615328423,ENSG00000002586.20,GRPEL1,TCGA-COAD,CD99
ENSG00000002587,-0.172689680721808,3.98264525822262,4.89885450549592,0.0273395531831766,0.0497822069335069,ENSG00000002587.10,GRPEL1,TCGA-COAD,HS3ST1
ENSG00000002726,-0.37729613935174,7.86269678209928,14.5850410217974,1.5135451939939e-4,4.9069239417679e-4,ENSG00000002726.21,GRPEL1,TCGA-COAD,AOC1
ENSG00000002746,-0.534343960104766,0.466865869421678,18.6439171005992,1.91346282217831e-5,7.57369722876804e-5,ENSG00000002746.15,GRPEL1,TCGA-COAD,HECW1
ENSG00000002822,-0.581539938510376,-0.709850124088157,23.0026165217359,2.10428029964667e-6,1.00843272818501e-5,ENSG00000002822.15,GRPEL1,TCGA-COAD,MAD1L1
ENSG00000002834,0.133967714859797,8.43247240059589,8.78886506284831,0.00317996305106125,0.00742179053454133,ENSG00000002834.18,GRPEL1,TCGA-COAD,LASP1
ENSG00000002919,-0.144459437431618,4.72465090594047,11.0874159774688,9.353928670631e-4,0.00251742522940502,ENSG00000002919.15,GRPEL1,TCGA-COAD,SNX11
ENSG00000002933,-0.508397988645531,7.84269795505617,21.1987703231465,5.29561510805541e-6,2.35833778224278e-5,ENSG00000002933.9,GRPEL1,TCGA-COAD,TMEM176A
ENSG00000003056,0.0475305179493658,6.2677659950432,1.40892658749161,0.235815709809784,0.313949907761168,ENSG00000003056.8,GRPEL1,TCGA-COAD,M6PR
ENSG00000003096,-0.544357728482495,2.85980961031775,9.19912674144974,0.00255140837790063,0.00611725449936089,ENSG00000003096.14,GRPEL1,TCGA-COAD,KLHL13
ENSG00000003137,-0.191487734544108,1.56983429275139,2.44141756156384,0.118826736822758,0.176539264196889,ENSG00000003137.8,GRPEL1,TCGA-COAD,CYP26B1
ENSG00000003147,0.063670035744061,6.12094391632005,1.3044722747837,0.253961452722171,0.334103779419526,ENSG00000003147.19,GRPEL1,TCGA-COAD,ICA1
ENSG00000003249,0.117231062356969,4.78294630332476,1.59581741161011,0.207104036682061,0.281409298880868,ENSG00000003249.15,GRPEL1,TCGA-COAD,DBNDD1
ENSG00000003393,0.171648021414981,4.51001182825236,13.5558330127033,2.5759434044221e-4,7.8967641760679e-4,ENSG00000003393.15,GRPEL1,TCGA-COAD,ALS2
ENSG00000003400,-0.107655213146093,5.34521765633469,2.93768934399537,0.0871734284574299,0.1356801165687,ENSG00000003400.15,GRPEL1,TCGA-COAD,CASP10
ENSG00000003402,-0.0154934011904796,6.36855422718196,0.130145057183824,0.718438753327013,0.775419730869816,ENSG00000003402.20,GRPEL1,TCGA-COAD,CFLAR
ENSG00000003436,-0.227576834533206,4.22589864087556,4.49563518841495,0.0344888134429856,0.060790453575339,ENSG00000003436.16,GRPEL1,TCGA-COAD,TFPI
ENSG00000003509,0.198258770253713,3.83411378180172,29.131691507097,1.06039928659572e-7,6.4673889863841e-7,ENSG00000003509.16,GRPEL1,TCGA-COAD,NDUFAF7
ENSG00000003756,-0.154955055776429,5.83246616995769,15.1911383661261,1.1082531054937e-4,3.7047318097934e-4,ENSG00000003756.17,GRPEL1,TCGA-COAD,RBM5
ENSG00000003987,-0.609592794943034,-0.0812436463746692,38.8117787116067,1.0022699300991601e-9,8.47280176479298e-9,ENSG00000003987.14,GRPEL1,TCGA-COAD,MTMR7
ENSG00000003989,-0.546271862979396,2.60373545476261,11.6874736109079,6.8243125363394e-4,0.00189014052081579,ENSG00000003989.18,GRPEL1,TCGA-COAD,SLC7A2
ENSG00000004059,-0.55054819863928794,7.12342393177549,57.5213361678259,1.71859898583051e-13,2.4500257928497997e-12,ENSG00000004059.11,GRPEL1,TCGA-COAD,ARF5
ENSG00000004139,-0.163080440913882,2.65720441339268,8.25851423961463,0.00423475794093305,0.00959283372861189,ENSG00000004139.14,GRPEL1,TCGA-COAD,SARM1
ENSG00000004142,0.11270695656605,7.28702745593502,5.24778197800219,0.022402860546757,0.0418569178485331,ENSG00000004142.12,GRPEL1,TCGA-COAD,POLDIP2
ENSG00000004399,-0.151685816375849,6.28269248296871,3.35017402761286,0.0678113958993751,0.109250772518402,ENSG00000004399.13,GRPEL1,TCGA-COAD,PLXND1
ENSG00000004455,0.184936519343917,7.25815311214161,21.0222591517534,5.78423761434622e-6,2.55636411149906e-5,ENSG00000004455.17,GRPEL1,TCGA-COAD,AK2
ENSG00000004468,-0.5406117070272,2.55312708064143,16.7700416280143,4.94616002961157e-5,1.794503160835e-4,ENSG00000004468.13,GRPEL1,TCGA-COAD,CD38
ENSG00000004478,0.216870428449196,7.70100029157705,10.9259639854447,0.0010185116912876,0.00270940827012372,ENSG00000004478.8,GRPEL1,TCGA-COAD,FKBP4
ENSG00000004487,0.0440963599040432,7.05529164738529,0.905978391355367,0.341657799431821,0.427531173590453,ENSG00000004487.17,GRPEL1,TCGA-COAD,KDM1A
ENSG00000004534,0.319370450430375,6.08797478926307,34.6000046099884,7.55149440509567e-9,5.61759589435503e-8,ENSG00000004534.15,GRPEL1,TCGA-COAD,RBM6
ENSG00000004660,0.12795952800078,4.06136142527147,4.29173757682386,0.038826484174738,0.0674026401744595,ENSG00000004660.15,GRPEL1,TCGA-COAD,CAMKK1
ENSG00000004700,0.187036881914816,4.19627620223237,10.3415266762406,0.0013875926363091,0.00357950022149248,ENSG00000004700.16,GRPEL1,TCGA-COAD,RECQL
ENSG00000004766,0.16401729239617,4.76692983696364,10.7597831709399,0.00111196385001743,0.00292962840858024,ENSG00000004766.17,GRPEL1,TCGA-COAD,VPS50
ENSG00000004776,-1.23514013241191,1.9350964446863,48.4974292681961,1.0900646220614799e-11,1.22744007813335e-10,ENSG00000004776.13,GRPEL1,TCGA-COAD,HSPB6
ENSG00000004777,-0.0055280465455433,3.16890432569057,0.00482237945232633,0.944665400053815,0.958628121902185,ENSG00000004777.18,GRPEL1,TCGA-COAD,ARHGAP33
ENSG00000004779,-0.121117023821785,6.36996669384868,4.4090637520494,0.0362644671748721,0.063512604911315,ENSG00000004779.10,GRPEL1,TCGA-COAD,NDUFAB1
ENSG00000004799,-0.0538619022424617,4.24682261401204,0.226732285874515,0.63417199239199,0.704109315827212,ENSG00000004799.8,GRPEL1,TCGA-COAD,PDK4
ENSG00000004838,-0.44260183714886697,-0.667050836608404,12.4885116386917,4.4498478103883e-4,0.00129088674816326,ENSG00000004838.14,GRPEL1,TCGA-COAD,ZMYND10
ENSG00000004848,-0.658906995600704,-0.354962231936417,11.2586797521423,8.520513219099e-4,0.00231327897681237,ENSG00000004848.8,GRPEL1,TCGA-COAD,ARX
