"logFC","logCPM","F","PValue","FDR","gene_ensembl","grouping_gene","project_id"
-5.17566855562328,0.763471398979587,562.614866999405,2.8338092606935e-94,5.60329105116925e-90,"ENSG00000232203.3","HSP90AA1","TCGA-COAD"
-4.66350376768224,0.284389371103519,541.279392219979,4.03879876356478e-91,3.99295839759832e-87,"ENSG00000176343.5","HSP90AA1","TCGA-COAD"
-4.823508069129,0.171078390909984,512.839740434435,1.79822902068966e-88,1.18521274753656e-84,"ENSG00000214259.3","HSP90AA1","TCGA-COAD"
-5.6418700448794,0.956077100514382,498.565221496844,1.96842958265766e-86,8.8381384005489e-83,"ENSG00000220583.1","HSP90AA1","TCGA-COAD"
-3.88296941921739,-0.464871740893496,499.264537245977,2.23490072334721e-86,8.8381384005489e-83,"ENSG00000271303.2","HSP90AA1","TCGA-COAD"
-4.82715212330544,0.0296689485068394,480.496893561041,2.85792597921748e-84,9.41829506451119e-81,"ENSG00000211678.2","HSP90AA1","TCGA-COAD"
-4.24420317960361,-0.189038883438725,482.348002498382,4.6472091091887e-84,1.31270379594269e-80,"ENSG00000237730.1","HSP90AA1","TCGA-COAD"
-3.96567850470229,-0.771121003937307,473.894080874739,7.12936336670119e-84,1.76211127312228e-80,"ENSG00000237077.1","HSP90AA1","TCGA-COAD"
-3.98972571071118,-0.290814263523242,472.390660135972,4.8028863602527e-82,1.05519413334752e-78,"ENSG00000210049.1","HSP90AA1","TCGA-COAD"
-3.86515878431163,-0.837715432495077,448.134918703256,2.77933962176308e-80,5.49558823411213e-77,"ENSG00000256817.1","HSP90AA1","TCGA-COAD"
-4.03580065498248,0.80059678499497,485.059199629407,9.98065675208347e-79,1.7940684178086e-75,"ENSG00000213613.2","HSP90AA1","TCGA-COAD"
-4.12508666012015,-0.107106766741695,448.163437893689,1.22284658511432e-78,2.01494546062212e-75,"ENSG00000242327.1","HSP90AA1","TCGA-COAD"
-3.89914209176359,-0.212738523911587,449.438248144987,1.59534107382805e-78,2.42651377329247e-75,"ENSG00000233287.1","HSP90AA1","TCGA-COAD"
-3.89799218909085,-0.435063951333162,424.00729484682,6.64079249352128e-76,9.37917071245687e-73,"ENSG00000214297.3","HSP90AA1","TCGA-COAD"
-4.04669599576041,-1.36195128065357,408.041873576251,1.87186992164405e-73,2.46749893071118e-70,"ENSG00000240972.2","HSP90AA1","TCGA-COAD"
-3.50547831545574,-0.0743443100381952,426.69200282481,2.74156205318158e-73,3.38805665484746e-70,"ENSG00000250568.1","HSP90AA1","TCGA-COAD"
-4.52724511489603,1.54020258956069,447.480168610636,3.0390013434576e-73,3.53471609201101e-70,"ENSG00000213293.4","HSP90AA1","TCGA-COAD"
-3.89683970865519,0.134905859873413,421.192835160122,3.51962543281353e-73,3.86630853794566e-70,"ENSG00000219146.1","HSP90AA1","TCGA-COAD"
-3.87973448508572,0.0411794493835033,406.779550750501,1.92534962496722e-71,2.00368095444615e-68,"ENSG00000239223.3","HSP90AA1","TCGA-COAD"
-4.2103470135879,-1.51800033554624,402.107000825172,3.28175276437031e-71,3.24450487049471e-68,"ENSG00000213816.3","HSP90AA1","TCGA-COAD"
-4.46661952869617,1.39385597250435,416.285858270159,1.02596843388678e-69,9.66022563963963e-67,"ENSG00000234985.2","HSP90AA1","TCGA-COAD"
-2.85635360351794,-1.25704308056419,376.962071863834,1.15248242802882e-69,1.03581977497336e-66,"ENSG00000213082.3","HSP90AA1","TCGA-COAD"
-5.06649290134303,1.65715161397217,404.690128663766,5.41854854179881e-69,4.65830262247773e-66,"ENSG00000210112.1","HSP90AA1","TCGA-COAD"
-3.85586383305046,0.634700081669079,400.973918760343,2.11034378650118e-68,1.73865948710366e-65,"ENSG00000213820.3","HSP90AA1","TCGA-COAD"
-3.32203868702149,1.52114300667424,414.641973480425,3.18497348839513e-67,2.51905923144147e-64,"ENSG00000285976.2","HSP90AA1","TCGA-COAD"
-3.01567844068885,0.100750081323663,391.661644357961,1.32842577125861e-66,1.01026779904217e-63,"ENSG00000213977.8","HSP90AA1","TCGA-COAD"
-3.23383667566743,-0.839798299589461,361.161508814499,1.65746133438092e-66,1.21381418387829e-63,"ENSG00000228847.1","HSP90AA1","TCGA-COAD"
-2.78777175514515,-0.313375758313147,383.41998784793,2.44201887659923e-66,1.72450140167845e-63,"ENSG00000198064.13","HSP90AA1","TCGA-COAD"
-2.28549662204014,2.34335601538753,405.052433486704,8.29554885950703e-66,5.65613405513905e-63,"ENSG00000186010.19","HSP90AA1","TCGA-COAD"
-3.53356580987276,-0.432608186164722,359.823041935756,1.17824538667096e-65,7.76581534354827e-63,"ENSG00000244485.1","HSP90AA1","TCGA-COAD"
-2.17107226445589,2.73241958803611,397.048340520617,6.67264691100496e-65,4.25607249584842e-62,"ENSG00000175768.13","HSP90AA1","TCGA-COAD"
-3.42022938202624,4.16022319968526,391.679096393567,2.69687944216856e-64,1.66641866281247e-61,"ENSG00000101084.18","HSP90AA1","TCGA-COAD"
-4.74497774552867,1.48842600059021,369.448067306437,4.54109762531747e-64,2.72094313167886e-61,"ENSG00000211676.2","HSP90AA1","TCGA-COAD"
-2.98628158842587,-1.15955921287716,337.421210088596,1.36441906119167e-63,7.9348994402773e-61,"ENSG00000266282.1","HSP90AA1","TCGA-COAD"
-2.7359102219215,2.99291923056351,384.607144950721,2.12571586008519e-63,1.20090799147041e-60,"ENSG00000243678.12","HSP90AA1","TCGA-COAD"
-4.23945441754841,1.36363905874466,371.020788908569,2.25444563676415e-63,1.23825426599271e-60,"ENSG00000211594.2","HSP90AA1","TCGA-COAD"
-3.1065080703546,-0.061918426950473,361.160034648792,2.41482191907511e-63,1.29049388664519e-60,"ENSG00000233668.1","HSP90AA1","TCGA-COAD"
-2.5544322092186,1.86911455864748,380.278686126043,8.6135941841776e-63,4.48201573167746e-60,"ENSG00000239264.9","HSP90AA1","TCGA-COAD"
-3.15719891498413,-0.483763476901716,345.351185756622,1.11594172175168e-62,5.65782452928101e-60,"ENSG00000242616.4","HSP90AA1","TCGA-COAD"
-3.44116117496962,1.07768923515459,369.263356189205,2.7716937030079e-62,1.37011748973938e-59,"ENSG00000214612.3","HSP90AA1","TCGA-COAD"
-3.38215270376314,0.801825116584185,365.602340259214,3.32427436294555e-62,1.60319212142737e-59,"ENSG00000231369.1","HSP90AA1","TCGA-COAD"
-2.95739889103744,-0.567204599290739,338.109841613447,1.62038270356468e-61,7.62853028513916e-59,"ENSG00000169253.3","HSP90AA1","TCGA-COAD"
-2.61502708696051,0.157967881868772,356.768148677819,3.90841095501277e-61,1.79723278635971e-58,"ENSG00000241360.2","HSP90AA1","TCGA-COAD"
-4.52512885347962,3.22396050252602,360.470363957919,1.94827696865542e-60,8.75529102300537e-58,"ENSG00000266402.3","HSP90AA1","TCGA-COAD"
-3.00857542320542,-0.928579734313027,319.973763110672,3.45735979088899e-60,1.51916389211662e-57,"ENSG00000237676.1","HSP90AA1","TCGA-COAD"
-3.25477091300062,-0.524428693579446,325.082626826863,5.99640375259977e-60,2.57754111739468e-57,"ENSG00000211595.2","HSP90AA1","TCGA-COAD"
-2.52594300068411,-1.15775128991325,319.844855498221,6.51657320868369e-60,2.74153621394261e-57,"ENSG00000213051.3","HSP90AA1","TCGA-COAD"
-2.93098730540813,-0.585864043044212,327.003763463587,7.45930490434083e-60,3.0727674140319e-57,"ENSG00000231684.3","HSP90AA1","TCGA-COAD"
-2.70680880867452,-0.769990973481259,324.081612545296,1.63147955261569e-59,6.58351942732044e-57,"ENSG00000243859.3","HSP90AA1","TCGA-COAD"
-3.11945454248073,-0.76790241546696,317.506305175854,2.01541545756162e-59,7.97016196847319e-57,"ENSG00000213269.2","HSP90AA1","TCGA-COAD"
-3.07761723454947,0.53449184501318,337.805097778176,1.44049570258987e-58,5.58488657398227e-56,"ENSG00000225356.3","HSP90AA1","TCGA-COAD"
-2.22405003089739,2.78688623137159,343.402670831782,2.71295703623466e-58,1.03160191302823e-55,"ENSG00000088766.12","HSP90AA1","TCGA-COAD"
-2.53231086439148,0.00689815755321009,333.584427054783,2.95934948197686e-58,1.10406070390809e-55,"ENSG00000248098.12","HSP90AA1","TCGA-COAD"
-2.86107349432341,-0.226669473795761,324.892104860917,3.1674547599829e-58,1.1598163512804e-55,"ENSG00000213363.4","HSP90AA1","TCGA-COAD"
-2.91213924461797,-1.00054990268192,307.472227082845,3.31370257323516e-58,1.19130619964689e-55,"ENSG00000228462.1","HSP90AA1","TCGA-COAD"
-2.8358448507938,-0.505173694218825,318.351004527723,4.33409418201667e-58,1.53032221894671e-55,"ENSG00000227304.3","HSP90AA1","TCGA-COAD"
-2.72023897580315,-0.570414356257182,317.753058003864,5.21602176971812e-58,1.80941049916906e-55,"ENSG00000213493.3","HSP90AA1","TCGA-COAD"
-4.01194066651553,1.91186841102556,336.599267667347,8.73693282876077e-58,2.97854091074288e-55,"ENSG00000225616.2","HSP90AA1","TCGA-COAD"
-2.66202326440513,2.87762927499094,334.437698721389,3.91260219675269e-57,1.31125225824391e-54,"ENSG00000232888.4","HSP90AA1","TCGA-COAD"
-2.39058504321492,4.46241213375059,329.571391920026,1.4286228382183e-56,4.70802656334842e-54,"ENSG00000169564.7","HSP90AA1","TCGA-COAD"
-2.09007034463785,2.7742440307687,327.703656573213,2.79888766106588e-56,9.07252552823863e-54,"ENSG00000112651.12","HSP90AA1","TCGA-COAD"
-3.1948184857796,1.55661958407449,325.616708598141,4.34907868725769e-56,1.38700536908301e-53,"ENSG00000235297.3","HSP90AA1","TCGA-COAD"
-3.08078090804854,1.40428402422906,324.25765442784,6.37133372363681e-56,1.99968859869001e-53,"ENSG00000241547.1","HSP90AA1","TCGA-COAD"
-2.1221186058836,0.863586205349131,324.693132602883,7.17434300899208e-56,2.21653569245001e-53,"ENSG00000243989.9","HSP90AA1","TCGA-COAD"
-2.70970288536511,2.13975310815095,324.940736179453,7.45620373168386e-56,2.26817717517823e-53,"ENSG00000213763.4","HSP90AA1","TCGA-COAD"
-2.49628304006373,-0.824532631272869,299.247487525467,1.29777975957492e-55,3.88803017970832e-53,"ENSG00000228818.1","HSP90AA1","TCGA-COAD"
-2.45199022466934,1.74216592253564,321.981945364222,1.86624316076473e-55,5.50764567429866e-53,"ENSG00000258429.2","HSP90AA1","TCGA-COAD"
-2.71826858617202,0.0374972643617535,310.666657111101,2.24885109052338e-55,6.53919597248805e-53,"ENSG00000213539.4","HSP90AA1","TCGA-COAD"
-3.2368942751569,-0.745001013320443,290.104290504687,2.47176596619393e-55,7.08322151442792e-53,"ENSG00000214748.2","HSP90AA1","TCGA-COAD"
-2.11917418065542,0.693859891922571,319.306832789585,3.11791152830248e-55,8.80720923558927e-53,"ENSG00000164898.13","HSP90AA1","TCGA-COAD"
-1.6725533340427,3.24815741563831,318.211832219983,4.51570218728776e-55,1.25759125844001e-52,"ENSG00000166136.16","HSP90AA1","TCGA-COAD"
-2.36792944042805,-0.474823002690119,296.879749078312,4.2730357283227e-54,1.17348243689062e-51,"ENSG00000267533.1","HSP90AA1","TCGA-COAD"
-2.31235149774449,2.93772611288554,310.626111323815,4.82172557762022e-54,1.30602712118198e-51,"ENSG00000124614.16","HSP90AA1","TCGA-COAD"
