ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,-0.0101109454954548,7.40499230550439,0.013923599718482,0.906117851071746,0.929206633164357,ENSG00000000003.15,HSPA9,TCGA-COAD,TSPAN6
ENSG00000000005,0.100537247141917,0.522702234448922,0.395778066600372,0.529573244916396,0.610097101592563,ENSG00000000005.6,HSPA9,TCGA-COAD,TNMD
ENSG00000000419,0.302361578159539,5.85416516593107,21.5348915294304,4.47721551406557e-6,2.09192765299971e-5,ENSG00000000419.13,HSPA9,TCGA-COAD,DPM1
ENSG00000000457,0.00225696635228608,3.86937586288018,0.00340439898531298,0.953496103044064,0.966771523083386,ENSG00000000457.14,HSPA9,TCGA-COAD,SCYL3
ENSG00000000460,-9.1780838126344e-4,3.46840881672454,3.0178257800619e-4,0.986147088209702,0.990131319665526,ENSG00000000460.17,HSPA9,TCGA-COAD,C1orf112
ENSG00000000938,-0.413180019040447,3.05936309021449,13.26588557904,2.9944723332676e-4,9.2170776370482e-4,ENSG00000000938.13,HSPA9,TCGA-COAD,FGR
ENSG00000000971,-0.178869694699229,4.63467093175178,2.64859570942333,0.104291049184901,0.157769772397277,ENSG00000000971.16,HSPA9,TCGA-COAD,CFH
ENSG00000001036,-0.179154795723777,6.21258068993188,15.2654896868772,1.0667512635728e-4,3.6546754904517e-4,ENSG00000001036.14,HSPA9,TCGA-COAD,FUCA2
ENSG00000001084,0.174962974195276,5.59476047981686,17.0869920412468,4.20705928812635e-5,1.576338969228e-4,ENSG00000001084.13,HSPA9,TCGA-COAD,GCLC
ENSG00000001167,0.134123119446392,5.17327767686665,12.3372769632303,4.855334219278e-4,0.00141975142834927,ENSG00000001167.14,HSPA9,TCGA-COAD,NFYA
ENSG00000001460,0.129451624542735,3.37495820007942,6.92637800526259,0.00876441829840614,0.018364818738471,ENSG00000001460.18,HSPA9,TCGA-COAD,STPG1
ENSG00000001461,0.0855239885292655,5.4512929245993,3.93237352906828,0.047928745476365,0.0807723479541929,ENSG00000001461.17,HSPA9,TCGA-COAD,NIPAL3
ENSG00000001497,0.253670267380898,6.10648654502806,20.7005077620759,6.79493602238978e-6,3.03709809040313e-5,ENSG00000001497.18,HSPA9,TCGA-COAD,LAS1L
ENSG00000001561,0.128514904510555,4.98361182832221,4.24250180852352,0.0399572247252741,0.0689634156405222,ENSG00000001561.7,HSPA9,TCGA-COAD,ENPP4
ENSG00000001617,-0.243415297986307,5.55242810607589,7.34756479712705,0.00695343937050762,0.0149676622049656,ENSG00000001617.12,HSPA9,TCGA-COAD,SEMA3F
ENSG00000001626,0.578073394666516,7.67061067257108,25.250347030052,7.09266554143253e-7,3.92892960794707e-6,ENSG00000001626.16,HSPA9,TCGA-COAD,CFTR
ENSG00000001629,0.225902448060191,5.80887742473528,26.7916423094438,3.32507727759765e-7,1.95097018229519e-6,ENSG00000001629.10,HSPA9,TCGA-COAD,ANKIB1
ENSG00000001630,-0.619903090030914,2.990455733747,39.5752189144522,7.07073514817825e-10,6.52918186163176e-9,ENSG00000001630.17,HSPA9,TCGA-COAD,CYP51A1
ENSG00000001631,-0.0707592126654133,2.77994989857417,1.84507828199773,0.174990297932862,0.245413523786909,ENSG00000001631.16,HSPA9,TCGA-COAD,KRIT1
ENSG00000002016,0.104255431723367,3.39805551642316,4.70610199643098,0.0305415232568151,0.0547368632352601,ENSG00000002016.18,HSPA9,TCGA-COAD,RAD52
ENSG00000002079,-0.758594643852057,-0.694389669312503,22.2423278070559,3.08217678527955e-6,1.48872850339384e-5,ENSG00000002079.14,HSPA9,TCGA-COAD,MYH16
ENSG00000002330,-1.08635629953778,3.76633061764504,208.623689407879,1.38925333569065e-39,1.38098727834329e-37,ENSG00000002330.14,HSPA9,TCGA-COAD,BAD
