ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,0.0795103061025412,7.40089849715896,0.888204662977573,0.346433497904443,0.42835534263803,ENSG00000000003.15,HSPD1,TCGA-COAD,TSPAN6
ENSG00000000005,0.0448863979374826,0.527243478114066,0.0786679386103696,0.779230440701645,0.827189544085168,ENSG00000000005.6,HSPD1,TCGA-COAD,TNMD
ENSG00000000419,0.45469144858275,5.85272922278357,52.6004104537669,1.62814128500937e-12,1.8759753427991897e-11,ENSG00000000419.13,HSPD1,TCGA-COAD,DPM1
ENSG00000000457,-0.0172238372220031,3.86742811380455,0.207972047828487,0.648565872391832,0.714754209617966,ENSG00000000457.14,HSPD1,TCGA-COAD,SCYL3
ENSG00000000460,0.0173903010155717,3.46221868124081,0.115964488556883,0.733600887608865,0.788525876301872,ENSG00000000460.17,HSPD1,TCGA-COAD,C1orf112
ENSG00000000938,-0.428856270406776,3.06787274081864,14.3182901737829,1.7370708706113e-4,5.234065311065e-4,ENSG00000000938.13,HSPD1,TCGA-COAD,FGR
ENSG00000000971,-0.277581430499301,4.64684300054376,6.34918785303302,0.0120637232328753,0.0233371789941018,ENSG00000000971.16,HSPD1,TCGA-COAD,CFH
ENSG00000001036,-0.17137668692362,6.21396056969055,13.9621195418775,2.0873547596521e-4,6.1613407314355e-4,ENSG00000001036.14,HSPD1,TCGA-COAD,FUCA2
ENSG00000001084,0.240106336238264,5.59358809504536,34.2254417264203,9.038627402635931e-9,6.21409577485933e-8,ENSG00000001084.13,HSPD1,TCGA-COAD,GCLC
ENSG00000001167,0.174956423987659,5.16970431970825,23.0364074208269,2.12029827483093e-6,9.48955126547258e-6,ENSG00000001167.14,HSPD1,TCGA-COAD,NFYA
ENSG00000001460,0.0831700360667933,3.37766110840591,2.79874772483861,0.0949838619303517,0.142165435291956,ENSG00000001460.18,HSPD1,TCGA-COAD,STPG1
ENSG00000001461,0.0658851512528425,5.45253469964195,2.32247579651028,0.128168785717996,0.184232691548373,ENSG00000001461.17,HSPD1,TCGA-COAD,NIPAL3
ENSG00000001497,0.305019527616512,6.10539356191609,31.1403512343199,3.99788678669951e-8,2.47708008926141e-7,ENSG00000001497.18,HSPD1,TCGA-COAD,LAS1L
ENSG00000001561,0.0833209859555757,4.97898064060149,1.84650304877274,0.174822405342242,0.240516652792214,ENSG00000001561.7,HSPD1,TCGA-COAD,ENPP4
ENSG00000001617,-0.322142136947133,5.5506791731738,13.2524660834036,3.0147959770654e-4,8.5701308067914e-4,ENSG00000001617.12,HSPD1,TCGA-COAD,SEMA3F
ENSG00000001626,0.574173821154477,7.66791542947305,25.1957709319027,7.28618274088337e-7,3.5914900262057e-6,ENSG00000001626.16,HSPD1,TCGA-COAD,CFTR
ENSG00000001629,0.21681186557097,5.80826563514733,25.0876960238617,7.68505723516659e-7,3.77299532305774e-6,ENSG00000001629.10,HSPD1,TCGA-COAD,ANKIB1
ENSG00000001630,-0.69237083311568,2.98137970334667,52.329061539359,1.84932478580162e-12,2.1177994363915397e-11,ENSG00000001630.17,HSPD1,TCGA-COAD,CYP51A1
ENSG00000001631,-0.0652812971250232,2.7779634715167,1.62209187139357,0.203412180647841,0.273806445856661,ENSG00000001631.16,HSPD1,TCGA-COAD,KRIT1
ENSG00000002016,0.176082139893979,3.39665255351365,14.0617481024398,1.9829618410382e-4,5.8876091924826e-4,ENSG00000002016.18,HSPD1,TCGA-COAD,RAD52
ENSG00000002079,-0.752136481666288,-0.687314626157205,21.9876368925373,3.50856026218264e-6,1.50891073109632e-5,ENSG00000002079.14,HSPD1,TCGA-COAD,MYH16
ENSG00000002330,-1.13127858576614,3.76640202855957,241.417870526785,1.80984251481838e-44,1.77355562260585e-42,ENSG00000002330.14,HSPD1,TCGA-COAD,BAD
ENSG00000002549,0.0305514823229537,6.9313444266405,0.25436610134301,0.61424646028683,0.684364550154394,ENSG00000002549.12,HSPD1,TCGA-COAD,LAP3
ENSG00000002586,0.0096860949350485,7.59643961596637,0.0258326648917968,0.872376580854057,0.902716128872201,ENSG00000002586.20,HSPD1,TCGA-COAD,CD99
ENSG00000002586,0.0096860949350485,7.59643961596637,0.0258326648917968,0.872376580854057,0.902716128872201,ENSG00000002586.20,HSPD1,TCGA-COAD,CD99
ENSG00000002587,-0.416637857185004,3.98147935502398,29.9384820653813,7.1620899183685e-8,4.2262338263063e-7,ENSG00000002587.10,HSPD1,TCGA-COAD,HS3ST1
ENSG00000002726,-0.412130742138486,7.86335502707169,17.5475884901527,3.32932379109452e-5,1.1762814477702e-4,ENSG00000002726.21,HSPD1,TCGA-COAD,AOC1
ENSG00000002746,-0.45210463056679,0.468452500776875,13.2821064609676,2.9706978576346e-4,8.4594239846509e-4,ENSG00000002746.15,HSPD1,TCGA-COAD,HECW1
ENSG00000002822,-0.690539157376429,-0.718602348690121,33.4431564599481,1.25881909780249e-8,8.4740122246807e-8,ENSG00000002822.15,HSPD1,TCGA-COAD,MAD1L1
ENSG00000002834,0.136125738197532,8.43412013916779,8.95174044853729,0.0029132723602639,0.00657530946260089,ENSG00000002834.18,HSPD1,TCGA-COAD,LASP1
ENSG00000002919,-0.150083856567078,4.7258965548771,11.8711709753825,6.196140982526e-4,0.00163446349180146,ENSG00000002919.15,HSPD1,TCGA-COAD,SNX11
ENSG00000002933,-0.407703229824574,7.84141278162467,13.6141424956762,2.4991809126233e-4,7.2296029425674e-4,ENSG00000002933.9,HSPD1,TCGA-COAD,TMEM176A
ENSG00000003056,0.103117977873393,6.26631639873743,6.88864531800766,0.00894817906930328,0.0178936328048799,ENSG00000003056.8,HSPD1,TCGA-COAD,M6PR
ENSG00000003096,-0.187157349116724,2.86135203721656,1.08666123822125,0.297732853838628,0.377620349134544,ENSG00000003096.14,HSPD1,TCGA-COAD,KLHL13
ENSG00000003137,-0.220188664965445,1.5781204220096,3.20553116779361,0.0740182077422347,0.114583631463848,ENSG00000003137.8,HSPD1,TCGA-COAD,CYP26B1
ENSG00000003147,0.09967831273484,6.1220924907003,3.19883805514545,0.0743146750283376,0.114977311604208,ENSG00000003147.19,HSPD1,TCGA-COAD,ICA1
ENSG00000003249,0.081619751444578,4.78615803832336,0.768061009348354,0.381251554967838,0.464266576704884,ENSG00000003249.15,HSPD1,TCGA-COAD,DBNDD1
ENSG00000003393,0.207043627015914,4.51075123127853,19.9191090729974,1.0056304465547e-5,3.94973138699659e-5,ENSG00000003393.15,HSPD1,TCGA-COAD,ALS2
ENSG00000003400,-0.197049338056104,5.34485278631225,10.0226296999262,0.00164360493116714,0.00395510624585468,ENSG00000003400.15,HSPD1,TCGA-COAD,CASP10
ENSG00000003402,0.0242134631590454,6.36733126452016,0.324986375085764,0.568890298267631,0.64350957359315,ENSG00000003402.20,HSPD1,TCGA-COAD,CFLAR
ENSG00000003436,-0.258731431645722,4.23133616025589,5.78652101470507,0.0165231472560865,0.0308226566439185,ENSG00000003436.16,HSPD1,TCGA-COAD,TFPI
ENSG00000003509,0.250071234606509,3.83232829299672,49.9316458783374,5.5733411878742896e-12,6.02845147597802e-11,ENSG00000003509.16,HSPD1,TCGA-COAD,NDUFAF7
ENSG00000003756,-0.125979802037932,5.83086915984634,10.2478047172167,0.00145827771398954,0.00354613532499406,ENSG00000003756.17,HSPD1,TCGA-COAD,RBM5
ENSG00000003987,-0.607786645912661,-0.0931923840848663,40.0735543286021,5.52230362112757e-10,4.5205723892436e-9,ENSG00000003987.14,HSPD1,TCGA-COAD,MTMR7
ENSG00000003989,-0.677334968041133,2.61988410951252,17.9221526422247,2.75501284682715e-5,9.90065463308782e-5,ENSG00000003989.18,HSPD1,TCGA-COAD,SLC7A2
ENSG00000004059,-0.556116701563412,7.1199247409236,60.1835006968315,5.14330022724144e-14,7.262192442722199e-13,ENSG00000004059.11,HSPD1,TCGA-COAD,ARF5
ENSG00000004139,-0.141624606369233,2.65604485134674,6.28369269409533,0.0125125471387399,0.0241177846160838,ENSG00000004139.14,HSPD1,TCGA-COAD,SARM1
ENSG00000004142,0.12732837726306,7.28915682321763,6.61270369032629,0.0104222060185515,0.0204672175421145,ENSG00000004142.12,HSPD1,TCGA-COAD,POLDIP2
ENSG00000004399,-0.211142824801001,6.29144241529909,6.35991686235547,0.0119918536793153,0.0232216963889563,ENSG00000004399.13,HSPD1,TCGA-COAD,PLXND1
ENSG00000004455,0.121796498216877,7.25680654559653,9.1057649208886,0.00268204231219971,0.00612074932492153,ENSG00000004455.17,HSPD1,TCGA-COAD,AK2
ENSG00000004468,-0.519296268657076,2.55364380258028,15.5353445655964,9.29326449299417e-5,2.973995624996e-4,ENSG00000004468.13,HSPD1,TCGA-COAD,CD38
ENSG00000004478,0.194743318462524,7.70206803152931,8.75208913109455,0.00324356334056912,0.00723374854157495,ENSG00000004478.8,HSPD1,TCGA-COAD,FKBP4
ENSG00000004487,0.0343649679362861,7.05448233040802,0.557170227867968,0.455764320362383,0.537106008027873,ENSG00000004487.17,HSPD1,TCGA-COAD,KDM1A
ENSG00000004534,0.462587938090052,6.09161011298776,76.5792932419183,3.51783910644488e-17,6.83341981061586e-16,ENSG00000004534.15,HSPD1,TCGA-COAD,RBM6
ENSG00000004660,0.138649010188629,4.06250552751043,5.03006891547504,0.025362151181737298,0.0450336511157199,ENSG00000004660.15,HSPD1,TCGA-COAD,CAMKK1
ENSG00000004700,0.233081620506894,4.19611923400496,16.3446773958601,6.1412489138199e-5,2.040900621824e-4,ENSG00000004700.16,HSPD1,TCGA-COAD,RECQL
ENSG00000004766,0.173168483707685,4.76500275093755,12.3036576939602,4.9414286821098e-4,0.00133440253292457,ENSG00000004766.17,HSPD1,TCGA-COAD,VPS50
ENSG00000004776,-1.14302473765459,1.94311331968539,41.333351074994,3.09448483695509e-10,2.63291869691164e-9,ENSG00000004776.13,HSPD1,TCGA-COAD,HSPB6
ENSG00000004777,0.104873331573472,3.17017626868347,1.74351451351123,0.187318187790351,0.255194794916763,ENSG00000004777.18,HSPD1,TCGA-COAD,ARHGAP33
ENSG00000004779,-0.15391796583621,6.36881133072511,7.24714661271156,0.00734692882042705,0.0150011631972582,ENSG00000004779.10,HSPD1,TCGA-COAD,NDUFAB1
ENSG00000004799,-0.0329546291582303,4.25973017378709,0.0833216013362091,0.772968947009944,0.821694066018397,ENSG00000004799.8,HSPD1,TCGA-COAD,PDK4
ENSG00000004838,-0.662464338309415,-0.673037187104987,29.4389370021418,8.81276024420293e-8,5.13109484274505e-7,ENSG00000004838.14,HSPD1,TCGA-COAD,ZMYND10
ENSG00000004848,-1.23467455611376,-0.34998174575124,40.9107219767318,3.65071741385869e-10,3.0690644857351503e-9,ENSG00000004848.8,HSPD1,TCGA-COAD,ARX
ENSG00000004864,0.112539861753625,5.53601953547137,5.26940698091707,0.0221293366730899,0.0399772963403091,ENSG00000004864.14,HSPD1,TCGA-COAD,SLC25A13
ENSG00000004866,-0.0372843190033764,4.6059176004939,0.884374607288722,0.347474609282872,0.429400048876638,ENSG00000004866.22,HSPD1,TCGA-COAD,ST7
ENSG00000004897,0.262430524792064,5.79600364350075,23.6361496754375,1.57471988942679e-6,7.22844503892785e-6,ENSG00000004897.12,HSPD1,TCGA-COAD,CDC27
ENSG00000004961,0.0702201303828909,5.37252070971564,2.21691216881215,0.137155883108174,0.195411170313324,ENSG00000004961.15,HSPD1,TCGA-COAD,HCCS
ENSG00000004975,-0.10107923393966,5.05457894399067,4.28814009853359,0.0389076862122684,0.0654173875649212,ENSG00000004975.12,HSPD1,TCGA-COAD,DVL2
ENSG00000005001,-0.115383203536813,4.80822711060567,1.20340913990856,0.273185880616333,0.351282301246894,ENSG00000005001.10,HSPD1,TCGA-COAD,PRSS22
ENSG00000005007,0.103128535790156,7.45207629041638,5.7163141423014,0.0171883495873938,0.0319455483886483,ENSG00000005007.13,HSPD1,TCGA-COAD,UPF1
ENSG00000005020,0.0510366785286147,5.6614772631198,0.601973819691341,0.438204118034315,0.519801656905866,ENSG00000005020.13,HSPD1,TCGA-COAD,SKAP2
ENSG00000005022,-0.389648237944029,9.5090804243957,28.8989335061582,1.18716624449685e-7,6.78966710739097e-7,ENSG00000005022.6,HSPD1,TCGA-COAD,SLC25A5
ENSG00000005059,-0.284796403744466,4.169969989365,12.827047192761,3.7612201710331e-4,0.00104654264315355,ENSG00000005059.16,HSPD1,TCGA-COAD,MCUB
ENSG00000005073,0.139830140347294,4.08426930956148,2.69053491140296,0.101594782109104,0.150606790336646,ENSG00000005073.6,HSPD1,TCGA-COAD,HOXA11
ENSG00000005075,0.0521263405895931,5.46729611641914,0.615701556618972,0.433032260774753,0.51465856757861,ENSG00000005075.15,HSPD1,TCGA-COAD,POLR2J
ENSG00000005100,0.326541136260679,5.0286247279678,62.0096292624209,2.2578173487456402e-14,3.32875960465889e-13,ENSG00000005100.13,HSPD1,TCGA-COAD,DHX33
ENSG00000005102,-0.217794997508644,1.04234686665063,3.42561111395962,0.0648058172212426,0.102020474888652,ENSG00000005102.14,HSPD1,TCGA-COAD,MEOX1
ENSG00000005108,-0.470618610528372,1.08472234144317,13.1281595084433,3.2190450157018e-4,9.09039851961e-4,ENSG00000005108.16,HSPD1,TCGA-COAD,THSD7A
ENSG00000005156,0.32173931837905,5.28300117015524,64.1993807813325,8.442045104483531e-15,1.31448982152579e-13,ENSG00000005156.12,HSPD1,TCGA-COAD,LIG3
ENSG00000005175,0.428473305704323,5.03229041136525,85.1464238205874,8.567478154130559e-19,1.91765474093079e-17,ENSG00000005175.10,HSPD1,TCGA-COAD,RPAP3
ENSG00000005187,0.0988148253012836,4.06971655930676,0.858090095402142,0.354734782227656,0.436809890318713,ENSG00000005187.12,HSPD1,TCGA-COAD,ACSM3
ENSG00000005189,0.0255940856811299,2.69034359455704,0.170201924736054,0.680115314988596,0.742342194993484,ENSG00000005189.20,HSPD1,TCGA-COAD,REXO5
ENSG00000005194,-0.0406252472577795,6.05512095921016,0.824673402584679,0.364268331809996,0.446678287471923,ENSG00000005194.15,HSPD1,TCGA-COAD,CIAPIN1
ENSG00000005206,-0.172327510974356,6.2747422597142,5.51610703180957,0.019242669165442,0.0353259018145531,ENSG00000005206.17,HSPD1,TCGA-COAD,SPPL2B
ENSG00000005238,-0.152227358944833,4.58387926383822,5.13682523355063,0.0238633008732021,0.0427033194602946,ENSG00000005238.20,HSPD1,TCGA-COAD,FAM214B
ENSG00000005243,-0.547797782453957,2.59241308425539,30.4553845017905,5.57996714775315e-8,3.35598818043645e-7,ENSG00000005243.10,HSPD1,TCGA-COAD,COPZ2
ENSG00000005249,-0.455061107110281,2.9266585330065,14.0751176203149,1.9694681077119e-4,5.8563727834544e-4,ENSG00000005249.13,HSPD1,TCGA-COAD,PRKAR2B
ENSG00000005302,0.0883657245007942,5.08987773551666,5.43484555689294,0.0201477305010998,0.0368099494718512,ENSG00000005302.19,HSPD1,TCGA-COAD,MSL3
ENSG00000005339,0.039056191300167,6.66186580549946,0.741175762485596,0.3897099099928,0.473042978614855,ENSG00000005339.15,HSPD1,TCGA-COAD,CREBBP
ENSG00000005379,-0.116274307004411,4.48955086239277,0.524790795526396,0.469154649678143,0.55000046722491,ENSG00000005379.17,HSPD1,TCGA-COAD,TSPOAP1
ENSG00000005381,-0.239519624875772,-1.19208350871433,3.67595453823979,0.0556747170971832,0.0892798911229519,ENSG00000005381.8,HSPD1,TCGA-COAD,MPO
ENSG00000005436,0.260574949015291,3.81623711071318,18.792141711011,1.77385485962511e-5,6.64756833524274e-5,ENSG00000005436.14,HSPD1,TCGA-COAD,GCFC2
ENSG00000005448,-0.491283045846555,3.72357403362665,40.3320860308194,4.93825042841228e-10,4.071524432333051e-9,ENSG00000005448.17,HSPD1,TCGA-COAD,WDR54
ENSG00000005469,0.124857823392261,3.85481102564549,3.71725715259801,0.0544368261092748,0.0875657136687942,ENSG00000005469.12,HSPD1,TCGA-COAD,CROT
ENSG00000005471,-0.0739394387147102,0.745017094361885,0.543859183206845,0.46119661019672,0.542534020009842,ENSG00000005471.19,HSPD1,TCGA-COAD,ABCB4
ENSG00000005483,0.153306761351754,6.39113915464187,8.6137251189428,0.00349466362020217,0.00773941863358693,ENSG00000005483.21,HSPD1,TCGA-COAD,KMT2E
ENSG00000005486,-0.282974629063091,6.50275790314211,18.5367579605382,2.01760839678478e-5,7.46727406829572e-5,ENSG00000005486.17,HSPD1,TCGA-COAD,RHBDD2
ENSG00000005513,-0.219299448812261,2.07005960395672,1.22093958481721,0.269727282525427,0.347561054815081,ENSG00000005513.10,HSPD1,TCGA-COAD,SOX8
ENSG00000005700,0.213232223863743,6.19746689722093,12.6381639214628,4.1498813831434e-4,0.00114050807316556,ENSG00000005700.15,HSPD1,TCGA-COAD,IBTK
ENSG00000005801,0.203534290388594,5.13439156467,11.1238874988254,9.1758321879603e-4,0.00232877678915416,ENSG00000005801.18,HSPD1,TCGA-COAD,ZNF195
