ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,0.0542361435102334,7.40397146584774,0.410556789677152,0.521989699137021,0.614136860311209,ENSG00000000003.15,TRAP1,TCGA-COAD,TSPAN6
ENSG00000000005,-0.0893948338911036,0.526314466609369,0.31373203625823,0.57565767999625,0.66299231362633,ENSG00000000005.6,TRAP1,TCGA-COAD,TNMD
ENSG00000000419,0.296945722849078,5.85201672055094,21.3005619552782,5.03329567284011e-6,2.69482732814365e-5,ENSG00000000419.13,TRAP1,TCGA-COAD,DPM1
ENSG00000000457,-0.114316438961653,3.86850306108517,9.17618834159569,0.00258278117717682,0.0068283104739469604,ENSG00000000457.14,TRAP1,TCGA-COAD,SCYL3
ENSG00000000460,0.00977103469714284,3.46684737049331,0.0352542130973062,0.851142629181791,0.891437172032717,ENSG00000000460.17,TRAP1,TCGA-COAD,C1orf112
ENSG00000000938,-0.434619931527677,3.081175266354,14.4157357631217,1.6520128695804e-4,6.0514117467103e-4,ENSG00000000938.13,TRAP1,TCGA-COAD,FGR
ENSG00000000971,-0.497312091976142,4.65767476677408,20.4692495899907,7.63050518412705e-6,3.91532806581346e-5,ENSG00000000971.16,TRAP1,TCGA-COAD,CFH
ENSG00000001036,-0.145358758566639,6.20995948353673,10.4989842726687,0.00127646139845471,0.00366753442848296,ENSG00000001036.14,TRAP1,TCGA-COAD,FUCA2
ENSG00000001084,0.158134546242103,5.5923615033374,14.578659563023,1.5185860549114e-4,5.6257428203209e-4,ENSG00000001084.13,TRAP1,TCGA-COAD,GCLC
ENSG00000001167,0.0707843355674819,5.17206538955998,3.50439394693283,0.0618080197015501,0.105338578747073,ENSG00000001167.14,TRAP1,TCGA-COAD,NFYA
ENSG00000001460,0.0816735536016502,3.37154609612468,2.87048116898171,0.090861107233347,0.145611034492751,ENSG00000001460.18,TRAP1,TCGA-COAD,STPG1
ENSG00000001461,0.110317875853097,5.44984893639816,6.83151963450773,0.0092347381236871,0.0207152783202553,ENSG00000001461.17,TRAP1,TCGA-COAD,NIPAL3
ENSG00000001497,0.363092949543773,6.10519538699696,45.5737943908497,4.21144300761255e-11,7.573256366258131e-10,ENSG00000001497.18,TRAP1,TCGA-COAD,LAS1L
ENSG00000001561,-0.152787958007871,4.97995533089412,6.22137149614404,0.0129536600985588,0.0277461142598461,ENSG00000001561.7,TRAP1,TCGA-COAD,ENPP4
ENSG00000001617,0.0715214306775258,5.55260769740358,0.644318535482182,0.422544571838704,0.520114051281741,ENSG00000001617.12,TRAP1,TCGA-COAD,SEMA3F
ENSG00000001626,0.456250079004241,7.66371816351639,15.7765277740736,8.20970353696851e-5,3.2423614553318e-4,ENSG00000001626.16,TRAP1,TCGA-COAD,CFTR
ENSG00000001629,0.0571897589493644,5.80890635120541,1.65892128080241,0.198363328177797,0.280910064640892,ENSG00000001629.10,TRAP1,TCGA-COAD,ANKIB1
ENSG00000001630,0.104851644067477,2.99123866665753,1.08914552187949,0.297182004688522,0.391259032368332,ENSG00000001630.17,TRAP1,TCGA-COAD,CYP51A1
ENSG00000001631,-0.169987268995302,2.78034899510401,10.9717330814869,9.9444637218272e-4,0.00294621271782854,ENSG00000001631.16,TRAP1,TCGA-COAD,KRIT1
ENSG00000002016,0.110136668301102,3.396473984189,5.43131942961669,0.020188669423825,0.0406239718074525,ENSG00000002016.18,TRAP1,TCGA-COAD,RAD52
ENSG00000002079,-0.723447548799261,-0.682924606266198,20.3012786649926,8.12962973053759e-6,4.13893174930565e-5,ENSG00000002079.14,TRAP1,TCGA-COAD,MYH16
