ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,-0.0518731171900007,5.4581733317755,0.189912593816326,0.663492481805011,0.806751940949827,ENSG00000000003.15,CCT6A,TCGA-ESCA,TSPAN6
ENSG00000000419,0.217147011740558,5.50214360861925,10.0603205543824,0.00177120049499429,0.0152720226061542,ENSG00000000419.13,CCT6A,TCGA-ESCA,DPM1
ENSG00000000457,-0.0448082611260145,3.95068189569466,0.517308343523025,0.472890841100558,0.664982370053281,ENSG00000000457.14,CCT6A,TCGA-ESCA,SCYL3
ENSG00000000460,0.387157749488715,3.56557650913353,19.8044320011098,1.47195718756607e-5,4.9707003130738e-4,ENSG00000000460.17,CCT6A,TCGA-ESCA,C1orf112
ENSG00000000938,-0.48702579053548,3.05264039641257,7.35863966040802,0.00729793285115107,0.041297516800611,ENSG00000000938.13,CCT6A,TCGA-ESCA,FGR
ENSG00000000971,-0.0510199352456796,5.89051300862978,0.0832812443423969,0.773218992288795,0.874878424471818,ENSG00000000971.16,CCT6A,TCGA-ESCA,CFH
ENSG00000001036,0.3433047189454,5.54920132536118,8.98123747989055,0.00309825766080046,0.0228078587190701,ENSG00000001036.14,CCT6A,TCGA-ESCA,FUCA2
ENSG00000001084,0.285210882823905,6.74568071486938,2.35535680651905,0.126545073648522,0.290417780664599,ENSG00000001084.13,CCT6A,TCGA-ESCA,GCLC
ENSG00000001167,0.114105038780247,5.31966456337335,1.17896373592551,0.278966101739224,0.481028495630209,ENSG00000001167.14,CCT6A,TCGA-ESCA,NFYA
ENSG00000001460,-0.0435829690313985,3.62073498021173,0.146549693419666,0.702289848360386,0.830535627849187,ENSG00000001460.18,CCT6A,TCGA-ESCA,STPG1
ENSG00000001461,-0.0480593344214185,5.4132928580547,0.320450480992471,0.572016380693308,0.743158846693027,ENSG00000001461.17,CCT6A,TCGA-ESCA,NIPAL3
ENSG00000001497,0.104643478206754,5.41535362066242,1.90655100337489,0.168996469912024,0.350151911497521,ENSG00000001497.18,CCT6A,TCGA-ESCA,LAS1L
ENSG00000001561,0.00176909512720494,4.57155926838383,5.46600824071075e-5,0.994108985835674,0.997054166699535,ENSG00000001561.7,CCT6A,TCGA-ESCA,ENPP4
ENSG00000001617,-0.330868483040553,6.76775653889822,5.10438031799607,0.0250205303338665,0.0974872394194512,ENSG00000001617.12,CCT6A,TCGA-ESCA,SEMA3F
ENSG00000001626,0.119801632878242,5.37967081026274,0.0728728455835593,0.787496896611114,0.882955017632738,ENSG00000001626.16,CCT6A,TCGA-ESCA,CFTR
ENSG00000001629,0.499864845409912,6.7090030893497,19.5004225825549,1.69971956550196e-5,5.5128736785188e-4,ENSG00000001629.10,CCT6A,TCGA-ESCA,ANKIB1
ENSG00000001630,0.124672892242315,2.26640829591697,0.547367730970879,0.460324892623394,0.654537673487656,ENSG00000001630.17,CCT6A,TCGA-ESCA,CYP51A1
ENSG00000001631,0.420108070479397,3.33585559407652,10.8370909288116,0.00118964869210522,0.0117118340706236,ENSG00000001631.16,CCT6A,TCGA-ESCA,KRIT1
ENSG00000002016,-0.0624963747332987,3.34874490718114,0.432932916628908,0.511363319735254,0.696677538527586,ENSG00000002016.18,CCT6A,TCGA-ESCA,RAD52
ENSG00000002079,0.171902943496158,0.0669322089465287,0.873056040443645,0.351325301107491,0.554645475365444,ENSG00000002079.14,CCT6A,TCGA-ESCA,MYH16
ENSG00000002330,0.00735959519143165,3.15306053165047,0.00654475767474895,0.935608351971934,0.966570782788582,ENSG00000002330.14,CCT6A,TCGA-ESCA,BAD
ENSG00000002549,0.077107970317327,6.46660524462925,0.509506355968801,0.476243413696275,0.668022531963868,ENSG00000002549.12,CCT6A,TCGA-ESCA,LAP3
ENSG00000002586,0.0178545402206188,6.9650225329535,0.0226643533268548,0.880495611320505,0.938209176590204,ENSG00000002586.20,CCT6A,TCGA-ESCA,CD99
ENSG00000002586,0.0178545402206188,6.9650225329535,0.0226643533268548,0.880495611320505,0.938209176590204,ENSG00000002586.20,CCT6A,TCGA-ESCA,CD99
ENSG00000002587,-0.564757913835475,4.69214314117577,6.81548874789587,0.00977045501073867,0.0503833269337082,ENSG00000002587.10,CCT6A,TCGA-ESCA,HS3ST1
ENSG00000002726,-0.54448533523131,6.31820798179058,1.71341810369948,0.192150263090281,0.379854421552852,ENSG00000002726.21,CCT6A,TCGA-ESCA,AOC1
ENSG00000002745,-0.124259696796042,-0.535950634761209,0.243132056990338,0.622537463899971,0.780094486411091,ENSG00000002745.13,CCT6A,TCGA-ESCA,WNT16
ENSG00000002746,0.547733142459765,1.46039043791864,5.92850915794205,0.0158396568814959,0.070965331235989,ENSG00000002746.15,CCT6A,TCGA-ESCA,HECW1
ENSG00000002822,0.386522575072312,0.10424242608026,4.93823909153407,0.0274771678876472,0.104151733786025,ENSG00000002822.15,CCT6A,TCGA-ESCA,MAD1L1
ENSG00000002834,0.151368864061673,8.12242324426306,1.89443813177757,0.170349615376138,0.352100941252533,ENSG00000002834.18,CCT6A,TCGA-ESCA,LASP1
ENSG00000002919,0.0674024058813968,4.38149897057804,1.2656895106812,0.26202018368371,0.463351277409667,ENSG00000002919.15,CCT6A,TCGA-ESCA,SNX11
ENSG00000002933,-0.189959056689119,6.05954276718904,0.602524294701064,0.438598092127473,0.635862755157023,ENSG00000002933.9,CCT6A,TCGA-ESCA,TMEM176A
