"logFC","logCPM","F","PValue","FDR","gene_ensembl","grouping_gene","project_id"
1.29243891710755,4.97467708859553,206.07506522801,5.54757246370726e-32,1.56330592027271e-27,"ENSG00000164284.15","GRPEL2","TCGA-ESCA"
5.37441904632255,4.54348602824076,118.862146983969,1.00901370463728e-21,1.01454686381298e-17,"ENSG00000242512.9","GRPEL2","TCGA-ESCA"
3.35386110695199,6.09286163861591,118.544449320227,1.08007118219977e-21,1.01454686381298e-17,"ENSG00000116990.11","GRPEL2","TCGA-ESCA"
3.69446254587332,0.023792354147611,92.4812236111819,3.99863929725338e-18,2.817041384915e-14,"ENSG00000239620.3","GRPEL2","TCGA-ESCA"
2.53392605629053,-0.689472478239231,84.5019897528959,6.77653129786766e-17,2.98109755770958e-13,"ENSG00000174460.4","GRPEL2","TCGA-ESCA"
3.07191882155271,1.16580768205406,84.6787844358849,7.33762183150671e-17,2.98109755770958e-13,"ENSG00000166317.12","GRPEL2","TCGA-ESCA"
2.97059140626112,0.180975517133586,84.5431643543741,7.40513942653196e-17,2.98109755770958e-13,"ENSG00000205002.4","GRPEL2","TCGA-ESCA"
2.92249259935432,-0.932614967904838,80.5036456578658,2.24445308847267e-16,7.90608600414498e-13,"ENSG00000167654.18","GRPEL2","TCGA-ESCA"
3.62923573349664,0.772464018988069,74.8528629129094,2.3140573408086e-15,7.24557065155404e-12,"ENSG00000166634.6","GRPEL2","TCGA-ESCA"
3.28590594019251,0.243138004330864,74.0930425609626,2.97144351217992e-15,8.37352781732301e-12,"ENSG00000233441.6","GRPEL2","TCGA-ESCA"
1.62627820770716,4.86286328151505,71.8047423218761,6.97992602121621e-15,1.78813013888975e-11,"ENSG00000043514.17","GRPEL2","TCGA-ESCA"
2.21505649839825,-0.0370837497045672,65.2734813791699,8.0309609386419e-14,1.88593732709107e-10,"ENSG00000184524.6","GRPEL2","TCGA-ESCA"
1.67254164331687,-0.404174618462134,64.739602655979,9.82333233103282e-14,2.1293961929885e-10,"ENSG00000145700.10","GRPEL2","TCGA-ESCA"
2.27555890398744,0.381119283421597,63.7816665245778,1.41784025564871e-13,2.8539098860129e-10,"ENSG00000283633.1","GRPEL2","TCGA-ESCA"
3.04968482156004,0.817072571399016,62.9883267546334,1.90983497041645e-13,3.4948820803868e-10,"ENSG00000287591.1","GRPEL2","TCGA-ESCA"
2.65035271298514,-1.36322452434421,62.045412845427,1.98431913719619e-13,3.4948820803868e-10,"ENSG00000182393.3","GRPEL2","TCGA-ESCA"
2.54135694713151,1.06318327070217,61.4986884031853,3.36699196337947e-13,5.58128432517844e-10,"ENSG00000169385.3","GRPEL2","TCGA-ESCA"
2.68940244653856,-1.0394094456508,60.4026811723041,4.21034524375018e-13,6.59152938716e-10,"ENSG00000277587.1","GRPEL2","TCGA-ESCA"
1.65123309501665,8.62248166352007,55.7636951865155,3.02661315086652e-12,4.48894518902202e-09,"ENSG00000134531.10","GRPEL2","TCGA-ESCA"
2.94273339023795,0.574510205280049,55.5157113119442,3.38845898221858e-12,4.77433870594598e-09,"ENSG00000228789.8","GRPEL2","TCGA-ESCA"
