ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,0.00592643280994414,5.45776705430199,0.0025765035630047,0.959571579554337,0.981253877952316,ENSG00000000003.15,HSCB,TCGA-ESCA,TSPAN6
ENSG00000000419,0.00683949938978009,5.50007839245335,0.00999827021517825,0.9204584188629,0.962089142561403,ENSG00000000419.13,HSCB,TCGA-ESCA,DPM1
ENSG00000000457,-0.018904161726739,3.95190112606662,0.0937118170361296,0.75985124272319,0.867473162538223,ENSG00000000457.14,HSCB,TCGA-ESCA,SCYL3
ENSG00000000460,0.0674505245232637,3.56330211759206,0.567934863392772,0.452029526765213,0.648157838815383,ENSG00000000460.17,HSCB,TCGA-ESCA,C1orf112
ENSG00000000938,-0.181419989504742,3.05207665835272,1.05081284859552,0.306645834215019,0.511949970312978,ENSG00000000938.13,HSCB,TCGA-ESCA,FGR
ENSG00000000971,-0.146683794424897,5.89137926312698,0.710833972314167,0.400245319495863,0.603514240481673,ENSG00000000971.16,HSCB,TCGA-ESCA,CFH
ENSG00000001036,-0.265566971353385,5.54794815364454,5.33581046029305,0.0219846688164977,0.0977782426950848,ENSG00000001036.14,HSCB,TCGA-ESCA,FUCA2
ENSG00000001084,0.650568002554895,6.73966427884931,13.561679755397,3.0211756235612e-4,0.0064728687734799,ENSG00000001084.13,HSCB,TCGA-ESCA,GCLC
ENSG00000001167,-0.203804899760814,5.32162028124091,3.84439515078068,0.0513991929726778,0.167302420939124,ENSG00000001167.14,HSCB,TCGA-ESCA,NFYA
ENSG00000001460,0.321303991663352,3.61600143627272,8.92577808918334,0.00318930738835844,0.0287513842506002,ENSG00000001460.18,HSCB,TCGA-ESCA,STPG1
ENSG00000001461,-0.0275324446533623,5.41349238799718,0.108850554513938,0.741826250916948,0.856054991230586,ENSG00000001461.17,HSCB,TCGA-ESCA,NIPAL3
ENSG00000001497,0.0737104543383809,5.4129280781449,0.998954116410576,0.318856596171504,0.524133784634252,ENSG00000001497.18,HSCB,TCGA-ESCA,LAS1L
ENSG00000001561,-0.391950972272209,4.57556876006882,2.74953688208898,0.0989608056748663,0.25451733405019,ENSG00000001561.7,HSCB,TCGA-ESCA,ENPP4
