"logFC","logCPM","F","PValue","FDR","gene_ensembl","grouping_gene","project_id"
4.09541788029671,-1.49002055480682,260.187969587125,1.2776774976091e-40,3.75458309447409e-36,"ENSG00000144644.14","HSPB7","TCGA-ESCA"
5.33005241573442,0.821517024015875,277.538407004788,1.70946480725244e-39,2.26410977919919e-35,"ENSG00000034971.17","HSPB7","TCGA-ESCA"
2.78783843262945,3.33265500881894,284.257606793583,2.31141677587884e-39,2.26410977919919e-35,"ENSG00000145936.9","HSPB7","TCGA-ESCA"
3.56961316239275,3.1997301362338,270.486239935887,3.83104860122183e-38,2.81447985488761e-34,"ENSG00000173641.18","HSPB7","TCGA-ESCA"
3.48173557255183,5.13450427130618,255.331345037285,8.56077150236714e-37,5.03133662737121e-33,"ENSG00000163431.13","HSPB7","TCGA-ESCA"
3.65435494292595,6.2170452223454,246.952765519511,5.13967923044323e-36,2.51724356443008e-32,"ENSG00000182253.15","HSPB7","TCGA-ESCA"
2.24034168070064,5.08675188755157,231.287500867598,1.61977466821524e-34,6.46500195691158e-31,"ENSG00000072952.19","HSPB7","TCGA-ESCA"
3.06550702790561,3.91035138101141,230.996389749245,1.76002231182511e-34,6.46500195691158e-31,"ENSG00000149596.7","HSPB7","TCGA-ESCA"
3.46426913785603,3.43598849965841,228.732766462539,2.97540374815811e-34,9.7150238381527e-31,"ENSG00000198523.6","HSPB7","TCGA-ESCA"
2.90390270989225,1.07035572324143,227.836717450131,4.13325670198738e-34,1.21459881444601e-30,"ENSG00000068976.14","HSPB7","TCGA-ESCA"
3.74362495096758,-1.54061291556029,204.349187885426,8.15760751953837e-34,2.17926776881049e-30,"ENSG00000280323.1","HSPB7","TCGA-ESCA"
2.30935441825165,7.82273322989929,220.557960229913,1.85642839376955e-33,4.54608373160932e-30,"ENSG00000079308.19","HSPB7","TCGA-ESCA"
2.41628117363164,6.7094261920772,212.305952239467,1.26684451358587e-32,2.86365329817187e-29,"ENSG00000149591.17","HSPB7","TCGA-ESCA"
3.30043150525847,5.52347425223724,211.855180902316,1.40894294071424e-32,2.95737123255918e-29,"ENSG00000130176.8","HSPB7","TCGA-ESCA"
2.44469303066454,3.56436310085113,199.70102816383,2.61302874929133e-31,5.11909752177834e-28,"ENSG00000249669.10","HSPB7","TCGA-ESCA"
2.26404930173294,6.78252033816613,198.271782356113,3.64709979811591e-31,6.69835466671463e-28,"ENSG00000077157.22","HSPB7","TCGA-ESCA"
2.80157981323061,1.58743573809492,198.089328058103,4.19392006397752e-31,7.24956088235549e-28,"ENSG00000233117.4","HSPB7","TCGA-ESCA"
2.38260322048745,4.64965560508382,195.11280759695,7.90586528801373e-31,1.29067642974206e-27,"ENSG00000131471.7","HSPB7","TCGA-ESCA"
1.71512689292115,6.16356838084202,194.026656382728,1.03259238954799e-30,1.59703999785564e-27,"ENSG00000197256.11","HSPB7","TCGA-ESCA"
2.2015915341946,2.67572591391873,190.776809076621,2.36470097784567e-30,3.47445514674864e-27,"ENSG00000197380.11","HSPB7","TCGA-ESCA"
2.95094318433131,-2.73293400610255,164.445920678151,3.6406040371464e-30,5.09441858264686e-27,"ENSG00000170367.5","HSPB7","TCGA-ESCA"
3.88209355127317,3.53497571558849,188.707415586891,3.99624620257719e-30,5.33789504131515e-27,"ENSG00000113296.14","HSPB7","TCGA-ESCA"
2.88853523379194,1.22146703227937,187.307927408695,6.16738200144899e-30,7.87976902150348e-27,"ENSG00000108823.16","HSPB7","TCGA-ESCA"
2.13335207547647,3.29550083354058,184.636794589857,1.09144102835097e-29,1.33637858579673e-26,"ENSG00000103710.11","HSPB7","TCGA-ESCA"
2.6825767076789,1.55580104284251,184.376730419167,1.25067655236725e-29,1.47009524671456e-26,"ENSG00000122367.20","HSPB7","TCGA-ESCA"
2.19936576768411,6.56128344609417,183.114723802877,1.58302641975194e-29,1.78918516810887e-26,"ENSG00000107796.13","HSPB7","TCGA-ESCA"
2.35607978627801,4.11008196818255,180.74052802831,2.90844082922171e-29,3.16546082250034e-26,"ENSG00000146122.17","HSPB7","TCGA-ESCA"
3.13251614900491,-2.17181398371769,164.076040872173,3.21439023530078e-29,3.37350255194817e-26,"ENSG00000278464.2","HSPB7","TCGA-ESCA"
2.41003396540095,7.62125216212198,176.043900534122,9.69924724042432e-29,9.82834756576238e-26,"ENSG00000101335.10","HSPB7","TCGA-ESCA"
3.93037647861628,9.49160292201265,175.799711101552,1.0332411204064e-28,1.01209411880875e-25,"ENSG00000133392.18","HSPB7","TCGA-ESCA"
2.828542101401,1.99705324899568,175.379245811009,1.22269686229253e-28,1.15903774178478e-25,"ENSG00000075073.15","HSPB7","TCGA-ESCA"
3.29158727693503,7.15346595195635,173.525556916258,1.86585187231531e-28,1.71343509749555e-25,"ENSG00000163017.14","HSPB7","TCGA-ESCA"
4.00757715753206,1.71510788683483,173.800231475598,1.95184363243342e-28,1.73808718129359e-25,"ENSG00000150625.16","HSPB7","TCGA-ESCA"
2.14381767989916,3.37534467512509,165.871122076647,1.41876988875274e-27,1.22623446914376e-24,"ENSG00000069431.11","HSPB7","TCGA-ESCA"
4.48134004574238,0.577143700663743,163.854622264233,1.8130627398782e-27,1.52224747640173e-24,"ENSG00000164122.9","HSPB7","TCGA-ESCA"
2.58225942473586,-1.65656889479268,155.73127987042,5.69567202366891e-27,4.64925050243151e-24,"ENSG00000276365.1","HSPB7","TCGA-ESCA"
2.47975900211935,6.19797058421145,158.610688510042,9.90840755876323e-27,7.86941796004909e-24,"ENSG00000095637.22","HSPB7","TCGA-ESCA"
2.38108930758035,0.721210222463069,157.264420483112,1.58228574782029e-26,1.22360655224861e-23,"ENSG00000182575.8","HSPB7","TCGA-ESCA"
1.45768401115689,3.99761632230473,155.488935964964,2.32734018894444e-26,1.7536209946749e-23,"ENSG00000150764.14","HSPB7","TCGA-ESCA"
2.82906165592958,-1.72455463053114,148.434025185173,2.93064783151797e-26,2.15300042942467e-23,"ENSG00000174403.16","HSPB7","TCGA-ESCA"
3.63712497189085,2.10758744536113,153.855926456254,3.91978131328178e-26,2.80943155297801e-23,"ENSG00000136546.16","HSPB7","TCGA-ESCA"
3.72537902629453,2.32620922716199,153.279801436692,4.56174041917849e-26,3.11955896286642e-23,"ENSG00000018625.15","HSPB7","TCGA-ESCA"
2.01487719571459,4.72628631932744,153.043417072456,4.56479396322248e-26,3.11955896286642e-23,"ENSG00000174099.12","HSPB7","TCGA-ESCA"
5.6833628090816,1.47152727240525,151.39055926834,4.85621463840989e-26,3.24328916737075e-23,"ENSG00000182898.4","HSPB7","TCGA-ESCA"
3.7812309855941,-1.34210282702192,144.19099650656,5.21830427458746e-26,3.40766865362282e-23,"ENSG00000147573.17","HSPB7","TCGA-ESCA"
2.05706870006304,2.61444396400969,152.139153501986,5.96551948543784e-26,3.81092946954514e-23,"ENSG00000172935.9","HSPB7","TCGA-ESCA"
3.60903082224224,3.075290351331,151.332459645761,7.56540004452557e-26,4.73014565337082e-23,"ENSG00000138615.6","HSPB7","TCGA-ESCA"
1.62391506870035,4.44327386400315,150.965239985427,8.12578269770138e-26,4.9746718823886e-23,"ENSG00000165424.7","HSPB7","TCGA-ESCA"
2.48824645274425,-2.17022909833546,141.996467694535,1.07011581813086e-25,6.41763743501904e-23,"ENSG00000267505.1","HSPB7","TCGA-ESCA"
2.84520987397512,-0.0880559285733196,148.670438365626,1.58551185498699e-25,9.31837027412952e-23,"ENSG00000143632.14","HSPB7","TCGA-ESCA"
2.41975492787314,1.84754668495241,146.160158327475,3.25951593134769e-25,1.87812029722712e-22,"ENSG00000173198.6","HSPB7","TCGA-ESCA"
2.42598768881283,5.022862431725,145.859087699434,3.40336651797097e-25,1.92329477879029e-22,"ENSG00000127951.8","HSPB7","TCGA-ESCA"
2.30874034707896,7.35346592708538,145.493776415793,3.77325081526808e-25,2.09208959353713e-22,"ENSG00000065534.19","HSPB7","TCGA-ESCA"
2.20475993168562,5.66507774505373,144.528973188328,4.95990772145543e-25,2.69910830190165e-22,"ENSG00000109610.6","HSPB7","TCGA-ESCA"
