ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,0.0814476432244398,5.45786490965324,0.496881428524259,0.48175164952588,0.648460461717539,ENSG00000000003.15,TRAP1,TCGA-ESCA,TSPAN6
ENSG00000000419,0.113869067126119,5.50012456353172,2.86919299273915,0.0919569769498915,0.215614760457484,ENSG00000000419.13,TRAP1,TCGA-ESCA,DPM1
ENSG00000000457,0.0397615035451131,3.95202317499967,0.423256079795964,0.516116249760489,0.678082170905863,ENSG00000000457.14,TRAP1,TCGA-ESCA,SCYL3
ENSG00000000460,0.530729075766167,3.56330412454525,43.7872328708663,3.75861225613335e-10,1.70135527883664e-7,ENSG00000000460.17,TRAP1,TCGA-ESCA,C1orf112
ENSG00000000938,-0.533699369724139,3.05234666861805,9.51037643840322,0.00235315247238617,0.0151749380331483,ENSG00000000938.13,TRAP1,TCGA-ESCA,FGR
ENSG00000000971,-0.724670617820728,5.89136571332109,18.7820396217162,2.39126236380566e-5,5.2845287962419e-4,ENSG00000000971.16,TRAP1,TCGA-ESCA,CFH
ENSG00000001036,-0.0173831556414657,5.54814233210747,0.0228912134222825,0.879903593117843,0.93303400515836,ENSG00000001036.14,TRAP1,TCGA-ESCA,FUCA2
ENSG00000001084,0.487323382242744,6.73910866379564,7.45320537594925,0.00693830793805321,0.0336271620095346,ENSG00000001084.13,TRAP1,TCGA-ESCA,GCLC
ENSG00000001167,0.0576477651272167,5.32182627028676,0.310353978800481,0.578129987763753,0.727751041664946,ENSG00000001167.14,TRAP1,TCGA-ESCA,NFYA
ENSG00000001460,0.0164154049575207,3.61581653505754,0.0224716139899456,0.881001040062434,0.93370746430644,ENSG00000001460.18,TRAP1,TCGA-ESCA,STPG1
ENSG00000001461,-0.093729663426006,5.41348980865996,1.28954321495326,0.257587158862152,0.433505978767111,ENSG00000001461.17,TRAP1,TCGA-ESCA,NIPAL3
ENSG00000001497,0.307568530650118,5.41299847067996,19.3935708285103,1.78821187697505e-5,4.2679740561911e-4,ENSG00000001497.18,TRAP1,TCGA-ESCA,LAS1L
ENSG00000001561,-0.332807784552065,4.57588890338711,2.02148681887576,0.156754825538819,0.310693129223626,ENSG00000001561.7,TRAP1,TCGA-ESCA,ENPP4
ENSG00000001617,-0.14451493752727,6.76541044534226,1.02781604304269,0.311983621479488,0.49105623491142,ENSG00000001617.12,TRAP1,TCGA-ESCA,SEMA3F
ENSG00000001626,-0.716708940323534,5.38461337861331,2.67315854071279,0.103737454866716,0.234063679133833,ENSG00000001626.16,TRAP1,TCGA-ESCA,CFTR
ENSG00000001629,-0.177804852880294,6.70876457653316,2.32586403379587,0.128930967411146,0.271883824772065,ENSG00000001629.10,TRAP1,TCGA-ESCA,ANKIB1
ENSG00000001630,-0.0662054180430245,2.26461931167081,0.16121799702811,0.688497089816735,0.809956651702673,ENSG00000001630.17,TRAP1,TCGA-ESCA,CYP51A1
ENSG00000001631,-0.351640356007197,3.33709897504982,7.57963169733095,0.00648596155964118,0.031947923975013,ENSG00000001631.16,TRAP1,TCGA-ESCA,KRIT1
