ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,0.0733728155586743,5.27699014153713,1.18260751712901,0.277325437650072,0.376750287046244,ENSG00000000003.15,DNAJA3,TCGA-HNSC,TSPAN6
ENSG00000000419,0.0158078060826694,5.28905926650847,0.124543081353627,0.724300275258893,0.790980207309989,ENSG00000000419.13,DNAJA3,TCGA-HNSC,DPM1
ENSG00000000457,0.0745201179021121,3.27427428218795,2.74875884786197,0.0979285122049016,0.162100124218295,ENSG00000000457.14,DNAJA3,TCGA-HNSC,SCYL3
ENSG00000000460,0.313647985167216,3.19041431349489,27.7347933216804,2.03468332769678e-7,2.48640015546927e-6,ENSG00000000460.17,DNAJA3,TCGA-HNSC,C1orf112
ENSG00000000938,-0.272567831092749,3.28600311940638,7.74734370939128,0.00557342254164306,0.0149779281792211,ENSG00000000938.13,DNAJA3,TCGA-HNSC,FGR
ENSG00000000971,-0.456938138320888,6.20000060497071,21.7696264526592,3.90776006329082e-6,3.08010283837018e-5,ENSG00000000971.16,DNAJA3,TCGA-HNSC,CFH
ENSG00000001036,-0.241684944059706,5.16624923665506,21.468519788444,4.54358100708511e-6,3.51617110533068e-5,ENSG00000001036.14,DNAJA3,TCGA-HNSC,FUCA2
ENSG00000001084,0.315177571236192,6.52746154123628,8.55366408725205,0.00359750354306162,0.0102926181897928,ENSG00000001084.13,DNAJA3,TCGA-HNSC,GCLC
ENSG00000001167,0.141564477142774,4.86471414535993,11.675917140904,6.8231091926948e-4,0.00249836441466568,ENSG00000001167.14,DNAJA3,TCGA-HNSC,NFYA
ENSG00000001460,0.112277019628262,4.12852292070029,3.96769130765813,0.0468996487950195,0.0883149242783901,ENSG00000001460.18,DNAJA3,TCGA-HNSC,STPG1
ENSG00000001461,0.0793648034312321,5.3643936999167,2.62932212826551,0.105507641532368,0.172252266437559,ENSG00000001461.17,DNAJA3,TCGA-HNSC,NIPAL3
