ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,0.476815656308438,5.2787695913957,51.8628127127982,2.07822056179317e-12,4.0137544728823494e-11,ENSG00000000003.15,DNAJC19,TCGA-HNSC,TSPAN6
ENSG00000000419,0.0834295616483702,5.29095046903338,3.20935813007747,0.0737947586052093,0.115161475125976,ENSG00000000419.13,DNAJC19,TCGA-HNSC,DPM1
ENSG00000000457,0.0752919815374354,3.27573642757097,2.58999980624293,0.108142652216534,0.160768249901798,ENSG00000000457.14,DNAJC19,TCGA-HNSC,SCYL3
ENSG00000000460,0.267878425943237,3.19359350684307,18.4770450720292,2.05092196872288e-5,7.96304939556058e-5,ENSG00000000460.17,DNAJC19,TCGA-HNSC,C1orf112
ENSG00000000938,-0.258038611170523,3.27958666295472,6.53758985515931,0.0108424999367791,0.0213399016097635,ENSG00000000938.13,DNAJC19,TCGA-HNSC,FGR
ENSG00000000971,-0.501864401937199,6.1973539256338,24.4060987121,1.05093499587582e-6,5.51255543393374e-6,ENSG00000000971.16,DNAJC19,TCGA-HNSC,CFH
ENSG00000001036,0.0201681594399587,5.16595493384849,0.136233928111288,0.712203073656166,0.772328262539281,ENSG00000001036.14,DNAJC19,TCGA-HNSC,FUCA2
ENSG00000001084,0.811005717964281,6.53146004496949,59.3599112104269,6.61075843797393e-14,1.77636658640852e-12,ENSG00000001084.13,DNAJC19,TCGA-HNSC,GCLC
ENSG00000001167,0.0520928193734784,4.86639223275067,1.41944296480516,0.234034107547136,0.310053508725046,ENSG00000001167.14,DNAJC19,TCGA-HNSC,NFYA
ENSG00000001460,0.131567423278996,4.13253242393203,4.99982782425923,0.0257698519158965,0.0458084678376392,ENSG00000001460.18,DNAJC19,TCGA-HNSC,STPG1
ENSG00000001461,-0.0214964546574566,5.36727781794439,0.174391618914474,0.676408909124287,0.742290599928382,ENSG00000001461.17,DNAJC19,TCGA-HNSC,NIPAL3
ENSG00000001497,0.0197773137683238,5.76693394954323,0.180248657827274,0.671333776637697,0.737722866252899,ENSG00000001497.18,DNAJC19,TCGA-HNSC,LAS1L
ENSG00000001561,0.459861704342261,2.18617680423066,11.0380830097799,9.5503172338327e-4,0.00247784684571585,ENSG00000001561.7,DNAJC19,TCGA-HNSC,ENPP4
ENSG00000001617,-0.140956509732247,6.76961770165521,5.52862974523606,0.0190769288986491,0.0351203352853788,ENSG00000001617.12,DNAJC19,TCGA-HNSC,SEMA3F
ENSG00000001626,0.687638997390174,-0.0939092087016951,12.4348747968749,4.5871691041213e-4,0.00128932830905433,ENSG00000001626.16,DNAJC19,TCGA-HNSC,CFTR
ENSG00000001629,0.0204470147080963,5.86914358832696,0.11394913048159,0.735827224617537,0.791945168556049,ENSG00000001629.10,DNAJC19,TCGA-HNSC,ANKIB1
ENSG00000001630,-0.0533873701123589,1.49990445893105,0.240961542803333,0.623718944635285,0.697341272005914,ENSG00000001630.17,DNAJC19,TCGA-HNSC,CYP51A1
ENSG00000001631,0.263983162793647,2.2632815655104,26.8060032658712,3.21356988401576e-7,1.89788487838177e-6,ENSG00000001631.16,DNAJC19,TCGA-HNSC,KRIT1
ENSG00000002016,0.201909895587848,2.60924114352798,10.1991472936701,0.00148959396978342,0.00367985399565706,ENSG00000002016.18,DNAJC19,TCGA-HNSC,RAD52
ENSG00000002079,-0.700142950911038,0.183291994162244,21.5778885736757,4.31499265753176e-6,1.96002898211662e-5,ENSG00000002079.14,DNAJC19,TCGA-HNSC,MYH16
ENSG00000002330,-0.048982033095493,3.44984968116793,0.517077001811532,0.472411757259475,0.557371603329217,ENSG00000002330.14,DNAJC19,TCGA-HNSC,BAD
ENSG00000002549,-0.392513404173945,7.15526217043404,19.997208211417,9.51363116516278e-6,4.00323439849195e-5,ENSG00000002549.12,DNAJC19,TCGA-HNSC,LAP3
ENSG00000002586,-0.0441192365576812,7.71963329540813,0.393142689541934,0.530924982860207,0.612345719569764,ENSG00000002586.20,DNAJC19,TCGA-HNSC,CD99
ENSG00000002586,-0.0441192365576812,7.71963329540813,0.393142689541934,0.530924982860207,0.612345719569764,ENSG00000002586.20,DNAJC19,TCGA-HNSC,CD99
ENSG00000002587,-0.115402297944803,3.81899238946563,0.986646057623531,0.321021829206279,0.405045736586498,ENSG00000002587.10,DNAJC19,TCGA-HNSC,HS3ST1
ENSG00000002726,-0.880912960904311,2.50488065324522,34.7188651684483,6.8255929276163705e-9,5.99952199436089e-8,ENSG00000002726.21,DNAJC19,TCGA-HNSC,AOC1
ENSG00000002745,-0.169486117360593,-0.450318413523303,0.849208886928592,0.357204488204148,0.442671497442426,ENSG00000002745.13,DNAJC19,TCGA-HNSC,WNT16
ENSG00000002746,-0.287362047824616,1.16741498497728,4.80602869052414,0.028802307142453,0.0505314669214885,ENSG00000002746.15,DNAJC19,TCGA-HNSC,HECW1
ENSG00000002822,-0.277204781187552,0.763272353908509,4.29566436355637,0.0387026354209177,0.0655219527956609,ENSG00000002822.15,DNAJC19,TCGA-HNSC,MAD1L1
ENSG00000002834,-0.0875238906328804,7.75351188882312,3.00840159763792,0.0834215992346634,0.128185598882485,ENSG00000002834.18,DNAJC19,TCGA-HNSC,LASP1
ENSG00000002919,-0.0488623684147011,4.93306624767733,1.77693854984018,0.183104589001472,0.25241277836564,ENSG00000002919.15,DNAJC19,TCGA-HNSC,SNX11
ENSG00000002933,-0.378760924349303,4.32182795794244,12.5084372613031,4.4103482496893e-4,0.00124345428378803,ENSG00000002933.9,DNAJC19,TCGA-HNSC,TMEM176A
ENSG00000003056,0.0421405500309101,6.13688662823285,0.44364268700357,0.50566242118247,0.589159104868713,ENSG00000003056.8,DNAJC19,TCGA-HNSC,M6PR
ENSG00000003096,0.633550782393796,3.75518725745413,45.0709182314957,4.9511286790424795e-11,6.96839028350433e-10,ENSG00000003096.14,DNAJC19,TCGA-HNSC,KLHL13
ENSG00000003137,-0.982787083712149,4.95527551564466,49.7538485400266,5.53469551313659e-12,9.643495590177379e-11,ENSG00000003137.8,DNAJC19,TCGA-HNSC,CYP26B1
ENSG00000003147,0.710768528348261,2.2030137206762,30.4071166328369,5.51248310873715e-8,3.89750361924272e-7,ENSG00000003147.19,DNAJC19,TCGA-HNSC,ICA1
ENSG00000003249,0.698100655666156,3.73938238551934,33.251616436185,1.38463091575686e-8,1.1303515708158e-7,ENSG00000003249.15,DNAJC19,TCGA-HNSC,DBNDD1
ENSG00000003393,0.042228765114427,4.58172452655742,0.818144831959456,0.366138537880108,0.452116653727138,ENSG00000003393.15,DNAJC19,TCGA-HNSC,ALS2
ENSG00000003400,-0.224988007091263,4.39722327967381,7.96486086950413,0.00495047278003596,0.0107020868854831,ENSG00000003400.15,DNAJC19,TCGA-HNSC,CASP10
ENSG00000003402,-0.198664320711308,6.46789854068579,15.4041170035911,9.83690535715281e-5,3.2575933248238e-4,ENSG00000003402.20,DNAJC19,TCGA-HNSC,CFLAR
ENSG00000003436,0.241472300821942,3.89499352636674,5.87734501811088,0.0156741026353999,0.029546956013067,ENSG00000003436.16,DNAJC19,TCGA-HNSC,TFPI
ENSG00000003509,0.268208901272784,3.21327518802875,53.1765765857961,1.13260825549678e-12,2.3457633713563797e-11,ENSG00000003509.16,DNAJC19,TCGA-HNSC,NDUFAF7
ENSG00000003756,-0.128861770447398,5.07372796540986,8.78892188868737,0.00316854677945551,0.00721038265937825,ENSG00000003756.17,DNAJC19,TCGA-HNSC,RBM5
ENSG00000003987,0.0449006890201605,-0.169659004666597,0.316283383352423,0.574093285718229,0.652959253737329,ENSG00000003987.14,DNAJC19,TCGA-HNSC,MTMR7
ENSG00000003989,0.490853370802892,4.10682804644004,8.73511260005219,0.00326185900149065,0.00740032147244908,ENSG00000003989.18,DNAJC19,TCGA-HNSC,SLC7A2
ENSG00000004059,-0.0396984001421694,6.75526544080838,0.636828483668419,0.425222838575734,0.511313734305688,ENSG00000004059.11,DNAJC19,TCGA-HNSC,ARF5
ENSG00000004139,0.402270631504738,0.819739397298245,16.5018213467088,5.61141833735542e-5,1.9717848415192e-4,ENSG00000004139.14,DNAJC19,TCGA-HNSC,SARM1
ENSG00000004142,0.104680466269748,7.01546511340438,7.85028408751121,0.00526910569528526,0.0113060061242754,ENSG00000004142.12,DNAJC19,TCGA-HNSC,POLDIP2
ENSG00000004399,-0.129856242447972,6.33506479913634,3.47413817866377,0.0628938441020106,0.100127914699261,ENSG00000004399.13,DNAJC19,TCGA-HNSC,PLXND1
ENSG00000004455,-0.0201724036482321,7.11285016579578,0.215975432584642,0.642316608453853,0.71322124780389,ENSG00000004455.17,DNAJC19,TCGA-HNSC,AK2
ENSG00000004468,0.0726621463198603,4.22695023344013,0.279904416235144,0.596987798468282,0.673819874803353,ENSG00000004468.13,DNAJC19,TCGA-HNSC,CD38
ENSG00000004478,0.273520979910096,7.49203993098751,20.1579510063715,8.7739462939166e-6,3.72494221047266e-5,ENSG00000004478.8,DNAJC19,TCGA-HNSC,FKBP4
ENSG00000004487,-0.0405546666994788,6.9672443539687,0.940699255910995,0.332545237243188,0.416816256717817,ENSG00000004487.17,DNAJC19,TCGA-HNSC,KDM1A
ENSG00000004534,-0.0501952211954526,5.38451194764603,1.00153438608411,0.317401114029235,0.401441531786224,ENSG00000004534.15,DNAJC19,TCGA-HNSC,RBM6
ENSG00000004660,0.103704519637919,4.08623485587401,2.06252878697752,0.151555945533208,0.214598725302514,ENSG00000004660.15,DNAJC19,TCGA-HNSC,CAMKK1
ENSG00000004700,-0.157812140804347,4.82220694724027,4.36185472745912,0.037234029168339,0.063336732365766,ENSG00000004700.16,DNAJC19,TCGA-HNSC,RECQL
ENSG00000004766,-0.021810086585742,4.43609000703632,0.17162512544192501,0.678840956876079,0.744298723028283,ENSG00000004766.17,DNAJC19,TCGA-HNSC,VPS50
ENSG00000004776,0.256564186571028,1.9691665252133,1.27668161049178,0.259035254119906,0.33770367259099,ENSG00000004776.13,DNAJC19,TCGA-HNSC,HSPB6
ENSG00000004777,0.258469170544483,2.55420366671087,7.49968996953183,0.00638121718103491,0.0133914427868857,ENSG00000004777.18,DNAJC19,TCGA-HNSC,ARHGAP33
ENSG00000004779,0.243797943255037,5.71296162538925,19.0295288316108,1.55034287226576e-5,6.21942626478053e-5,ENSG00000004779.10,DNAJC19,TCGA-HNSC,NDUFAB1
ENSG00000004799,-0.0234519866958228,3.73044799693345,0.0132793928494794,0.908302003867307,0.93039631506599,ENSG00000004799.8,DNAJC19,TCGA-HNSC,PDK4
ENSG00000004809,0.219059191110193,-2.01420926197404,2.23510048429166,0.135412950581282,0.195012838774894,ENSG00000004809.14,DNAJC19,TCGA-HNSC,SLC22A16
ENSG00000004838,-0.1038314710597,-0.721168135541852,0.447410962564765,0.503862341309221,0.587517861269112,ENSG00000004838.14,DNAJC19,TCGA-HNSC,ZMYND10
ENSG00000004846,-0.112645147792026,-1.97096384107073,0.430423681325162,0.512024973609708,0.594955804604114,ENSG00000004846.16,DNAJC19,TCGA-HNSC,ABCB5
ENSG00000004848,0.008649458759395,-2.02431388473366,0.00287225607275884,0.957276146753198,0.967497651470586,ENSG00000004848.8,DNAJC19,TCGA-HNSC,ARX
ENSG00000004864,-0.0193205705730384,5.11981712299838,0.13081519462914,0.717734009511157,0.776688883605826,ENSG00000004864.14,DNAJC19,TCGA-HNSC,SLC25A13
ENSG00000004866,0.00727860211829519,4.13241880343408,0.041076655199309,0.839468663915885,0.87620480006281,ENSG00000004866.22,DNAJC19,TCGA-HNSC,ST7
ENSG00000004897,-0.118287187411736,6.07962566114089,9.36973863776078,0.00231900967988146,0.00547213367808524,ENSG00000004897.12,DNAJC19,TCGA-HNSC,CDC27
ENSG00000004961,0.00564628054357588,4.94663364173672,0.0155590070397763,0.900780559839427,0.924328007780675,ENSG00000004961.15,DNAJC19,TCGA-HNSC,HCCS
ENSG00000004975,0.185851206094667,5.38416145823778,14.9848068388679,1.2205704710445e-4,3.9549494692457e-4,ENSG00000004975.12,DNAJC19,TCGA-HNSC,DVL2
ENSG00000005001,-0.262007955943476,5.6974690085629,3.93474532467413,0.0478193967258519,0.0789463374764555,ENSG00000005001.10,DNAJC19,TCGA-HNSC,PRSS22
ENSG00000005007,0.0964679921681476,7.21704143980604,6.5264361472845,0.0109096296047861,0.0214567621569983,ENSG00000005007.13,DNAJC19,TCGA-HNSC,UPF1
ENSG00000005020,-0.0309121489267613,5.02026881983486,0.293023232070571,0.58851956170489,0.666270908402718,ENSG00000005020.13,DNAJC19,TCGA-HNSC,SKAP2
ENSG00000005022,0.121053332369627,8.61633996598669,5.17960914918248,0.0232559367362157,0.0418387841299744,ENSG00000005022.6,DNAJC19,TCGA-HNSC,SLC25A5
ENSG00000005059,-0.227272554231468,4.94273091115755,10.9580920922148,9.9607897258607e-4,0.00257069607601956,ENSG00000005059.16,DNAJC19,TCGA-HNSC,MCUB
ENSG00000005073,0.501085700738454,0.520659297943324,10.2286020977554,0.00146729075018422,0.00363244351244357,ENSG00000005073.6,DNAJC19,TCGA-HNSC,HOXA11
ENSG00000005075,0.20613681526188,5.1839883907919,10.3466795892437,0.00137713157918238,0.00343036127745202,ENSG00000005075.15,DNAJC19,TCGA-HNSC,POLR2J
ENSG00000005100,0.023936289950061,4.98043222960599,0.241253082128984,0.623508048435378,0.697162487190581,ENSG00000005100.13,DNAJC19,TCGA-HNSC,DHX33
ENSG00000005102,-0.401228640363162,2.45400301921811,9.06364147155947,0.00273325788028242,0.00632532619986201,ENSG00000005102.14,DNAJC19,TCGA-HNSC,MEOX1
ENSG00000005108,0.101565254117495,0.797494571876617,0.711691267901355,0.399271348868932,0.485301298807431,ENSG00000005108.16,DNAJC19,TCGA-HNSC,THSD7A
ENSG00000005156,0.207247563821468,4.87056243667085,19.8237569944023,1.03825310921186e-5,4.33217088639173e-5,ENSG00000005156.12,DNAJC19,TCGA-HNSC,LIG3
ENSG00000005175,0.17116126424871,4.88476667005229,30.0661300014526,6.50106344697014e-8,4.50550284337677e-7,ENSG00000005175.10,DNAJC19,TCGA-HNSC,RPAP3
