ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,0.034980138445734,5.27674685715993,0.26438775684401,0.607338240393525,0.706451272600036,ENSG00000000003.15,HSP90AB1,TCGA-HNSC,TSPAN6
ENSG00000000419,0.0358172153262283,5.28899530986893,0.63092056708794,0.427377190555207,0.546769086539853,ENSG00000000419.13,HSP90AB1,TCGA-HNSC,DPM1
ENSG00000000457,-0.145120256015281,3.27419157955491,10.3225466141468,0.00139496226455016,0.00553002897732384,ENSG00000000457.14,HSP90AB1,TCGA-HNSC,SCYL3
ENSG00000000460,0.209497026813453,3.19028589756629,11.867584667136,6.1699563664448e-4,0.00281680867018552,ENSG00000000460.17,HSP90AB1,TCGA-HNSC,C1orf112
ENSG00000000938,-0.216163448088949,3.28598565788477,4.77568252875932,0.0293064941881356,0.0668973830761856,ENSG00000000938.13,HSP90AB1,TCGA-HNSC,FGR
ENSG00000000971,-0.274550810619172,6.20025131758972,7.5874594478748,0.00608176569134993,0.0183985059622674,ENSG00000000971.16,HSP90AB1,TCGA-HNSC,CFH
ENSG00000001036,0.0158904866095523,5.16616954009233,0.0888475569108925,0.765765467033906,0.836163060791327,ENSG00000001036.14,HSP90AB1,TCGA-HNSC,FUCA2
ENSG00000001084,0.400597968349818,6.5271692343811,13.8273176305446,2.2198873836032e-4,0.00121496235134043,ENSG00000001084.13,HSP90AB1,TCGA-HNSC,GCLC
ENSG00000001167,0.290441435350673,4.86472095666403,52.1546793992433,1.8154739594499999e-12,2.38979216392986e-10,ENSG00000001167.14,HSP90AB1,TCGA-HNSC,NFYA
ENSG00000001460,0.0676234112513716,4.12846138295007,1.41070875526793,0.235476640527573,0.348505427980808,ENSG00000001460.18,HSP90AB1,TCGA-HNSC,STPG1
ENSG00000001461,0.0429763985464174,5.36446796533757,0.755483535845731,0.38514333054100103,0.504846054682718,ENSG00000001461.17,HSP90AB1,TCGA-HNSC,NIPAL3
ENSG00000001497,0.020965621647525,5.76760241345221,0.211938283581046,0.645443276514356,0.738600038073129,ENSG00000001497.18,HSP90AB1,TCGA-HNSC,LAS1L
ENSG00000001561,-0.098280712374691,2.18899574980823,0.502101276348011,0.478893954518563,0.59407133935301,ENSG00000001561.7,HSP90AB1,TCGA-HNSC,ENPP4
ENSG00000001617,-0.310358344731365,6.76903996953726,29.3684490139784,9.13878097005144e-8,1.98323759153463e-6,ENSG00000001617.12,HSP90AB1,TCGA-HNSC,SEMA3F
ENSG00000001626,0.0945616792427665,-0.0903845762016191,0.231992370825924,0.630253996357672,0.72562602686728,ENSG00000001626.16,HSP90AB1,TCGA-HNSC,CFTR
