ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,0.167411078445,5.27660853692332,6.07165564710065,0.0140566031983825,0.0322788197848893,ENSG00000000003.15,HSPD1,TCGA-HNSC,TSPAN6
ENSG00000000419,0.143243377225625,5.28897560698671,10.1663208882219,0.00151569855139232,0.00483989137958468,ENSG00000000419.13,HSPD1,TCGA-HNSC,DPM1
ENSG00000000457,-0.0144693992344509,3.27411186432176,0.099942551868848,0.752024491559252,0.816005581194351,ENSG00000000457.14,HSPD1,TCGA-HNSC,SCYL3
ENSG00000000460,0.369485185151605,3.1902250595852,38.4033313725352,1.16581505455091e-9,2.65600964048477e-8,ENSG00000000460.17,HSPD1,TCGA-HNSC,C1orf112
ENSG00000000938,-0.429178209881648,3.28599271501743,18.739241436476,1.79586179045298e-5,1.06811411553e-4,ENSG00000000938.13,HSPD1,TCGA-HNSC,FGR
ENSG00000000971,-0.27913551255962,6.20030095509014,7.71085205067967,0.00568537334115918,0.0149941840100937,ENSG00000000971.16,HSPD1,TCGA-HNSC,CFH
ENSG00000001036,-0.00693002679883432,5.16614169899734,0.0166323448671546,0.897433652628015,0.927793382786837,ENSG00000001036.14,HSPD1,TCGA-HNSC,FUCA2
ENSG00000001084,0.746313216686411,6.52712712456929,51.0410561195745,3.0426687443670597e-12,1.59655161474733e-10,ENSG00000001084.13,HSPD1,TCGA-HNSC,GCLC
ENSG00000001167,0.107972162365004,4.86474862624796,6.52884920603931,0.0108950513597999,0.0259557837995511,ENSG00000001167.14,HSPD1,TCGA-HNSC,NFYA
ENSG00000001460,0.139588220715339,4.12846938772412,5.99384637272194,0.0146825950921296,0.0334303932747453,ENSG00000001460.18,HSPD1,TCGA-HNSC,STPG1
ENSG00000001461,0.0592282570802584,5.36455225396917,1.41576782077386,0.234639757381325,0.33118330933811,ENSG00000001461.17,HSPD1,TCGA-HNSC,NIPAL3
