ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,0.292578387914366,5.27740985987625,19.0517119811637,1.53309571385405e-5,4.97845801159752e-5,ENSG00000000003.15,SDHAF1,TCGA-HNSC,TSPAN6
ENSG00000000419,0.0776163073034125,5.2881595890438,2.97332170786844,0.0852373215267549,0.122249355523041,ENSG00000000419.13,SDHAF1,TCGA-HNSC,DPM1
ENSG00000000457,-0.0829643824887903,3.27702565023241,3.20605386805634,0.0739434944951081,0.107767431707101,ENSG00000000457.14,SDHAF1,TCGA-HNSC,SCYL3
ENSG00000000460,0.0684828272745802,3.19157226216344,1.21565643553094,0.270721028102099,0.335915495644499,ENSG00000000460.17,SDHAF1,TCGA-HNSC,C1orf112
ENSG00000000938,-0.260319746733348,3.29254170428266,6.74354620603521,0.00967309055330595,0.0175223358955864,ENSG00000000938.13,SDHAF1,TCGA-HNSC,FGR
ENSG00000000971,-0.303980761429815,6.2037054062047,9.11939926797355,0.00265237688563967,0.00544329698737335,ENSG00000000971.16,SDHAF1,TCGA-HNSC,CFH
ENSG00000001036,0.186557877609382,5.16496246753788,12.5856582772148,4.2359377628282e-4,0.00102842147167911,ENSG00000001036.14,SDHAF1,TCGA-HNSC,FUCA2
ENSG00000001084,0.0316820166794155,6.52606489588251,0.0825821968795574,0.773941672178268,0.817162923424506,ENSG00000001084.13,SDHAF1,TCGA-HNSC,GCLC
ENSG00000001167,-0.155905741989184,4.86494775482443,13.6210223120303,2.4706602488238e-4,6.3064359550167e-4,ENSG00000001167.14,SDHAF1,TCGA-HNSC,NFYA
ENSG00000001460,0.00310957719035027,4.12803611183025,0.00294159269469203,0.956767444205106,0.965851420330775,ENSG00000001460.18,SDHAF1,TCGA-HNSC,STPG1
ENSG00000001461,-0.144205221727712,5.36585334204766,8.34410866078408,0.00402938930034198,0.00794590947401089,ENSG00000001461.17,SDHAF1,TCGA-HNSC,NIPAL3
ENSG00000001497,0.225358724954569,5.7641465758368,26.5301173157934,3.67838462544046e-7,1.62505974874621e-6,ENSG00000001497.18,SDHAF1,TCGA-HNSC,LAS1L
ENSG00000001561,-0.0341200368179453,2.19820191416756,0.0593069664534914,0.807690161616449,0.845482109295229,ENSG00000001561.7,SDHAF1,TCGA-HNSC,ENPP4
ENSG00000001617,-0.082615077733961,6.76841712000606,1.98920995739143,0.159016529299193,0.21135601197593,ENSG00000001617.12,SDHAF1,TCGA-HNSC,SEMA3F
ENSG00000001626,0.141652564273858,-0.085887301087931,0.515034245123655,0.473291622441466,0.54218517694658,ENSG00000001626.16,SDHAF1,TCGA-HNSC,CFTR
ENSG00000001629,-0.261711080171997,5.86671491060705,20.1236675216489,8.92696416893785e-6,3.03055447519225e-5,ENSG00000001629.10,SDHAF1,TCGA-HNSC,ANKIB1
