"logFC","logCPM","F","PValue","FDR","gene_ensembl","grouping_gene","project_id"
4.43076109839796,0.0847839549375295,389.499988989903,1.12261218241762e-64,2.28855719507657e-60,"ENSG00000095752.7","DNLZ","TCGA-LIHC"
3.89080242147069,0.365757043074136,333.853394636309,1.48789322588235e-55,1.51660956514188e-51,"ENSG00000100122.7","DNLZ","TCGA-LIHC"
4.08602801337464,1.25645646335689,266.189224731799,4.81098401922305e-46,3.26922400719604e-42,"ENSG00000164879.7","DNLZ","TCGA-LIHC"
4.52514060100664,1.96509376126373,215.834275106786,4.35663204228584e-39,2.22035752035098e-35,"ENSG00000095713.14","DNLZ","TCGA-LIHC"
3.65967230895918,0.117319039346144,207.603331617142,9.98575786380176e-39,4.07139319622925e-35,"ENSG00000100884.9","DNLZ","TCGA-LIHC"
2.41016803574333,-1.00085097209379,183.438254388332,2.69775280633406e-35,9.1660647849877e-32,"ENSG00000091128.13","DNLZ","TCGA-LIHC"
2.41684233157392,-0.0322456834113112,157.967317227434,1.12366142588352e-30,3.2724231182945e-27,"ENSG00000286214.1","DNLZ","TCGA-LIHC"
1.79872415415509,-1.80212573803601,138.875649810961,1.48832215752761e-28,3.79261693791973e-25,"ENSG00000222043.2","DNLZ","TCGA-LIHC"
1.76634601089627,1.54645103278662,140.825670122678,8.93067877910093e-28,2.02289797323057e-24,"ENSG00000213139.8","DNLZ","TCGA-LIHC"
2.82220561380602,-0.255209910497149,134.354567815284,4.15735202370155e-27,8.47517783551798e-24,"ENSG00000101197.13","DNLZ","TCGA-LIHC"
2.48445568246379,-0.941025539617668,131.486058277618,6.90740798434749e-27,1.28013108335371e-23,"ENSG00000121351.8","DNLZ","TCGA-LIHC"
2.21445851906912,-1.12519547745229,130.754148899794,9.15181042548087e-27,1.55474006111544e-23,"ENSG00000167889.13","DNLZ","TCGA-LIHC"
2.16417723278401,-0.479697004199388,122.918270784902,4.11737647943036e-25,6.45667976228211e-22,"ENSG00000153976.3","DNLZ","TCGA-LIHC"
2.3804518686879,-1.00140021606185,119.962311594912,6.6767342532386e-25,9.72227889189444e-22,"ENSG00000188505.5","DNLZ","TCGA-LIHC"
1.50978919818415,-2.11786505889952,113.382632357034,3.47882264977606e-24,4.72795190255565e-21,"ENSG00000101306.11","DNLZ","TCGA-LIHC"
2.7094232254049,1.51273732898181,115.259603390101,1.29018213163724e-23,1.6438533084723e-20,"ENSG00000006016.11","DNLZ","TCGA-LIHC"
1.560627301679,-1.62823248366586,100.613817349911,1.35205880387034e-21,1.62135710445299e-18,"ENSG00000171189.17","DNLZ","TCGA-LIHC"
1.73252206897627,-1.48222308641545,100.15068605719,1.77885667508014e-21,2.0146540098991e-18,"ENSG00000105467.9","DNLZ","TCGA-LIHC"
2.01325749824017,-0.721933079398876,93.3871201978037,4.76920038147606e-20,5.11710099877742e-17,"ENSG00000173805.16","DNLZ","TCGA-LIHC"
2.46906152644745,-0.120733483156296,89.0167180810831,3.35087066334443e-19,3.41554246714698e-16,"ENSG00000126861.5","DNLZ","TCGA-LIHC"
2.69517981531591,-0.245880138613295,88.286618727213,3.9605719830571e-19,3.84477240221915e-16,"ENSG00000145681.11","DNLZ","TCGA-LIHC"
2.48934734023715,1.14595155975588,88.4923720377286,5.24264993695545e-19,4.85803007339881e-16,"ENSG00000175084.12","DNLZ","TCGA-LIHC"
2.36570776183667,0.139034976017253,87.6134457950281,6.67269969365191e-19,5.91433286759947e-16,"ENSG00000134193.15","DNLZ","TCGA-LIHC"
1.86572096095977,0.685435977813706,85.3385708564733,1.90943667814071e-18,1.62190733835735e-15,"ENSG00000249992.2","DNLZ","TCGA-LIHC"
2.00445404171501,1.01450176374334,84.1732510425293,3.11877741299629e-18,2.54317585365369e-15,"ENSG00000198523.6","DNLZ","TCGA-LIHC"
1.63440529092392,-1.36176936972693,81.770735000931,4.70024393081977e-18,3.68535279898815e-15,"ENSG00000196376.11","DNLZ","TCGA-LIHC"
1.91391002290497,-0.102820866220963,81.3868766455042,8.88571298177521e-18,6.70904240172109e-15,"ENSG00000132321.17","DNLZ","TCGA-LIHC"
2.47023461497171,1.11130013418596,79.9876938352692,1.75562139724514e-17,1.27821777872284e-14,"ENSG00000125869.10","DNLZ","TCGA-LIHC"
2.68251107427951,1.25266800414989,77.4187228850404,5.12986651949881e-17,3.60611927125871e-14,"ENSG00000250803.6","DNLZ","TCGA-LIHC"
2.23272127232904,-0.64383735349925,76.5075914027571,5.51220126920117e-17,3.7457245024645e-14,"ENSG00000141744.4","DNLZ","TCGA-LIHC"
1.6222932822786,0.653425258309175,74.5480277060808,1.72849137200727e-16,1.13667822934646e-13,"ENSG00000069696.7","DNLZ","TCGA-LIHC"
2.46279789064912,1.72517148564625,73.5549101021508,2.65169474096603e-16,1.68929528091667e-13,"ENSG00000060718.22","DNLZ","TCGA-LIHC"
1.10155087887352,-1.32497650682181,71.5932739530843,4.35953539513714e-16,2.69313601712927e-13,"ENSG00000140795.13","DNLZ","TCGA-LIHC"
1.88466531334556,0.558924745161334,69.9177793169499,1.22238931194772e-15,7.32930250393125e-13,"ENSG00000121753.12","DNLZ","TCGA-LIHC"
1.74723112014952,-0.858227174565603,65.8276435693897,5.75449087079757e-15,3.35174431120226e-12,"ENSG00000147465.12","DNLZ","TCGA-LIHC"
1.84417979655187,-0.398602748684578,65.9626111115891,6.03624426878543e-15,3.41819099065166e-12,"ENSG00000139364.10","DNLZ","TCGA-LIHC"
1.37174781193184,-0.595152458746052,65.2857928397223,8.1223039518439e-15,4.47516995573756e-12,"ENSG00000262769.1","DNLZ","TCGA-LIHC"
1.65646402954525,-0.363761306126404,64.9391085779532,9.63805112323932e-15,5.1705607946936e-12,"ENSG00000029534.21","DNLZ","TCGA-LIHC"
1.7208622357765,-0.948651302027197,64.0018682321255,1.25061457146308e-14,6.53718683431956e-12,"ENSG00000138944.8","DNLZ","TCGA-LIHC"
1.23313418760822,-2.05209325297043,62.1993413274159,1.86138336632785e-14,9.48654032648991e-12,"ENSG00000011332.19","DNLZ","TCGA-LIHC"
1.44164074488722,-1.01074414786116,62.8524981178835,2.12854411486834e-14,1.05835366648063e-11,"ENSG00000078053.17","DNLZ","TCGA-LIHC"
1.12679989864019,-0.65961568732431,61.6154981127258,4.0671502197113e-14,1.97411724711987e-11,"ENSG00000122477.13","DNLZ","TCGA-LIHC"
1.1544888624343,-1.58707825115029,60.9114007355054,4.23837680271909e-14,2.0093848720984e-11,"ENSG00000272899.4","DNLZ","TCGA-LIHC"
1.22148743343929,-1.88415631494832,58.8549471861835,9.21761135113881e-14,4.27068693191627e-11,"ENSG00000146469.13","DNLZ","TCGA-LIHC"
1.05202730244733,-0.680488517762264,59.6573785059105,9.62938721127263e-14,4.36232639308897e-11,"ENSG00000174871.11","DNLZ","TCGA-LIHC"
1.19356590218201,-0.562473369662115,59.511929398182,1.03942085180201e-13,4.6064420619208e-11,"ENSG00000146197.9","DNLZ","TCGA-LIHC"
1.51738104619113,1.53547950976183,59.4250590350586,1.16459406658038e-13,5.05136481729951e-11,"ENSG00000042062.13","DNLZ","TCGA-LIHC"
1.51683548865534,-0.774369887753711,58.5477660531504,1.49460085008355e-13,6.34769436037568e-11,"ENSG00000145198.14","DNLZ","TCGA-LIHC"
1.3243018003946,-0.613112302686195,58.4545757863202,1.62804266401171e-13,6.77332198949852e-11,"ENSG00000176692.8","DNLZ","TCGA-LIHC"
1.78711638212432,-0.427969495341225,57.974588777658,1.99806784556721e-13,8.14652221994662e-11,"ENSG00000115596.4","DNLZ","TCGA-LIHC"
1.21776013977768,-2.18390328386208,56.7012234033779,2.14957362084824e-13,8.59239369306122e-11,"ENSG00000148204.12","DNLZ","TCGA-LIHC"
1.68365761320683,4.65504399170841,57.7334349878452,2.42083448718414e-13,9.4906022799492e-11,"ENSG00000143387.14","DNLZ","TCGA-LIHC"
1.08113197317861,-0.364841185318614,55.0116042432576,7.82329262339434e-13,3.00916308340598e-10,"ENSG00000046653.15","DNLZ","TCGA-LIHC"
1.49184569417416,0.655325144261646,54.880079418569,8.60811287189805e-13,3.24972201863914e-10,"ENSG00000143320.9","DNLZ","TCGA-LIHC"
1.48871564245389,1.72158661750945,54.4556532355967,1.04195908752092e-12,3.86206871967301e-10,"ENSG00000105894.12","DNLZ","TCGA-LIHC"
1.28993670543382,-0.704557303545177,54.2095384431358,1.06170482832173e-12,3.86498475538693e-10,"ENSG00000256546.2","DNLZ","TCGA-LIHC"
1.08215483256685,0.219709649929073,54.2425180803909,1.13629117817941e-12,4.06393543129219e-10,"ENSG00000260428.3","DNLZ","TCGA-LIHC"
2.37413597587677,1.0584082876195,53.9418187615289,1.30127483418674e-12,4.57375668443636e-10,"ENSG00000282639.1","DNLZ","TCGA-LIHC"
0.663176412864761,3.16544946847213,53.3644497778964,1.68051234650578e-12,5.76601791797145e-10,"ENSG00000104936.19","DNLZ","TCGA-LIHC"
1.01156832519962,3.04152294854423,53.3438801469319,1.69705226664518e-12,5.76601791797145e-10,"ENSG00000122861.16","DNLZ","TCGA-LIHC"
1.42440810303788,-0.885083306967242,52.4956682737825,2.20238757306734e-12,7.36030705976244e-10,"ENSG00000140538.16","DNLZ","TCGA-LIHC"
1.3812021402241,-0.465583848178089,52.1012615468781,2.80696527342403e-12,9.22948291355197e-10,"ENSG00000134668.12","DNLZ","TCGA-LIHC"
1.06444705758854,-0.959863658261794,51.2866855338097,3.86273973598838e-12,1.24993352790253e-09,"ENSG00000091844.8","DNLZ","TCGA-LIHC"
1.19325896978042,-0.430855997359139,51.33204593204,4.00877672488478e-12,1.27692066114845e-09,"ENSG00000152953.13","DNLZ","TCGA-LIHC"
