ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,-0.00886216006614622,6.78219089938017,0.0112377975119419,0.915632256876813,0.949044419153997,ENSG00000000003.15,TRAP1,TCGA-LIHC,TSPAN6
ENSG00000000419,-0.0542228222689633,4.76820652932951,1.25924685240463,0.262511064589763,0.400875659905569,ENSG00000000419.13,TRAP1,TCGA-LIHC,DPM1
ENSG00000000457,0.172212558596559,3.6133420634071,8.68985707398806,0.00340007243041901,0.0143099481681836,ENSG00000000457.14,TRAP1,TCGA-LIHC,SCYL3
ENSG00000000460,0.260352139372854,2.60719464079525,5.19282277915891,0.0232425616992229,0.0644573929264971,ENSG00000000460.17,TRAP1,TCGA-LIHC,C1orf112
ENSG00000000938,-0.203957042527335,2.32847061402344,3.09378948667772,0.0794084702476573,0.163240382541587,ENSG00000000938.13,TRAP1,TCGA-LIHC,FGR
ENSG00000000971,-0.075779658410004,10.3836705336747,0.375799871183924,0.540230952929801,0.670879137983582,ENSG00000000971.16,TRAP1,TCGA-LIHC,CFH
ENSG00000001036,0.0465420673359175,6.01086060784536,0.360322522805512,0.548689411020353,0.677411798119773,ENSG00000001036.14,TRAP1,TCGA-LIHC,FUCA2
ENSG00000001084,0.324572203257877,6.53218933802992,12.5236896493629,4.5224625396044e-4,0.00287750651038825,ENSG00000001084.13,TRAP1,TCGA-LIHC,GCLC
ENSG00000001167,0.108704673508182,4.35551335762625,2.3274552043998,0.127951824710244,0.234666322667276,ENSG00000001167.14,TRAP1,TCGA-LIHC,NFYA
ENSG00000001460,-0.0109590665890289,2.03822219738488,0.0172307386672373,0.895635525428873,0.935623187283367,ENSG00000001460.18,TRAP1,TCGA-LIHC,STPG1
ENSG00000001461,0.173469366259693,3.34137846409032,7.5242466892366,0.00637957931887256,0.0233188552048976,ENSG00000001461.17,TRAP1,TCGA-LIHC,NIPAL3
ENSG00000001497,-3.6368049289099e-4,5.50031908314412,4.60191325512089e-5,0.994591003869787,0.997234085730197,ENSG00000001497.18,TRAP1,TCGA-LIHC,LAS1L
ENSG00000001561,0.0131815846921317,4.13658164130193,0.0133110071799571,0.908210924644113,0.943706040957594,ENSG00000001561.7,TRAP1,TCGA-LIHC,ENPP4
ENSG00000001617,0.0270559410575043,4.44164828547906,0.15282200432482,0.696074834209896,0.793505922586331,ENSG00000001617.12,TRAP1,TCGA-LIHC,SEMA3F
ENSG00000001626,1.87880795713003,3.73923624950267,25.8837046838985,5.7448765456862e-7,1.32792091955668e-5,ENSG00000001626.16,TRAP1,TCGA-LIHC,CFTR
ENSG00000001629,0.243576571658847,4.50368293465787,11.6179320370934,7.2402597152227e-4,0.00422286586101294,ENSG00000001629.10,TRAP1,TCGA-LIHC,ANKIB1
ENSG00000001630,0.833601473575041,2.16626602742423,26.5271991053702,4.21183394418717e-7,1.05108900361726e-5,ENSG00000001630.17,TRAP1,TCGA-LIHC,CYP51A1
ENSG00000001631,-0.0472641461890362,2.03910349567693,0.943180594902051,0.332088730482489,0.476556427588263,ENSG00000001631.16,TRAP1,TCGA-LIHC,KRIT1
ENSG00000002016,0.0623713716596834,2.38838945609563,0.913686162046667,0.339754997969673,0.484574837065454,ENSG00000002016.18,TRAP1,TCGA-LIHC,RAD52
ENSG00000002330,-0.363252365179747,3.38451357521116,26.1504166641993,5.04812221456377e-7,1.20174226965879e-5,ENSG00000002330.14,TRAP1,TCGA-LIHC,BAD
ENSG00000002549,0.224509944657782,6.9537589747394,5.56094450008942,0.0188776629035103,0.0549178822193734,ENSG00000002549.12,TRAP1,TCGA-LIHC,LAP3
ENSG00000002586,-0.17663983571236,7.56142319270412,6.77819677901825,0.0095938711106712,0.0321522510784696,ENSG00000002586.20,TRAP1,TCGA-LIHC,CD99
ENSG00000002586,-0.17663983571236,7.56142319270412,6.77819677901825,0.0095938711106712,0.0321522510784696,ENSG00000002586.20,TRAP1,TCGA-LIHC,CD99
ENSG00000002587,0.25815515577472,1.02249747453382,3.07130147894155,0.0805077693145009,0.164948849955324,ENSG00000002587.10,TRAP1,TCGA-LIHC,HS3ST1
ENSG00000002726,0.23640972876374,1.52492293563647,0.805134985277732,0.370140629372766,0.516241665773369,ENSG00000002726.21,TRAP1,TCGA-LIHC,AOC1
ENSG00000002746,0.520244351667042,-0.650379861949522,6.90759836491271,0.00892985121255239,0.0304521393028266,ENSG00000002746.15,TRAP1,TCGA-LIHC,HECW1
ENSG00000002822,-0.428550311235147,-0.374042928051815,5.07593409073485,0.0248372079618926,0.0677752525523282,ENSG00000002822.15,TRAP1,TCGA-LIHC,MAD1L1
ENSG00000002834,0.320011379072546,7.69693737642852,24.2794651829457,1.25216687525621e-6,2.53295470766114e-5,ENSG00000002834.18,TRAP1,TCGA-LIHC,LASP1
ENSG00000002919,-0.0890964277793535,4.36923289769846,3.12502451225356,0.0779112273955236,0.160854414396029,ENSG00000002919.15,TRAP1,TCGA-LIHC,SNX11
ENSG00000002933,-0.309128703469879,9.65680551011569,7.13119933454687,0.00790481690723924,0.0275594528540553,ENSG00000002933.9,TRAP1,TCGA-LIHC,TMEM176A
ENSG00000003056,0.36341403255229,4.73796350382252,18.2556206300978,2.45139713624606e-5,2.7843676563564e-4,ENSG00000003056.8,TRAP1,TCGA-LIHC,M6PR
ENSG00000003096,0.269903258638158,2.43174823872307,3.41653655481951,0.0653345688372365,0.140519308943813,ENSG00000003096.14,TRAP1,TCGA-LIHC,KLHL13
ENSG00000003137,0.127831095576287,1.61765297759122,0.277153802358846,0.598885237371367,0.719654561995264,ENSG00000003137.8,TRAP1,TCGA-LIHC,CYP26B1
ENSG00000003147,-0.100542544195414,3.7612438788514,0.444830130456924,0.505210351517719,0.640551905525815,ENSG00000003147.19,TRAP1,TCGA-LIHC,ICA1
ENSG00000003249,0.175519794042259,5.21054489466414,1.36006567065484,0.244266580884775,0.380523181500559,ENSG00000003249.15,TRAP1,TCGA-LIHC,DBNDD1
