ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,-0.123341195572323,6.2073717224053,3.28480663551502,0.0704749754527818,0.142711175393548,ENSG00000000003.15,CLPX,TCGA-LUAD,TSPAN6
ENSG00000000419,0.0249299013667116,5.14906515530489,0.238470152338634,0.625510013238582,0.730693391887755,ENSG00000000419.13,CLPX,TCGA-LUAD,DPM1
ENSG00000000457,0.179621911819624,4.14227716404641,19.7390324448456,1.07602496010101e-5,1.1662602220561e-4,ENSG00000000457.14,CLPX,TCGA-LUAD,SCYL3
ENSG00000000460,0.182700941348756,3.19430934688724,8.11761565910961,0.00454992788053551,0.0163468367684357,ENSG00000000460.17,CLPX,TCGA-LUAD,C1orf112
ENSG00000000938,-0.27746492380306,4.53070614231258,9.44958440786261,0.00221790753459733,0.00911700328570249,ENSG00000000938.13,CLPX,TCGA-LUAD,FGR
ENSG00000000971,-0.10997813401283,6.91505780631154,1.20223076718859,0.273361382686963,0.402229382406509,ENSG00000000971.16,CLPX,TCGA-LUAD,CFH
ENSG00000001036,-0.0212206917302176,5.79422510080514,0.128444126864091,0.720189730909911,0.804816605651437,ENSG00000001036.14,CLPX,TCGA-LUAD,FUCA2
ENSG00000001084,0.258251593835447,6.74575245939087,2.88407447336049,0.0900311955149181,0.172467506090211,ENSG00000001084.13,CLPX,TCGA-LUAD,GCLC
ENSG00000001167,0.096205541351019,5.49119683217705,3.62145433099467,0.057566582343818,0.122097093729389,ENSG00000001167.14,CLPX,TCGA-LUAD,NFYA
ENSG00000001460,-0.00848125252333674,3.67025208303364,0.0240879035363292,0.87671905929418,0.918593082500282,ENSG00000001460.18,CLPX,TCGA-LUAD,STPG1
ENSG00000001461,0.131666177703971,5.66958200121386,5.05417307145515,0.0249662965359666,0.0632970860085149,ENSG00000001461.17,CLPX,TCGA-LUAD,NIPAL3
ENSG00000001497,0.00356772083805371,5.5438602003655,0.00779947990521437,0.929659082988852,0.954166104386642,ENSG00000001497.18,CLPX,TCGA-LUAD,LAS1L
ENSG00000001561,0.0958999324475126,5.66810666260965,2.03639275514231,0.154147124455867,0.260699068540232,ENSG00000001561.7,CLPX,TCGA-LUAD,ENPP4
ENSG00000001617,0.279409764819199,5.34538720196771,10.2696847543979,0.00143161031460054,0.00639087840990306,ENSG00000001617.12,CLPX,TCGA-LUAD,SEMA3F
ENSG00000001626,0.11886297470507701,4.41854864752787,0.476447934461832,0.490330108892859,0.616040671768983,ENSG00000001626.16,CLPX,TCGA-LUAD,CFTR
ENSG00000001629,-0.0333845126619801,6.23427555881713,0.405818660206773,0.524367422989922,0.645938161544313,ENSG00000001629.10,CLPX,TCGA-LUAD,ANKIB1
ENSG00000001630,0.347088258128568,1.55274774462443,15.0091559551422,1.2011506374064e-4,8.530422654207e-4,ENSG00000001630.17,CLPX,TCGA-LUAD,CYP51A1
