ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,-0.00712303945576465,6.20738912587259,0.0109177668355013,0.916820507527901,0.941818088012345,ENSG00000000003.15,HSP90AB1,TCGA-LUAD,TSPAN6
ENSG00000000419,0.0156750348103083,5.14906977387753,0.0938746411497256,0.759425186252184,0.824922609256853,ENSG00000000419.13,HSP90AB1,TCGA-LUAD,DPM1
ENSG00000000457,0.0608507533831678,4.14222194535705,2.18130404087238,0.140274901121142,0.221078593219549,ENSG00000000457.14,HSP90AB1,TCGA-LUAD,SCYL3
ENSG00000000460,0.325046085294118,3.19426367122167,26.5718431173229,3.5609243846856e-7,3.35263240206407e-6,ENSG00000000460.17,HSP90AB1,TCGA-LUAD,C1orf112
ENSG00000000938,-0.334458479810676,4.53066941450152,13.7281671670859,2.3286739297753e-4,9.7707499002379e-4,ENSG00000000938.13,HSP90AB1,TCGA-LUAD,FGR
ENSG00000000971,-0.364457252859143,6.91498780937825,13.2318116206734,3.0143227920293e-4,0.00121896975543139,ENSG00000000971.16,HSP90AB1,TCGA-LUAD,CFH
ENSG00000001036,0.0375195865166585,5.79425847408077,0.40134951475411,0.526659379705889,0.629513599069355,ENSG00000001036.14,HSP90AB1,TCGA-LUAD,FUCA2
ENSG00000001084,0.484558746621193,6.74578259307553,10.3359414861474,0.00138205508213586,0.00450976686522843,ENSG00000001084.13,HSP90AB1,TCGA-LUAD,GCLC
ENSG00000001167,0.492339245596374,5.49118766318057,114.292548407889,2.41738016527333e-24,1.23649360119112e-21,ENSG00000001167.14,HSP90AB1,TCGA-LUAD,NFYA
ENSG00000001460,0.0209308872823788,3.67027668242519,0.146401646185595,0.702147611209734,0.78015531753459,ENSG00000001460.18,HSP90AB1,TCGA-LUAD,STPG1
ENSG00000001461,-0.0828617343177918,5.66957389429454,1.96385161315369,0.161672214872587,0.248049211619938,ENSG00000001461.17,HSP90AB1,TCGA-LUAD,NIPAL3
ENSG00000001497,0.195988825173348,5.54387108808892,24.6670402499591,9.13618191724962e-7,7.75852607970835e-6,ENSG00000001497.18,HSP90AB1,TCGA-LUAD,LAS1L
ENSG00000001561,0.206552536311641,5.66809110909515,9.58482857804636,0.00206296046997434,0.00633426168306524,ENSG00000001561.7,HSP90AB1,TCGA-LUAD,ENPP4
ENSG00000001617,0.347374121375757,5.34540090996929,16.0207130513939,7.1343729317704e-5,3.4891666507611e-4,ENSG00000001617.12,HSP90AB1,TCGA-LUAD,SEMA3F
ENSG00000001626,-0.385889204829379,4.41844970843899,4.90870299216524,0.027135046514979302,0.0562991445986883,ENSG00000001626.16,HSP90AB1,TCGA-LUAD,CFTR
ENSG00000001629,0.188884613797853,6.23423023271295,13.3780478000436,2.7933922368611e-4,0.00114477573826885,ENSG00000001629.10,HSP90AB1,TCGA-LUAD,ANKIB1
ENSG00000001630,0.437664526033746,1.55279363596119,24.2308264901086,1.13670224424896e-6,9.39198628622223e-6,ENSG00000001630.17,HSP90AB1,TCGA-LUAD,CYP51A1
ENSG00000001631,-0.153460181600426,2.79343342734486,9.78898204390802,0.00184982478211821,0.00578024472410187,ENSG00000001631.16,HSP90AB1,TCGA-LUAD,KRIT1
ENSG00000002016,0.0321419404170405,3.18590413587335,0.341689785210359,0.559098087088458,0.658471296908933,ENSG00000002016.18,HSP90AB1,TCGA-LUAD,RAD52
ENSG00000002079,-0.0069414551261959,-0.121519654604256,0.00209209956668494,0.963534808030218,0.974653198836377,ENSG00000002079.14,HSP90AB1,TCGA-LUAD,MYH16
ENSG00000002330,0.00546623324674892,3.47033798755691,0.00693546749979388,0.93365999725589,0.954038959718634,ENSG00000002330.14,HSP90AB1,TCGA-LUAD,BAD
ENSG00000002549,0.0622148113638701,7.05938284894262,1.21186494555906,0.271449932701434,0.376898647644959,ENSG00000002549.12,HSP90AB1,TCGA-LUAD,LAP3
ENSG00000002586,-0.00908166002990197,7.53174306698266,0.0181172696412523,0.892977602084379,0.92471751316348,ENSG00000002586.20,HSP90AB1,TCGA-LUAD,CD99
ENSG00000002586,-0.00908166002990197,7.53174306698266,0.0181172696412523,0.892977602084379,0.92471751316348,ENSG00000002586.20,HSP90AB1,TCGA-LUAD,CD99
ENSG00000002587,-0.0579553937845398,4.76113478861187,0.265421420423105,0.606629087533234,0.700003136825768,ENSG00000002587.10,HSP90AB1,TCGA-LUAD,HS3ST1
ENSG00000002726,-0.155258786401483,5.52931049111908,0.505732586035752,0.477296839452674,0.583701776260404,ENSG00000002726.21,HSP90AB1,TCGA-LUAD,AOC1
ENSG00000002745,-0.910562830081164,2.00763310215168,10.723815286072,0.00112521976384453,0.00378971536260083,ENSG00000002745.13,HSP90AB1,TCGA-LUAD,WNT16
ENSG00000002746,0.0702873209347374,1.03798895382627,0.347647121662178,0.555695112165043,0.655425331169523,ENSG00000002746.15,HSP90AB1,TCGA-LUAD,HECW1
ENSG00000002822,-0.217991130174486,-0.335154004660215,5.75556782545331,0.0167733484185693,0.0375982055067013,ENSG00000002822.15,HSP90AB1,TCGA-LUAD,MAD1L1
ENSG00000002834,0.183264616665694,8.18894056754607,10.6978831534808,0.00114049573549707,0.00383178006842906,ENSG00000002834.18,HSP90AB1,TCGA-LUAD,LASP1
ENSG00000002919,-0.00809099781935167,4.90703946706737,0.0297720250347581,0.863072699447169,0.903649292105248,ENSG00000002919.15,HSP90AB1,TCGA-LUAD,SNX11
ENSG00000002933,-0.0985890654746116,6.39776226916437,0.7670403553959,0.381520731284036,0.492121037076013,ENSG00000002933.9,HSP90AB1,TCGA-LUAD,TMEM176A
ENSG00000003056,0.243756791259752,6.24558702728736,19.3862174441065,1.28588758077481e-5,7.79081016535299e-5,ENSG00000003056.8,HSP90AB1,TCGA-LUAD,M6PR
ENSG00000003096,0.102482898197504,1.8725342195198,0.541352197608291,0.462191481111923,0.569629706990738,ENSG00000003096.14,HSP90AB1,TCGA-LUAD,KLHL13
ENSG00000003137,-0.158682300721927,2.61502973908791,1.97935357435744,0.160030751150786,0.246228936053941,ENSG00000003137.8,HSP90AB1,TCGA-LUAD,CYP26B1
ENSG00000003147,0.134221909401683,5.59431729257058,4.35441870759228,0.037378056011176,0.07371420331755,ENSG00000003147.19,HSP90AB1,TCGA-LUAD,ICA1
ENSG00000003249,0.201199654670384,5.1432141467965,5.84458076821663,0.0159527817774321,0.0360881617698366,ENSG00000003249.15,HSP90AB1,TCGA-LUAD,DBNDD1
ENSG00000003393,0.0998097400908503,4.95953350148294,6.84652786050413,0.00912827495798445,0.022569220323993,ENSG00000003393.15,HSP90AB1,TCGA-LUAD,ALS2
ENSG00000003400,-0.102992162412949,5.34485737600225,3.25374686865206,0.0718134432013735,0.127202639732718,ENSG00000003400.15,HSP90AB1,TCGA-LUAD,CASP10
ENSG00000003402,-0.192239348996706,7.38155770584821,12.0998949301156,5.446226928701e-4,0.00203314100970835,ENSG00000003402.20,HSP90AB1,TCGA-LUAD,CFLAR
ENSG00000003436,-0.426673379543595,7.65765596074736,11.5979695812566,7.0898417101691e-4,0.00255440948336092,ENSG00000003436.16,HSP90AB1,TCGA-LUAD,TFPI
ENSG00000003509,-0.0236873558904059,3.80974448405274,0.391955751312013,0.531535896372314,0.634308728055105,ENSG00000003509.16,HSP90AB1,TCGA-LUAD,NDUFAF7
ENSG00000003756,-0.125583952727986,5.95344853441591,6.74179482915907,0.00967263389925286,0.0237133107170207,ENSG00000003756.17,HSP90AB1,TCGA-LUAD,RBM5
ENSG00000003987,0.136257646930091,2.84166460035703,0.513948421376213,0.473742798908123,0.580193855303097,ENSG00000003987.14,HSP90AB1,TCGA-LUAD,MTMR7
ENSG00000003989,0.294776060202154,7.06531786824831,2.46878210012557,0.116709273303778,0.189881258540597,ENSG00000003989.18,HSP90AB1,TCGA-LUAD,SLC7A2
ENSG00000004059,0.0673498793239712,6.52337818565222,1.11809326213146,0.290798699230471,0.398433512620216,ENSG00000004059.11,HSP90AB1,TCGA-LUAD,ARF5
ENSG00000004139,-0.0463383699901183,2.55892343492527,0.530199215007557,0.466837121046525,0.573945870011914,ENSG00000004139.14,HSP90AB1,TCGA-LUAD,SARM1
