"logFC","logCPM","F","PValue","FDR","gene_ensembl","grouping_gene","project_id"
5.29525509890426,4.90662349324572,259.386348758702,5.97642162013192e-48,1.31236242356477e-43,"ENSG00000179914.5","HSPA9","TCGA-LUAD"
-4.8093798044956,1.59276034089107,241.354279661863,7.31650296887371e-46,8.03315443467489e-42,"ENSG00000138379.5","HSPA9","TCGA-LUAD"
2.80384296901012,0.19913720648196,190.929718643269,7.29627895792644e-38,5.34063298790356e-34,"ENSG00000286393.1","HSPA9","TCGA-LUAD"
5.37171276187973,6.82248096898528,191.111936036548,1.84510981288529e-37,9.62933989445993e-34,"ENSG00000163631.17","HSPA9","TCGA-LUAD"
0.591548170055986,8.02686672177562,190.603756712759,2.19257249748621e-37,9.62933989445993e-34,"ENSG00000113013.16","HSPA9","TCGA-LUAD"
2.49063866589718,-0.00645515226122787,138.858527295888,6.2569646934049e-29,2.2899447950413e-25,"ENSG00000102924.12","HSPA9","TCGA-LUAD"
-2.12718488812724,-0.344308093758152,138.082048466822,1.19075989667772e-28,3.73541379587802e-25,"ENSG00000134551.13","HSPA9","TCGA-LUAD"
-2.36752103255151,0.34575599468175,135.095762399817,4.65305078146975e-28,1.27720427637868e-24,"ENSG00000253284.2","HSPA9","TCGA-LUAD"
-2.30039303411568,-0.206893164987384,123.745018613821,4.13056510893047e-26,1.00781199141116e-22,"ENSG00000279110.1","HSPA9","TCGA-LUAD"
-2.29831570737181,-0.029276070101265,122.616300337982,6.9935114863709e-26,1.53570518729219e-22,"ENSG00000225885.7","HSPA9","TCGA-LUAD"
-1.99486739209715,0.315007558630134,122.575037864698,8.01099104324426e-26,1.59921229380546e-22,"ENSG00000286997.1","HSPA9","TCGA-LUAD"
-2.23313573394231,0.443043225177048,120.242787680148,2.06919400439014e-25,3.78645259520025e-22,"ENSG00000281195.1","HSPA9","TCGA-LUAD"
2.10121988039237,3.29515453147574,117.709970777116,5.92632823136538e-25,1.0010480125581e-21,"ENSG00000146374.14","HSPA9","TCGA-LUAD"
1.46485850763407,0.149413183602024,116.970869049503,7.60590332206114e-25,1.19298593606529e-21,"ENSG00000158104.11","HSPA9","TCGA-LUAD"
2.36088440194542,2.26504001696172,114.252219119896,2.54508910778083e-24,3.72584078118395e-21,"ENSG00000053438.11","HSPA9","TCGA-LUAD"
2.42253236167816,1.81073657585174,113.770312747282,3.11559381037548e-24,4.27595778012719e-21,"ENSG00000134548.11","HSPA9","TCGA-LUAD"
1.098976370982,-1.81163107933738,105.894960915096,2.8261754627717e-23,3.65058746982375e-20,"ENSG00000230037.1","HSPA9","TCGA-LUAD"
-1.88791128615647,0.0575759177056439,107.344893154873,4.44200953981086e-23,5.41900486026148e-20,"ENSG00000279432.1","HSPA9","TCGA-LUAD"
-3.37551147894988,6.20486541404802,106.013596990855,7.79914034118045e-23,9.01375382905166e-20,"ENSG00000168631.13","HSPA9","TCGA-LUAD"
-1.87576315237595,-0.94741158554392,104.72791871046,9.80577835921646e-23,1.07662543495017e-19,"ENSG00000256148.1","HSPA9","TCGA-LUAD"
3.05187981659651,2.79217470845312,104.719032350906,1.3870671710426e-22,1.45040990518688e-19,"ENSG00000198788.9","HSPA9","TCGA-LUAD"
