ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,0.254866033694988,6.20739143070621,14.4629514334354,1.5913418976385e-4,4.2628063824104e-4,ENSG00000000003.15,HSPE1,TCGA-LUAD,TSPAN6
ENSG00000000419,0.467978404330997,5.1490637961069,99.7252274030319,1.12536416997359e-21,1.0283306950688199e-19,ENSG00000000419.13,HSPE1,TCGA-LUAD,DPM1
ENSG00000000457,0.00862951248849496,4.14219314196415,0.0434895636264971,0.83488426572675,0.869604669284642,ENSG00000000457.14,HSPE1,TCGA-LUAD,SCYL3
ENSG00000000460,0.49341743380063,3.19425101836909,65.3809242269624,4.04078098961793e-15,8.71558070062352e-14,ENSG00000000460.17,HSPE1,TCGA-LUAD,C1orf112
ENSG00000000938,-0.537284989734395,4.53067582327743,36.17487850296,3.31306934646482e-9,2.241749155377e-8,ENSG00000000938.13,HSPE1,TCGA-LUAD,FGR
ENSG00000000971,-0.166571008040615,6.91497863780261,2.73913402934002,0.098494641081016,0.13945280865926,ENSG00000000971.16,HSPE1,TCGA-LUAD,CFH
ENSG00000001036,0.410269409229968,5.79426762355598,53.0614313060157,1.14167831328022e-12,1.55774720043723e-11,ENSG00000001036.14,HSPE1,TCGA-LUAD,FUCA2
ENSG00000001084,0.748832436633124,6.74575371751309,25.4471044438723,6.20645081980849e-7,2.69529599593419e-6,ENSG00000001084.13,HSPE1,TCGA-LUAD,GCLC
ENSG00000001167,0.117086165054708,5.491190537101,5.35300331609773,0.0210584997539096,0.0354359503003436,ENSG00000001167.14,HSPE1,TCGA-LUAD,NFYA
ENSG00000001460,-0.0559357251824992,3.6702809656646598,1.04007160334776,0.308258495380827,0.37711619272688,ENSG00000001460.18,HSPE1,TCGA-LUAD,STPG1
ENSG00000001461,-0.403612517420639,5.66956487130932,49.3266084820201,6.49695781614283e-12,7.60233820547808e-11,ENSG00000001461.17,HSPE1,TCGA-LUAD,NIPAL3
ENSG00000001497,0.132240015728435,5.54388812850736,10.9123978551792,0.00101803868509463,0.00230461018946894,ENSG00000001497.18,HSPE1,TCGA-LUAD,LAS1L
ENSG00000001561,-0.0980170091741907,5.66806978673314,2.0943802939462,0.148417702271821,0.200248415600419,ENSG00000001561.7,HSPE1,TCGA-LUAD,ENPP4
ENSG00000001617,0.514896795409275,5.34543462154935,36.5406438218125,2.7784500603306104e-9,1.91329040739839e-8,ENSG00000001617.12,HSPE1,TCGA-LUAD,SEMA3F
ENSG00000001626,-0.755492121553609,4.41839109320265,18.72600866803,1.79628456427985e-5,5.85043788095595e-5,ENSG00000001626.16,HSPE1,TCGA-LUAD,CFTR
ENSG00000001629,0.216755762107612,6.23421574549801,17.7258413550942,2.98529912597104e-5,9.29087865349551e-5,ENSG00000001629.10,HSPE1,TCGA-LUAD,ANKIB1
ENSG00000001630,0.169077404474001,1.55281899756429,3.45533767723619,0.0635911984305757,0.0948591324146947,ENSG00000001630.17,HSPE1,TCGA-LUAD,CYP51A1
ENSG00000001631,0.164943467802365,2.79337378022406,11.4812481731975,7.5403391482259e-4,0.00175755026166629,ENSG00000001631.16,HSPE1,TCGA-LUAD,KRIT1
ENSG00000002016,0.207024935401673,3.18587951721317,14.598185403136,1.484097748926e-4,3.9974071216793e-4,ENSG00000002016.18,HSPE1,TCGA-LUAD,RAD52
ENSG00000002079,-0.124220972735955,-0.121540085044341,0.674753049600697,0.411762147965831,0.482510829697415,ENSG00000002079.14,HSPE1,TCGA-LUAD,MYH16
ENSG00000002330,0.316033116194819,3.47035335277324,24.4309866707671,1.02752350301806e-6,4.28562927717116e-6,ENSG00000002330.14,HSPE1,TCGA-LUAD,BAD
ENSG00000002549,0.0298277757886955,7.05939385938635,0.276908440017048,0.598949218165758,0.662417621657609,ENSG00000002549.12,HSPE1,TCGA-LUAD,LAP3
ENSG00000002586,0.211405418690251,7.5317642894313,10.0650836268123,0.00159635620982595,0.00345707114296263,ENSG00000002586.20,HSPE1,TCGA-LUAD,CD99
