"logFC","logCPM","F","PValue","FDR","gene_ensembl","grouping_gene","project_id"
4.96681560759495,1.59276115989421,427.39767528407,2.49530180041024e-73,5.47943322352084e-69,"ENSG00000138379.5","SDHAF1","TCGA-LUAD"
-6.51230287150387,5.66394814096016,271.335652088878,1.02167353096057e-49,1.12174645331815e-45,"ENSG00000200087.1","SDHAF1","TCGA-LUAD"
-5.68908936406405,3.61057084740501,258.071180636525,6.93653041650412e-48,5.07730904720047e-44,"ENSG00000212232.1","SDHAF1","TCGA-LUAD"
-4.59570949818808,10.359347582476,212.301957526134,7.67981510868922e-41,3.39762670989382e-37,"ENSG00000276168.1","SDHAF1","TCGA-LUAD"
0.776572254699375,3.65892211396029,212.313018909618,7.73629652965485e-41,3.39762670989382e-37,"ENSG00000205138.4","SDHAF1","TCGA-LUAD"
-4.98395567222838,4.30424961670581,203.742012762918,1.82553895797049e-39,6.681168329679e-36,"ENSG00000278771.1","SDHAF1","TCGA-LUAD"
-4.06577877071012,2.44167685831518,195.15118992017,4.07515473816116e-38,1.27837604136116e-34,"ENSG00000168298.7","SDHAF1","TCGA-LUAD"
-2.96793514520487,-0.0484978581341732,190.669930734591,9.55637241664614e-38,2.62310477371416e-34,"ENSG00000202058.1","SDHAF1","TCGA-LUAD"
-4.00399091197154,1.69754647734889,186.112783580802,9.67357593146936e-37,2.36024504310151e-33,"ENSG00000124575.7","SDHAF1","TCGA-LUAD"
-2.69320028857505,0.443047391242188,181.223310432342,6.21401266551234e-36,1.36453504121986e-32,"ENSG00000281195.1","SDHAF1","TCGA-LUAD"
-2.9249188551838,0.571445138704757,180.560610292131,7.6187602862703e-36,1.520912337511e-32,"ENSG00000146006.8","SDHAF1","TCGA-LUAD"
-2.72008933135848,-0.029270697123101,178.500023368354,1.24460649654661e-35,2.27752617147226e-32,"ENSG00000225885.7","SDHAF1","TCGA-LUAD"
-3.2744012386843,0.718689214161559,177.567316281521,2.15055988977452e-35,3.63262650919682e-32,"ENSG00000265735.2","SDHAF1","TCGA-LUAD"
-2.70688997884329,-0.233085749175116,175.469824838699,3.31404960113982e-35,5.1980867993878e-32,"ENSG00000287736.1","SDHAF1","TCGA-LUAD"
-3.94593554564815,2.84094957785549,176.570681549787,4.47881185477271e-35,6.55668196793026e-32,"ENSG00000263740.2","SDHAF1","TCGA-LUAD"
-2.54158815424218,3.47660643153195,172.302339442267,2.21811317629333e-34,3.04422170238908e-31,"ENSG00000181722.17","SDHAF1","TCGA-LUAD"
-2.62062857911911,-0.206888112026774,165.168040766022,2.00599216977189e-33,2.59115188564829e-30,"ENSG00000279110.1","SDHAF1","TCGA-LUAD"
-2.74877260100325,10.3124960624479,164.09280981851,5.09392276267703e-33,6.13282786925416e-30,"ENSG00000251562.8","SDHAF1","TCGA-LUAD"
-2.97948884827238,0.199136567290215,162.926322299675,5.30642240155877e-33,6.13282786925416e-30,"ENSG00000286393.1","SDHAF1","TCGA-LUAD"
-2.34874178687163,0.0226982354175878,160.463732203923,1.73546887417814e-32,1.90545805040389e-29,"ENSG00000208772.1","SDHAF1","TCGA-LUAD"
-2.2297744923175,-0.736269726438619,158.472336779778,2.21310449213708e-32,2.31416959727801e-29,"ENSG00000109163.7","SDHAF1","TCGA-LUAD"
-2.247693674345,0.315011128671892,160.013266732751,2.37699381920273e-32,2.37256396708513e-29,"ENSG00000286997.1","SDHAF1","TCGA-LUAD"
-2.53294294737629,-0.176248266905643,156.134982914356,7.58810741176463e-32,7.2446630719539e-29,"ENSG00000232729.8","SDHAF1","TCGA-LUAD"
-2.13979188352503,0.0203762278899071,153.956072312649,2.38653799270768e-31,2.1835828242445e-28,"ENSG00000245293.3","SDHAF1","TCGA-LUAD"
-2.13141458643842,-0.433723996516649,151.09953104116,5.80893875706892e-31,5.10233944665906e-28,"ENSG00000286242.1","SDHAF1","TCGA-LUAD"
-2.11786542827458,1.13705799056842,150.398334548656,1.13474436370106e-30,9.58378903173526e-28,"ENSG00000230084.6","SDHAF1","TCGA-LUAD"
-4.90655583089468,4.9066232941092,147.030560502038,4.14319787321249e-30,3.36964748510641e-27,"ENSG00000179914.5","SDHAF1","TCGA-LUAD"
-2.16800363622373,0.293727920129101,145.264542385003,7.95129350494879e-30,6.23580193125609e-27,"ENSG00000272211.1","SDHAF1","TCGA-LUAD"
-2.16849031541398,-0.344305808093504,143.731888659251,1.15864152595937e-29,8.77331354087649e-27,"ENSG00000134551.13","SDHAF1","TCGA-LUAD"
-2.42647690727352,0.345760064811545,142.9131252594,1.93925833439455e-29,1.41947245883233e-26,"ENSG00000253284.2","SDHAF1","TCGA-LUAD"
