"logFC","logCPM","F","PValue","FDR","gene_ensembl","grouping_gene","project_id"
-4.58593308654806,1.62863460561386,223.257946635726,7.37993125931009e-43,1.61376956847334e-38,"ENSG00000138379.5","TRAP1","TCGA-LUAD"
0.625172095859588,5.59847228995481,208.013726878308,3.62964316498251e-40,3.96847035443363e-36,"ENSG00000126602.11","TRAP1","TCGA-LUAD"
5.48278879372284,6.86732678377448,194.262328885112,5.74226620545497e-38,4.18553783715613e-34,"ENSG00000163631.17","TRAP1","TCGA-LUAD"
-3.04392746165857,0.216704783040811,174.209247908777,7.0525394326919e-35,3.85544699436684e-31,"ENSG00000286393.1","TRAP1","TCGA-LUAD"
-5.23106571991357,4.923216984342,170.16584487691,5.11391255266437e-34,2.23651851578224e-30,"ENSG00000179914.5","TRAP1","TCGA-LUAD"
-2.55606801364852,0.00945548239290895,153.712670113052,2.33989115048004e-31,8.52773329792449e-28,"ENSG00000225885.7","TRAP1","TCGA-LUAD"
-2.42602399204246,0.483136332304929,143.83017242692,1.43648255785309e-29,4.48736629893907e-26,"ENSG00000281195.1","TRAP1","TCGA-LUAD"
-2.45058146191425,-0.195784690399616,140.989810599509,3.51015866363666e-29,9.59457993721784e-26,"ENSG00000287736.1","TRAP1","TCGA-LUAD"
-2.36921754768227,-0.172037738820519,132.074178210329,1.36017511782199e-27,3.30477214460149e-24,"ENSG00000279110.1","TRAP1","TCGA-LUAD"
-2.32724815972059,0.384572897047634,130.274455293126,3.35354638462463e-27,7.33319987925868e-24,"ENSG00000253284.2","TRAP1","TCGA-LUAD"
2.4700321814193,2.28950193870202,124.389255225399,3.87366823805054e-26,7.70050030558646e-23,"ENSG00000053438.11","TRAP1","TCGA-LUAD"
-1.97145215191101,-0.940614396393868,120.124128042162,1.41875493769242e-25,2.58532618521001e-22,"ENSG00000256148.1","TRAP1","TCGA-LUAD"
-1.96890535235504,0.348613788198081,119.109986541098,3.37395024077615e-25,5.6752438396194e-22,"ENSG00000286997.1","TRAP1","TCGA-LUAD"
-2.32885904805722,10.3554166963596,114.914839674778,1.86458553415512e-24,2.91234941966929e-21,"ENSG00000251562.8","TRAP1","TCGA-LUAD"
-1.94641069351595,0.0941759024140433,114.222875864718,2.49636389301421e-24,3.63919928323612e-21,"ENSG00000279432.1","TRAP1","TCGA-LUAD"
-1.92471035194037,-0.669530447494043,112.210190749441,4.66467342641987e-24,6.3751508634702e-21,"ENSG00000260455.2","TRAP1","TCGA-LUAD"
-2.34451307440176,0.612645099328726,111.729627786631,7.17725904117672e-24,9.23206608549478e-21,"ENSG00000146006.8","TRAP1","TCGA-LUAD"
-1.91560765484702,0.329944349090912,110.24875214026,1.34908369171745e-23,1.63891183815475e-20,"ENSG00000272211.1","TRAP1","TCGA-LUAD"
-1.81554531908251,-0.401673522696354,104.992909905018,1.11555872665719e-22,1.25033335086062e-19,"ENSG00000286242.1","TRAP1","TCGA-LUAD"
-1.8668281672527,-0.703044421063672,104.667614235129,1.14358014438252e-22,1.25033335086062e-19,"ENSG00000109163.7","TRAP1","TCGA-LUAD"
-2.80638809647958,0.968919417820644,104.36706548364,1.57192720960887e-22,1.63682534726273e-19,"ENSG00000145692.15","TRAP1","TCGA-LUAD"
-1.93578508519673,0.560158079998367,99.4416479801868,1.31199090903926e-21,1.30405932763461e-18,"ENSG00000276107.1","TRAP1","TCGA-LUAD"
2.60571459710934,2.29960696933205,98.7098015524738,1.78351645424203e-21,1.69565888282219e-18,"ENSG00000255974.8","TRAP1","TCGA-LUAD"
-1.78505896985028,0.391807005670766,97.5011243456241,3.00455420131485e-21,2.73752444667299e-18,"ENSG00000278991.1","TRAP1","TCGA-LUAD"
-1.66463742143133,-0.021284484366565,96.697246480291,4.15614037550759e-21,3.63529286364898e-18,"ENSG00000286512.1","TRAP1","TCGA-LUAD"
-1.49832930761859,-0.980588907685504,92.0322690232409,2.55413187159877e-20,2.14812313985578e-17,"ENSG00000279636.2","TRAP1","TCGA-LUAD"
-1.45670345295351,0.196256211245188,92.3898493720257,2.70913560314589e-20,2.19409882348116e-17,"ENSG00000241158.7","TRAP1","TCGA-LUAD"
