ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,-0.10293964966835,6.11493338780682,1.68701189246034,0.194576119518037,0.351055527221951,ENSG00000000003.15,CRYAB,TCGA-LUSC,TSPAN6
ENSG00000000419,0.0740669667243368,5.61296499987663,1.62653375800869,0.202757708879689,0.360741767178403,ENSG00000000419.13,CRYAB,TCGA-LUSC,DPM1
ENSG00000000457,-0.0704697869124505,3.8743236885878,2.29354332480293,0.130526367846779,0.267614058775624,ENSG00000000457.14,CRYAB,TCGA-LUSC,SCYL3
ENSG00000000460,-0.147994256712017,3.81256745761951,4.70847718484409,0.0304705968886965,0.0950631294203629,ENSG00000000460.17,CRYAB,TCGA-LUSC,C1orf112
ENSG00000000938,-0.242432522048808,4.1974727018201,4.8353186702506,0.0283261901340168,0.0901445418128492,ENSG00000000938.13,CRYAB,TCGA-LUSC,FGR
ENSG00000000971,-0.178434263615415,6.43852092912354,2.23035255932854,0.135934876783532,0.275076560940899,ENSG00000000971.16,CRYAB,TCGA-LUSC,CFH
ENSG00000001036,-0.0539932921586092,5.50700409432266,0.669887136969693,0.413469214357035,0.58186057353134,ENSG00000001036.14,CRYAB,TCGA-LUSC,FUCA2
ENSG00000001084,-0.288016547846734,7.93903219641935,3.57350606959233,0.0592689700521034,0.152488792976612,ENSG00000001084.13,CRYAB,TCGA-LUSC,GCLC
ENSG00000001167,-0.0406909327282932,5.32939671629746,0.634960445371635,0.425908523767454,0.592835729718418,ENSG00000001167.14,CRYAB,TCGA-LUSC,NFYA
ENSG00000001460,0.146620371237862,4.13002045942185,4.95995425169906,0.0263722479130998,0.0854956033326549,ENSG00000001460.18,CRYAB,TCGA-LUSC,STPG1
ENSG00000001461,0.155788183921486,5.33201168152062,7.78729978352872,0.00545649475324163,0.0271569477264858,ENSG00000001461.17,CRYAB,TCGA-LUSC,NIPAL3
ENSG00000001497,-0.0734968482366761,5.76376672837832,2.34792345500409,0.126063581901087,0.261079626585371,ENSG00000001497.18,CRYAB,TCGA-LUSC,LAS1L
ENSG00000001561,-9.5019589099962e-4,3.98716030699631,6.02584383585076e-5,0.993809384049095,0.9969903570868,ENSG00000001561.7,CRYAB,TCGA-LUSC,ENPP4
ENSG00000001617,0.087619970354908,6.71252075566698,1.17845270338999,0.278178703589825,0.446587520794619,ENSG00000001617.12,CRYAB,TCGA-LUSC,SEMA3F
ENSG00000001626,-0.127329718658952,2.98112479079619,0.421938234015626,0.516261270559036,0.671303224969538,ENSG00000001626.16,CRYAB,TCGA-LUSC,CFTR
ENSG00000001629,-0.0639108111643311,6.23031858140003,1.20292254490417,0.273250516182955,0.441633965960909,ENSG00000001629.10,CRYAB,TCGA-LUSC,ANKIB1
ENSG00000001630,0.0848797863201756,1.69739824105865,0.710700662057073,0.399604674808762,0.56889910814406,ENSG00000001630.17,CRYAB,TCGA-LUSC,CYP51A1
ENSG00000001631,-0.140530092432598,2.87363796142843,4.72157308192668,0.03024201314076,0.0945309417276766,ENSG00000001631.16,CRYAB,TCGA-LUSC,KRIT1
ENSG00000002016,-0.197735081836593,3.4790517288562,8.83904239577257,0.00308660972585695,0.0180206043736509,ENSG00000002016.18,CRYAB,TCGA-LUSC,RAD52
