ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,-0.154418150279783,6.11414282478491,4.74787646345488,0.0297866605848696,0.0741465550448294,ENSG00000000003.15,DNLZ,TCGA-LUSC,TSPAN6
ENSG00000000419,-0.153475999166437,5.61408383558524,8.527594015604,0.00365118165952105,0.0138218251341453,ENSG00000000419.13,DNLZ,TCGA-LUSC,DPM1
ENSG00000000457,0.034892794800298,3.87506969423367,0.697620121085122,0.403971712339291,0.540661983972822,ENSG00000000457.14,DNLZ,TCGA-LUSC,SCYL3
ENSG00000000460,0.0627307468526102,3.81285682872799,1.06081592658838,0.303512490883146,0.438580306575219,ENSG00000000460.17,DNLZ,TCGA-LUSC,C1orf112
ENSG00000000938,0.146902126675128,4.20273080555071,2.23824889456019,0.135245615761034,0.238879680593172,ENSG00000000938.13,DNLZ,TCGA-LUSC,FGR
ENSG00000000971,-0.368658738013532,6.43998458222925,11.8766342581139,6.1484005761498e-4,0.00326667442321582,ENSG00000000971.16,DNLZ,TCGA-LUSC,CFH
ENSG00000001036,-0.0280207096594542,5.50810768722821,0.222655300642728,0.637223814094525,0.748184135145418,ENSG00000001036.14,DNLZ,TCGA-LUSC,FUCA2
ENSG00000001084,-0.119668311122241,7.94233399388454,0.774608084930333,0.379205443150555,0.516137972831366,ENSG00000001084.13,DNLZ,TCGA-LUSC,GCLC
ENSG00000001167,-0.0200246056543739,5.33112308539585,0.187919681984621,0.664835089306325,0.770159746652467,ENSG00000001167.14,DNLZ,TCGA-LUSC,NFYA
ENSG00000001460,-0.13079006012235,4.13041486023069,4.75039298572851,0.0297437059173958,0.0740556264431391,ENSG00000001460.18,DNLZ,TCGA-LUSC,STPG1
ENSG00000001461,-0.0928048267123702,5.33292360463098,3.29302316439195,0.0701559894618121,0.144383895447437,ENSG00000001461.17,DNLZ,TCGA-LUSC,NIPAL3
ENSG00000001497,-0.043638631014005,5.76409154537129,1.02810223790116,0.311080554420464,0.446910466763253,ENSG00000001497.18,DNLZ,TCGA-LUSC,LAS1L
ENSG00000001561,0.159808981568261,3.99024261893663,2.11858601167786,0.146129903146354,0.25302396572137,ENSG00000001561.7,DNLZ,TCGA-LUSC,ENPP4
ENSG00000001617,-0.293901561989283,6.71305766572492,16.3172836734211,6.17312699288994e-5,4.9453677765772e-4,ENSG00000001617.12,DNLZ,TCGA-LUSC,SEMA3F
ENSG00000001626,0.458427530088605,2.98483017060401,7.05996049529738,0.00812741675680422,0.0262795596816531,ENSG00000001626.16,DNLZ,TCGA-LUSC,CFTR
ENSG00000001629,-0.133507121430249,6.23098390486325,6.52690307784373,0.0109117067127992,0.0333048425680509,ENSG00000001629.10,DNLZ,TCGA-LUSC,ANKIB1
ENSG00000001630,0.00108366481826514,1.69618916227422,1.4149955938038e-4,0.990513727798924,0.994266817573695,ENSG00000001630.17,DNLZ,TCGA-LUSC,CYP51A1
ENSG00000001631,-0.0346229606695676,2.87351023013313,0.357732780368465,0.550031183355284,0.675068891526311,ENSG00000001631.16,DNLZ,TCGA-LUSC,KRIT1
ENSG00000002016,-0.0651091894571146,3.4781639595458,1.20040467951861,0.273752850293878,0.40700914034146,ENSG00000002016.18,DNLZ,TCGA-LUSC,RAD52
ENSG00000002079,0.926781616075235,-0.206908364939103,42.1279353203436,2.01265188502983e-10,9.60405810479661e-9,ENSG00000002079.14,DNLZ,TCGA-LUSC,MYH16
ENSG00000002330,-0.071362078956661,3.36401169137643,1.81326296904392,0.178709609135155,0.294838874112173,ENSG00000002330.14,DNLZ,TCGA-LUSC,BAD
ENSG00000002549,-0.133574147421945,6.71800651268104,3.95896289877931,0.0471503798318339,0.106083751890288,ENSG00000002549.12,DNLZ,TCGA-LUSC,LAP3
ENSG00000002586,-0.117814096538849,7.90242074027856,3.57840541618842,0.0590956438662961,0.126866281653353,ENSG00000002586.20,DNLZ,TCGA-LUSC,CD99
ENSG00000002586,-0.117814096538849,7.90242074027856,3.57840541618842,0.0590956438662961,0.126866281653353,ENSG00000002586.20,DNLZ,TCGA-LUSC,CD99
ENSG00000002587,-0.0853967038079421,4.29939748706241,0.398595118999496,0.528095639245374,0.655335610473665,ENSG00000002587.10,DNLZ,TCGA-LUSC,HS3ST1
ENSG00000002726,0.870555341272263,2.55983926030376,19.043269068328,1.54520023755506e-5,1.5592721136238e-4,ENSG00000002726.21,DNLZ,TCGA-LUSC,AOC1
ENSG00000002745,-0.453139673301572,1.79137455431055,3.651970724003,0.05656000449717,0.122585655000569,ENSG00000002745.13,DNLZ,TCGA-LUSC,WNT16
ENSG00000002746,0.347536510815677,1.3566636966698,7.49641014237841,0.00639759572348296,0.0216968490633954,ENSG00000002746.15,DNLZ,TCGA-LUSC,HECW1
ENSG00000002822,0.46633097471357,-0.221129107311699,15.8718021586048,7.76191137018517e-5,5.9851633743736e-4,ENSG00000002822.15,DNLZ,TCGA-LUSC,MAD1L1
