ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,0.250749220284583,6.11420961215424,13.4931297114907,2.644687502989e-4,0.00118665295307383,ENSG00000000003.15,TRAP1,TCGA-LUSC,TSPAN6
ENSG00000000419,0.0124411650017731,5.61420944585645,0.0579858193604333,0.809803994172269,0.862403003428559,ENSG00000000419.13,TRAP1,TCGA-LUSC,DPM1
ENSG00000000457,0.0722066901206292,3.8753255927168,3.11903073482349,0.0779750655164013,0.137797302256757,ENSG00000000457.14,TRAP1,TCGA-LUSC,SCYL3
ENSG00000000460,0.250145139467261,3.81304964561983,18.1843132020639,2.38590625961169e-5,1.6037451775894e-4,ENSG00000000460.17,TRAP1,TCGA-LUSC,C1orf112
ENSG00000000938,-0.481457024637777,4.20289156179025,25.150391091179,7.30825179629093e-7,8.55359904195021e-6,ENSG00000000938.13,TRAP1,TCGA-LUSC,FGR
ENSG00000000971,-0.391665455134717,6.43975254006888,14.0685089550204,1.9626718105381e-4,9.2380931771881e-4,ENSG00000000971.16,TRAP1,TCGA-LUSC,CFH
ENSG00000001036,-0.012354817895414,5.50814221224425,0.0450695298287034,0.831960165363656,0.87954954448631,ENSG00000001036.14,TRAP1,TCGA-LUSC,FUCA2
ENSG00000001084,0.431668230058612,7.94235216864291,10.9236434011854,0.00101553569813751,0.00367705710835694,ENSG00000001084.13,TRAP1,TCGA-LUSC,GCLC
ENSG00000001167,0.0774061984671666,5.33114908637755,2.95208463358426,0.0863674757076091,0.1499305671517,ENSG00000001167.14,TRAP1,TCGA-LUSC,NFYA
ENSG00000001460,0.0497412245145989,4.13047745896646,0.71696597572353,0.397534063561047,0.506336388208531,ENSG00000001460.18,TRAP1,TCGA-LUSC,STPG1
ENSG00000001461,0.0535817772990791,5.33280114054847,1.1490081377233201,0.284258566183663,0.389939148271922,ENSG00000001461.17,TRAP1,TCGA-LUSC,NIPAL3
ENSG00000001497,0.204953539045916,5.76424586891496,24.890514215397,8.30983035045246e-7,9.48098922008572e-6,ENSG00000001497.18,TRAP1,TCGA-LUSC,LAS1L
ENSG00000001561,-0.080590327434691,3.99041905989649,0.550829971939279,0.458317011722763,0.565724528442887,ENSG00000001561.7,TRAP1,TCGA-LUSC,ENPP4
ENSG00000001617,-0.0093391432575087,6.71303367965899,0.0169658100963028,0.89641718922455,0.925836049530019,ENSG00000001617.12,TRAP1,TCGA-LUSC,SEMA3F
ENSG00000001626,-0.340533019048908,2.98521222601546,3.85515190252048,0.0501313067848172,0.0959315328466491,ENSG00000001626.16,TRAP1,TCGA-LUSC,CFTR
ENSG00000001629,0.03426179179619,6.23109608555995,0.446609676061621,0.504248558721708,0.607995172007419,ENSG00000001629.10,TRAP1,TCGA-LUSC,ANKIB1
ENSG00000001630,0.375656235698219,1.69624776908874,18.5344563990711,1.99973240172605e-5,1.383570579869e-4,ENSG00000001630.17,TRAP1,TCGA-LUSC,CYP51A1
ENSG00000001631,-0.151959622285458,2.87399799122613,7.20202066349426,0.00751665211181824,0.0197060997572243,ENSG00000001631.16,TRAP1,TCGA-LUSC,KRIT1
ENSG00000002016,-0.0242704033472398,3.47871023705044,0.173132672425964,0.677515904452689,0.757799268943607,ENSG00000002016.18,TRAP1,TCGA-LUSC,RAD52
ENSG00000002079,0.363252860088176,-0.206785563730252,6.18274813849922,0.0132183838485652,0.0315581453775368,ENSG00000002079.14,TRAP1,TCGA-LUSC,MYH16
ENSG00000002330,0.0270901012177268,3.36407157398764,0.272658753084128,0.601778337252318,0.694281840315696,ENSG00000002330.14,TRAP1,TCGA-LUSC,BAD
ENSG00000002549,-0.00291773536912364,6.71792030376511,0.0019683019073689,0.964630206607876,0.974788983971999,ENSG00000002549.12,TRAP1,TCGA-LUSC,LAP3
ENSG00000002586,-0.19842659308684,7.90237197589796,10.678897091284,0.00115590310403437,0.00410591133944424,ENSG00000002586.20,TRAP1,TCGA-LUSC,CD99
ENSG00000002586,-0.19842659308684,7.90237197589796,10.678897091284,0.00115590310403437,0.00410591133944424,ENSG00000002586.20,TRAP1,TCGA-LUSC,CD99
ENSG00000002587,-0.148305967503899,4.29939816845706,1.24961302725772,0.264147319689632,0.368508442115957,ENSG00000002587.10,TRAP1,TCGA-LUSC,HS3ST1
ENSG00000002726,0.237228705266428,2.56022527941978,1.3804980002533,0.240559990116691,0.34226100816615,ENSG00000002726.21,TRAP1,TCGA-LUSC,AOC1
ENSG00000002745,1.37537593359865,1.79191988363869,39.049152412226,8.70656009973146e-10,3.09966153020328e-8,ENSG00000002745.13,TRAP1,TCGA-LUSC,WNT16
ENSG00000002746,0.0568582025275644,1.35684350567984,0.20236638491686,0.65300800482685,0.737124493423249,ENSG00000002746.15,TRAP1,TCGA-LUSC,HECW1
ENSG00000002822,-0.239269736467954,-0.220564582708282,4.10112527335728,0.043375904701118,0.0851002365608186,ENSG00000002822.15,TRAP1,TCGA-LUSC,MAD1L1
ENSG00000002834,0.18599468382495,7.73086341576428,16.5306859358279,5.53523009687854e-5,3.2484532184711e-4,ENSG00000002834.18,TRAP1,TCGA-LUSC,LASP1
ENSG00000002919,0.128355563976686,5.10752529005143,6.83905138477886,0.00917988950243398,0.0233087310887104,ENSG00000002919.15,TRAP1,TCGA-LUSC,SNX11
ENSG00000002933,-0.312407911260422,5.54211050618115,8.6218376048011,0.00346999556395801,0.0102552014456403,ENSG00000002933.9,TRAP1,TCGA-LUSC,TMEM176A
ENSG00000003056,0.172023954605327,6.69385664547466,11.4077706102836,7.8666766663527e-4,0.00296541385098797,ENSG00000003056.8,TRAP1,TCGA-LUSC,M6PR
ENSG00000003096,0.448170181192838,4.62680792900373,12.3951074820015,4.6863039383218e-4,0.00191327857546728,ENSG00000003096.14,TRAP1,TCGA-LUSC,KLHL13
