"logFC","logCPM","F","PValue","FDR","gene_ensembl","grouping_gene","project_id"
-1.29267513062202,2.67817048728572,280.028069211459,2.68630841465334e-50,5.70222687178463e-46,"ENSG00000135441.7","CLPX","TCGA-PRAD"
0.391704826650803,5.75142492680273,253.663832859445,1.51068513740704e-46,1.60336567058696e-42,"ENSG00000166855.9","CLPX","TCGA-PRAD"
-1.08685468474301,3.63460811499677,251.791575756778,2.83202416101955e-46,2.00384589553206e-42,"ENSG00000257704.4","CLPX","TCGA-PRAD"
-1.21008883576986,3.78562171919581,248.450327162743,8.68074674281833e-46,4.60665527774512e-42,"ENSG00000125971.17","CLPX","TCGA-PRAD"
0.634904768946524,5.90416077801013,246.832781999768,1.4926063249705e-45,6.33671089202975e-42,"ENSG00000136381.13","CLPX","TCGA-PRAD"
-0.912465029365618,5.44570796760048,244.545120142208,3.22951143872435e-45,1.12944580904913e-41,"ENSG00000103145.11","CLPX","TCGA-PRAD"
0.726352531963504,7.48966506803762,244.123073898763,3.72455865800346e-45,1.12944580904913e-41,"ENSG00000108582.12","CLPX","TCGA-PRAD"
-1.17119191576434,3.58551361308486,239.605002972074,1.72868658406613e-44,4.58685376499647e-41,"ENSG00000174886.14","CLPX","TCGA-PRAD"
-1.09061781382958,2.25502355624092,238.72285063069,2.37094427164949e-44,5.59200378381153e-41,"ENSG00000166136.16","CLPX","TCGA-PRAD"
0.610822733507544,5.89691547728654,234.084976026193,1.13529036594805e-43,2.40988085979793e-40,"ENSG00000100815.12","CLPX","TCGA-PRAD"
-1.26364195885703,2.59465271319999,231.379297693523,2.90828276950503e-43,5.61219257711666e-40,"ENSG00000189171.14","CLPX","TCGA-PRAD"
-1.0150221351349,3.27725321996978,230.094439368839,4.48964045887775e-43,7.94179983504984e-40,"ENSG00000175193.14","CLPX","TCGA-PRAD"
0.595414907162041,5.4872371373991,227.488816511323,1.10021509570518e-42,1.79648198742569e-39,"ENSG00000112282.18","CLPX","TCGA-PRAD"
-1.1753167502786,0.625496436198162,227.010955736363,1.53760428660745e-42,2.33133758512974e-39,"ENSG00000180089.6","CLPX","TCGA-PRAD"
0.440947673557769,6.83232831149991,225.010646466269,2.5962719697476e-42,3.67407100678882e-39,"ENSG00000134644.16","CLPX","TCGA-PRAD"
