ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,0.00553107028873823,6.09406087813101,0.011095378642679,0.916152242752701,0.93340853499633,ENSG00000000003.15,CRYAB,TCGA-PRAD,TSPAN6
ENSG00000000005,1.70141223116146,-1.79094353284459,126.838839775524,4.82318323039158e-27,2.2210218500845897e-25,ENSG00000000005.6,CRYAB,TCGA-PRAD,TNMD
ENSG00000000419,-0.0707467677741891,4.78906176809551,5.53203469103218,0.0190554549505714,0.0321923092242717,ENSG00000000419.13,CRYAB,TCGA-PRAD,DPM1
ENSG00000000457,-0.275699094748706,4.05218455551206,38.5932550808948,1.0942370784626302e-9,8.37815792212667e-9,ENSG00000000457.14,CRYAB,TCGA-PRAD,SCYL3
ENSG00000000460,-0.245030273758547,1.81670051585043,25.6506866785039,5.75435673912255e-7,2.58505872981444e-6,ENSG00000000460.17,CRYAB,TCGA-PRAD,C1orf112
ENSG00000000938,0.377931893056195,2.42904533233517,23.2557325884518,1.8820098121197e-6,7.60404607791751e-6,ENSG00000000938.13,CRYAB,TCGA-PRAD,FGR
ENSG00000000971,0.743406752258203,4.51252529326674,64.093783790181,8.26082986888914e-15,1.33222085118105e-13,ENSG00000000971.16,CRYAB,TCGA-PRAD,CFH
ENSG00000001036,-0.00949908678434732,5.64730919138449,0.033121952528484,0.855660364391776,0.884087229305765,ENSG00000001036.14,CRYAB,TCGA-PRAD,FUCA2
ENSG00000001084,0.114057518610395,5.50610961797752,5.57365858176413,0.0186126345195999,0.031530056678516,ENSG00000001084.13,CRYAB,TCGA-PRAD,GCLC
ENSG00000001167,-0.246334819538823,5.13191607707127,30.9786847165631,4.24617799698127e-8,2.41772271512006e-7,ENSG00000001167.14,CRYAB,TCGA-PRAD,NFYA
ENSG00000001460,0.132497882187813,3.73508115609092,8.77601469937685,0.00319644729497766,0.00647769770901183,ENSG00000001460.18,CRYAB,TCGA-PRAD,STPG1
ENSG00000001461,0.441262889547163,7.23628487631431,19.644472294116,1.14551154705692e-5,3.93258671104721e-5,ENSG00000001461.17,CRYAB,TCGA-PRAD,NIPAL3
ENSG00000001497,-0.0826200945558095,5.72989649310892,5.7039894250228,0.0172938052357659,0.0295527878754944,ENSG00000001497.18,CRYAB,TCGA-PRAD,LAS1L
ENSG00000001561,-0.362879104492576,5.87579436521536,24.1227799806125,1.22368282870015e-6,5.12265668522689e-6,ENSG00000001561.7,CRYAB,TCGA-PRAD,ENPP4
ENSG00000001617,0.364321681356016,5.98991950670239,23.7758745429194,1.45332288877123e-6,5.99847216413245e-6,ENSG00000001617.12,CRYAB,TCGA-PRAD,SEMA3F
ENSG00000001626,0.285233296617879,3.45069058222028,2.48697376332656,0.115420235401123,0.159504402079298,ENSG00000001626.16,CRYAB,TCGA-PRAD,CFTR
ENSG00000001629,-0.267697283015442,5.58557096664441,22.2486786959808,3.10630241661235e-6,1.19995724653349e-5,ENSG00000001629.10,CRYAB,TCGA-PRAD,ANKIB1
ENSG00000001630,-0.174573248707242,1.34407333825391,2.76832590412735,0.0967711295007341,0.136630150993606,ENSG00000001630.17,CRYAB,TCGA-PRAD,CYP51A1
ENSG00000001631,-0.0730321874307862,2.57309196297314,4.06331299460956,0.0443553266402404,0.0685959689150646,ENSG00000001631.16,CRYAB,TCGA-PRAD,KRIT1
ENSG00000002016,-0.210652946063941,3.19509741395486,21.7320521170711,4.02037380803789e-6,1.51754009682365e-5,ENSG00000002016.18,CRYAB,TCGA-PRAD,RAD52
ENSG00000002079,-0.196274608403574,-2.50105656571476,2.98902557976595,0.0842421977666962,0.120798821373183,ENSG00000002079.14,CRYAB,TCGA-PRAD,MYH16
ENSG00000002330,0.0634432736850363,4.12807510904896,0.843462456364873,0.358848015951934,0.429129615521935,ENSG00000002330.14,CRYAB,TCGA-PRAD,BAD
ENSG00000002549,-0.0793007160366948,6.23673846266507,3.3949534524336,0.0659837640026906,0.0973157065915493,ENSG00000002549.12,CRYAB,TCGA-PRAD,LAP3
ENSG00000002586,0.188066445268766,8.22350565818581,16.6497798073248,5.22607526363592e-5,1.564668745308e-4,ENSG00000002586.20,CRYAB,TCGA-PRAD,CD99
ENSG00000002586,0.188066445268766,8.22350565818581,16.6497798073248,5.22607526363592e-5,1.564668745308e-4,ENSG00000002586.20,CRYAB,TCGA-PRAD,CD99
ENSG00000002587,-0.384638591001001,3.71422051505272,6.92503426501367,0.00876039560517128,0.0160434589853331,ENSG00000002587.10,CRYAB,TCGA-PRAD,HS3ST1
ENSG00000002726,1.04003060278134,4.47566231794831,17.5301499539948,3.33807468789884e-5,1.0384879285271e-4,ENSG00000002726.21,CRYAB,TCGA-PRAD,AOC1
ENSG00000002745,0.437046463516331,-0.829791450273814,10.4850841982345,0.00128383493102006,0.00283748854255754,ENSG00000002745.13,CRYAB,TCGA-PRAD,WNT16
ENSG00000002746,0.462923983639049,1.89491629905793,6.11211976234675,0.0137557445277644,0.0240557957902972,ENSG00000002746.15,CRYAB,TCGA-PRAD,HECW1
ENSG00000002822,-0.00772843304084809,-1.75556600326613,0.00705009226129022,0.933114427635746,0.947828618035141,ENSG00000002822.15,CRYAB,TCGA-PRAD,MAD1L1
ENSG00000002834,0.0820595943765875,6.48659826015281,1.94036714643202,0.164243194626375,0.217687943636927,ENSG00000002834.18,CRYAB,TCGA-PRAD,LASP1
ENSG00000002919,0.0719446805348206,4.59839179670223,4.01837921945543,0.0455417370001447,0.070233863554551,ENSG00000002919.15,CRYAB,TCGA-PRAD,SNX11
ENSG00000002933,0.659623937617617,3.18464993384884,48.5977838548328,9.9031673714485e-12,1.05717948190959e-10,ENSG00000002933.9,CRYAB,TCGA-PRAD,TMEM176A
ENSG00000003056,0.0507313808187829,5.38721375264979,0.663389328998979,0.415750862970761,0.486794998497153,ENSG00000003056.8,CRYAB,TCGA-PRAD,M6PR
ENSG00000003096,0.431358210613258,2.86587263164214,30.6338263082073,5.02120670459898e-8,2.81780798190576e-7,ENSG00000003096.14,CRYAB,TCGA-PRAD,KLHL13
ENSG00000003137,0.557177821098224,1.56199791437642,20.4203161524259,7.76011639243199e-6,2.76396080077012e-5,ENSG00000003137.8,CRYAB,TCGA-PRAD,CYP26B1
ENSG00000003147,-0.293796531292267,6.2018760491045,40.6103199622898,4.20003200985521e-10,3.4444223337985604e-9,ENSG00000003147.19,CRYAB,TCGA-PRAD,ICA1
ENSG00000003249,-0.437119354407453,5.25732914480188,28.9975684197701,1.11361743871543e-7,5.84875500333468e-7,ENSG00000003249.15,CRYAB,TCGA-PRAD,DBNDD1
ENSG00000003393,-0.168859278750916,4.58975400588561,19.5493979154395,1.20171371241379e-5,4.10434245282111e-5,ENSG00000003393.15,CRYAB,TCGA-PRAD,ALS2
ENSG00000003400,-0.0198737847799318,2.8895372324069,0.0475575419399007,0.82745754426973706,0.860610657157125,ENSG00000003400.15,CRYAB,TCGA-PRAD,CASP10
ENSG00000003402,-0.0147846030069165,6.54745121977647,0.163776582689159,0.685874857019994,0.738810410539402,ENSG00000003402.20,CRYAB,TCGA-PRAD,CFLAR
ENSG00000003436,0.308074800519905,4.00349826003143,4.67084193387446,0.031149508411973,0.049948823061094,ENSG00000003436.16,CRYAB,TCGA-PRAD,TFPI
ENSG00000003509,-0.0824451465960723,3.36286887286814,6.95389627651112,0.00862212135093703,0.0158235522520038,ENSG00000003509.16,CRYAB,TCGA-PRAD,NDUFAF7
ENSG00000003756,-0.160913394638419,6.34783839423231,13.7841113148131,2.2795181863262e-4,5.9542405490799e-4,ENSG00000003756.17,CRYAB,TCGA-PRAD,RBM5
ENSG00000003987,0.228913739297156,-0.187451023928829,12.6325293272453,4.155411306464e-4,0.00102693026165866,ENSG00000003987.14,CRYAB,TCGA-PRAD,MTMR7
ENSG00000003989,-0.0694258961381074,6.42274126528251,0.886880586439579,0.34677551646639,0.416676113477445,ENSG00000003989.18,CRYAB,TCGA-PRAD,SLC7A2
ENSG00000004059,-0.061880001583109,6.83526815483008,1.37552642296975,0.241419025402892,0.304433026456184,ENSG00000004059.11,CRYAB,TCGA-PRAD,ARF5
ENSG00000004139,-0.243820104332114,3.3460296597844,24.4351844587446,1.04834723898209e-6,4.43961998003093e-6,ENSG00000004139.14,CRYAB,TCGA-PRAD,SARM1
ENSG00000004142,-0.0630013489253743,7.09862094595999,2.95213499674767,0.0863787741342728,0.12356219683512,ENSG00000004142.12,CRYAB,TCGA-PRAD,POLDIP2
ENSG00000004399,0.412499893878457,5.41957372241924,36.4514927324288,3.03997199642586e-9,2.15196514837786e-8,ENSG00000004399.13,CRYAB,TCGA-PRAD,PLXND1
ENSG00000004455,-0.152322258424659,6.77587120087012,29.0208610580089,1.1010275831465e-7,5.78532039389782e-7,ENSG00000004455.17,CRYAB,TCGA-PRAD,AK2
ENSG00000004468,0.48359986624249,5.83192445623327,6.04873840054162,0.0142512952576162,0.0248283083506474,ENSG00000004468.13,CRYAB,TCGA-PRAD,CD38
ENSG00000004478,-0.196575054896368,7.82391506533525,12.7389506186756,3.9239644774571e-4,9.7507893139518e-4,ENSG00000004478.8,CRYAB,TCGA-PRAD,FKBP4
ENSG00000004487,-0.196155802208294,6.87186502244601,32.2164235047094,2.33106277528122e-8,1.40171040738937e-7,ENSG00000004487.17,CRYAB,TCGA-PRAD,KDM1A
ENSG00000004534,-0.236720601321795,6.49394175650028,15.7930877967727,8.09855800139806e-5,2.3353085362e-4,ENSG00000004534.15,CRYAB,TCGA-PRAD,RBM6
ENSG00000004660,-0.0640386966861169,3.82295901979518,0.772894630401972,0.379742353077336,0.450140222453526,ENSG00000004660.15,CRYAB,TCGA-PRAD,CAMKK1
ENSG00000004700,-0.0233048865077786,3.34219164436991,0.085832197060124,0.769664759899566,0.813563357705899,ENSG00000004700.16,CRYAB,TCGA-PRAD,RECQL
ENSG00000004766,-0.0814915914343476,4.56454828064073,3.23213400937338,0.0728053515398737,0.106181319635976,ENSG00000004766.17,CRYAB,TCGA-PRAD,VPS50
ENSG00000004776,2.07580431292472,4.23771175882314,316.327114813148,2.8398947757765897e-55,9.17286012575838e-53,ENSG00000004776.13,CRYAB,TCGA-PRAD,HSPB6
ENSG00000004777,-0.205333790785911,3.42189838787038,6.73695868620605,0.00971917280677866,0.0175955238338751,ENSG00000004777.18,CRYAB,TCGA-PRAD,ARHGAP33
ENSG00000004779,0.00629156128899501,5.64930197894239,0.0128706974742406,0.909719723895323,0.928444658177902,ENSG00000004779.10,CRYAB,TCGA-PRAD,NDUFAB1
ENSG00000004799,1.12862226804375,6.27281803819556,78.0239578364972,1.69686236705464e-17,3.55570510835083e-16,ENSG00000004799.8,CRYAB,TCGA-PRAD,PDK4
ENSG00000004809,-1.25000479699982,-0.861551064889837,48.7127261151909,9.30145842136059e-12,9.943544912858759e-11,ENSG00000004809.14,CRYAB,TCGA-PRAD,SLC22A16
ENSG00000004838,-0.884316606814526,1.61541757691982,26.613852888691,3.58326463591236e-7,1.6857189942962e-6,ENSG00000004838.14,CRYAB,TCGA-PRAD,ZMYND10
ENSG00000004846,-1.0701867968191,-0.30343046846328,19.5276702951507,1.21882392922057e-5,4.15901132503428e-5,ENSG00000004846.16,CRYAB,TCGA-PRAD,ABCB5
ENSG00000004848,-0.782993381378471,2.58978914466447,17.3496812138903,3.6592034046603e-5,1.1290200461158e-4,ENSG00000004848.8,CRYAB,TCGA-PRAD,ARX
ENSG00000004864,-0.292818162241138,5.03086741658013,34.1621234284027,9.117928260470021e-9,5.922331455594e-8,ENSG00000004864.14,CRYAB,TCGA-PRAD,SLC25A13
ENSG00000004866,0.00196645118940875,4.83278658211692,0.00160847321282908,0.968024690279028,0.975314747435891,ENSG00000004866.22,CRYAB,TCGA-PRAD,ST7
ENSG00000004897,-0.0941754085665019,5.46849513071804,7.25307667800096,0.0073139174603917,0.0136543368656144,ENSG00000004897.12,CRYAB,TCGA-PRAD,CDC27
ENSG00000004961,-0.0824108602312426,4.12892111529599,6.7527003264984,0.00963491194721029,0.0174681548493645,ENSG00000004961.15,CRYAB,TCGA-PRAD,HCCS
ENSG00000004975,0.0802139902979256,5.43029802265267,5.3156336990366,0.0215403478103876,0.0359085205332791,ENSG00000004975.12,CRYAB,TCGA-PRAD,DVL2
ENSG00000005001,0.115585847645672,3.94952978015291,1.83618437564772,0.176006321998886,0.231245449497055,ENSG00000005001.10,CRYAB,TCGA-PRAD,PRSS22
ENSG00000005007,-0.1256842282151,7.65985384258581,16.0510273530742,7.09654397897889e-5,2.0708938999059e-4,ENSG00000005007.13,CRYAB,TCGA-PRAD,UPF1
ENSG00000005020,-0.264492149915205,5.16252033641029,19.5711453018194,1.18861359519235e-5,4.06574181350969e-5,ENSG00000005020.13,CRYAB,TCGA-PRAD,SKAP2
ENSG00000005022,-0.267656314698225,7.46594133109348,24.9115172069219,8.2825255258532e-7,3.59784634273854e-6,ENSG00000005022.6,CRYAB,TCGA-PRAD,SLC25A5
ENSG00000005059,0.216833351291754,2.2000549003311902,8.19445017924846,0.00437708277906335,0.00860273310453949,ENSG00000005059.16,CRYAB,TCGA-PRAD,MCUB
ENSG00000005073,0.101862537765538,3.8890688908446,2.43482109406746,0.119295607281371,0.164127642730425,ENSG00000005073.6,CRYAB,TCGA-PRAD,HOXA11
ENSG00000005075,0.0732433741583373,5.51026536859824,1.04527725112807,0.307088106470824,0.375331752381498,ENSG00000005075.15,CRYAB,TCGA-PRAD,POLR2J
ENSG00000005100,-0.211226729615455,4.64722954162404,29.7087244042258,7.87327133983967e-8,4.25261980396022e-7,ENSG00000005100.13,CRYAB,TCGA-PRAD,DHX33
ENSG00000005102,0.6812352133014,1.93170194715036,46.4531985814555,2.6953972378815698e-11,2.69897836795847e-10,ENSG00000005102.14,CRYAB,TCGA-PRAD,MEOX1
ENSG00000005108,-0.594138190362079,4.53349137332327,13.5588880662397,2.5618138545938e-4,6.6212404266538e-4,ENSG00000005108.16,CRYAB,TCGA-PRAD,THSD7A
ENSG00000005156,-0.410981863112941,6.08850705862564,61.2679754694292,2.9587393706618103e-14,4.42677674510772e-13,ENSG00000005156.12,CRYAB,TCGA-PRAD,LIG3
ENSG00000005175,-0.179597113418194,4.7892763497657604,38.3393117227126,1.2347632219682602e-9,9.362171847318012e-9,ENSG00000005175.10,CRYAB,TCGA-PRAD,RPAP3
ENSG00000005187,-0.585783944498767,5.47128565440531,27.8662939272053,1.93607130861027e-7,9.629250393242e-7,ENSG00000005187.12,CRYAB,TCGA-PRAD,ACSM3
ENSG00000005189,-4.1840229792668e-4,3.87593552193427,4.25325531125633e-5,0.994799056851139,0.99620899439296,ENSG00000005189.20,CRYAB,TCGA-PRAD,REXO5
ENSG00000005194,-0.151231904541309,5.25446280527784,12.5037452644656,4.4363364511021e-4,0.00108873946770236,ENSG00000005194.15,CRYAB,TCGA-PRAD,CIAPIN1
