ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,0.0828712590030438,6.09404167823258,3.11242315162863,0.0783035970535571,0.108776975152908,ENSG00000000003.15,GRPEL2,TCGA-PRAD,TSPAN6
ENSG00000000419,0.0349798248490462,4.78925026756897,1.68746787673231,0.194529632647311,0.245361553946611,ENSG00000000419.13,GRPEL2,TCGA-PRAD,DPM1
ENSG00000000457,0.285835861486708,4.05220603340038,55.0985030406714,4.922841537016989e-13,5.029788451780199e-12,ENSG00000000457.14,GRPEL2,TCGA-PRAD,SCYL3
ENSG00000000460,0.263593097218056,1.81704943424249,38.8472970891978,9.71288887340981e-10,5.32198811392812e-9,ENSG00000000460.17,GRPEL2,TCGA-PRAD,C1orf112
ENSG00000000938,-0.335110739442616,2.42979646491718,21.2978695210732,4.99606970362711e-6,1.47238849613834e-5,ENSG00000000938.13,GRPEL2,TCGA-PRAD,FGR
ENSG00000000971,-0.207665110614427,4.51317486843037,5.11870620205504,0.0240945788825142,0.0373496450100759,ENSG00000000971.16,GRPEL2,TCGA-PRAD,CFH
ENSG00000001036,-0.152833239104224,5.6477944736085,10.7369776182551,0.00112260413362997,0.00222487461878092,ENSG00000001036.14,GRPEL2,TCGA-PRAD,FUCA2
ENSG00000001084,0.0465026394580973,5.50651887494554,1.12223356203686,0.289945931914888,0.349453774072535,ENSG00000001084.13,GRPEL2,TCGA-PRAD,GCLC
ENSG00000001167,0.236629077149477,5.13188082145528,37.1631034309277,2.16390680066655e-9,1.10809802404715e-8,ENSG00000001167.14,GRPEL2,TCGA-PRAD,NFYA
ENSG00000001460,-0.022790236922837,3.73531028779274,0.311603702357521,0.576945907167188,0.632478757097966,ENSG00000001460.18,GRPEL2,TCGA-PRAD,STPG1
ENSG00000001461,0.0652555556912573,7.2361815854376,0.490593982078524,0.483985976145893,0.544515960781912,ENSG00000001461.17,GRPEL2,TCGA-PRAD,NIPAL3
ENSG00000001497,-0.0189591964559787,5.7307476442308,0.366737521490253,0.545060855363767,0.602420897965953,ENSG00000001497.18,GRPEL2,TCGA-PRAD,LAS1L
ENSG00000001561,0.41796324162927,5.87514757482616,43.2483146158806,1.20924529344854e-10,7.75059012650846e-10,ENSG00000001561.7,GRPEL2,TCGA-PRAD,ENPP4
ENSG00000001617,-0.300065535996107,5.99061847815228,18.7308212428926,1.81648109771183e-5,4.86345238720699e-5,ENSG00000001617.12,GRPEL2,TCGA-PRAD,SEMA3F
ENSG00000001626,0.180240780580972,3.4507974895468,1.19053371596242,0.275743866898202,0.334347428591555,ENSG00000001626.16,GRPEL2,TCGA-PRAD,CFTR
ENSG00000001629,0.392502795308595,5.58552936747391,66.7286401010057,2.5312641203918e-15,4.2778164165423505e-14,ENSG00000001629.10,GRPEL2,TCGA-PRAD,ANKIB1
ENSG00000001630,0.449459152444755,1.34292556992965,24.248967436167,1.15113248306843e-6,3.77537654563169e-6,ENSG00000001630.17,GRPEL2,TCGA-PRAD,CYP51A1
ENSG00000001631,-0.0813727311444375,2.57415685595042,6.20627298744322,0.013050927652483,0.0212559545794952,ENSG00000001631.16,GRPEL2,TCGA-PRAD,KRIT1
ENSG00000002016,0.0634161617735474,3.19627588520964,2.3808936820494,0.123455642653001,0.164011008631373,ENSG00000002016.18,GRPEL2,TCGA-PRAD,RAD52
ENSG00000002330,-0.435762893416584,4.12960990006993,52.2129747507735,1.85613963510578e-12,1.68959128244816e-11,ENSG00000002330.14,GRPEL2,TCGA-PRAD,BAD
ENSG00000002549,0.102251727056643,6.23650234796945,7.1747593765842,0.00763538373589953,0.0130072634522282,ENSG00000002549.12,GRPEL2,TCGA-PRAD,LAP3
ENSG00000002586,-0.249200069308653,8.22411776194448,36.2066922213151,3.41837169284431e-9,1.69744424069386e-8,ENSG00000002586.20,GRPEL2,TCGA-PRAD,CD99
ENSG00000002586,-0.249200069308653,8.22411776194448,36.2066922213151,3.41837169284431e-9,1.69744424069386e-8,ENSG00000002586.20,GRPEL2,TCGA-PRAD,CD99
ENSG00000002587,0.064939745013767,3.71630866913141,0.250842348298201,0.616701466680113,0.669219230603739,ENSG00000002587.10,GRPEL2,TCGA-PRAD,HS3ST1
ENSG00000002726,-0.291748990210215,4.47458463814051,1.48360564975789,0.223781702356396,0.277990175436472,ENSG00000002726.21,GRPEL2,TCGA-PRAD,AOC1
ENSG00000002745,0.0239445676446741,-0.82962486901445,0.03572052754207,0.850171245737423,0.876575602696384,ENSG00000002745.13,GRPEL2,TCGA-PRAD,WNT16
ENSG00000002746,0.4662078138504,1.89497932327704,7.33875950601718,0.00697869507316093,0.0119933564018759,ENSG00000002746.15,GRPEL2,TCGA-PRAD,HECW1
ENSG00000002822,-0.307102897808273,-1.75279314380655,13.7453527416287,2.305158930676e-4,5.1213548562393e-4,ENSG00000002822.15,GRPEL2,TCGA-PRAD,MAD1L1
ENSG00000002834,0.066979108098758,6.48625950614037,1.59310409417648,0.207467512440509,0.259891838306025,ENSG00000002834.18,GRPEL2,TCGA-PRAD,LASP1
ENSG00000002919,-0.096877571483028,4.59900464540602,8.94829552129877,0.00291340739501716,0.00536180903552082,ENSG00000002919.15,GRPEL2,TCGA-PRAD,SNX11
ENSG00000002933,-0.363921527002895,3.18563598560085,15.8566026971433,7.83982444999513e-5,1.8785796106658e-4,ENSG00000002933.9,GRPEL2,TCGA-PRAD,TMEM176A
ENSG00000003056,0.293385028907667,5.38647672752825,29.200203059449102,1.00889972671351e-7,3.90275316361794e-7,ENSG00000003056.8,GRPEL2,TCGA-PRAD,M6PR
