ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,0.142416401034886,6.09431313208324,9.37629121754052,0.00231561395514319,0.00525015116876523,ENSG00000000003.15,HSCB,TCGA-PRAD,TSPAN6
ENSG00000000419,0.00161712661757832,4.78924117801162,0.00362870353853914,0.9519894076907,0.963725088597228,ENSG00000000419.13,HSCB,TCGA-PRAD,DPM1
ENSG00000000457,-0.0236792169074869,4.05137493041159,0.346187589619089,0.556543057688675,0.62865045099518,ENSG00000000457.14,HSCB,TCGA-PRAD,SCYL3
ENSG00000000460,-0.203085392030979,1.81713810846151,22.1907632878091,3.19913499373889e-6,1.42449908761875e-5,ENSG00000000460.17,HSCB,TCGA-PRAD,C1orf112
ENSG00000000938,-0.0241113432666467,2.43131315250471,0.107334096048027,0.743336160206399,0.794462149300036,ENSG00000000938.13,HSCB,TCGA-PRAD,FGR
ENSG00000000971,-0.261993414838526,4.51386682481381,8.24878775029153,0.00424988740338623,0.00900281237719015,ENSG00000000971.16,HSCB,TCGA-PRAD,CFH
ENSG00000001036,0.364439564113045,5.64934831760537,68.1738937383106,1.3261334815239502e-15,5.2336924147907203e-14,ENSG00000001036.14,HSCB,TCGA-PRAD,FUCA2
ENSG00000001084,-0.126616265515925,5.50697202100472,8.4269329836908,0.00385918632449463,0.00826122791400491,ENSG00000001084.13,HSCB,TCGA-PRAD,GCLC
ENSG00000001167,-0.187873832079802,5.1309951512827,23.0347381937479,2.10021509171817e-6,9.76943190049555e-6,ENSG00000001167.14,HSCB,TCGA-PRAD,NFYA
ENSG00000001460,-0.0526057355652156,3.73448357577885,1.69763407255088,0.193193284091833,0.259213838285975,ENSG00000001460.18,HSCB,TCGA-PRAD,STPG1
ENSG00000001461,-0.269565558611651,7.23658283450833,8.47566983465194,0.00375882994205316,0.00806905068296572,ENSG00000001461.17,HSCB,TCGA-PRAD,NIPAL3
ENSG00000001497,0.166026662244361,5.73128240845226,29.800564113913,7.52966321373424e-8,4.91188021009593e-7,ENSG00000001497.18,HSCB,TCGA-PRAD,LAS1L
ENSG00000001561,-0.239283539556809,5.87432247010545,13.3451543302362,2.8624426205372e-4,8.0766502433052e-4,ENSG00000001561.7,HSCB,TCGA-PRAD,ENPP4
ENSG00000001617,0.133537497065598,5.99197697665076,3.67632976037881,0.0557556948279655,0.0881415548846358,ENSG00000001617.12,HSCB,TCGA-PRAD,SEMA3F
ENSG00000001626,-0.0672170023091818,3.45396112965552,0.164787613292839,0.684958868113184,0.743193250995253,ENSG00000001626.16,HSCB,TCGA-PRAD,CFTR
ENSG00000001629,-0.340472419546891,5.5854715176369,47.9820190058886,1.3188232854499599e-11,2.0735048577056002e-10,ENSG00000001629.10,HSCB,TCGA-PRAD,ANKIB1
ENSG00000001630,-0.538743904750426,1.33963671891351,34.9713074250715,6.19521393002162e-9,5.23857475722343e-8,ENSG00000001630.17,HSCB,TCGA-PRAD,CYP51A1
ENSG00000001631,-0.0234020607462953,2.57411698946819,0.51333553499235,0.474030858368677,0.551825574234209,ENSG00000001631.16,HSCB,TCGA-PRAD,KRIT1
ENSG00000002016,-0.0910258087081942,3.19451989504097,5.0676491661243,0.024806982883205,0.0431489932007584,ENSG00000002016.18,HSCB,TCGA-PRAD,RAD52
ENSG00000002330,0.452206538728381,4.13219275361596,58.025339339267,1.29150712335545e-13,3.18785764055054e-12,ENSG00000002330.14,HSCB,TCGA-PRAD,BAD
ENSG00000002549,-0.0336748647870601,6.23691529417136,0.76816099789598,0.381204498095562,0.460486406723527,ENSG00000002549.12,HSCB,TCGA-PRAD,LAP3
ENSG00000002586,0.292735447089886,8.22617047451575,51.4188320068457,2.6780058357301698e-12,4.9249011712898194e-11,ENSG00000002586.20,HSCB,TCGA-PRAD,CD99
ENSG00000002586,0.292735447089886,8.22617047451575,51.4188320068457,2.6780058357301698e-12,4.9249011712898194e-11,ENSG00000002586.20,HSCB,TCGA-PRAD,CD99
ENSG00000002587,0.238102546171367,3.71506203395491,3.43888938817499,0.0642630172933456,0.0998239128577827,ENSG00000002587.10,HSCB,TCGA-PRAD,HS3ST1
ENSG00000002726,-0.0927804372196257,4.47364958891438,0.152222645843332,0.696585299655493,0.753816154736159,ENSG00000002726.21,HSCB,TCGA-PRAD,AOC1
ENSG00000002745,0.219090566631731,-0.833616872118313,3.04858816662717,0.0814263566783638,0.122673873937323,ENSG00000002745.13,HSCB,TCGA-PRAD,WNT16
ENSG00000002746,-1.07642310133769,1.88819139296986,39.3850630272804,7.52400852608684e-10,7.878622169714571e-9,ENSG00000002746.15,HSCB,TCGA-PRAD,HECW1
ENSG00000002822,-0.222845194006659,-1.75153201882625,7.08708186752687,0.00798929317756065,0.015763737051483,ENSG00000002822.15,HSCB,TCGA-PRAD,MAD1L1
ENSG00000002834,-0.226491798475256,6.48576513055151,18.8950023567023,1.67184835739518e-5,6.3044214550944e-5,ENSG00000002834.18,HSCB,TCGA-PRAD,LASP1
ENSG00000002919,0.213351983235101,4.60050554909978,45.8187073242223,3.6199862841478694e-11,5.16992154868503e-10,ENSG00000002919.15,HSCB,TCGA-PRAD,SNX11
ENSG00000002933,-0.0251751199593576,3.18706474289412,0.0750037655933481,0.784298281683249,0.828946716114006,ENSG00000002933.9,HSCB,TCGA-PRAD,TMEM176A
ENSG00000003056,-0.263182258459608,5.3848523241248,23.3298073879897,1.81370269785554e-6,8.56354849666377e-6,ENSG00000003056.8,HSCB,TCGA-PRAD,M6PR
ENSG00000003096,-0.286691298296972,2.86648436586562,15.4779471772578,9.51977955093588e-5,2.9992586066174e-4,ENSG00000003096.14,HSCB,TCGA-PRAD,KLHL13
ENSG00000003137,-0.583387487594391,1.56290370860734,25.8314353803273,5.26608433303677e-7,2.81724867636627e-6,ENSG00000003137.8,HSCB,TCGA-PRAD,CYP26B1
ENSG00000003147,0.201418680286606,6.20124711178067,24.300057583603,1.12089628736313e-6,5.53346974138499e-6,ENSG00000003147.19,HSCB,TCGA-PRAD,ICA1
ENSG00000003249,0.13706752370266,5.25620394456808,3.58996766386849,0.0587020105077491,0.0922324399404629,ENSG00000003249.15,HSCB,TCGA-PRAD,DBNDD1
ENSG00000003393,-0.18611562970249,4.58940993215517,31.078230596437,4.04646613349581e-8,2.80597916259399e-7,ENSG00000003393.15,HSCB,TCGA-PRAD,ALS2
ENSG00000003400,-0.224137389214131,2.89256908461219,7.51325698296429,0.00634245348324125,0.0128479814346,ENSG00000003400.15,HSCB,TCGA-PRAD,CASP10
ENSG00000003402,-0.205838637479562,6.54818028345286,42.342851391089,1.85253214561015e-10,2.2283613431505503e-9,ENSG00000003402.20,HSCB,TCGA-PRAD,CFLAR
ENSG00000003436,-0.3140562776297,4.00084884398275,5.82007652132406,0.0162007302563226,0.0294911579591393,ENSG00000003436.16,HSCB,TCGA-PRAD,TFPI
ENSG00000003509,0.0555019414125362,3.36388768124086,3.88527912152551,0.0492584556815489,0.079044441984202,ENSG00000003509.16,HSCB,TCGA-PRAD,NDUFAF7
ENSG00000003756,-0.0316397986413976,6.34821315489879,0.659438542425064,0.417141961211909,0.496371733480214,ENSG00000003756.17,HSCB,TCGA-PRAD,RBM5
ENSG00000003987,-0.112060630447928,-0.183442223829481,3.47955370920902,0.0627245877915834,0.0977256767322021,ENSG00000003987.14,HSCB,TCGA-PRAD,MTMR7
ENSG00000003989,-0.138823280591949,6.42317396339192,4.45847756596792,0.0352205226693263,0.0587403046018423,ENSG00000003989.18,HSCB,TCGA-PRAD,SLC7A2
ENSG00000004059,0.238093283952246,6.83731773688252,26.4897134405951,3.80474134410639e-7,2.10126829896574e-6,ENSG00000004059.11,HSCB,TCGA-PRAD,ARF5
ENSG00000004139,-0.129944206762027,3.34325785476144,8.90902306259199,0.00297562239347885,0.00654030406868097,ENSG00000004139.14,HSCB,TCGA-PRAD,SARM1
ENSG00000004142,0.223836406400693,7.09959464765038,50.8041638847849,3.55846559696749e-12,6.35257516395091e-11,ENSG00000004142.12,HSCB,TCGA-PRAD,POLDIP2
ENSG00000004399,-0.25586312190815,5.42085857474077,15.91952939084,7.59094179443751e-5,2.4489906052135e-4,ENSG00000004399.13,HSCB,TCGA-PRAD,PLXND1
ENSG00000004455,0.102228701762406,6.77648313451121,16.1720396702554,6.67078709518646e-5,2.1831387993458e-4,ENSG00000004455.17,HSCB,TCGA-PRAD,AK2
ENSG00000004468,0.105224012570447,5.8319949970156,0.336638734161354,0.562035407822681,0.633714511640371,ENSG00000004468.13,HSCB,TCGA-PRAD,CD38
ENSG00000004478,0.0934953733058534,7.82348808185497,3.64253966799126,0.0568892711775096,0.0896944933474381,ENSG00000004478.8,HSCB,TCGA-PRAD,FKBP4
ENSG00000004487,0.107746200388729,6.87230512243569,11.9724138464929,5.8579774862772e-4,0.00154088551570167,ENSG00000004487.17,HSCB,TCGA-PRAD,KDM1A
ENSG00000004534,0.119013565470658,6.49484315696752,4.99666158117079,0.0258339001304501,0.0447166276193952,ENSG00000004534.15,HSCB,TCGA-PRAD,RBM6
ENSG00000004660,0.257587825778635,3.82315638530761,16.2440798662304,6.42964360203628e-5,2.1119895468781e-4,ENSG00000004660.15,HSCB,TCGA-PRAD,CAMKK1
ENSG00000004700,-0.390807526075442,3.34076704091594,31.6902334911801,3.00791139061048e-8,2.16673131244684e-7,ENSG00000004700.16,HSCB,TCGA-PRAD,RECQL
ENSG00000004766,-0.209424592154811,4.56402642642186,28.293942685836,1.57065248301615e-7,9.4946209413584e-7,ENSG00000004766.17,HSCB,TCGA-PRAD,VPS50
ENSG00000004776,-0.409212426025159,4.24361179578158,8.17810142701052,0.00441590754304013,0.00931292393830995,ENSG00000004776.13,HSCB,TCGA-PRAD,HSPB6
ENSG00000004777,-0.133977178347535,3.42094635506306,3.63664939259648,0.0570894800460271,0.0899370979460434,ENSG00000004777.18,HSCB,TCGA-PRAD,ARHGAP33
ENSG00000004779,0.377398769371489,5.65278380797025,63.4263601505689,1.1162932914264901e-14,3.54145290716895e-13,ENSG00000004779.10,HSCB,TCGA-PRAD,NDUFAB1
ENSG00000004799,-0.532752386556836,6.27475645034515,17.1891663478174,3.97026919414066e-5,1.3687908536104e-4,ENSG00000004799.8,HSCB,TCGA-PRAD,PDK4
ENSG00000004809,0.0560886204682924,-0.861597525534525,0.134608563418232,0.71385723913699894,0.768921698759664,ENSG00000004809.14,HSCB,TCGA-PRAD,SLC22A16
ENSG00000004838,0.033938275719704,1.61915881317202,0.0517228098062892,0.820184680374433,0.857806311799775,ENSG00000004838.14,HSCB,TCGA-PRAD,ZMYND10
ENSG00000004846,-1.6720347582993,-0.305163858866206,65.4955523145161,4.417422990265991e-15,1.53359997179137e-13,ENSG00000004846.16,HSCB,TCGA-PRAD,ABCB5
ENSG00000004848,0.520026176734523,2.58400639755931,10.436406944324,0.00131638843949248,0.00316475729890822,ENSG00000004848.8,HSCB,TCGA-PRAD,ARX
ENSG00000004864,-0.140828953954825,5.03018751478552,9.79340656971603,0.00185296505401549,0.0042993541478249,ENSG00000004864.14,HSCB,TCGA-PRAD,SLC25A13
ENSG00000004866,0.149935228660277,4.83440278977284,11.7922719042512,6.4383717702335e-4,0.00167423814992154,ENSG00000004866.22,HSCB,TCGA-PRAD,ST7
ENSG00000004897,-0.0824662655385879,5.46881487041676,7.00972194143523,0.00836097611250708,0.0164189543546413,ENSG00000004897.12,HSCB,TCGA-PRAD,CDC27
ENSG00000004961,0.00719808166597852,4.12853835651366,0.0655498391136528,0.79803453703171,0.83976517497112,ENSG00000004961.15,HSCB,TCGA-PRAD,HCCS
ENSG00000004975,0.0280965534149666,5.42950275731088,0.823958335269949,0.364459594463615,0.4432936539474,ENSG00000004975.12,HSCB,TCGA-PRAD,DVL2
ENSG00000005001,0.0102438035158522,3.9503970233016,0.0176273828463112,0.894429786138471,0.917682381731979,ENSG00000005001.10,HSCB,TCGA-PRAD,PRSS22
ENSG00000005007,0.0133698131833723,7.6581387010602,0.237619766403638,0.626142711881656,0.691822243913539,ENSG00000005007.13,HSCB,TCGA-PRAD,UPF1
ENSG00000005020,-0.243299014440863,5.1618904014087,21.2957943136538,5.00039935256721e-6,2.13185955624326e-5,ENSG00000005020.13,HSCB,TCGA-PRAD,SKAP2
ENSG00000005022,0.165871153677136,7.46607015082948,12.069201178978,5.5683382872611e-4,0.00147249926642697,ENSG00000005022.6,HSCB,TCGA-PRAD,SLC25A5
ENSG00000005059,-0.0758152981826309,2.20342548378606,1.18054984534238,0.277764523912287,0.352945923350071,ENSG00000005059.16,HSCB,TCGA-PRAD,MCUB
ENSG00000005073,0.195479482067096,3.88995046550336,11.2413475412396,8.6017701340666e-4,0.00216985342784093,ENSG00000005073.6,HSCB,TCGA-PRAD,HOXA11
ENSG00000005075,0.373092163709777,5.5155723940026,35.0441531443945,5.9682183129012905e-9,5.06669698603401e-8,ENSG00000005075.15,HSCB,TCGA-PRAD,POLR2J
ENSG00000005100,-0.0283733330899552,4.64695007401044,0.655837189820473,0.418415979020667,0.497582687315932,ENSG00000005100.13,HSCB,TCGA-PRAD,DHX33
ENSG00000005102,-0.0821271431672483,1.93496057188072,0.712575645921187,0.398991615706631,0.478292627418577,ENSG00000005102.14,HSCB,TCGA-PRAD,MEOX1
ENSG00000005108,-0.537571847888094,4.5293395034769,14.5710563888901,1.5178150546169e-4,4.5714302766436e-4,ENSG00000005108.16,HSCB,TCGA-PRAD,THSD7A
ENSG00000005156,-0.0738242860934415,6.08693817964507,2.35637122272351,0.125400212019308,0.178126533618804,ENSG00000005156.12,HSCB,TCGA-PRAD,LIG3
ENSG00000005175,-0.0475204338728926,4.78940238903987,3.23224202112231,0.0728007273657893,0.111153341675269,ENSG00000005175.10,HSCB,TCGA-PRAD,RPAP3
ENSG00000005187,0.0132510461982411,5.47359335936598,0.0179246312328858,0.89354866469716,0.916954606361101,ENSG00000005187.12,HSCB,TCGA-PRAD,ACSM3
ENSG00000005189,0.28537752217612,3.87711166323,25.8828124080595,5.12946835455562e-7,2.75174067432455e-6,ENSG00000005189.20,HSCB,TCGA-PRAD,REXO5
ENSG00000005194,0.178614045390934,5.25473254484959,22.6804742978514,2.50510348083693e-6,1.14287317135362e-5,ENSG00000005194.15,HSCB,TCGA-PRAD,CIAPIN1
ENSG00000005206,0.253199678337226,5.67905771938145,20.0960909382049,9.12708473442e-6,3.66439236864614e-5,ENSG00000005206.17,HSCB,TCGA-PRAD,SPPL2B
ENSG00000005238,0.0982210734972904,4.9494161531493,3.9056095936138,0.0486705059774502,0.0782208485603719,ENSG00000005238.20,HSCB,TCGA-PRAD,FAM214B
ENSG00000005243,0.378279151971098,3.67889585617947,19.8819603861814,1.01652075725515e-5,4.03115428829025e-5,ENSG00000005243.10,HSCB,TCGA-PRAD,COPZ2
