ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,-0.144418049912392,6.09402316152216,7.24842597704763,0.00733260137380667,0.0146748695625727,ENSG00000000003.15,HSPB7,TCGA-PRAD,TSPAN6
ENSG00000000005,1.32101496979855,-1.79101878152877,68.0741311287859,9.33313307272178e-16,1.79649005240023e-14,ENSG00000000005.6,HSPB7,TCGA-PRAD,TNMD
ENSG00000000419,-0.0964291569011429,4.78900390752353,9.92384715900752,0.00172848696921121,0.00417163505838987,ENSG00000000419.13,HSPB7,TCGA-PRAD,DPM1
ENSG00000000457,-0.133760543979568,4.05215328553441,8.3860437045917,0.00394545846670818,0.00856617417481046,ENSG00000000457.14,HSPB7,TCGA-PRAD,SCYL3
ENSG00000000460,-0.119801892501476,1.81659059434446,5.77340882198365,0.0166319596799915,0.0300242868141023,ENSG00000000460.17,HSPB7,TCGA-PRAD,C1orf112
ENSG00000000938,0.454793999737118,2.42889036131932,33.4068334317846,1.31248597522216e-8,1.15214410723916e-7,ENSG00000000938.13,HSPB7,TCGA-PRAD,FGR
ENSG00000000971,0.893209829189177,4.51238698652782,95.6678821292116,8.40971540982542e-21,2.42402062781183e-19,ENSG00000000971.16,HSPB7,TCGA-PRAD,CFH
ENSG00000001036,-0.140166744185114,5.64724633462894,6.92173655412196,0.00877629578688245,0.0171349593897882,ENSG00000001036.14,HSPB7,TCGA-PRAD,FUCA2
ENSG00000001084,0.0282185787427525,5.505997777408,0.322177058366008,0.570555151977356,0.634690345172271,ENSG00000001084.13,HSPB7,TCGA-PRAD,GCLC
ENSG00000001167,-0.180861190303849,5.13186285629681,15.7056539499855,8.46967317181219e-5,2.9905865683878e-4,ENSG00000001167.14,HSPB7,TCGA-PRAD,NFYA
ENSG00000001460,0.036997327318695,3.73503383387989,0.641677575130205,0.423481735301442,0.495432726805854,ENSG00000001460.18,HSPB7,TCGA-PRAD,STPG1
ENSG00000001461,0.131316551795886,7.23630627995255,1.5704692996963,0.210720314422365,0.272414686028822,ENSG00000001461.17,HSPB7,TCGA-PRAD,NIPAL3
ENSG00000001497,-0.151427622112569,5.72977357512864,18.7388954949123,1.80897912874012e-5,7.70045354125853e-5,ENSG00000001497.18,HSPB7,TCGA-PRAD,LAS1L
ENSG00000001561,-0.204072563854378,5.87586227749392,7.22359926485756,0.00743321817369856,0.0148488298125528,ENSG00000001561.7,HSPB7,TCGA-PRAD,ENPP4
ENSG00000001617,0.2054989930026,5.98982280674306,6.95463817633279,0.00861853496505583,0.0168761423758953,ENSG00000001617.12,HSPB7,TCGA-PRAD,SEMA3F
ENSG00000001626,0.376467258240207,3.45055133872603,4.23287334497514,0.0401626053531514,0.0646091618860198,ENSG00000001626.16,HSPB7,TCGA-PRAD,CFTR
ENSG00000001629,-0.124218049299994,5.5855125345627,4.52428636935135,0.033902355986504,0.055747439931303,ENSG00000001629.10,HSPB7,TCGA-PRAD,ANKIB1
ENSG00000001630,-0.0325797300007586,1.34412978889191,0.0938867984605723,0.759419980976669,0.803566560725824,ENSG00000001630.17,HSPB7,TCGA-PRAD,CYP51A1
ENSG00000001631,-0.0994763119261058,2.57291725314653,7.29127146336534,0.00716238474849052,0.014376296638837,ENSG00000001631.16,HSPB7,TCGA-PRAD,KRIT1
ENSG00000002016,-0.145981674734153,3.1949223048546598,9.89919295926961,0.00175136331083324,0.00421701321253924,ENSG00000002016.18,HSPB7,TCGA-PRAD,RAD52
ENSG00000002079,-0.19936746172259,-2.50143282094913,2.99906343686261,0.0837225335448735,0.122235454996505,ENSG00000002079.14,HSPB7,TCGA-PRAD,MYH16
ENSG00000002330,-0.106403225441531,4.12789171293878,2.24694534980711,0.134504991292914,0.184651423206786,ENSG00000002330.14,HSPB7,TCGA-PRAD,BAD
ENSG00000002549,-0.065689495466825,6.23672943440718,2.23520990191162,0.13552455811895,0.185849425650504,ENSG00000002549.12,HSPB7,TCGA-PRAD,LAP3
ENSG00000002586,0.0976670258453081,8.22341591109985,4.18329494880816,0.0413433098874901,0.0661859188307113,ENSG00000002586.20,HSPB7,TCGA-PRAD,CD99
ENSG00000002586,0.0976670258453081,8.22341591109985,4.18329494880816,0.0413433098874901,0.0661859188307113,ENSG00000002586.20,HSPB7,TCGA-PRAD,CD99
ENSG00000002587,-0.39708414380863,3.71381397152747,7.08281141681115,0.00803124190274866,0.0158749487298168,ENSG00000002587.10,HSPB7,TCGA-PRAD,HS3ST1
ENSG00000002726,-0.0929879222131444,4.47575738327808,0.117535432264806,0.731866076998901,0.779627733876403,ENSG00000002726.21,HSPB7,TCGA-PRAD,AOC1
ENSG00000002745,0.623017284561794,-0.830014427978121,21.5937990770592,4.31776227516741e-6,2.18294326749194e-5,ENSG00000002745.13,HSPB7,TCGA-PRAD,WNT16
ENSG00000002746,-0.141613231977631,1.89505190413113,0.511259635082544,0.474925985039162,0.545186565739929,ENSG00000002746.15,HSPB7,TCGA-PRAD,HECW1
ENSG00000002822,-0.0866493007371304,-1.75589016389665,0.847714931770555,0.357595653526804,0.430153757340668,ENSG00000002822.15,HSPB7,TCGA-PRAD,MAD1L1
ENSG00000002834,0.189216402376879,6.48660849676203,10.198278839046,0.00149367320001308,0.00367225571555796,ENSG00000002834.18,HSPB7,TCGA-PRAD,LASP1
ENSG00000002919,-0.00969754927362337,4.59830358109838,0.0690939364074585,0.792768092608594,0.832125114630326,ENSG00000002919.15,HSPB7,TCGA-PRAD,SNX11
ENSG00000002933,0.721913657451989,3.18449797490148,57.5498843594889,1.60404827434917e-13,2.5996998758153e-12,ENSG00000002933.9,HSPB7,TCGA-PRAD,TMEM176A
ENSG00000003056,0.132507005983054,5.38723979402853,4.42305088927786,0.0359520677855436,0.0586603995087858,ENSG00000003056.8,HSPB7,TCGA-PRAD,M6PR
ENSG00000003096,0.559281202448667,2.8657383749509,52.3635099357624,1.7317914706823398e-12,2.5441692631553198e-11,ENSG00000003096.14,HSPB7,TCGA-PRAD,KLHL13
ENSG00000003137,0.411944729445188,1.56179643127917,10.4420180964771,0.00131265489517479,0.00327638546728326,ENSG00000003137.8,HSPB7,TCGA-PRAD,CYP26B1
ENSG00000003147,-0.31392427956201,6.20181681498945,44.7069899877268,6.0919280100641e-11,7.63032413185751e-10,ENSG00000003147.19,HSPB7,TCGA-PRAD,ICA1
ENSG00000003249,-0.43024838164714,5.25733834476575,26.8519522949222,3.18394054434608e-7,2.10576561531527e-6,ENSG00000003249.15,HSPB7,TCGA-PRAD,DBNDD1
ENSG00000003393,-0.0747425900491546,4.58970444056818,3.60824212102591,0.0580648540447305,0.0890486793812337,ENSG00000003393.15,HSPB7,TCGA-PRAD,ALS2
ENSG00000003400,0.0329377281504704,2.8893107959966,0.126514344709372,0.722222799515852,0.771245193671256,ENSG00000003400.15,HSPB7,TCGA-PRAD,CASP10
ENSG00000003402,0.0630479594485502,6.54728233725144,2.90957435357519,0.0886716256600721,0.128640519107129,ENSG00000003402.20,HSPB7,TCGA-PRAD,CFLAR
ENSG00000003436,0.659837462344801,4.00345800373093,22.1042857755121,3.33835671193823e-6,1.73279509203432e-5,ENSG00000003436.16,HSPB7,TCGA-PRAD,TFPI
ENSG00000003509,-0.0791149805832025,3.36271499608606,6.16308911725679,0.0133690566616437,0.0248126814933808,ENSG00000003509.16,HSPB7,TCGA-PRAD,NDUFAF7
ENSG00000003756,-0.221741322135027,6.34762936855964,25.5643518400877,6.00049706783333e-7,3.75893586606968e-6,ENSG00000003756.17,HSPB7,TCGA-PRAD,RBM5
ENSG00000003987,0.117129647414002,-0.187684683638423,3.10334870335978,0.0787505564037092,0.115946522686465,ENSG00000003987.14,HSPB7,TCGA-PRAD,MTMR7
ENSG00000003989,-0.126753503673394,6.42270288357075,2.8334633387308,0.0929387360802539,0.133918114236756,ENSG00000003989.18,HSPB7,TCGA-PRAD,SLC7A2
ENSG00000004059,-0.17589206545637,6.83515667312689,10.7371435064707,0.00112248260840692,0.00285778750850111,ENSG00000004059.11,HSPB7,TCGA-PRAD,ARF5
ENSG00000004139,-0.0634264864302674,3.34596680105866,1.55438771344361,0.213068462738552,0.275091113285681,ENSG00000004139.14,HSPB7,TCGA-PRAD,SARM1
ENSG00000004142,-0.103282444467756,7.09857555914851,7.65327966437766,0.00587519326817862,0.0120972986626002,ENSG00000004142.12,HSPB7,TCGA-PRAD,POLDIP2
ENSG00000004399,0.597798562793995,5.41949110860748,81.3146179391623,4.02820464991644e-18,9.34075846061582e-17,ENSG00000004399.13,HSPB7,TCGA-PRAD,PLXND1
ENSG00000004455,-0.144905191405793,6.77581705387563,25.03725529533,7.78352917511699e-7,4.7377370448166e-6,ENSG00000004455.17,HSPB7,TCGA-PRAD,AK2
ENSG00000004468,0.00204340493681258,5.83194200858501,9.790328706105e-5,0.992109290893061,0.994161268391387,ENSG00000004468.13,HSPB7,TCGA-PRAD,CD38
ENSG00000004478,-0.260863079298376,7.82389834789763,21.7320038797422,4.02019392334744e-6,2.04521527767079e-5,ENSG00000004478.8,HSPB7,TCGA-PRAD,FKBP4
ENSG00000004487,-0.192206806629158,6.87179632136026,29.5654233240765,8.44234958374813e-8,6.35318293666758e-7,ENSG00000004487.17,HSPB7,TCGA-PRAD,KDM1A
ENSG00000004534,-0.356037363770436,6.49365246574115,35.0952609135857,5.822559763228211e-9,5.46744364406061e-8,ENSG00000004534.15,HSPB7,TCGA-PRAD,RBM6
ENSG00000004660,-0.0329479121511215,3.82283277574918,0.197332604455529,0.657073380559609,0.713559152941589,ENSG00000004660.15,HSPB7,TCGA-PRAD,CAMKK1
ENSG00000004700,0.246008705440616,3.34218134828249,9.65442154986067,0.00199561619818747,0.00473060341962595,ENSG00000004700.16,HSPB7,TCGA-PRAD,RECQL
ENSG00000004766,-0.02385159721769,4.56451630250347,0.266279751556144,0.606064793181451,0.667087268248976,ENSG00000004766.17,HSPB7,TCGA-PRAD,VPS50
ENSG00000004776,2.06683878701935,4.23728083697964,302.179027324385,2.30378098135188e-53,5.19399967587759e-51,ENSG00000004776.13,HSPB7,TCGA-PRAD,HSPB6
ENSG00000004777,-0.317493297833894,3.42165640788122,15.5383687851285,9.22857488577938e-5,3.2265296902208e-4,ENSG00000004777.18,HSPB7,TCGA-PRAD,ARHGAP33
ENSG00000004779,-0.124032587378621,5.64916888946987,4.78608193112469,0.0291494959434749,0.0488707975356256,ENSG00000004779.10,HSPB7,TCGA-PRAD,NDUFAB1
ENSG00000004799,0.805807243984239,6.27262091077196,34.8934589928636,6.414989527492811e-9,5.97604553512977e-8,ENSG00000004799.8,HSPB7,TCGA-PRAD,PDK4
ENSG00000004809,-0.83528391928995,-0.861555776798037,21.4502033823774,4.63669679971931e-6,2.32662456646999e-5,ENSG00000004809.14,HSPB7,TCGA-PRAD,SLC22A16
ENSG00000004838,-0.828187501079742,1.61531347461837,22.4322501544113,2.83693857687438e-6,1.49953408389059e-5,ENSG00000004838.14,HSPB7,TCGA-PRAD,ZMYND10
ENSG00000004846,2.4923113223203,-0.304521421602262,181.387270666374,1.1737738518105799e-35,9.18600280593539e-34,ENSG00000004846.16,HSPB7,TCGA-PRAD,ABCB5
ENSG00000004848,-0.735049098635028,2.58968388404524,14.6981893349485,1.421594993164e-4,4.7078446174139e-4,ENSG00000004848.8,HSPB7,TCGA-PRAD,ARX
ENSG00000004864,-0.235199348832886,5.03085188142257,20.7749070778141,6.49072864044125e-6,3.13601489224459e-5,ENSG00000004864.14,HSPB7,TCGA-PRAD,SLC25A13
ENSG00000004866,-0.0736961304151689,4.83271477262091,2.16310788701715,0.141982970656572,0.193656437545421,ENSG00000004866.22,HSPB7,TCGA-PRAD,ST7
ENSG00000004897,0.0290024760120754,5.46846435642677,0.661287472633025,0.416490016174064,0.488659014751629,ENSG00000004897.12,HSPB7,TCGA-PRAD,CDC27
ENSG00000004961,-0.047875341532838,4.12891485590907,2.17550167200683,0.14084863270958,0.1923973734511,ENSG00000004961.15,HSPB7,TCGA-PRAD,HCCS
ENSG00000004975,0.0696966511508559,5.43023970075269,3.8442115496729,0.0504687050169986,0.0788056560338802,ENSG00000004975.12,HSPB7,TCGA-PRAD,DVL2
ENSG00000005001,-0.013956469078237,3.94941060767655,0.0253231875822437,0.873628192127211,0.899736889390493,ENSG00000005001.10,HSPB7,TCGA-PRAD,PRSS22
ENSG00000005007,-0.0754279511637077,7.65984674208647,5.46415266946801,0.0198011792654801,0.0349177304309027,ENSG00000005007.13,HSPB7,TCGA-PRAD,UPF1
ENSG00000005020,-0.173520873553895,5.16250152329987,7.99634897038423,0.00487381444462144,0.0102951418106192,ENSG00000005020.13,HSPB7,TCGA-PRAD,SKAP2
ENSG00000005022,-0.229729699383047,7.46593206547255,17.4428190739012,3.48952399211166e-5,1.3752154867493e-4,ENSG00000005022.6,HSPB7,TCGA-PRAD,SLC25A5
