ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,-0.0366202249511583,6.09422029511992,0.600375265341858,0.438798642057607,0.501968439640838,ENSG00000000003.15,TRAP1,TCGA-PRAD,TSPAN6
ENSG00000000419,-0.0388198792567834,4.78966114020156,2.0461327178735,0.153213723586223,0.199542148436236,ENSG00000000419.13,TRAP1,TCGA-PRAD,DPM1
ENSG00000000457,0.226042722007511,4.05152974606377,33.396246723033,1.318945279173e-8,7.12967625607338e-8,ENSG00000000457.14,TRAP1,TCGA-PRAD,SCYL3
ENSG00000000460,0.225248840712365,1.81772232405,27.5555024452598,2.25658957447067e-7,9.55834183339114e-7,ENSG00000000460.17,TRAP1,TCGA-PRAD,C1orf112
ENSG00000000938,-0.282120273081518,2.44538325124686,13.9798702663635,2.0600602410604e-4,4.8729264554156e-4,ENSG00000000938.13,TRAP1,TCGA-PRAD,FGR
ENSG00000000971,-0.304292403176905,4.53584107173259,10.397420608845101,0.00134384644433388,0.0027230772939121,ENSG00000000971.16,TRAP1,TCGA-PRAD,CFH
ENSG00000001036,-0.135198617381984,5.64376715272322,8.7266784593857,0.0032826071468671,0.00616630429137213,ENSG00000001036.14,TRAP1,TCGA-PRAD,FUCA2
ENSG00000001084,-0.0204534442657019,5.51043740954121,0.20639026976758101,0.649807308510141,0.702695176077625,ENSG00000001084.13,TRAP1,TCGA-PRAD,GCLC
ENSG00000001167,0.181446167123783,5.12926699092053,22.0104900437152,3.49863930773233e-6,1.15771878091137e-5,ENSG00000001167.14,TRAP1,TCGA-PRAD,NFYA
ENSG00000001460,-0.0155392330222602,3.73555612696721,0.144240106919101,0.704261813172504,0.751476264318995,ENSG00000001460.18,TRAP1,TCGA-PRAD,STPG1
ENSG00000001461,0.0502234892932426,7.24212308869772,0.285518697775414,0.593342548647837,0.650546793750585,ENSG00000001461.17,TRAP1,TCGA-PRAD,NIPAL3
ENSG00000001497,0.00326735698888404,5.72499512757818,0.0125591441745516,0.91081448465775,0.927268743484426,ENSG00000001497.18,TRAP1,TCGA-PRAD,LAS1L
ENSG00000001561,0.343933629055352,5.87139457080509,29.0345079491731,1.09391055055794e-7,4.94366521385591e-7,ENSG00000001561.7,TRAP1,TCGA-PRAD,ENPP4
ENSG00000001617,-0.0286806803565822,5.99430704471724,0.164088408651064,0.685592043103945,0.735135175663444,ENSG00000001617.12,TRAP1,TCGA-PRAD,SEMA3F
ENSG00000001626,0.189637152356251,3.47750140190757,1.28780796181447,0.256992412276715,0.315415804504021,ENSG00000001626.16,TRAP1,TCGA-PRAD,CFTR
ENSG00000001629,0.314334144906366,5.58505008707369,40.9774940601206,3.53116389076479e-10,2.67245752198135e-9,ENSG00000001629.10,TRAP1,TCGA-PRAD,ANKIB1
ENSG00000001630,0.597300047394136,1.34356139383808,44.3102304314959,7.37258051498716e-11,6.43874740296282e-10,ENSG00000001630.17,TRAP1,TCGA-PRAD,CYP51A1
ENSG00000001631,-0.160069741638724,2.57174675171007,26.1949581373601,4.39958643997586e-7,1.7630369625368e-6,ENSG00000001631.16,TRAP1,TCGA-PRAD,KRIT1
ENSG00000002016,0.133667151587799,3.19369429143368,11.1587838206564,8.9845421818506e-4,0.00188477875121168,ENSG00000002016.18,TRAP1,TCGA-PRAD,RAD52
