"logFC","logCPM","F","PValue","FDR","gene_ensembl","grouping_gene","project_id"
-5.3232136060284,-0.0354508422460307,564.321711674989,4.37228344594223e-71,8.49359782208737e-67,"ENSG00000271303.2","DNAJC19","TCGA-READ"
-4.67471968346708,-0.661127358405452,537.537322978688,4.2709901046442e-69,4.14841268864091e-65,"ENSG00000214297.3","DNAJC19","TCGA-READ"
-5.18389733112646,-0.0458509380490351,466.713674903338,1.07436601382095e-62,6.95687806149528e-59,"ENSG00000232203.3","DNAJC19","TCGA-READ"
-4.20972630642242,-0.801997110827979,459.580998682668,1.9852897456865e-61,9.64155964992647e-58,"ENSG00000228847.1","DNAJC19","TCGA-READ"
-3.81366684811185,-1.04865179267067,423.307843117688,6.40859326180138e-58,2.48986665407507e-54,"ENSG00000213082.3","DNAJC19","TCGA-READ"
-6.66433814534248,0.754652395275865,391.306858385096,1.90215593328948e-56,6.15854686001358e-53,"ENSG00000220583.1","DNAJC19","TCGA-READ"
-3.65577052492703,-1.47405512297075,361.242129477244,9.634950401987e-54,2.67383637869999e-50,"ENSG00000240975.1","DNAJC19","TCGA-READ"
-5.21254831872638,0.288869025290321,374.975418927953,4.27845249010303e-53,1.03891522590927e-49,"ENSG00000176343.5","DNAJC19","TCGA-READ"
-5.08283398067222,0.144456454263133,370.623516105251,8.1005203478758e-53,1.74845231419817e-49,"ENSG00000242327.1","DNAJC19","TCGA-READ"
-3.12727447197341,-0.591473420976757,434.710594487112,3.64492661315028e-52,7.08063443870574e-49,"ENSG00000214269.3","DNAJC19","TCGA-READ"
-3.14179289129056,-1.214349339724,379.748795930287,6.94045112024364e-52,1.22568366783503e-48,"ENSG00000243498.2","DNAJC19","TCGA-READ"
-3.44470472786873,-0.137634701839767,441.725281183097,9.1835960061627e-52,1.4866711334643e-48,"ENSG00000213977.8","DNAJC19","TCGA-READ"
-4.15041262173746,-0.473798755170096,362.788441130369,7.4198938711396e-51,1.10876044877506e-47,"ENSG00000242616.4","DNAJC19","TCGA-READ"
-3.38274108370487,-0.555647837874427,403.148226025796,8.42470957520886e-51,1.1689886300572e-47,"ENSG00000213493.3","DNAJC19","TCGA-READ"
-3.91948712304453,-0.831065352179815,348.802697523591,2.25431627013164e-50,2.91948985757182e-47,"ENSG00000243312.3","DNAJC19","TCGA-READ"
-3.44917694222335,0.150933366136386,429.439668983146,6.75361504337017e-50,8.19973286453181e-47,"ENSG00000248098.12","DNAJC19","TCGA-READ"
-4.18968604351976,1.59092446755668,444.344056050705,2.37944743073014e-49,2.71900857584493e-46,"ENSG00000285976.2","DNAJC19","TCGA-READ"
-5.39202094263945,-1.18512257242229,365.932785861801,1.31180955461679e-48,1.41573402266587e-45,"ENSG00000240972.2","DNAJC19","TCGA-READ"
-4.80521076581303,-0.117624961834626,313.873685393995,2.14741813108704e-47,2.19556550602615e-44,"ENSG00000237730.1","DNAJC19","TCGA-READ"
-3.93341954167098,-0.104918619708438,354.599826101,3.6386063798062e-47,3.53417837670577e-44,"ENSG00000250568.1","DNAJC19","TCGA-READ"
-3.53135727810311,2.12880098376836,412.711325798372,4.97484589246584e-47,4.60196934795435e-44,"ENSG00000213763.4","DNAJC19","TCGA-READ"
-3.277760873511,4.70742704406778,408.674109823276,5.62550699739614e-47,4.96732267870079e-44,"ENSG00000169564.7","DNAJC19","TCGA-READ"
-3.48523154781504,0.447226165461297,369.350004917903,3.53795956620514e-45,2.98819141448266e-42,"ENSG00000168282.6","DNAJC19","TCGA-READ"
-4.17032153734879,-0.601871585268282,294.927348447073,4.60894998527914e-45,3.73056093391803e-42,"ENSG00000214748.2","DNAJC19","TCGA-READ"
-4.4417862837184,0.648899492255145,335.668649693907,1.47085648110177e-44,1.14291432007532e-41,"ENSG00000213820.3","DNAJC19","TCGA-READ"
-3.19246129281195,-0.224819036363838,341.21283267687,4.19355438214577e-44,3.13323028567553e-41,"ENSG00000267533.1","DNAJC19","TCGA-READ"
-3.09991758532059,0.442439288417429,358.432239845226,7.64748337730151e-44,5.5022226699059e-41,"ENSG00000277654.6","DNAJC19","TCGA-READ"
-3.79005440593751,0.809494690753437,349.955661904837,1.17838448899315e-43,8.17546324399317e-41,"ENSG00000241360.2","DNAJC19","TCGA-READ"
-3.31323774354155,-0.975155610972248,295.702720363757,1.4067089860144e-43,9.4230099180399e-41,"ENSG00000249489.1","DNAJC19","TCGA-READ"
-3.44380037034715,-0.788487893837287,295.912802973644,3.31159301301356e-43,2.14436686236005e-40,"ENSG00000231684.3","DNAJC19","TCGA-READ"
-4.20464706241189,-0.396621138209368,281.268392975007,7.75871215739972e-43,4.86195943127893e-40,"ENSG00000244485.1","DNAJC19","TCGA-READ"
-2.73041773103709,0.565606349101782,345.519330241134,1.41759625563058e-42,8.60569526933738e-40,"ENSG00000168802.14","DNAJC19","TCGA-READ"
-4.69597719231857,0.221451772188715,277.905014636505,6.77637304522933e-42,3.989024932625e-39,"ENSG00000239223.3","DNAJC19","TCGA-READ"
-5.70135800757756,3.8015728180079,334.841751641496,8.65898510095725e-42,4.94733660503516e-39,"ENSG00000240668.1","DNAJC19","TCGA-READ"
-3.39493143228172,2.08852909633296,331.476004622058,1.54273646748376e-41,8.5626281763827e-39,"ENSG00000239264.9","DNAJC19","TCGA-READ"
-3.89566397657064,1.87240229147951,330.484861641699,1.74954635641517e-41,9.44074653325584e-39,"ENSG00000240950.1","DNAJC19","TCGA-READ"
-5.76146719608639,-1.28230916847561,332.020246930728,2.33318807756581e-41,1.22498679985928e-38,"ENSG00000213816.3","DNAJC19","TCGA-READ"
-2.69172599130514,-0.195345709070966,316.140635387244,4.0063365644409e-41,2.04808142370602e-38,"ENSG00000062582.14","DNAJC19","TCGA-READ"
-3.92412030202244,2.52654586241143,325.222118667008,4.41230992269237e-41,2.19778288610825e-38,"ENSG00000258429.2","DNAJC19","TCGA-READ"
