"logFC","logCPM","F","PValue","FDR","gene_ensembl","grouping_gene","project_id"
-4.49963995989939,-0.466681510425827,602.126050293483,1.11072430877602e-71,2.18335077376101e-67,"ENSG00000242616.4","GRPEL2","TCGA-READ"
-5.65838430255614,0.600233574375161,569.621151008698,1.65929618098036e-69,1.63083925147654e-65,"ENSG00000226532.1","GRPEL2","TCGA-READ"
-5.77338339880161,1.36484346421325,621.332069354481,1.37861311195332e-67,9.03313264722214e-64,"ENSG00000234985.2","GRPEL2","TCGA-READ"
-4.24695746790538,-0.829553293658917,511.316951375572,6.57801003170089e-66,3.23259857982861e-62,"ENSG00000243312.3","GRPEL2","TCGA-READ"
-4.61335982400881,-0.606686484898646,489.676315005772,1.34316326548891e-64,5.2805120619431e-61,"ENSG00000214748.2","GRPEL2","TCGA-READ"
-5.40376146678763,0.14425546163656,447.203242722296,5.99089947114911e-61,1.96271851507297e-57,"ENSG00000242327.1","GRPEL2","TCGA-READ"
-5.18339907264696,-0.0159047334478488,443.033246855158,1.78405846971997e-60,5.00989104846936e-57,"ENSG00000271303.2","GRPEL2","TCGA-READ"
-4.57211867792084,-0.652710488367412,435.623235703609,4.45116880947166e-60,1.09370781609731e-56,"ENSG00000214297.3","GRPEL2","TCGA-READ"
-5.2255147486179,-0.0356092517614585,433.704627585132,8.28341577102836e-60,1.80919004234561e-56,"ENSG00000232203.3","GRPEL2","TCGA-READ"
-5.09878598453258,-0.112641289091961,408.620971700347,1.83318433538472e-57,3.60349044806574e-54,"ENSG00000237730.1","GRPEL2","TCGA-READ"
-5.55792325829344,1.85705566777046,529.859922860939,2.09909414889143e-57,3.75108124406898e-54,"ENSG00000225616.2","GRPEL2","TCGA-READ"
-4.2163567293296,-0.795328449264046,409.843423207658,3.62103604395932e-57,5.93155879300903e-54,"ENSG00000228847.1","GRPEL2","TCGA-READ"
-3.81242056705467,-1.4718631387667,392.363909924487,6.94081766042152e-57,1.04950502116081e-53,"ENSG00000240975.1","GRPEL2","TCGA-READ"
-5.39462367809539,0.287767625018813,406.520370603541,8.52662205781386e-57,1.19719864136034e-53,"ENSG00000176343.5","GRPEL2","TCGA-READ"
-3.79399988598481,-1.04308717233753,401.074953787074,6.14611783018047e-56,8.05428254585717e-53,"ENSG00000213082.3","GRPEL2","TCGA-READ"
-4.57407724491283,-1.22333065172809,380.328671703745,1.15198199465622e-54,1.41528187930983e-51,"ENSG00000213361.2","GRPEL2","TCGA-READ"
-5.67711517344483,0.0833135480770518,365.848629720611,7.28360661014803e-54,8.42199147856941e-51,"ENSG00000214259.3","GRPEL2","TCGA-READ"
-4.57841630947452,-0.420921753656883,372.729273803846,1.42690505013348e-53,1.55825958724855e-50,"ENSG00000206172.8","GRPEL2","TCGA-READ"
-3.49944255533268,-0.130162031330941,449.945252333115,1.36617654146465e-52,1.41341748818793e-49,"ENSG00000213977.8","GRPEL2","TCGA-READ"
-3.66711631112198,-1.04297302946576,368.948222888807,1.82605284381941e-52,1.79473603754791e-49,"ENSG00000228462.1","GRPEL2","TCGA-READ"
-4.74858358940086,-0.236891132522748,361.742029690655,2.41348531777703e-52,2.25913718531158e-49,"ENSG00000233287.1","GRPEL2","TCGA-READ"
-4.10519942000392,0.609488773174421,440.602833908752,3.3030070842828e-51,2.95123682980668e-48,"ENSG00000240652.1","GRPEL2","TCGA-READ"
-5.37501428133981,-1.11738673268436,384.056699407747,5.34454639093214e-50,4.56772819158927e-47,"ENSG00000219222.1","GRPEL2","TCGA-READ"
-6.21956432569411,3.38990959238531,436.614230877168,3.81547808440269e-49,3.12503552937932e-46,"ENSG00000210140.1","GRPEL2","TCGA-READ"
-3.43307403424145,0.152554553015163,411.647490648224,1.02361007325007e-48,8.04844128395067e-46,"ENSG00000248098.12","GRPEL2","TCGA-READ"
-4.90770263928988,0.220766415767038,334.836311348669,2.20231738850416e-48,1.66174828608388e-45,"ENSG00000239223.3","GRPEL2","TCGA-READ"
-4.62144290537776,0.6571678126455,374.30672514768,2.28250514952763e-48,1.66174828608388e-45,"ENSG00000213820.3","GRPEL2","TCGA-READ"
-3.56327495167423,-0.0637441123183305,387.41662922675,3.25584263873309e-48,2.28571781248487e-45,"ENSG00000284194.3","GRPEL2","TCGA-READ"
-4.04148502337743,-0.097432628347724,357.194025524152,5.96409050950381e-48,4.04262507397642e-45,"ENSG00000250568.1","GRPEL2","TCGA-READ"
-3.83336126512914,-0.465329136651937,339.889095268949,2.02791503551879e-47,1.32875752843976e-44,"ENSG00000169253.3","GRPEL2","TCGA-READ"
-5.82833422641374,3.54858210061093,410.979801909883,4.86529287381367e-47,3.08506651679211e-44,"ENSG00000210144.1","GRPEL2","TCGA-READ"
-3.5166374116728,0.45432183480801,384.766781452519,2.54457384489585e-46,1.56308400215993e-43,"ENSG00000168282.6","GRPEL2","TCGA-READ"
-4.88384317367758,0.397489402049247,314.320278593408,1.59296921397062e-45,9.48878661788501e-43,"ENSG00000219146.1","GRPEL2","TCGA-READ"
-3.17799374833631,-0.848866308182082,321.039283694766,6.0743711483306e-45,3.51187981360984e-42,"ENSG00000228399.1","GRPEL2","TCGA-READ"
-4.32634319138997,1.28453453187567,363.994602768595,9.28692461489783e-45,5.21580220442991e-42,"ENSG00000226085.3","GRPEL2","TCGA-READ"
-3.02691782596056,-1.20873388220044,302.667584572401,1.37180482696175e-44,7.49043541210755e-42,"ENSG00000243498.2","GRPEL2","TCGA-READ"
-3.31178685993283,-0.547429295035526,325.649580791408,1.813747926484e-44,9.63590351105296e-42,"ENSG00000213493.3","GRPEL2","TCGA-READ"
-4.88853664652945,5.04569431508212,368.537767692667,2.68475303136445e-44,1.38879448256661e-41,"ENSG00000101084.18","GRPEL2","TCGA-READ"
-4.29618245343705,-0.392835606220453,288.15209055747,5.89019769840802e-44,2.96881067070786e-41,"ENSG00000244485.1","GRPEL2","TCGA-READ"
-3.0250239367113,-0.582978019336554,326.461003131913,8.97487964326675e-44,4.41048022869236e-41,"ENSG00000214269.3","GRPEL2","TCGA-READ"
-6.1439320261024,-0.469215936538129,315.294302875154,1.9118779734838e-43,9.16628910360271e-41,"ENSG00000211678.2","GRPEL2","TCGA-READ"
-4.12353369987852,1.60974012411425,350.398631796482,3.78236799661353e-43,1.77023827879601e-40,"ENSG00000285976.2","GRPEL2","TCGA-READ"
-5.5895110801386,1.28266782475168,298.222179650909,4.02527582588597e-43,1.79925704159507e-40,"ENSG00000211676.2","GRPEL2","TCGA-READ"
-3.29227865608921,4.72713573467966,351.219326461012,4.0274360192391e-43,1.79925704159507e-40,"ENSG00000169564.7","GRPEL2","TCGA-READ"
-4.62761582121089,1.04382814782392,320.675378320486,9.70512004202128e-43,4.23941210368916e-40,"ENSG00000213293.4","GRPEL2","TCGA-READ"
-2.85006446653561,2.50256525354755,339.172041113244,3.49559181261723e-42,1.49375757088297e-39,"ENSG00000186010.19","GRPEL2","TCGA-READ"
-3.49812677523967,2.14555620341848,335.894783768231,7.50864919790478e-42,3.14037270815349e-39,"ENSG00000213763.4","GRPEL2","TCGA-READ"
-3.55792531113956,-0.0726962643150634,304.47322462444,1.08792830549073e-41,4.45529306271487e-39,"ENSG00000214541.3","GRPEL2","TCGA-READ"
-2.62479467680727,2.84839542242032,330.408599116446,1.39270823089066e-41,5.5870338152281e-39,"ENSG00000175768.13","GRPEL2","TCGA-READ"
-3.16699996091782,4.61650862482372,328.774049257408,1.69305838398193e-41,6.65608973078657e-39,"ENSG00000130748.7","GRPEL2","TCGA-READ"
-3.13479326252301,-0.218676863298,309.352494082618,1.82825363332771e-41,7.04666307261231e-39,"ENSG00000267533.1","GRPEL2","TCGA-READ"
-3.99236662235165,1.88223240386799,329.24971059261,2.05135693096158e-41,7.75452369075225e-39,"ENSG00000240950.1","GRPEL2","TCGA-READ"
-7.59869455239581,0.75924664602376,304.799238040292,2.58043534630098e-41,9.57049388721478e-39,"ENSG00000220583.1","GRPEL2","TCGA-READ"
-5.61012401585355,-1.17865209665202,301.306200927615,1.46484310001463e-40,5.33230015129399e-38,"ENSG00000240972.2","GRPEL2","TCGA-READ"
-2.96547423217112,1.42447977140421,316.453736785669,2.21418748667503e-40,7.91350607737657e-38,"ENSG00000272325.2","GRPEL2","TCGA-READ"
-3.47332493146119,3.12630119338721,309.898812712852,5.13899613857706e-40,1.80387941242874e-37,"ENSG00000243678.12","GRPEL2","TCGA-READ"
-3.95727741041333,2.53600699779567,306.544840374864,1.14913680742846e-39,3.96290916203881e-37,"ENSG00000258429.2","GRPEL2","TCGA-READ"
-2.96899444190806,-0.539356106233367,282.274928258471,1.19487683854148e-39,4.04960241641548e-37,"ENSG00000259051.1","GRPEL2","TCGA-READ"
