"logFC","logCPM","F","PValue","FDR","gene_ensembl","grouping_gene","project_id"
-5.17775474104274,-0.47005511621077,224.473620188347,1.22671423382882e-37,2.43318768279946e-33,"ENSG00000211678.2","HSCB","TCGA-READ"
-4.60408362334245,-1.26531628362919,180.242594166373,1.59496584628492e-31,1.58180737805307e-27,"ENSG00000213816.3","HSCB","TCGA-READ"
-4.41103138939984,-0.0093821757123825,175.79358612747,1.3973736715653e-30,9.23896892516589e-27,"ENSG00000271303.2","HSCB","TCGA-READ"
-2.8439007156303,4.73219207290909,171.645235689079,1.59917842499844e-27,7.929926014961e-24,"ENSG00000169564.7","HSCB","TCGA-READ"
-2.93237904647925,-0.125523472007968,161.446944264144,5.65815966549083e-27,1.69521213850375e-23,"ENSG00000213977.8","HSCB","TCGA-READ"
-2.66438845402124,-0.580319441223072,158.751467276533,5.9586898789881e-27,1.69521213850375e-23,"ENSG00000214269.3","HSCB","TCGA-READ"
-3.82338700921233,-1.10547154732702,142.840928272286,5.9825989259018e-27,1.69521213850375e-23,"ENSG00000219222.1","HSCB","TCGA-READ"
-3.03223885571522,2.10962859505511,166.109693213272,7.33848813393859e-27,1.8194864017084e-23,"ENSG00000239264.9","HSCB","TCGA-READ"
-3.47441192606273,2.54886585837626,163.692088322386,1.33939396032242e-26,2.95187546699946e-23,"ENSG00000258429.2","HSCB","TCGA-READ"
-3.428978960144,1.6149379329064,150.239556296248,4.29087148523721e-25,8.510943590968e-22,"ENSG00000285976.2","HSCB","TCGA-READ"
-2.93430748556091,0.458246985446636,148.508031496217,4.77593614636667e-25,8.61188122392572e-22,"ENSG00000168282.6","HSCB","TCGA-READ"
-2.87274835580646,-0.54295500857324,140.375222528241,7.91654401720523e-25,1.30853875484388e-21,"ENSG00000213493.3","HSCB","TCGA-READ"
-3.54870064513178,-0.421220833586818,133.938082138171,1.50746322004414e-24,2.30004099765966e-21,"ENSG00000206172.8","HSCB","TCGA-READ"
-2.80269696860684,0.161956606573025,140.783907711793,3.26666381306446e-24,4.62816262372382e-21,"ENSG00000248098.12","HSCB","TCGA-READ"
-2.63217602988922,-1.20356277108134,128.762535980542,5.43507080178579e-24,7.18697529022808e-21,"ENSG00000243498.2","HSCB","TCGA-READ"
-3.46658681206873,1.29700770693342,134.248483090993,3.0240410987829e-23,3.74886594964743e-20,"ENSG00000226085.3","HSCB","TCGA-READ"
-2.26939467128984,0.576653860414981,134.098535698444,3.75530659195728e-23,4.3815591912631e-20,"ENSG00000168802.14","HSCB","TCGA-READ"
-1.65927733740688,5.35894763572144,133.059579560032,4.4104119886425e-23,4.86002898859578e-20,"ENSG00000103495.14","HSCB","TCGA-READ"
-2.29991664113498,4.75778572347244,132.506813959257,5.1641429240219e-23,5.39109341568286e-20,"ENSG00000115286.20","HSCB","TCGA-READ"
-2.60847533525859,-0.210831028317821,128.195730396007,8.98760090216347e-23,8.91345319472062e-20,"ENSG00000267533.1","HSCB","TCGA-READ"
-2.41049604097195,1.42884865983884,128.866389133775,1.64267398594275e-22,1.55154469100831e-19,"ENSG00000272325.2","HSCB","TCGA-READ"
-2.7734727261698,2.14906184240651,127.770117070805,2.15900743455761e-22,1.94654147565682e-19,"ENSG00000213763.4","HSCB","TCGA-READ"
-2.52174635972855,0.454155498760906,126.199362152174,3.16083583167758e-22,2.72587733570977e-19,"ENSG00000277654.6","HSCB","TCGA-READ"
-1.76487626736921,3.32908757279628,125.86501819417,3.46878892978316e-22,2.86680951759371e-19,"ENSG00000135766.9","HSCB","TCGA-READ"
-2.12679777786009,5.4073708158567,125.51498186148,3.80496825762422e-22,3.01886181559905e-19,"ENSG00000149925.22","HSCB","TCGA-READ"
-2.2126609700182,0.990794595959007,125.269619237248,4.71995528624512e-22,3.60078127317969e-19,"ENSG00000243989.9","HSCB","TCGA-READ"
-2.45028241006507,-1.22139010745001,115.871413857423,4.96558585852289e-22,3.6478665001408e-19,"ENSG00000230191.1","HSCB","TCGA-READ"
-2.23889094527942,3.16969488230771,124.353103598554,5.41639023068689e-22,3.83693215091695e-19,"ENSG00000213638.6","HSCB","TCGA-READ"
-1.750183982372,0.0691756773167675,123.140494613954,8.54879809383517e-22,5.84708311004209e-19,"ENSG00000127774.7","HSCB","TCGA-READ"
-1.58292534962796,3.06073452300305,122.287243913554,9.83952410099103e-22,6.50556535143857e-19,"ENSG00000168040.5","HSCB","TCGA-READ"
-2.19026858774842,-0.897245717711596,115.385295562243,2.05716141004074e-21,1.31625150219865e-18,"ENSG00000258734.2","HSCB","TCGA-READ"
-3.13132061009401,-0.819430339567833,110.471206049956,2.69651647912804e-21,1.67141888635952e-18,"ENSG00000243312.3","HSCB","TCGA-READ"
-2.95656543897743,-1.03497612008939,106.781831843977,7.25778108874965e-21,4.36236629985907e-18,"ENSG00000213082.3","HSCB","TCGA-READ"
1.50671608700871,2.05668957774359,115.29701216565,8.3260887502952e-21,4.85729324594427e-18,"ENSG00000256393.1","HSCB","TCGA-READ"
-2.66793022947227,8.53303893338269,114.722461065307,9.16086365435174e-21,5.19159230240191e-18,"ENSG00000167996.16","HSCB","TCGA-READ"
-2.74518828437255,-0.0559607641561619,112.667272262329,1.01495232238461e-20,5.59210536513852e-18,"ENSG00000284194.3","HSCB","TCGA-READ"
-1.35584504857741,2.71636443451681,113.829612709227,1.21717455762811e-20,6.52504252717663e-18,"ENSG00000110801.14","HSCB","TCGA-READ"
-2.44767574741157,-0.533040988101172,110.793573295804,1.3189043247925e-20,6.88433349533138e-18,"ENSG00000259051.1","HSCB","TCGA-READ"
-3.28741009258819,-0.460505714948886,106.395567251587,1.80019326738016e-20,9.15559832268856e-18,"ENSG00000242616.4","HSCB","TCGA-READ"
-2.59613545244283,-0.791204072444821,107.056901440893,2.20461057184076e-20,1.09321126731154e-17,"ENSG00000231007.5","HSCB","TCGA-READ"
-1.70947046560757,3.93659464385622,111.691018897909,2.29684074350228e-20,1.11116673530165e-17,"ENSG00000174021.11","HSCB","TCGA-READ"
-2.36576653105025,8.22462515573823,111.005789746929,2.82002823146066e-20,1.30267677384826e-17,"ENSG00000233041.8","HSCB","TCGA-READ"
-1.92876474409781,8.11046762999367,111.001105642649,2.82405350519159e-20,1.30267677384826e-17,"ENSG00000251562.8","HSCB","TCGA-READ"
-2.17820633704176,-1.66487022141032,101.292810753152,3.12648767972063e-20,1.40940643471043e-17,"ENSG00000214019.2","HSCB","TCGA-READ"
-2.645413340389,3.49429152903924,109.312629502631,4.79516965909279e-20,2.11360422640234e-17,"ENSG00000088766.12","HSCB","TCGA-READ"
-3.68041412672655,0.97395990040832,108.086105616705,5.02886175885917e-20,2.16842332580373e-17,"ENSG00000211594.2","HSCB","TCGA-READ"
-3.62802637775496,-1.17106022286071,97.7839932566716,5.38882753227407e-20,2.2741998745246e-17,"ENSG00000240972.2","HSCB","TCGA-READ"
0.841410568122906,7.61233415343558,108.619469536324,5.85169809525824e-20,2.41809232748848e-17,"ENSG00000100380.14","HSCB","TCGA-READ"
-3.51625699452736,5.05468230021029,108.470187903316,6.15128054373435e-20,2.49001325683614e-17,"ENSG00000101084.18","HSCB","TCGA-READ"
1.97782435702001,0.758125197855609,107.823604664842,6.83650171302201e-20,2.71204022955583e-17,"ENSG00000213261.3","HSCB","TCGA-READ"
