"logFC","logCPM","F","PValue","FDR","gene_ensembl","grouping_gene","project_id"
-4.01872061273812,-0.473821106613202,248.575285365941,1.80867306787456e-39,2.56689924702128e-35,"ENSG00000242616.4","HSPA9","TCGA-READ"
-4.95088252952856,0.143858491023616,242.325879867449,2.56433491210917e-39,2.56689924702128e-35,"ENSG00000242327.1","HSPA9","TCGA-READ"
-6.52544635510298,0.752967323703832,237.181841780504,9.83797702740736e-39,6.56521000295651e-35,"ENSG00000220583.1","HSPA9","TCGA-READ"
-4.77504930526936,-1.11450159476228,233.716703124226,1.38092489580025e-37,6.91152910348024e-34,"ENSG00000219222.1","HSPA9","TCGA-READ"
-3.41078751140476,-1.4733139854217,215.499972493922,5.86420877081975e-37,2.34802919183623e-33,"ENSG00000240975.1","HSPA9","TCGA-READ"
-3.83024729695222,-0.800526269066155,221.180945389024,8.18802391775282e-37,2.73207064722352e-33,"ENSG00000228847.1","HSPA9","TCGA-READ"
-4.06634194675119,-1.22380049493162,213.780292190827,1.44766466969548e-36,4.14032095532907e-33,"ENSG00000213361.2","HSPA9","TCGA-READ"
-4.68138862382841,-0.635459941095397,213.283091261102,2.32112218542423e-36,5.80860826902414e-33,"ENSG00000213867.4","HSPA9","TCGA-READ"
-5.52902834451928,-0.482391969912948,217.206051653814,2.37869653812131e-35,5.29127829924319e-32,"ENSG00000211678.2","HSPA9","TCGA-READ"
-4.34377423962878,-0.24013512180178,205.631850667814,1.1908522052314e-34,2.22406058132272e-31,"ENSG00000233287.1","HSPA9","TCGA-READ"
-3.86834735939593,-1.39187932226159,197.776598863988,1.27082410507273e-34,2.22406058132272e-31,"ENSG00000233839.1","HSPA9","TCGA-READ"
-4.06076859422124,-0.606441315383896,203.044018313566,1.33310324554808e-34,2.22406058132272e-31,"ENSG00000214748.2","HSPA9","TCGA-READ"
-3.70305431960262,-0.829196655993898,201.564872468644,2.82164966799067e-34,4.34534048870563e-31,"ENSG00000243312.3","HSPA9","TCGA-READ"
-4.5883721924271,-0.0467813272060289,200.549733886933,4.4184856925444e-34,6.31843454033849e-31,"ENSG00000232203.3","HSPA9","TCGA-READ"
-4.993074900856,0.0732099292799427,196.217329682451,5.67466690345384e-34,7.5737887604764e-31,"ENSG00000214259.3","HSPA9","TCGA-READ"
-4.35297977454823,0.647479415770074,216.875103104854,6.86786243413479e-34,8.59341287071115e-31,"ENSG00000213820.3","HSPA9","TCGA-READ"
-4.77035882416917,-1.1827633286124,194.444267435728,9.88548503396807e-33,1.16416123752965e-29,"ENSG00000240972.2","HSPA9","TCGA-READ"
-2.85265745605624,-1.21112943922594,192.473981599227,1.1909162816272e-32,1.32456355323203e-29,"ENSG00000243498.2","HSPA9","TCGA-READ"
-4.80053471593534,0.287924466263675,188.890546365776,2.27004374820524e-32,2.39190925468783e-29,"ENSG00000176343.5","HSPA9","TCGA-READ"
-4.85782028945575,0.60032475579937,190.811605650239,4.48914041898677e-32,4.49362955940575e-29,"ENSG00000226532.1","HSPA9","TCGA-READ"
-3.72051391041075,0.608361471600492,203.727050333393,1.43878874613653e-31,1.37164527131683e-28,"ENSG00000240652.1","HSPA9","TCGA-READ"
-4.01975683966882,-0.437915745406357,180.38864499235,2.16551422362524e-31,1.88703727329355e-28,"ENSG00000206172.8","HSPA9","TCGA-READ"
-3.9146769361951,-0.658648956903865,178.517599831339,2.16792493934824e-31,1.88703727329355e-28,"ENSG00000214297.3","HSPA9","TCGA-READ"
-4.43368784466748,-0.118421566450858,176.679577842786,5.59725544274079e-31,4.66904391515294e-28,"ENSG00000237730.1","HSPA9","TCGA-READ"
-3.70264838146954,-0.103053438885112,185.18617951435,1.11519992555251e-30,8.93052100382453e-28,"ENSG00000250568.1","HSPA9","TCGA-READ"
-4.42741523584649,-0.0327931697604341,172.97873696286,2.3270688959139e-30,1.7918430498537e-27,"ENSG00000271303.2","HSPA9","TCGA-READ"
-3.69049480163873,-1.27941006956764,165.696061036046,2.6881331055811e-30,1.99320091754569e-27,"ENSG00000231416.1","HSPA9","TCGA-READ"
-4.70878749658471,-1.27860257729022,171.803176314275,9.06212406904031e-30,6.47941870936382e-27,"ENSG00000213816.3","HSPA9","TCGA-READ"
-2.48257950033408,-1.86227604193152,160.050901155234,1.40464609283587e-29,9.69690164778416e-27,"ENSG00000261614.1","HSPA9","TCGA-READ"
-4.27754718251649,1.03132642980845,181.715750632836,2.32691685198505e-29,1.55282917922469e-26,"ENSG00000213293.4","HSPA9","TCGA-READ"
-4.04371551206118,-0.630641698744373,161.006052969873,3.65709151785328e-29,2.36177329636848e-26,"ENSG00000256817.1","HSPA9","TCGA-READ"
-3.47297545392314,-0.468796844836345,169.134786098575,4.19962842809084e-29,2.62739253532433e-26,"ENSG00000169253.3","HSPA9","TCGA-READ"
-3.18760940203932,-1.0444808628973,161.798624834268,6.89454345566166e-29,4.18268969643474e-26,"ENSG00000228462.1","HSPA9","TCGA-READ"
-2.87437599539021,-0.224086764069181,173.765876122171,1.96998215894217e-28,1.15997184770654e-25,"ENSG00000267533.1","HSPA9","TCGA-READ"
-3.02898335149855,-0.137275454792002,172.219003735283,2.55526277997746e-28,1.46161031014711e-25,"ENSG00000213977.8","HSPA9","TCGA-READ"
-3.68008604700694,1.59169478845579,178.904942815176,2.67975864168361e-28,1.49024355573628e-25,"ENSG00000285976.2","HSPA9","TCGA-READ"
-2.90149553164267,4.70790411693241,177.704509355644,3.59786474675883e-28,1.94673654675978e-25,"ENSG00000169564.7","HSPA9","TCGA-READ"
-4.37777053990119,0.393065892776863,162.187021657903,4.02930452837758e-28,2.12280728047682e-25,"ENSG00000219146.1","HSPA9","TCGA-READ"
-3.01913294040749,0.150238852450132,173.193685312765,4.24130969440119e-28,2.12606965146521e-25,"ENSG00000248098.12","HSPA9","TCGA-READ"
-2.54162866311801,2.49113453712671,177.333775729344,4.2478914115189e-28,2.12606965146521e-25,"ENSG00000186010.19","HSPA9","TCGA-READ"
-3.21377104740669,-1.04706976083942,155.312601179332,4.49236259794101e-28,2.19358778562876e-25,"ENSG00000213082.3","HSPA9","TCGA-READ"
-3.53272285285102,-0.841695899737648,153.92179426315,7.23008513579636e-28,3.38974985628052e-25,"ENSG00000210049.1","HSPA9","TCGA-READ"
-3.85104810521763,-0.396136097352554,156.16332014789,7.28068150949362e-28,3.38974985628052e-25,"ENSG00000244485.1","HSPA9","TCGA-READ"
-3.58930705862262,1.87098524879479,175.263517244378,7.46814736755082e-28,3.39800705223562e-25,"ENSG00000240950.1","HSPA9","TCGA-READ"
-4.64177484556774,1.84423243546246,171.50689758176,8.28519386496124e-28,3.68599069281164e-25,"ENSG00000225616.2","HSPA9","TCGA-READ"
-2.80876280048266,0.441540369457603,172.322273149947,1.13096480154364e-27,4.92215550584863e-25,"ENSG00000277654.6","HSPA9","TCGA-READ"
-2.44099153076628,0.971607957968547,172.859816317243,1.48647935958447e-27,6.33176952742152e-25,"ENSG00000243989.9","HSPA9","TCGA-READ"
-4.34714570078059,0.220520851938913,155.667929873299,1.54745324794304e-27,6.45416958829576e-25,"ENSG00000239223.3","HSPA9","TCGA-READ"
-3.0972378400714,2.12962630243201,172.070213757768,1.67977812524141e-27,6.86309348312919e-25,"ENSG00000213763.4","HSPA9","TCGA-READ"
-3.52384560040348,2.55812658606399,171.830538781055,1.75876471354007e-27,7.04209391301445e-25,"ENSG00000213315.5","HSPA9","TCGA-READ"
-2.81838046519888,-2.10789509101305,141.513900919337,2.27164845935255e-27,8.91733375612509e-25,"ENSG00000272115.1","HSPA9","TCGA-READ"
-3.95127896747117,-0.245489803414541,150.257930083504,5.56946470342205e-27,2.14424391081749e-24,"ENSG00000213269.2","HSPA9","TCGA-READ"
-5.02346339842289,1.26314376953919,155.628936507455,6.46346836758995e-27,2.44148371168209e-24,"ENSG00000211676.2","HSPA9","TCGA-READ"
-4.17742276713401,5.03129217980027,165.549206051249,7.56262537878466e-27,2.80377333487535e-24,"ENSG00000101084.18","HSPA9","TCGA-READ"
-3.10162656788853,-0.952027253812661,147.643725380539,1.12898097825009e-26,4.08109419263845e-24,"ENSG00000237676.1","HSPA9","TCGA-READ"
-3.75131528317924,1.09783610381222,162.064227264876,1.14156480912964e-26,4.08109419263845e-24,"ENSG00000214612.3","HSPA9","TCGA-READ"
-2.58680849630477,0.314676553676023,163.369496491936,1.18744729902653e-26,4.17064823272123e-24,"ENSG00000240463.1","HSPA9","TCGA-READ"
-3.08679458975525,-0.788755931543706,149.445229319661,1.24114173547858e-26,4.28407888694502e-24,"ENSG00000231684.3","HSPA9","TCGA-READ"
-3.03717938383683,8.51301446463379,163.446381108892,1.27070081521534e-26,4.31176785095102e-24,"ENSG00000167996.16","HSPA9","TCGA-READ"
-4.6529757254532,1.35605508273072,157.257779145789,1.31994701390364e-26,4.40422320305847e-24,"ENSG00000234985.2","HSPA9","TCGA-READ"
-3.05471170405104,2.08923782030405,163.600548644104,1.41323743471932e-26,4.6381989250952e-24,"ENSG00000239264.9","HSPA9","TCGA-READ"
-3.18359518326796,-0.0763231636935111,156.419724595728,1.50349805539255e-26,4.85484372079983e-24,"ENSG00000214541.3","HSPA9","TCGA-READ"
-3.52928774786229,2.52545171313609,163.247214163869,1.52970313927712e-26,4.86105664259173e-24,"ENSG00000258429.2","HSPA9","TCGA-READ"
-2.82974702277364,-0.852984135693827,149.447886607682,2.04617237380186e-26,6.33405174932165e-24,"ENSG00000228399.1","HSPA9","TCGA-READ"
-2.30064513611909,0.654044598082661,162.386425079347,2.05658672281458e-26,6.33405174932165e-24,"ENSG00000164898.13","HSPA9","TCGA-READ"
-3.85678484417226,1.05340912035412,158.971495218979,2.0881489283478e-26,6.33405174932165e-24,"ENSG00000231369.1","HSPA9","TCGA-READ"
-2.29394410832277,2.84287611293418,161.259933641269,2.31258008820364e-26,6.91012736803535e-24,"ENSG00000175768.13","HSPA9","TCGA-READ"
-3.3215825481038,0.809265723417425,158.970793039927,2.96784368299833e-26,8.73768096082745e-24,"ENSG00000241360.2","HSPA9","TCGA-READ"
-2.88201392088486,-0.553311694028458,149.018047195041,5.88067541861436e-26,1.70624814319796e-23,"ENSG00000213493.3","HSPA9","TCGA-READ"
-3.59474139906727,-0.706680439220636,140.470075427552,6.24067140436182e-26,1.78483202164748e-23,"ENSG00000237077.1","HSPA9","TCGA-READ"
-3.86610225998946,0.447713217330284,149.842677777803,7.25244516354901e-26,2.04498524189086e-23,"ENSG00000213613.2","HSPA9","TCGA-READ"
-3.38039742481638,-0.256625860880345,146.784335949444,8.07864935482216e-26,2.24631333449361e-23,"ENSG00000227304.3","HSPA9","TCGA-READ"
-3.35333192517022,1.47029184073253,156.407480260006,8.57784575823403e-26,2.35244482301158e-23,"ENSG00000235297.3","HSPA9","TCGA-READ"
-2.17519252175859,-1.80441539108742,136.192821821197,9.08978597483921e-26,2.45915561103083e-23,"ENSG00000288012.1","HSPA9","TCGA-READ"
-1.98201961042783,-0.905649340137197,149.633421633038,1.0924740836238e-25,2.91617748721981e-23,"ENSG00000218980.2","HSPA9","TCGA-READ"
-4.20575157358857,0.959189160141797,149.425809447832,1.29675147685899e-25,3.41591639035749e-23,"ENSG00000211594.2","HSPA9","TCGA-READ"
-1.70487811389636,1.63960898489661,154.580649921921,1.41379174810148e-25,3.67585854506386e-23,"ENSG00000229833.10","HSPA9","TCGA-READ"
-2.69253836585686,2.98803632237078,153.1670885338,1.91578843873043e-25,4.91719032607478e-23,"ENSG00000124614.16","HSPA9","TCGA-READ"
-2.99994210183733,3.47737662867159,152.823201795879,2.07443132144259e-25,5.25697658927604e-23,"ENSG00000088766.12","HSPA9","TCGA-READ"
-2.61301304944646,-0.659519821342349,145.477180921338,2.16869569978323e-25,5.42716098870754e-23,"ENSG00000230216.1","HSPA9","TCGA-READ"
-2.70477929580555,4.60391307087616,151.405081643665,2.94367509910567e-25,7.27560191161674e-23,"ENSG00000130748.7","HSPA9","TCGA-READ"
-2.61623165291432,2.91536355749508,150.612220710314,3.77187546925611e-25,9.2088959627448e-23,"ENSG00000141933.9","HSPA9","TCGA-READ"
-3.52411354560079,1.31989773587965,149.6479074265,4.46706712078846e-25,1.06476124377256e-22,"ENSG00000241547.1","HSPA9","TCGA-READ"
-2.56016447934668,-0.737702225121341,142.791901130989,4.46752969415061e-25,1.06476124377256e-22,"ENSG00000270781.1","HSPA9","TCGA-READ"
-2.928792836315,-0.508527436823742,141.530497162955,5.4267028048053e-25,1.27814811943767e-22,"ENSG00000233668.1","HSPA9","TCGA-READ"
-2.96720264852868,0.446332397384213,147.398577546291,6.33979923681179e-25,1.47584628745316e-22,"ENSG00000168282.6","HSPA9","TCGA-READ"
