ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,-0.0231891542954141,7.63398210590392,0.0370110580715305,0.847673337254387,0.928211302948939,ENSG00000000003.15,HSPB1,TCGA-READ,TSPAN6
ENSG00000000005,-0.449041709705878,1.04216426206497,2.34420380893861,0.127640423927819,0.312708235105643,ENSG00000000005.6,HSPB1,TCGA-READ,TNMD
ENSG00000000419,0.135635495496876,5.96491374318962,1.60003372686444,0.207638548185882,0.418850420365185,ENSG00000000419.13,HSPB1,TCGA-READ,DPM1
ENSG00000000457,-0.150394756450112,3.91861999496314,4.4951405639283,0.0354503626293758,0.13754767369645,ENSG00000000457.14,HSPB1,TCGA-READ,SCYL3
ENSG00000000460,-0.285167665515133,3.53616628922313,9.72367755182849,0.00213873952720459,0.0220721342902604,ENSG00000000460.17,HSPB1,TCGA-READ,C1orf112
ENSG00000000938,0.103287192947213,2.82164667815199,0.317187798063671,0.574049711226192,0.75667021548759394,ENSG00000000938.13,HSPB1,TCGA-READ,FGR
ENSG00000000971,0.321676614760012,4.52833153098202,3.03685607854866,0.0832112670806739,0.237171655135991,ENSG00000000971.16,HSPB1,TCGA-READ,CFH
ENSG00000001036,-0.0202045815262376,6.17375749874675,0.0742313440643503,0.785605075362291,0.895262131491108,ENSG00000001036.14,HSPB1,TCGA-READ,FUCA2
ENSG00000001084,0.0170832384741668,5.63451760340482,0.0442921391457541,0.833564366865491,0.920432098080345,ENSG00000001084.13,HSPB1,TCGA-READ,GCLC
ENSG00000001167,-0.0107979827974905,5.15620006325961,0.0222742577721959,0.881537643428031,0.946257431912184,ENSG00000001167.14,HSPB1,TCGA-READ,NFYA
ENSG00000001460,0.0791538549361084,3.28881336242926,0.83133652381313,0.363185208180209,0.584996488299575,ENSG00000001460.18,HSPB1,TCGA-READ,STPG1
ENSG00000001461,0.0110427106022212,5.31396849460476,0.022115569243227,0.881957244488816,0.946359075241614,ENSG00000001461.17,HSPB1,TCGA-READ,NIPAL3
ENSG00000001497,0.0559790267696039,6.23985656189879,0.416836073958606,0.519394978194053,0.715199466035463,ENSG00000001497.18,HSPB1,TCGA-READ,LAS1L
ENSG00000001561,0.138859308817183,4.94738052115036,1.25431925757765,0.26431716687622,0.484612793517279,ENSG00000001561.7,HSPB1,TCGA-READ,ENPP4
