"logFC","logCPM","F","PValue","FDR","gene_ensembl","grouping_gene","project_id"
-4.95743266002901,-0.0328015440717129,321.958062219973,2.07356035521813e-48,4.13613084055361e-44,"ENSG00000271303.2","HSPD1","TCGA-READ"
-4.86356021810036,-0.118523963199821,272.917079393687,3.15840016213414e-43,3.15003040170449e-39,"ENSG00000237730.1","HSPD1","TCGA-READ"
-5.37622848816663,0.0731572900638988,257.282592125261,8.83440755845827e-42,5.8739975856189e-38,"ENSG00000214259.3","HSPD1","TCGA-READ"
-6.51264111719742,0.753189901765985,252.625278036668,8.17685486942297e-41,4.02516821464917e-37,"ENSG00000220583.1","HSPD1","TCGA-READ"
-4.18940941972879,-0.658948874108877,251.39364867281,1.00896581306692e-40,4.02516821464917e-37,"ENSG00000214297.3","HSPD1","TCGA-READ"
-4.661944220745,-1.11518126227653,241.587740201042,3.40099105382484e-39,1.13065947584407e-35,"ENSG00000219222.1","HSPD1","TCGA-READ"
-4.13758275866176,-1.22445861715416,231.880573181916,6.56544781435808e-39,1.87087125075715e-35,"ENSG00000213361.2","HSPD1","TCGA-READ"
-4.08835673375435,-0.606751588464742,234.166077257592,2.14744624707142e-38,5.35438878629171e-35,"ENSG00000214748.2","HSPD1","TCGA-READ"
-4.5810903806979,-0.635874046533151,217.175797895181,5.14982250395228e-37,1.14137232762596e-33,"ENSG00000213867.4","HSPD1","TCGA-READ"
-4.79188482279211,0.143751230028873,221.213474274824,1.44459070730302e-36,2.88152508385734e-33,"ENSG00000242327.1","HSPD1","TCGA-READ"
-5.03040360914674,1.35625256207048,241.348350886874,3.74149152378126e-36,6.68919584934651e-33,"ENSG00000234985.2","HSPD1","TCGA-READ"
-3.4180062127918,-1.04766324986648,216.494936519223,4.02418159082359e-36,6.68919584934651e-33,"ENSG00000213082.3","HSPD1","TCGA-READ"
-4.6175083332617,0.220511219382484,221.091874178449,6.21945708683123e-36,9.54303927007866e-33,"ENSG00000239223.3","HSPD1","TCGA-READ"
-3.18798008503489,-0.137447191594034,242.320557708945,9.74934002601477e-36,1.38907203927798e-32,"ENSG00000213977.8","HSPD1","TCGA-READ"
-4.32210773362097,-0.240362180017001,213.485784486557,1.48844360341273e-35,1.97933230381825e-32,"ENSG00000233287.1","HSPD1","TCGA-READ"
-4.91820181240411,-1.1834782572387,219.710490171106,1.91749506153381e-35,2.39051712452593e-32,"ENSG00000240972.2","HSPD1","TCGA-READ"
-3.83798481665909,-1.39256737844047,199.186416040538,5.88491309121175e-35,6.90508008414122e-32,"ENSG00000233839.1","HSPD1","TCGA-READ"
-4.87580442782729,1.84453788224693,239.844222377463,7.11835780925226e-35,7.88832684561971e-32,"ENSG00000225616.2","HSPD1","TCGA-READ"
-3.74381081277915,-0.800912689620579,205.327458978642,9.28415799259572e-35,9.26545919417703e-32,"ENSG00000228847.1","HSPD1","TCGA-READ"
-6.05034414015816,-0.482750225615629,230.880296167394,9.70987048901123e-35,9.26545919417703e-32,"ENSG00000211678.2","HSPD1","TCGA-READ"
-4.80978909413589,0.287877608682478,208.343644967709,9.75458179564434e-35,9.26545919417703e-32,"ENSG00000176343.5","HSPD1","TCGA-READ"
-4.53772666134912,-0.0469067814656247,203.429320694953,2.41890247888892e-34,2.19317489756352e-31,"ENSG00000232203.3","HSPD1","TCGA-READ"
-2.86508244011162,-1.21167941862998,205.141093622412,3.88243205432028e-34,3.36708139945768e-31,"ENSG00000243498.2","HSPD1","TCGA-READ"
-5.622173818011,3.38933360908094,237.645234284403,4.70910224859371e-34,3.91385260636245e-31,"ENSG00000210140.1","HSPD1","TCGA-READ"
-3.88079251919355,1.59208769037953,231.346932528655,1.65165843954587e-33,1.31782523574486e-30,"ENSG00000285976.2","HSPD1","TCGA-READ"
-3.24384565682186,0.446281014776068,225.372774257145,2.66731620536141e-33,2.04634447493631e-30,"ENSG00000168282.6","HSPD1","TCGA-READ"
-3.78334280144409,-0.474136006614358,199.300229522487,2.8129444227035e-33,2.07814082961729e-30,"ENSG00000242616.4","HSPD1","TCGA-READ"
-3.10399587200662,0.150070070595594,220.591329398355,4.9868138136623e-33,3.55257054075435e-30,"ENSG00000248098.12","HSPD1","TCGA-READ"
-4.50926910689216,0.393071356970936,198.019923514799,1.35110647856931e-32,9.29328307862827e-30,"ENSG00000219146.1","HSPD1","TCGA-READ"
-3.22575200540944,-1.04499370029336,190.486398183841,1.41996740047302e-32,9.44136324574514e-30,"ENSG00000228462.1","HSPD1","TCGA-READ"
-2.95763126141894,4.60447828350563,215.631614359288,5.30654723307699e-32,3.41450637607054e-29,"ENSG00000130748.7","HSPD1","TCGA-READ"
-3.19717739370049,-1.47403079505618,178.179685460687,5.75489302961161e-32,3.58727660192696e-29,"ENSG00000240975.1","HSPD1","TCGA-READ"
-4.11473406559777,-0.631061248903523,179.938392102102,8.35869073534515e-32,5.05244860902817e-29,"ENSG00000256817.1","HSPD1","TCGA-READ"
-3.00799124782988,4.70859850998816,211.279352694293,1.39360431866775e-31,8.17594863072516e-29,"ENSG00000169564.7","HSPD1","TCGA-READ"
-3.24136712179651,2.08969380342583,211.767657309718,1.55542393887214e-31,8.86458323105216e-29,"ENSG00000239264.9","HSPD1","TCGA-READ"
-2.75887563049889,-0.589502751290865,196.607898829751,2.5330269054482e-31,1.40350799119375e-28,"ENSG00000214269.3","HSPD1","TCGA-READ"
-2.76128586777209,1.41208374597247,208.083166311189,3.73751636355166e-31,2.01492537577743e-28,"ENSG00000272325.2","HSPD1","TCGA-READ"
-3.23121223051484,3.47763064114584,206.06868702413,4.70796603539196e-31,2.47131048705167e-28,"ENSG00000088766.12","HSPD1","TCGA-READ"
-3.05327994756527,-0.972110492009829,181.758930733314,5.34058122682615e-31,2.73150189055132e-28,"ENSG00000249489.1","HSPD1","TCGA-READ"
-2.60878510408632,2.49152040061215,205.381159943571,5.76270482101122e-31,2.87371682661777e-28,"ENSG00000186010.19","HSPD1","TCGA-READ"
-2.53339418961477,0.565725165237747,205.476112444334,6.35424511603538e-31,3.03068638015191e-28,"ENSG00000168802.14","HSPD1","TCGA-READ"
-2.91493581890774,-0.224292917508397,196.925167288246,6.38135198106884e-31,3.03068638015191e-28,"ENSG00000267533.1","HSPD1","TCGA-READ"
-3.20416204810851,2.13005475621669,205.073925646151,6.90292266348536e-31,3.20215345043122e-28,"ENSG00000213763.4","HSPD1","TCGA-READ"
