"logFC","logCPM","F","PValue","FDR","gene_ensembl","grouping_gene","project_id"
-4.83477369038409,-0.480959358836844,195.292711028387,3.22043147075376e-34,6.34972473088519e-30,"ENSG00000211678.2","HSPE1","TCGA-READ"
-3.69834206413407,-0.432579611751592,144.575010055899,2.46655532925382e-26,2.43165357134488e-22,"ENSG00000211905.1","HSPE1","TCGA-READ"
-3.90764743862956,-0.0307640779262329,129.193646806345,5.56710333979648e-24,3.65888588502557e-20,"ENSG00000271303.2","HSPE1","TCGA-READ"
-3.91622831598237,0.960944302163112,126.838921889628,1.07734579127373e-22,5.31050674163602e-19,"ENSG00000211594.2","HSPE1","TCGA-READ"
-2.40064781669448,-0.588044558630855,116.056149589698,1.81936926147997e-21,7.17450074572011e-18,"ENSG00000214269.3","HSPE1","TCGA-READ"
-2.1546335485598,0.566763220347717,119.236917247652,2.63283913867844e-21,8.65194821622048e-18,"ENSG00000168802.14","HSPE1","TCGA-READ"
-3.37739524444193,1.30326048856191,115.82726643737,6.24591835444414e-21,1.75929674563679e-17,"ENSG00000240041.1","HSPE1","TCGA-READ"
-3.04856071496777,-0.501718041275617,108.898464380846,8.6497585125693e-21,1.90070437971634e-17,"ENSG00000211593.2","HSPE1","TCGA-READ"
-1.67527759243301,3.31540281320652,114.714090930877,9.32339890944169e-21,1.90070437971634e-17,"ENSG00000135766.9","HSPE1","TCGA-READ"
0.979161586368225,5.83387802923002,114.574352251645,9.6399268637031e-21,1.90070437971634e-17,"ENSG00000182004.13","HSPE1","TCGA-READ"
-2.62989097457937,2.09160488514125,114.504327606036,1.06174919295326e-20,1.90313716704176e-17,"ENSG00000239264.9","HSPE1","TCGA-READ"
-2.91130137476448,1.1284206234865,106.686709140849,1.10495131343338e-19,1.81552708724716e-16,"ENSG00000242887.1","HSPE1","TCGA-READ"
-2.55905582426288,0.447436129969232,104.882823882357,1.7149835237407e-19,2.60110231827657e-16,"ENSG00000168282.6","HSPE1","TCGA-READ"
-3.32152328931886,2.16584378966972,103.880679435509,2.74868184390185e-19,3.79499554219552e-16,"ENSG00000211597.2","HSPE1","TCGA-READ"
-3.48872188493317,-1.27776862049524,92.9120072631838,2.88709910903955e-19,3.79499554219552e-16,"ENSG00000213816.3","HSPE1","TCGA-READ"
-2.33826277992128,4.71028074505579,101.380078861252,5.61616225795812e-19,6.92086695251001e-16,"ENSG00000169564.7","HSPE1","TCGA-READ"
-2.38634011204819,-0.223046607928527,99.42557141564,6.49081798086603e-19,7.52820341933739e-16,"ENSG00000267533.1","HSPE1","TCGA-READ"
-2.43133799875582,0.151049905063178,100.020030743262,7.19186759966308e-19,7.79914605436751e-16,"ENSG00000248098.12","HSPE1","TCGA-READ"
-2.49042480703652,8.51501972873722,100.420079811934,7.5923629724283e-19,7.79914605436751e-16,"ENSG00000167996.16","HSPE1","TCGA-READ"
0.834025792026889,8.02374400270132,100.290282074225,7.91108794884365e-19,7.79914605436751e-16,"ENSG00000122565.19","HSPE1","TCGA-READ"
1.17051732566307,3.26001847457935,99.8787488617165,9.12903793930486e-19,8.57129719282257e-16,"ENSG00000179967.11","HSPE1","TCGA-READ"
-2.87349661898454,1.59402118536228,98.9470272378895,1.30411555649144e-18,1.16878392851554e-15,"ENSG00000285976.2","HSPE1","TCGA-READ"
-2.73585911815406,0.810970819466921,98.5137137902929,1.37887533010948e-18,1.18205586451168e-15,"ENSG00000241360.2","HSPE1","TCGA-READ"
-2.02159245735116,3.1498604030887,98.3495034799996,1.48472048254716e-18,1.21975973976593e-15,"ENSG00000213638.6","HSPE1","TCGA-READ"
2.00534951397139,3.61723596301958,97.5546916758175,1.92186702935998e-18,1.44241662947995e-15,"ENSG00000137970.7","HSPE1","TCGA-READ"
-2.35663228653048,0.56321655458337,97.5344335156391,1.95216843523742e-18,1.44241662947995e-15,"ENSG00000265982.1","HSPE1","TCGA-READ"
1.4130805437714,-1.29597397718729,91.1663814682916,1.97521169528624e-18,1.44241662947995e-15,"ENSG00000229133.1","HSPE1","TCGA-READ"
-4.1078178947028,3.7324501999304,96.3895869939569,2.86209378556424e-18,2.01542511321322e-15,"ENSG00000184709.7","HSPE1","TCGA-READ"
-1.24086953197387,5.51258855957034,96.0168370100187,3.09929554297022e-18,2.04080320591093e-15,"ENSG00000165804.16","HSPE1","TCGA-READ"
0.777778295687214,4.45746079316097,96.0153933348116,3.10514257632134e-18,2.04080320591093e-15,"ENSG00000144034.16","HSPE1","TCGA-READ"
-2.46887189283202,3.4786853346786,95.2538752511391,4.00903992265316e-18,2.54987871467588e-15,"ENSG00000088766.12","HSPE1","TCGA-READ"
-2.06126285480539,-0.90723661821846,91.5224177982944,4.7146040028829e-18,2.90493272265131e-15,"ENSG00000258734.2","HSPE1","TCGA-READ"
-3.99765897065653,1.26504615997224,93.2154619007447,5.27899380277137e-18,3.1541188124013e-15,"ENSG00000211676.2","HSPE1","TCGA-READ"
-1.41988585297158,1.08274087156761,94.3184096362529,5.86989139568854e-18,3.40401907790561e-15,"ENSG00000272933.1","HSPE1","TCGA-READ"
-3.89817746426786,1.37164647607593,92.2656137368171,8.47573703438161e-18,4.77474591734007e-15,"ENSG00000184956.16","HSPE1","TCGA-READ"
-1.27998508557154,2.96910243830645,91.2747819539063,1.46043810825001e-17,7.8336699395329e-15,"ENSG00000160226.16","HSPE1","TCGA-READ"
-2.56390394672143,-1.0463452519123,86.0208252506303,1.48278481900606e-17,7.8336699395329e-15,"ENSG00000213082.3","HSPE1","TCGA-READ"
-2.64771729598681,0.000337976877540657,90.0808315758428,1.54302337125459e-17,7.8336699395329e-15,"ENSG00000211644.3","HSPE1","TCGA-READ"
0.777428703006597,9.53429603095785,91.068763919165,1.54949093493829e-17,7.8336699395329e-15,"ENSG00000144381.18","HSPE1","TCGA-READ"
-2.91475188553793,2.24792682938299,90.8019151598361,1.78678398702456e-17,8.80750496804082e-15,"ENSG00000197582.5","HSPE1","TCGA-READ"
-2.19989460786141,0.442772222818787,90.3494947655118,2.02762796454411e-17,9.7509123358332e-15,"ENSG00000277654.6","HSPE1","TCGA-READ"
0.897793408322428,4.25832868087288,90.0185449597379,2.1937027724043e-17,1.02983898960704e-14,"ENSG00000160124.9","HSPE1","TCGA-READ"
0.980069251967852,-0.494375282875755,88.4683549885993,2.42364356876774e-17,1.1113251219859e-14,"ENSG00000256968.1","HSPE1","TCGA-READ"
