"logFC","logCPM","F","PValue","FDR","gene_ensembl","grouping_gene","project_id"
5.06497158848328,1.84614783800858,301.187770707597,1.39206934881306e-51,3.60003054296544e-47,"ENSG00000005381.8","CCT6A","TCGA-STAD"
0.81872170566062,7.64884109663146,243.098983187047,1.71285867573487e-43,2.21481191065897e-39,"ENSG00000146731.11","CCT6A","TCGA-STAD"
4.86397474653583,1.77344441006628,234.023794526957,1.82096591879235e-42,1.56973332086296e-38,"ENSG00000197561.7","CCT6A","TCGA-STAD"
-5.22243823369021,4.4919105352189,205.294125985889,4.13146157015328e-38,2.67109319164335e-34,"ENSG00000172005.11","CCT6A","TCGA-STAD"
1.98484302904465,5.7190402130546,187.689529209549,1.59914171341691e-35,8.27108077013494e-32,"ENSG00000130348.11","CCT6A","TCGA-STAD"
-3.14270809803265,-0.330346481387596,170.372946621856,4.6550625902242e-33,2.00640956076313e-29,"ENSG00000224958.6","CCT6A","TCGA-STAD"
-2.3796287100873,2.03800891083782,165.500209177625,4.18744476599181e-32,1.54702155847592e-28,"ENSG00000068976.14","CCT6A","TCGA-STAD"
-1.8244532862185,1.67393762692591,163.375221047045,9.01316884300083e-32,2.91361949311056e-28,"ENSG00000134201.12","CCT6A","TCGA-STAD"
-3.64181443004655,0.103883216923491,161.01012643892,1.3196926290493e-31,3.792063453316e-28,"ENSG00000111405.9","CCT6A","TCGA-STAD"
-1.50940659452107,4.10140273966455,161.580503571034,1.66461397622024e-31,4.30485820390316e-28,"ENSG00000184113.9","CCT6A","TCGA-STAD"
-5.6922939233097,2.80636017595058,159.88394962689,2.86325296102395e-31,6.73150771136732e-28,"ENSG00000170423.13","CCT6A","TCGA-STAD"
-4.32539682819752,2.01478976812347,158.643720669481,5.00154863976005e-31,1.07787541144029e-27,"ENSG00000134548.11","CCT6A","TCGA-STAD"
-1.31916783778405,2.5960058064443,157.230054821644,8.17247008438637e-31,1.62575576040243e-27,"ENSG00000161281.11","CCT6A","TCGA-STAD"
-1.56829127097877,4.72228283043048,152.764305022859,4.15833796338403e-30,7.63005730213994e-27,"ENSG00000105270.15","CCT6A","TCGA-STAD"
-2.26444190993518,-0.0934610666931053,152.732112698691,4.42561616070914e-30,7.63005730213994e-27,"ENSG00000115556.14","CCT6A","TCGA-STAD"
-2.62061847274971,1.02249264281144,152.332335692054,5.22361104200525e-30,8.44298782233111e-27,"ENSG00000162706.13","CCT6A","TCGA-STAD"
-2.14353186468264,-1.47117585194798,147.5366326894,1.59838603464571e-29,2.4315212495278e-26,"ENSG00000267505.1","CCT6A","TCGA-STAD"
-5.35221156065981,3.00262103684503,148.899767572865,1.78007829499321e-29,2.45915187920952e-26,"ENSG00000187021.15","CCT6A","TCGA-STAD"
-1.33762831306933,4.53307252570462,148.787891542633,1.80673159216507e-29,2.45915187920952e-26,"ENSG00000136732.16","CCT6A","TCGA-STAD"
-1.81774052941367,5.24302700943277,148.604003365265,1.9339892704502e-29,2.50074482615563e-26,"ENSG00000072163.20","CCT6A","TCGA-STAD"
0.59251162807314,5.30862256518441,147.477868635805,2.93774880082237e-29,3.61776770181272e-26,"ENSG00000138035.15","CCT6A","TCGA-STAD"
0.475030385337195,7.50008389787475,147.165465520673,3.29949184245908e-29,3.87855266081065e-26,"ENSG00000082898.18","CCT6A","TCGA-STAD"
-1.68359379076833,3.00429769314392,146.985114629832,3.55215182665798e-29,3.99400862561748e-26,"ENSG00000168309.18","CCT6A","TCGA-STAD"
0.564524256686808,4.45344407621077,145.422990237154,6.31587903544336e-29,6.79584777590873e-26,"ENSG00000086827.9","CCT6A","TCGA-STAD"
-3.37041619291205,3.2529424658025,145.367328221238,6.56959105980891e-29,6.79584777590873e-26,"ENSG00000119147.10","CCT6A","TCGA-STAD"
-2.92346424888621,2.0295838661914,145.218226283206,7.10269253769541e-29,7.06472045066696e-26,"ENSG00000128218.8","CCT6A","TCGA-STAD"
-2.00133765713524,-0.85299289681422,142.069241222068,2.06069729053825e-28,1.97376639372629e-25,"ENSG00000254510.2","CCT6A","TCGA-STAD"
-1.60535770928053,2.9474452428572,141.934231019986,2.34469230400327e-28,2.16557455977959e-25,"ENSG00000068831.19","CCT6A","TCGA-STAD"
-1.95729626020538,4.63507876659672,141.123011966267,3.16172332429374e-28,2.81949403067449e-25,"ENSG00000109846.9","CCT6A","TCGA-STAD"
-4.23319896326465,2.4214284303139,141.080271579098,3.36966324314089e-28,2.90476203769555e-25,"ENSG00000214711.10","CCT6A","TCGA-STAD"
-2.69809209787336,-1.14290518834254,138.477318495767,4.60616069585156e-28,3.84257812114249e-25,"ENSG00000115665.9","CCT6A","TCGA-STAD"
-2.33598370203738,1.92578646258591,140.063388064722,4.85322035223104e-28,3.92216036028272e-25,"ENSG00000007312.13","CCT6A","TCGA-STAD"
-2.26194640166434,0.437384088143243,139.816165749134,5.53746042123642e-28,4.33952315010894e-25,"ENSG00000082293.13","CCT6A","TCGA-STAD"
-1.68825676125187,1.14943739303891,138.922446848267,7.5655385319544e-28,5.75448211690802e-25,"ENSG00000163815.6","CCT6A","TCGA-STAD"
0.602257513681932,7.6810530431121,138.669429246724,7.9648868400348e-28,5.85274507051824e-25,"ENSG00000138095.19","CCT6A","TCGA-STAD"
-2.22354137416387,1.71304351144199,138.699358897999,8.14735789562108e-28,5.85274507051824e-25,"ENSG00000166292.12","CCT6A","TCGA-STAD"
0.498348354029414,5.24071075540007,137.916466251847,1.05871674280963e-27,7.3998577529189e-25,"ENSG00000120253.14","CCT6A","TCGA-STAD"
-2.25943112125681,0.311581055912127,137.346460495682,1.4030889159468e-27,9.54875854086848e-25,"ENSG00000253250.3","CCT6A","TCGA-STAD"
0.613556192303787,4.32960331495288,136.420778775703,1.86626867371241e-27,1.23752754284299e-24,"ENSG00000185238.13","CCT6A","TCGA-STAD"
0.436160169808097,7.54530194578602,135.719680871917,2.43413225734917e-27,1.57372735768267e-24,"ENSG00000135829.17","CCT6A","TCGA-STAD"
-2.21572097810507,4.71558422489601,135.335787746647,2.81914714653656e-27,1.77819425259956e-24,"ENSG00000145936.9","CCT6A","TCGA-STAD"
-7.40143398746933,7.96479212354238,134.966272975518,3.26430085689357e-27,2.00995439190773e-24,"ENSG00000170477.13","CCT6A","TCGA-STAD"
-3.83739587570361,4.88366326030426,134.776581085045,3.49917527708331e-27,2.07313461043635e-24,"ENSG00000105427.10","CCT6A","TCGA-STAD"
-2.47306849249981,-1.29587873342041,133.27334625313,3.52723880975985e-27,2.07313461043635e-24,"ENSG00000092009.10","CCT6A","TCGA-STAD"
-1.45861097323194,3.90278292714943,134.478386755812,3.90877738379188e-27,2.24633093160537e-24,"ENSG00000154721.15","CCT6A","TCGA-STAD"
-2.24102057428249,6.95265500388221,134.321827264492,4.14181877297308e-27,2.32851250625776e-24,"ENSG00000022267.19","CCT6A","TCGA-STAD"
-2.07797529775322,-1.73668953357767,132.012308030146,4.7473213301874e-27,2.58403264766807e-24,"ENSG00000134020.8","CCT6A","TCGA-STAD"
-1.53135672390072,-0.837228703953995,134.013885443067,4.79782105794985e-27,2.58403264766807e-24,"ENSG00000248309.7","CCT6A","TCGA-STAD"
-5.10228068261617,3.85670591652187,133.979046355123,4.89608289454141e-27,2.58403264766807e-24,"ENSG00000016602.9","CCT6A","TCGA-STAD"
-2.23721472288568,2.46501473597928,133.659182199399,5.4152565058611e-27,2.80087896996148e-24,"ENSG00000108823.16","CCT6A","TCGA-STAD"
-2.00500186439679,1.37178955321527,132.825824670383,7.61326116685792e-27,3.86052053011985e-24,"ENSG00000107317.13","CCT6A","TCGA-STAD"
-1.68113641262908,0.374140032954808,132.577563282254,8.63553569990162e-27,4.294684398753e-24,"ENSG00000288156.1","CCT6A","TCGA-STAD"
-1.0602402560825,3.12955391079822,132.34330396713,8.84419275150213e-27,4.31546544804899e-24,"ENSG00000119865.9","CCT6A","TCGA-STAD"
-2.35381031157858,1.93556121356534,132.172114558669,9.67013323331667e-27,4.55983378535313e-24,"ENSG00000158887.19","CCT6A","TCGA-STAD"
-1.34783569309965,6.06011635646749,132.092112088018,9.69764735294159e-27,4.55983378535313e-24,"ENSG00000140682.19","CCT6A","TCGA-STAD"
0.604763573140909,7.25478967014527,131.983969254184,1.01070610327539e-26,4.66747688157229e-24,"ENSG00000120438.12","CCT6A","TCGA-STAD"
-1.9794504704524,4.20565479799575,131.846921374489,1.06704101976261e-26,4.84118382668087e-24,"ENSG00000170153.11","CCT6A","TCGA-STAD"
-1.73782891254121,4.2697664502015,131.532234684855,1.20285044795326e-26,5.34183167966764e-24,"ENSG00000137094.15","CCT6A","TCGA-STAD"
-3.0192298271654,3.39842326374025,131.520528562974,1.21870024013144e-26,5.34183167966764e-24,"ENSG00000018625.15","CCT6A","TCGA-STAD"
-1.93966964832218,0.759605246729441,131.489447671736,1.29342992552511e-26,5.57489855066749e-24,"ENSG00000127472.11","CCT6A","TCGA-STAD"
-1.99422942518403,0.91151568529675,131.351842886008,1.35692729726882e-26,5.72705142692469e-24,"ENSG00000263264.2","CCT6A","TCGA-STAD"
0.66119258735708,3.95425973867203,131.186707991926,1.37302188031913e-26,5.72705142692469e-24,"ENSG00000138780.15","CCT6A","TCGA-STAD"
0.519620059260973,6.08546315448615,130.5128126546,1.77542298859833e-26,7.28797046160976e-24,"ENSG00000030066.13","CCT6A","TCGA-STAD"
-2.88385745081981,1.42495438306952,130.554738663007,1.83319297471973e-26,7.40753179987919e-24,"ENSG00000104921.15","CCT6A","TCGA-STAD"
-2.01674048773036,-1.77484416142771,128.12375168054,2.26955513150955e-26,9.02968696245668e-24,"ENSG00000235020.5","CCT6A","TCGA-STAD"
-2.5374943964873,1.16918394532501,129.927070889369,2.33719563962305e-26,9.15791158125633e-24,"ENSG00000187912.12","CCT6A","TCGA-STAD"
-2.93805743880853,2.79343412558689,129.648761689066,2.51756277363413e-26,9.71741655058989e-24,"ENSG00000118729.12","CCT6A","TCGA-STAD"
-1.75863572314158,0.529091377514526,129.619922402128,2.66185748067363e-26,1.01232788687795e-23,"ENSG00000241684.6","CCT6A","TCGA-STAD"
-2.28030071676682,-1.56880373010248,127.614476359198,2.84070285704636e-26,1.06468719689965e-23,"ENSG00000147588.7","CCT6A","TCGA-STAD"
-1.96249878291673,0.51865238671123,128.643846844,3.87484774896734e-26,1.42590810219829e-23,"ENSG00000130037.5","CCT6A","TCGA-STAD"
-2.1451027038659,-1.55907318787455,127.072247722574,3.91475485310231e-26,1.42590810219829e-23,"ENSG00000267405.1","CCT6A","TCGA-STAD"
