ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,-0.0504067650659616,5.41300345364035,0.211492609791329,0.645840132275074,0.802122670307531,ENSG00000000003.15,DNLZ,TCGA-STAD,TSPAN6
ENSG00000000419,-0.0311479327223825,5.54274668893829,0.271233112570816,0.602782712823265,0.772080395177499,ENSG00000000419.13,DNLZ,TCGA-STAD,DPM1
ENSG00000000457,-0.00748580722765349,3.94328924199838,0.0259933457621739,0.87199479882487,0.936233809962912,ENSG00000000457.14,DNLZ,TCGA-STAD,SCYL3
ENSG00000000460,0.0575701342503999,3.23158185476788,0.671522163933328,0.412990586835936,0.629097681635508,ENSG00000000460.17,DNLZ,TCGA-STAD,C1orf112
ENSG00000000938,-0.0410658392009175,3.41535602592058,0.155157392004067,0.693856466278402,0.832627759534083,ENSG00000000938.13,DNLZ,TCGA-STAD,FGR
ENSG00000000971,-0.412893282393842,6.19666340095768,10.0696726052915,0.00161911869868877,0.0172959822089503,ENSG00000000971.16,DNLZ,TCGA-STAD,CFH
ENSG00000001036,-0.00340395072662034,5.98730653920579,0.00292310725337512,0.956908704645777,0.979844557107894,ENSG00000001036.14,DNLZ,TCGA-STAD,FUCA2
ENSG00000001084,-0.0522582214312496,5.56530954464351,0.661320871689172,0.416558915758827,0.631875717933561,ENSG00000001084.13,DNLZ,TCGA-STAD,GCLC
ENSG00000001167,-0.0523979369107689,5.13649694431587,0.605562415992666,0.43690565261441,0.64968626838501,ENSG00000001167.14,DNLZ,TCGA-STAD,NFYA
ENSG00000001460,0.053293804024331,3.15532009485886,0.781851835718555,0.377086091986768,0.59721452682322,ENSG00000001460.18,DNLZ,TCGA-STAD,STPG1
ENSG00000001461,-0.00126697074894342,5.33157032920946,4.4689240193601e-4,0.983144242147518,0.991546382417873,ENSG00000001461.17,DNLZ,TCGA-STAD,NIPAL3
ENSG00000001497,0.0546558685792128,5.23287563416688,1.07363009692647,0.300728498868566,0.52553466953611,ENSG00000001497.18,DNLZ,TCGA-STAD,LAS1L
ENSG00000001561,-0.223554647972495,4.87177714333905,5.90780359202456,0.0154955108726608,0.0811153676580186,ENSG00000001561.7,DNLZ,TCGA-STAD,ENPP4
ENSG00000001617,0.133000484604435,5.8058299054652,1.85947333762406,0.173422599222171,0.377401145205638,ENSG00000001617.12,DNLZ,TCGA-STAD,SEMA3F
ENSG00000001626,-0.263954775053543,5.86529025707525,1.64406464885131,0.200482334621562,0.412354493517928,ENSG00000001626.16,DNLZ,TCGA-STAD,CFTR
ENSG00000001629,-0.128213590258247,6.4197765099516,1.79337066193356,0.181246822189867,0.387197300201882,ENSG00000001629.10,DNLZ,TCGA-STAD,ANKIB1
ENSG00000001630,-0.273136076000984,2.38607360819886,4.01113681149626,0.0458494688804221,0.163498864413661,ENSG00000001630.17,DNLZ,TCGA-STAD,CYP51A1
ENSG00000001631,0.0348867596156707,3.14931424468941,0.114843323878267,0.734867031876274,0.859006701915727,ENSG00000001631.16,DNLZ,TCGA-STAD,KRIT1
ENSG00000002016,0.155550865283436,3.22384619340871,7.07679092378816,0.00811071999853465,0.0525297987842387,ENSG00000002016.18,DNLZ,TCGA-STAD,RAD52
ENSG00000002079,-0.122998166019285,0.0764741388871128,0.521770416567043,0.470497022228382,0.676443578466103,ENSG00000002079.14,DNLZ,TCGA-STAD,MYH16
ENSG00000002330,-0.00261088606293769,3.57683648238721,0.00115203299590564,0.972939984584784,0.987627095644506,ENSG00000002330.14,DNLZ,TCGA-STAD,BAD
ENSG00000002549,-0.135928201987946,7.0002989012419,2.49780165581792,0.114764888426806,0.29280614370445,ENSG00000002549.12,DNLZ,TCGA-STAD,LAP3
ENSG00000002586,-0.0773831484036283,7.22931435123258,0.956525268291397,0.328631955510201,0.551643628430396,ENSG00000002586.20,DNLZ,TCGA-STAD,CD99
ENSG00000002586,-0.0773831484036283,7.22931435123258,0.956525268291397,0.328631955510201,0.551643628430396,ENSG00000002586.20,DNLZ,TCGA-STAD,CD99
ENSG00000002587,-0.609411140398108,5.05992693325157,21.4867720891374,4.77489711425772e-6,2.0437685599473e-4,ENSG00000002587.10,DNLZ,TCGA-STAD,HS3ST1
ENSG00000002726,-0.177927500947232,7.324438289231,1.21392811339829,0.271192229446036,0.494913466811845,ENSG00000002726.21,DNLZ,TCGA-STAD,AOC1
ENSG00000002745,0.838277398699117,-0.680078227094555,21.1888609829411,5.54335686948427e-6,2.2965246735891e-4,ENSG00000002745.13,DNLZ,TCGA-STAD,WNT16
ENSG00000002746,0.147459130114223,0.553643235540599,1.35930889781315,0.244329728227139,0.464830023846094,ENSG00000002746.15,DNLZ,TCGA-STAD,HECW1
ENSG00000002822,0.0621793498362635,-0.234373534957298,0.338887844483925,0.560790428392527,0.742714091109182,ENSG00000002822.15,DNLZ,TCGA-STAD,MAD1L1
ENSG00000002834,0.161288170853264,8.46241192351777,5.04908686210994,0.0251621702263484,0.111147175793972,ENSG00000002834.18,DNLZ,TCGA-STAD,LASP1
ENSG00000002919,-0.0133920171362088,4.29849150555653,0.109079691392376,0.741360505773311,0.863332102925471,ENSG00000002919.15,DNLZ,TCGA-STAD,SNX11
ENSG00000002933,0.0664483638531044,7.3428988828981,0.256051913294244,0.613113489127076,0.779487638133804,ENSG00000002933.9,DNLZ,TCGA-STAD,TMEM176A
ENSG00000003056,-0.146552094869726,5.74360137303586,4.45715100113157,0.0353510342437591,0.137955506668787,ENSG00000003056.8,DNLZ,TCGA-STAD,M6PR
ENSG00000003096,0.117833974008648,2.67628252108343,0.471718048976758,0.492580654867401,0.69339005839055,ENSG00000003096.14,DNLZ,TCGA-STAD,KLHL13
ENSG00000003137,0.103625367068947,2.51232751588633,0.42559170950308,0.514520480304838,0.709043031165112,ENSG00000003137.8,DNLZ,TCGA-STAD,CYP26B1
ENSG00000003147,-0.0509344002925379,5.29862126966497,0.365367541344568,0.545869573311991,0.732105499595076,ENSG00000003147.19,DNLZ,TCGA-STAD,ICA1
ENSG00000003249,0.285866390266812,4.99092829860332,4.77701344523271,0.0293987053813291,0.122751846335937,ENSG00000003249.15,DNLZ,TCGA-STAD,DBNDD1
ENSG00000003393,-0.0528432720177952,4.88797578805532,1.22091189762841,0.269820048064716,0.493497811398288,ENSG00000003393.15,DNLZ,TCGA-STAD,ALS2
ENSG00000003400,-0.0971752575663972,5.52999241287462,1.19370611466011,0.275215196206213,0.498736828175721,ENSG00000003400.15,DNLZ,TCGA-STAD,CASP10
ENSG00000003402,-0.0913416345924604,6.90101731054631,2.79587658690328,0.0952585408349354,0.260948427172725,ENSG00000003402.20,DNLZ,TCGA-STAD,CFLAR
ENSG00000003436,0.143255196282185,5.72771893060057,1.35993929380767,0.244215735435854,0.464745110845765,ENSG00000003436.16,DNLZ,TCGA-STAD,TFPI
ENSG00000003509,0.038179998622438,3.55638163976276,1.02233124480441,0.312554189269781,0.537349050515176,ENSG00000003509.16,DNLZ,TCGA-STAD,NDUFAF7
ENSG00000003756,0.0178777538863675,5.63611149247573,0.131912634815452,0.71664151049655,0.846565064740521,ENSG00000003756.17,DNLZ,TCGA-STAD,RBM5
ENSG00000003987,-0.133790364457747,0.819140229523147,1.83921528216277,0.175782403716699,0.380635424377588,ENSG00000003987.14,DNLZ,TCGA-STAD,MTMR7
ENSG00000003989,-0.608487824511507,5.46031099214405,6.09983762869225,0.0139195817165671,0.0759571494821897,ENSG00000003989.18,DNLZ,TCGA-STAD,SLC7A2
ENSG00000004059,-0.0133233821173305,6.07575128778758,0.0436218952742927,0.834660828814233,0.916088834746778,ENSG00000004059.11,DNLZ,TCGA-STAD,ARF5
