"logFC","logCPM","F","PValue","FDR","gene_ensembl","grouping_gene","project_id"
5.31565706802037,1.90116863141975,362.68135737598,3.39068637148704e-59,8.95921059938019e-55,"ENSG00000005381.8","HSP90AB1","TCGA-STAD"
0.91347970732962,10.4777691596848,341.588474778157,4.0576219265901e-56,5.36072720831451e-52,"ENSG00000096384.20","HSP90AB1","TCGA-STAD"
5.15275754802907,1.82953791799389,283.433818726807,3.13773414410155e-49,2.76361164298651e-45,"ENSG00000197561.7","HSP90AB1","TCGA-STAD"
0.964947253368447,6.18970311930799,260.893920657434,6.56651628240667e-46,4.33767649325079e-42,"ENSG00000124571.18","HSP90AB1","TCGA-STAD"
0.845792976687568,4.70929510240606,209.974269173493,8.18046718454011e-39,4.32304968834207e-35,"ENSG00000124608.5","HSP90AB1","TCGA-STAD"
2.06304347763552,5.72218696812543,208.132313583816,1.51420913009939e-38,6.66832464076936e-35,"ENSG00000130348.11","HSP90AB1","TCGA-STAD"
2.9453480765058,-1.0286999201208,177.172185737111,1.04955179998346e-34,3.96175817299469e-31,"ENSG00000287781.1","HSP90AB1","TCGA-STAD"
0.658281793928951,6.77494168312136,176.985782739644,6.73973812816499e-34,2.22605125700629e-30,"ENSG00000146223.16","HSP90AB1","TCGA-STAD"
0.631451466767478,5.97864745769814,168.227474922245,1.5156923783796e-32,4.44990441265824e-29,"ENSG00000096401.8","HSP90AB1","TCGA-STAD"
0.80864841008875,4.38091689196112,163.421951299016,8.54031690110188e-32,2.25660793477815e-28,"ENSG00000112578.10","HSP90AB1","TCGA-STAD"
0.698756657787502,5.13588922174653,156.524964272425,1.0464672205674e-30,2.51370939718657e-27,"ENSG00000001167.14","HSP90AB1","TCGA-STAD"
0.871047459440321,2.45491274461538,154.345280656376,2.3549999083948e-30,5.18551354829298e-27,"ENSG00000183199.6","HSP90AB1","TCGA-STAD"
1.10486274990473,7.05384540544429,148.953152684933,1.69899563949847e-29,3.45327398326678e-26,"ENSG00000008838.20","HSP90AB1","TCGA-STAD"
-1.84533268898926,1.69156674679722,147.79714594836,2.6946345984875e-29,5.08573785684537e-26,"ENSG00000134201.12","HSP90AB1","TCGA-STAD"
-2.27513579608853,-1.72358402289495,144.333371713626,3.19341617681908e-29,5.62530904267271e-26,"ENSG00000134020.8","HSP90AB1","TCGA-STAD"
-4.39800593126219,1.98201150060841,145.490625833152,6.15091739078392e-29,1.01578556385427e-25,"ENSG00000134548.11","HSP90AB1","TCGA-STAD"
0.591567302595443,7.26950722643948,145.036397849865,7.29293092936839e-29,1.13353596439236e-25,"ENSG00000175216.15","HSP90AB1","TCGA-STAD"
-5.64645624958348,2.96630082883097,144.626497562011,8.12405474688341e-29,1.192566103205e-25,"ENSG00000187021.15","HSP90AB1","TCGA-STAD"
-3.11380078239983,-0.301392457988037,143.305726636123,1.00776835725634e-28,1.40148754230443e-25,"ENSG00000224958.6","HSP90AB1","TCGA-STAD"
2.61865233278607,-0.87679624655113,141.158448927157,1.57483011361455e-28,2.08058680460186e-25,"ENSG00000275152.5","HSP90AB1","TCGA-STAD"
0.828678403550846,6.54102842664912,141.00770813412,3.29941905228315e-28,4.15145474373703e-25,"ENSG00000137216.19","HSP90AB1","TCGA-STAD"
-1.85204729776434,-2.45530313793994,134.846044058878,5.79816728981048e-28,6.86749274870788e-25,"ENSG00000267532.5","HSP90AB1","TCGA-STAD"
-1.31640640875083,2.60537953888593,139.453194110232,5.97783496273251e-28,6.86749274870788e-25,"ENSG00000161281.11","HSP90AB1","TCGA-STAD"
2.68537515699865,3.15554959303131,138.300765788666,9.29911537314559e-28,9.90652932090659e-25,"ENSG00000101680.15","HSP90AB1","TCGA-STAD"
-1.77725714958618,-2.40980155128891,134.065170774824,9.3730171828583e-28,9.90652932090659e-25,"ENSG00000230138.2","HSP90AB1","TCGA-STAD"
-2.39599768275756,6.98238719300561,137.547851468685,1.21705717350014e-27,1.23685775751516e-24,"ENSG00000022267.19","HSP90AB1","TCGA-STAD"
-2.33385986683285,-0.120847699955844,137.258324675294,1.37596008838039e-27,1.34655531167685e-24,"ENSG00000171819.5","HSP90AB1","TCGA-STAD"
-1.62690606412619,-0.821896527624149,136.256780490885,1.99096292990823e-27,1.85824451256442e-24,"ENSG00000248309.7","HSP90AB1","TCGA-STAD"
-1.54423744254498,-1.29856987778492,135.790803155429,2.03947662507544e-27,1.85824451256442e-24,"ENSG00000189134.4","HSP90AB1","TCGA-STAD"
-2.36281755796219,0.46220894443525,135.293301918669,3.02282064629231e-27,2.66239966456606e-24,"ENSG00000082293.13","HSP90AB1","TCGA-STAD"
3.79799495051782,2.04295209913468,134.083299849985,4.78940001895326e-27,4.08226828067103e-24,"ENSG00000156076.10","HSP90AB1","TCGA-STAD"
-1.65070602528129,2.96793066178603,133.566295594518,5.55704762520568e-27,4.5885584187753e-24,"ENSG00000068831.19","HSP90AB1","TCGA-STAD"
-2.29105048775811,2.06569555265272,132.560750107345,8.30422583552427e-27,6.64916846218357e-24,"ENSG00000068976.14","HSP90AB1","TCGA-STAD"
0.676178073438396,7.10011664580791,131.693921073795,1.12923325259922e-26,8.7758030098321e-24,"ENSG00000204394.13","HSP90AB1","TCGA-STAD"
0.534851957893604,6.06643924027559,131.364601300773,1.28093291028888e-26,9.67031151101804e-24,"ENSG00000153207.16","HSP90AB1","TCGA-STAD"
-1.39054088938192,2.64853359394338,131.102379925134,1.42742876319757e-26,1.04769306138804e-23,"ENSG00000112799.9","HSP90AB1","TCGA-STAD"
-1.33178066427655,4.54638724105352,130.460556306537,1.81164984445985e-26,1.29376280649088e-23,"ENSG00000136732.16","HSP90AB1","TCGA-STAD"
0.456093666214299,7.49815687396701,130.170667619704,2.02430448356366e-26,1.40758414129481e-23,"ENSG00000082898.18","HSP90AB1","TCGA-STAD"
0.676569622950303,4.72777478655256,129.627374803301,2.4942982533104e-26,1.68991904480053e-23,"ENSG00000171453.20","HSP90AB1","TCGA-STAD"
