"logFC","logCPM","F","PValue","FDR","gene_ensembl","grouping_gene","project_id"
4.52067879110829,-2.12063206782725,847.357465048518,8.16380882842495e-131,2.46089853324042e-126,"ENSG00000234638.1","HSPB7","TCGA-STAD"
5.42048790315636,0.426016417148785,1078.04021630975,7.04402388778922e-126,1.06167528036759e-121,"ENSG00000280323.1","HSPB7","TCGA-STAD"
7.07859348229985,1.83601794699823,1021.32820284689,2.17975981478803e-123,2.19022266189902e-119,"ENSG00000197561.7","HSPB7","TCGA-STAD"
3.59392392466117,7.9832471106685,1151.20284233211,6.32845633795801e-122,4.76912469628516e-118,"ENSG00000077157.22","HSPB7","TCGA-STAD"
3.5258979137238,2.94890271736519,1147.64376207998,1.48085776915693e-121,8.9277953186933e-118,"ENSG00000229619.4","HSPB7","TCGA-STAD"
3.53929955346399,2.27633020603767,1074.69913225775,4.14647143237951e-117,2.08318724762747e-113,"ENSG00000121577.14","HSPB7","TCGA-STAD"
4.53858915650286,3.38889928977767,1043.48765926038,2.84512684254926e-115,1.22519290774007e-111,"ENSG00000122367.20","HSPB7","TCGA-STAD"
3.96969972046943,0.802816528309119,1040.6215659995,3.25553553764561e-115,1.22668579058486e-111,"ENSG00000261616.1","HSPB7","TCGA-STAD"
5.45045070461039,-0.116434844930876,850.575792286623,3.99277437235092e-115,1.3373132297794e-111,"ENSG00000172232.10","HSPB7","TCGA-STAD"
3.85444417234483,8.52449504712392,1014.53082875525,1.13829210079289e-113,3.4312677086301e-110,"ENSG00000065534.19","HSPB7","TCGA-STAD"
2.70449859662016,8.71519170668241,1013.28956525042,1.36391635467889e-113,3.73762678140367e-110,"ENSG00000159176.14","HSPB7","TCGA-STAD"
3.16229598761798,2.85858514712953,933.118958937347,2.95959725263449e-108,7.43450829861783e-105,"ENSG00000118407.15","HSPB7","TCGA-STAD"
3.66248155699676,2.0507819396248,931.101365029004,6.45933430123964e-108,1.49777056289667e-104,"ENSG00000068976.14","HSPB7","TCGA-STAD"
4.82875375385982,-0.371494471761114,794.90325699995,3.07143103061135e-107,6.61322978476775e-104,"ENSG00000166407.14","HSPB7","TCGA-STAD"
6.46218225991293,1.90789120982904,868.150511502235,6.7235011419053e-107,1.35115478947729e-103,"ENSG00000005381.8","HSPB7","TCGA-STAD"
3.03391915942256,4.28278298230517,905.30854588899,1.84238607108966e-106,3.47105535793292e-103,"ENSG00000137094.15","HSPB7","TCGA-STAD"
3.79051547144751,-0.521846550409963,843.928148710297,8.53343529316844e-106,1.51312866751335e-102,"ENSG00000143318.13","HSPB7","TCGA-STAD"
3.01401368945478,1.73023102967812,892.526838514871,2.51823319918711e-105,4.0748663217406e-102,"ENSG00000197361.8","HSPB7","TCGA-STAD"
2.76480585428879,5.34906896487905,888.395714415467,2.56842025322026e-105,4.0748663217406e-102,"ENSG00000165410.15","HSPB7","TCGA-STAD"
4.9130708094679,-0.0958774409673041,783.754584017663,2.16507549907014e-104,3.26320179219852e-101,"ENSG00000185681.13","HSPB7","TCGA-STAD"
2.69409945770345,7.44393103662334,868.864412323222,5.92924902780765e-104,8.51101346163019e-101,"ENSG00000183963.19","HSPB7","TCGA-STAD"
3.68692383253546,0.324323966926621,841.431755824267,2.77353605818414e-102,3.80024867899558e-99,"ENSG00000253250.3","HSPB7","TCGA-STAD"
4.79859915197657,8.58395611155225,834.3597890278,1.72278441316873e-101,2.25789623263297e-98,"ENSG00000172403.11","HSPB7","TCGA-STAD"
