ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,0.198794870655224,5.4164026142728,3.45033974589157,0.0639448349433667,0.0993047644260294,ENSG00000000003.15,HSPE1,TCGA-STAD,TSPAN6
ENSG00000000419,0.419129763431067,5.54706263715479,56.7718932706493,3.08018357045855e-13,4.65824780222731e-12,ENSG00000000419.13,HSPE1,TCGA-STAD,DPM1
ENSG00000000457,-0.062403540192015,3.94669132324064,1.78947027474268,0.181721233973281,0.246878414857591,ENSG00000000457.14,HSPE1,TCGA-STAD,SCYL3
ENSG00000000460,0.247266363156219,3.23876048123176,12.7586791818295,3.9580405948347e-4,0.00105490421067873,ENSG00000000460.17,HSPE1,TCGA-STAD,C1orf112
ENSG00000000938,-0.57473176356275,3.4060371908392,33.3625644269322,1.49931886222368e-8,9.34196432580899e-8,ENSG00000000938.13,HSPE1,TCGA-STAD,FGR
ENSG00000000971,-0.967058539529824,6.18374980329594,62.5821951309679,2.32935341138548e-14,4.46812336183942e-13,ENSG00000000971.16,HSPE1,TCGA-STAD,CFH
ENSG00000001036,0.446557521509795,5.98971711301199,59.451960512134,9.3203744844725e-14,1.58290326482912e-12,ENSG00000001036.14,HSPE1,TCGA-STAD,FUCA2
ENSG00000001084,0.145378993893432,5.57033057066516,5.23119197695424,0.0226864426053137,0.0399622603162458,ENSG00000001084.13,HSPE1,TCGA-STAD,GCLC
ENSG00000001167,0.121356195544759,5.14146847321058,3.31272997547766,0.0694632997905672,0.106946152120496,ENSG00000001167.14,HSPE1,TCGA-STAD,NFYA
ENSG00000001460,0.0338152134668358,3.15613179992485,0.322758277745027,0.570261211793355,0.643633121053317,ENSG00000001460.18,HSPE1,TCGA-STAD,STPG1
ENSG00000001461,-0.282927429971832,5.33237642332512,23.6923794705865,1.60737256845895e-6,6.88333357575982e-6,ENSG00000001461.17,HSPE1,TCGA-STAD,NIPAL3
ENSG00000001497,0.147430885664148,5.2364641989173,7.95305080203144,0.00503011936124675,0.0103842672317535,ENSG00000001497.18,HSPE1,TCGA-STAD,LAS1L
ENSG00000001561,0.149559638619296,4.87826875617978,2.72569420371603,0.0994994770571334,0.146633441771352,ENSG00000001561.7,HSPE1,TCGA-STAD,ENPP4
ENSG00000001617,-0.282395651626123,5.80789952145178,8.49875114022111,0.00374589499332544,0.00798367518779463,ENSG00000001617.12,HSPE1,TCGA-STAD,SEMA3F
ENSG00000001626,-0.407567523933203,5.87535963103905,4.01513525015299,0.0457412273563178,0.0740728723228883,ENSG00000001626.16,HSPE1,TCGA-STAD,CFTR
ENSG00000001629,-0.113096308460791,6.42243514766371,1.43319435869307,0.231925216705188,0.304117907457459,ENSG00000001629.10,HSPE1,TCGA-STAD,ANKIB1
ENSG00000001630,-0.212780308228521,2.39270950718831,2.50217677804004,0.114449447641436,0.165384844485145,ENSG00000001630.17,HSPE1,TCGA-STAD,CYP51A1
ENSG00000001631,0.167484439382249,3.15104572142823,2.76065882228946,0.0973617809334161,0.143828664283569,ENSG00000001631.16,HSPE1,TCGA-STAD,KRIT1
ENSG00000002016,0.0937703779088113,3.22708459984797,2.5516534955152,0.110938090402585,0.161016516309056,ENSG00000002016.18,HSPE1,TCGA-STAD,RAD52
ENSG00000002079,-0.662414567947384,0.0790284906184855,15.4577763594881,9.89510929078118e-5,2.9912149861817e-4,ENSG00000002079.14,HSPE1,TCGA-STAD,MYH16
ENSG00000002330,0.0715974767679451,3.5751988949487,0.909414698018973,0.340823370053111,0.421593489595292,ENSG00000002330.14,HSPE1,TCGA-STAD,BAD
ENSG00000002549,-0.122790514082062,7.00239993528927,2.09374705756743,0.148655623215088,0.207460292200537,ENSG00000002549.12,HSPE1,TCGA-STAD,LAP3
ENSG00000002586,-0.0195179208173661,7.22265248953119,0.0651217214674379,0.798702730279044,0.842328142313159,ENSG00000002586.20,HSPE1,TCGA-STAD,CD99
ENSG00000002586,-0.0195179208173661,7.22265248953119,0.0651217214674379,0.798702730279044,0.842328142313159,ENSG00000002586.20,HSPE1,TCGA-STAD,CD99
ENSG00000002587,-0.0154310243548945,5.06472746083382,0.0141620933954813,0.905329131393127,0.926871199460202,ENSG00000002587.10,HSPE1,TCGA-STAD,HS3ST1
ENSG00000002726,-0.173810028659616,7.3277543507631,1.1957922447223,0.274796774718468,0.351645477327621,ENSG00000002726.21,HSPE1,TCGA-STAD,AOC1
ENSG00000002745,0.168502494044307,-0.678994155902917,0.813492231954389,0.367616808419445,0.448821613760258,ENSG00000002745.13,HSPE1,TCGA-STAD,WNT16
ENSG00000002746,-0.0884500779701963,0.542438950132318,0.507584316643771,0.476588451269692,0.555974187369548,ENSG00000002746.15,HSPE1,TCGA-STAD,HECW1
ENSG00000002822,-0.652947987244598,-0.236532441344095,39.9440517264614,6.80073658809335e-10,5.458594872518631e-9,ENSG00000002822.15,HSPE1,TCGA-STAD,MAD1L1
ENSG00000002834,-0.0861332031281837,8.46589657582512,1.42482794109919,0.233290282301242,0.305786263576944,ENSG00000002834.18,HSPE1,TCGA-STAD,LASP1
ENSG00000002919,-0.111160360171109,4.29764640689974,8.00014434203052,0.00490339528775055,0.0101520567324296,ENSG00000002919.15,HSPE1,TCGA-STAD,SNX11
ENSG00000002933,-0.0395682748611212,7.33955871346822,0.0936667964166139,0.759719359824906,0.809828966389762,ENSG00000002933.9,HSPE1,TCGA-STAD,TMEM176A
ENSG00000003056,-0.151472662772192,5.74381100019297,4.93162970480683,0.0269071130591743,0.0464964362796123,ENSG00000003056.8,HSPE1,TCGA-STAD,M6PR
ENSG00000003096,-0.47549218574312,2.66382561617951,7.83523749360278,0.00536226334605355,0.0110113434873998,ENSG00000003096.14,HSPE1,TCGA-STAD,KLHL13
ENSG00000003137,-0.227949391615482,2.51104758841405,2.09342492853854,0.148687533217994,0.207482868029448,ENSG00000003137.8,HSPE1,TCGA-STAD,CYP26B1
ENSG00000003147,0.241447425237418,5.30402808093156,8.61149900996913,0.00352539409576963,0.00755916370844378,ENSG00000003147.19,HSPE1,TCGA-STAD,ICA1
ENSG00000003249,0.444419445421427,4.99640668843922,12.0698495403208,5.6621220728442e-4,0.00145710283609393,ENSG00000003249.15,HSPE1,TCGA-STAD,DBNDD1
ENSG00000003393,0.11878350391931,4.89205097991521,6.20850093888905,0.0131021754601822,0.0245189355585572,ENSG00000003393.15,HSPE1,TCGA-STAD,ALS2
ENSG00000003400,0.305930231527044,5.53848361414242,12.4658530513295,4.6076500592124e-4,0.00121030545076913,ENSG00000003400.15,HSPE1,TCGA-STAD,CASP10
ENSG00000003402,-0.178657283164386,6.90002801535919,11.33899805056,8.2956472734602e-4,0.00205347439547175,ENSG00000003402.20,HSPE1,TCGA-STAD,CFLAR
ENSG00000003436,0.00674164620186858,5.72143450173335,0.00311096351503537,0.955547008960246,0.966051890543685,ENSG00000003436.16,HSPE1,TCGA-STAD,TFPI
ENSG00000003509,0.299577075158154,3.55979038348374,71.7849454189349,4.18786307181673e-16,1.13988533043515e-14,ENSG00000003509.16,HSPE1,TCGA-STAD,NDUFAF7
ENSG00000003756,-0.0419149495918155,5.63950944167184,0.719320518338043,0.396854357049819,0.478191800808969,ENSG00000003756.17,HSPE1,TCGA-STAD,RBM5
ENSG00000003987,0.255774025904554,0.81791191086233,7.24212594404805,0.00740980524480604,0.0147352494406815,ENSG00000003987.14,HSPE1,TCGA-STAD,MTMR7
ENSG00000003989,-0.756395674245677,5.42385300458574,9.95486424509042,0.00172072147018223,0.0039633574998943,ENSG00000003989.18,HSPE1,TCGA-STAD,SLC7A2
ENSG00000004059,0.0788420629093873,6.07641588523595,1.58738277672269,0.208406437330645,0.277429959349708,ENSG00000004059.11,HSPE1,TCGA-STAD,ARF5
ENSG00000004139,-0.437213776376078,2.96312504600286,36.793622079634,2.9535148011123304e-9,2.09180861652357e-8,ENSG00000004139.14,HSPE1,TCGA-STAD,SARM1
ENSG00000004142,0.194384669993737,6.76834533467069,14.6052256419991,1.5278030644838e-4,4.4373753799979e-4,ENSG00000004142.12,HSPE1,TCGA-STAD,POLDIP2
ENSG00000004399,-0.539285570839369,7.14765909438454,41.452004295027,3.3342123911957203e-10,2.82583071393917e-9,ENSG00000004399.13,HSPE1,TCGA-STAD,PLXND1
ENSG00000004455,0.220770290446717,6.69342069071349,22.5627163148992,2.80410709446383e-6,1.14468850977377e-5,ENSG00000004455.17,HSPE1,TCGA-STAD,AK2
ENSG00000004468,-0.310873854934781,4.14964056549515,3.53217286620989,0.0608873167216366,0.0951646209501135,ENSG00000004468.13,HSPE1,TCGA-STAD,CD38
ENSG00000004478,0.358671692675063,6.81996978401096,17.9201166676447,2.83692106037119e-5,9.53533744963556e-5,ENSG00000004478.8,HSPE1,TCGA-STAD,FKBP4
ENSG00000004487,0.247762077466363,6.37592780315058,20.0220644775796,9.89283022693024e-6,3.62242672824219e-5,ENSG00000004487.17,HSPE1,TCGA-STAD,KDM1A
ENSG00000004534,0.0351881021726178,5.64784261050752,0.472990486700201,0.491997688636805,0.570317718006229,ENSG00000004534.15,HSPE1,TCGA-STAD,RBM6
ENSG00000004660,0.200784244137034,3.06034094260184,6.94334857586705,0.00872739865596712,0.0170849209197011,ENSG00000004660.15,HSPE1,TCGA-STAD,CAMKK1
ENSG00000004700,-0.247410493524744,4.19152054557331,9.70306284267792,0.00196688044334333,0.00446601837678241,ENSG00000004700.16,HSPE1,TCGA-STAD,RECQL
