ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,-0.00335202916899571,5.41528964497533,0.00100420599607383,0.97473509101743006,0.980586389217192,ENSG00000000003.15,TRAP1,TCGA-STAD,TSPAN6
ENSG00000000419,-0.0267091334956007,5.54818609617998,0.206265515485792,0.649947087509384,0.711720741447818,ENSG00000000419.13,TRAP1,TCGA-STAD,DPM1
ENSG00000000457,0.0864960347641176,3.94670676068637,3.63168559717916,0.0573781489286105,0.0893618530897097,ENSG00000000457.14,TRAP1,TCGA-STAD,SCYL3
ENSG00000000460,0.523903917674826,3.23820932890118,67.2168960246005,3.0485885419214904e-15,1.0490396411987999e-13,ENSG00000000460.17,TRAP1,TCGA-STAD,C1orf112
ENSG00000000938,-0.175583049719046,3.40650917295542,3.13316921370203,0.0774467354972056,0.116436289742041,ENSG00000000938.13,TRAP1,TCGA-STAD,FGR
ENSG00000000971,-0.580564696910336,6.18759504443598,22.4154823923031,3.01562629965555e-6,1.28810465974033e-5,ENSG00000000971.16,TRAP1,TCGA-STAD,CFH
ENSG00000001036,0.15539720810816,5.98979700834487,6.59193577523095,0.0105924863847108,0.0200580298346627,ENSG00000001036.14,TRAP1,TCGA-STAD,FUCA2
ENSG00000001084,0.187894277372597,5.56901284130311,9.26443912534152,0.00248466659483411,0.00550753890573551,ENSG00000001084.13,TRAP1,TCGA-STAD,GCLC
ENSG00000001167,0.415839486673612,5.1406056718204,44.8958133003376,6.76859175168961e-11,8.01669646294656e-10,ENSG00000001167.14,TRAP1,TCGA-STAD,NFYA
ENSG00000001460,0.197689167500788,3.15751472567497,11.7334979400376,6.7487197423959e-4,0.00170783247951865,ENSG00000001460.18,TRAP1,TCGA-STAD,STPG1
ENSG00000001461,0.0626808167786377,5.33263008473898,1.17659648487457,0.278677898371325,0.351624093143989,ENSG00000001461.17,TRAP1,TCGA-STAD,NIPAL3
ENSG00000001497,0.322497951375163,5.23511170789224,43.591601921468,1.23599628285814e-10,1.38931150121964e-9,ENSG00000001497.18,TRAP1,TCGA-STAD,LAS1L
ENSG00000001561,0.14393765419951501,4.87661118500988,2.63500476418673,0.105288894050044,0.152357486831709,ENSG00000001561.7,TRAP1,TCGA-STAD,ENPP4
ENSG00000001617,0.139409694164659,5.80329656894886,2.2094355931533,0.137925967474821,0.192358463582285,ENSG00000001617.12,TRAP1,TCGA-STAD,SEMA3F
ENSG00000001626,-0.0416683650680875,5.87281553140882,0.0444896909412586,0.833048409216065,0.866802940976825,ENSG00000001626.16,TRAP1,TCGA-STAD,CFTR
ENSG00000001629,0.29923964423261,6.41930278672226,10.978898696047,0.00100214122603257,0.00244062100230711,ENSG00000001629.10,TRAP1,TCGA-STAD,ANKIB1
ENSG00000001630,0.594087327954446,2.38573244047306,22.1190203908095,3.4928368692652e-6,1.47340853092508e-5,ENSG00000001630.17,TRAP1,TCGA-STAD,CYP51A1
ENSG00000001631,-0.0159046476125431,3.14845335647139,0.0256748312233735,0.872774775673442,0.899328092732579,ENSG00000001631.16,TRAP1,TCGA-STAD,KRIT1
ENSG00000002016,0.0434193054792544,3.22583703543388,0.571551150955033,0.450071034439755,0.527087773146127,ENSG00000002016.18,TRAP1,TCGA-STAD,RAD52
ENSG00000002079,0.222056747571555,0.083150318822792793,1.85021019512699,0.17450215100346,0.235532931669767,ENSG00000002079.14,TRAP1,TCGA-STAD,MYH16
ENSG00000002330,0.0316462289687354,3.57559586116593,0.18383745448089,0.668317799307327,0.727607920882661,ENSG00000002330.14,TRAP1,TCGA-STAD,BAD
ENSG00000002549,0.296344522673624,7.00299285659005,13.237217052739,3.089290720423e-4,8.4907790109347e-4,ENSG00000002549.12,TRAP1,TCGA-STAD,LAP3
