project_name,HSP90AA1,HSP90AB1,HSCB,DNAJA3,DNAJB6,HSPB1,GRPEL1,CRYAB,HSPA9,HSPE1,DNAJC15,TRAP1,DNAJB2,HSPD1,CCT6A,HSPB8,GRPEL2,CLPX,HSPB7,SDHAF1,DNAJC19,DNLZ
Bladder Urothelial Carcinoma,0.13811481144888985,0.17714015605963554,0.14685408342057324,0.1774188439792184,-0.4867718283021949,-0.2870890118449159,0.013023965495292042,-3.6610868888586783,-0.2536779555560016,0.8695139781494227,-0.26217355087817823,0.02715838266600385,-0.09054012061463307,0.32304908681158406,0.5429227715091407,-3.2472884866657195,0.32244197963448484,-0.06256786453416857,-3.8009379658558626,0.43674004613903555,0.1634853013320435,0.38245315717421496
Breast Invasive Carcinoma,0.15014514197423443,0.2747581047812783,-0.1699540339117566,0.5116245372695586,-0.11313340753284994,1.2535556851977334,-0.10114140568338842,-3.071015233808005,0.1831622396403785,0.8831424303434309,-0.3534269723007795,0.16872810726889048,0.07003368129661643,0.3041815745494981,0.4890701581161117,-0.808799634294409,0.19536738499293782,-0.38693788110662375,-5.128715696007872,0.25122403709732755,0.2746076763037954,0.41550665104032497
Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.7292567579790528,-0.4698326422556089,-0.4437428797695841,0.3744053547081447,-0.326010378494829,0.8217686163742327,0.04598536620925486,-2.3446417536971844,0.22446938352745976,1.3797954565647061,-0.3306462422770932,0.5428743951410309,-0.1381663059052979,0.6539369270204642,0.5969723729296287,-2.4341471358270312,0.4020513502298882,-0.21934556748046669,-6.52030761670578,-0.260564366164774,0.07361023879962021,-0.47756869792789863
Cholangiocarcinoma,0.38375917370602264,1.103304466092473,-0.43367869436436873,-0.5844313343654609,0.933535124454753,1.5997498493817863,-1.1853993234481028,4.31308303898866,-0.5090980949208794,-0.6652477058276769,-0.34048420884416714,-0.09815726785578448,0.9118910641731499,-0.5319001352168993,1.2558932973690309,2.8888294779732555,1.0278551187507285,-1.4917995905077255,1.2029135004438996,0.22250392294207327,-0.5355575048688279,0.37352725043701285
Colon Adenocarcinoma,0.2932190502844354,0.69728240563692,-0.3494253556171085,0.2631512893666601,-0.2238431660957518,-0.48977417663312467,0.09669054753118587,-2.626019241558764,0.059410773624869385,0.999241487443982,0.1994813149476997,1.0244429035820806,-0.6207502002662351,0.8981540207243696,0.7896495599491732,-3.8183305677324437,0.8215207143727213,-0.2882571145596028,-2.9552670262164447,-0.21190274155661062,-0.21489380668139216,0.6028900911287703
Esophageal Carcinoma,0.55621047957144,0.6346707688425199,-0.22644044608126598,-0.04708427397919907,0.24181942331282233,0.6027339309004354,-0.16633699852735634,-1.7118777842368724,0.07099749412654632,0.8005592104784013,-0.18830380059613383,0.1208250902121255,-0.3300094370707851,0.5749735893103862,0.8478534774749774,-2.3383381152457376,0.5926344860078171,-0.2586080632582529,-3.6320045507363017,0.03631240427722022,0.04806323943816815,-0.05077784036143553
Glioblastoma Multiforme,-1.246481191059883,-1.0701787614059228,0.9461203882331819,0.023425763440936644,0.1977024573763614,1.2034063683640726,-0.2636864695186533,0.28453376747776926,0.03535574116633402,0.8074744546713455,-0.6782066403475376,-0.4722379140218821,-1.889087394035426,0.5469644060238166,1.1966255349846324,-0.10342473666271983,0.5875351261679213,0.07199737724945936,1.5661428608931014,-0.07755558435947597,0.15289235608494298,0.5769862255358155
Head and Neck Squamous Cell Carcinoma,0.4591775170074419,0.40378352708678816,0.06861353067542875,0.045053744430847156,-0.05909464949861955,-0.1213437015342068,-0.010191823082335844,-2.478664048123093,-0.14101403786122077,0.6399915345818522,0.02960979026670997,-0.19414674398186266,0.3081313157045541,0.5496634605367462,0.7716473589635766,-1.8727414327054634,-0.5460157907349459,-0.4521207588607329,-2.658965985266699,0.10864855789814801,0.1483719244917324,1.1662203254496109
Kidney Chromophobe,0.4714118078289525,0.08665845010970646,-0.20477770773432794,0.3661274061326383,-0.18937399964492976,0.9731793823988315,0.10746273867139176,-0.8411972311287967,0.8808246725668988,0.35382120471530404,-0.6554522023428766,-0.24446724392749022,-0.1581632198877051,0.13168282362599185,0.09198267734786598,0.892148091871187,1.41119305458671,-0.13156248305617033,-1.0051285608564438,-0.1105754312131488,-0.5996618473315997,0.603604349560131
Kidney Renal Clear Cell Carcinoma,-0.7810941559401303,0.22563255443570926,0.6053668240366236,-0.11634825788628168,-0.02661043615188115,0.8951375171646028,-0.17767935680265468,1.096002417336943,-0.10238878363616266,0.18403293482624528,-0.062230968490418696,0.3888626159854915,-0.055051933107410175,-0.11059754030461114,0.13646019833389797,2.267546241236766,0.7875599656787056,-0.5065575245759896,-3.2654224393693685,0.22171556257472932,-0.7269086485231526,0.6615486461475734
