project_id,gene_id,gene_name,mean_expression,median_expression,sd_expression,n_samples,comparison_type,mean_normal,mean_tumor,median_normal,median_tumor,log2fc,p_value,padj,n_normal,n_tumor
TCGA-ACC,ENSG00000080824.19,HSP90AA1,52693.053197759786,48778.81781349269,22618.37194440639,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000096384.20,HSP90AB1,69652.04732907868,66750.48310735986,25055.579836622495,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000100209.11,HSCB,337.7079525377377,286.13189329548027,208.51066907334857,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000103423.14,DNAJA3,4915.817452183027,4712.999358950297,1614.1143332598958,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000105993.15,DNAJB6,3478.784687012074,3310.605130005204,1251.815324113055,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000106211.10,HSPB1,54768.88089600137,36550.34183113983,52013.08490613978,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000109519.13,GRPEL1,6087.851829489716,5578.992174022438,3547.4096642920827,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000109846.9,CRYAB,972.2629419025064,541.8830986460848,1243.1499425806753,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000113013.16,HSPA9,39278.96192977471,37333.9029507353,14155.351004196898,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000115541.11,HSPE1,3068.4993558517317,2091.760421780901,2849.950977140497,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000120675.6,DNAJC15,2171.5790797084655,1879.2681659113043,1443.2773502491843,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000126602.11,TRAP1,1768.1334834549268,1622.2125281398078,776.7218053682778,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000135924.16,DNAJB2,5717.846382451932,5320.718830988245,2457.5366211800465,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000144381.18,HSPD1,53172.15459146515,35510.29405637341,49510.89277155055,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000146731.11,CCT6A,8194.576463914744,7747.741511921556,3248.586711697206,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000152137.8,HSPB8,7896.6518587211285,8446.445039322696,6487.818051855352,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000164284.15,GRPEL2,841.8248224678991,799.7006344114403,320.5611421535762,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000166855.9,CLPX,2032.1481067080028,1871.2304302547902,1113.1042074591762,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000173641.18,HSPB7,3361.403825152164,1960.4603738816754,4756.302426065677,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000205138.4,SDHAF1,683.6848478797484,612.1151523524405,325.90545194643664,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000205981.8,DNAJC19,1672.964674966352,1561.9914075402492,676.3866701333833,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-ACC,ENSG00000213221.5,DNLZ,10.043666121401557,6.499194703218062,10.657746937255261,79,expression_only,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-BLCA,ENSG00000080824.19,HSP90AA1,NA,NA,NA,NA,normal_vs_tumor,55826.74826247458,61435.278427705205,55393.83341770114,56445.062778698586,0.13811481144888985,0.29694189656225356,0.40829510777309863,19,412
TCGA-BLCA,ENSG00000096384.20,HSP90AB1,NA,NA,NA,NA,normal_vs_tumor,63929.888153388405,72281.94402035781,63961.66872670952,68172.54740118203,0.17714015605963554,0.13690904477620627,0.25099991542304484,19,412
TCGA-BLCA,ENSG00000100209.11,HSCB,NA,NA,NA,NA,normal_vs_tumor,418.0727294004305,463.2647509028642,407.3883520716086,408.07283776533507,0.14685408342057324,0.37557026624455236,0.48603210925765605,19,412
TCGA-BLCA,ENSG00000103423.14,DNAJA3,NA,NA,NA,NA,normal_vs_tumor,2328.5750899125737,2633.437183204852,2248.5392258825163,2590.3737031069372,0.1774188439792184,0.05323779066373842,0.10647558132747684,19,412
TCGA-BLCA,ENSG00000105993.15,DNAJB6,NA,NA,NA,NA,normal_vs_tumor,6398.137030194288,4565.534296884248,5229.045789960456,4305.733257946369,-0.4867718283021949,1.5187928546009718e-4,6.682688560244276e-4,19,412
TCGA-BLCA,ENSG00000106211.10,HSPB1,NA,NA,NA,NA,normal_vs_tumor,80252.34981303613,65771.06155294664,62571.816860479776,55679.31987500615,-0.2870890118449159,0.23628997550581277,0.3465586307418587,19,412
TCGA-BLCA,ENSG00000109519.13,GRPEL1,NA,NA,NA,NA,normal_vs_tumor,2099.2585080382123,2119.0467755012987,2004.1453743892966,2001.1563742976768,0.013023965495292042,0.9059425913124289,0.9059425913124289,19,412
TCGA-BLCA,ENSG00000109846.9,CRYAB,NA,NA,NA,NA,normal_vs_tumor,13250.917199565882,1047.5175672989717,4088.101847758698,386.25920812570087,-3.6610868888586783,1.1760110314593482e-18,2.5872242692105662e-17,19,412
TCGA-BLCA,ENSG00000113013.16,HSPA9,NA,NA,NA,NA,normal_vs_tumor,13018.466282399857,10919.652809272573,12977.481457946566,10441.625888617684,-0.2536779555560016,0.011806643836073879,0.02886068493262504,19,412
TCGA-BLCA,ENSG00000115541.11,HSPE1,NA,NA,NA,NA,normal_vs_tumor,648.380658496911,1185.1734119116602,596.0742873257653,1071.1933299930997,0.8695139781494227,5.290785724858353e-10,2.909932148672094e-9,19,412
TCGA-BLCA,ENSG00000120675.6,DNAJC15,NA,NA,NA,NA,normal_vs_tumor,2101.5307370184564,1752.1756140650768,1482.62504238412,1208.4801125739034,-0.26217355087817823,0.42347235672761147,0.517577324889303,19,412
TCGA-BLCA,ENSG00000126602.11,TRAP1,NA,NA,NA,NA,normal_vs_tumor,1894.0373114604997,1929.9862828325508,1806.837698266546,1816.7156144269134,0.02715838266600385,0.8296709282507388,0.8691790676912503,19,412
TCGA-BLCA,ENSG00000135924.16,DNAJB2,NA,NA,NA,NA,normal_vs_tumor,5144.949643464126,4832.258105886951,5176.477955583366,4352.334665974843,-0.09054012061463307,0.5534558178673105,0.6143110571302697,19,412
TCGA-BLCA,ENSG00000144381.18,HSPD1,NA,NA,NA,NA,normal_vs_tumor,12084.425547567209,15117.127337435155,11773.133158107214,14100.9108717014,0.32304908681158406,0.007957396089358875,0.021882839245736904,19,412
TCGA-BLCA,ENSG00000146731.11,CCT6A,NA,NA,NA,NA,normal_vs_tumor,7939.10836235444,11566.434755492728,7777.985417540078,9939.106231224354,0.5429227715091407,3.587465264975892e-4,0.0013154039304911604,19,412
TCGA-BLCA,ENSG00000152137.8,HSPB8,NA,NA,NA,NA,normal_vs_tumor,27053.78663982889,2849.027126539125,12346.36096631456,1243.3546862136868,-3.2472884866657195,1.7110418369214327e-14,1.882146020613576e-13,19,412
TCGA-BLCA,ENSG00000164284.15,GRPEL2,NA,NA,NA,NA,normal_vs_tumor,813.0091298163769,1016.8019199348138,627.0010126809326,896.3624852223663,0.32244197963448484,0.0333367882210728,0.07334093408636017,19,412
TCGA-BLCA,ENSG00000166855.9,CLPX,NA,NA,NA,NA,normal_vs_tumor,2317.9646930922986,2219.7368064275947,2325.7874577921325,2139.1309452670866,-0.06256786453416857,0.5584645973911542,0.6143110571302697,19,412
TCGA-BLCA,ENSG00000173641.18,HSPB7,NA,NA,NA,NA,normal_vs_tumor,7375.663188145049,529.2140534858444,2528.9496441801934,76.81687909776164,-3.8009379658558626,2.890602734333538e-12,2.119775338511261e-11,19,412
TCGA-BLCA,ENSG00000205138.4,SDHAF1,NA,NA,NA,NA,normal_vs_tumor,558.0973054609522,755.2664755160868,469.5101046683573,673.44962436024,0.43674004613903555,0.003294879720103338,0.01035533626318192,19,412
TCGA-BLCA,ENSG00000205981.8,DNAJC19,NA,NA,NA,NA,normal_vs_tumor,1147.2655626036988,1284.9618725122127,1174.6002445935894,1195.1164056749592,0.1634853013320435,0.16231015276567537,0.27467872006498906,19,412
TCGA-BLCA,ENSG00000213221.5,DNLZ,NA,NA,NA,NA,normal_vs_tumor,7.850915630856037,10.623988221404412,4.626708569152124,7.2625785599205805,0.38245315717421496,0.21548234521482942,0.33861511390901766,19,412
TCGA-BRCA,ENSG00000080824.19,HSP90AA1,NA,NA,NA,NA,normal_vs_tumor,79290.43104465769,87986.87818208487,78900.69323584883,78310.9383188309,0.15014514197423443,0.014222652316479041,0.015644917548126948,113,1111
TCGA-BRCA,ENSG00000096384.20,HSP90AB1,NA,NA,NA,NA,normal_vs_tumor,83322.80343687457,100802.95288993612,83459.44608197204,92023.4426517318,0.2747581047812783,3.0507248373746296e-8,8.389493302780231e-8,113,1111
TCGA-BRCA,ENSG00000100209.11,HSCB,NA,NA,NA,NA,normal_vs_tumor,575.0184132144373,511.41066460458165,546.5000890447425,463.43801131662,-0.1699540339117566,0.006161314066849953,0.007530494970594387,113,1111
TCGA-BRCA,ENSG00000103423.14,DNAJA3,NA,NA,NA,NA,normal_vs_tumor,3154.0941674405294,4496.340706831532,3140.2169325188956,4197.850118607833,0.5116245372695586,1.4830330583106338e-38,1.0875575760944648e-37,113,1111
TCGA-BRCA,ENSG00000105993.15,DNAJB6,NA,NA,NA,NA,normal_vs_tumor,7370.481973978786,6814.9376675466365,7374.691350959539,6412.753073210126,-0.11313340753284994,0.01698553161736168,0.017794366456283666,113,1111
TCGA-BRCA,ENSG00000106211.10,HSPB1,NA,NA,NA,NA,normal_vs_tumor,13179.26617922037,31422.971389874598,11370.36042246517,21511.10473494481,1.2535556851977334,1.2440952032913453e-26,5.47401889448192e-26,113,1111
TCGA-BRCA,ENSG00000109519.13,GRPEL1,NA,NA,NA,NA,normal_vs_tumor,2413.2183155616403,2249.6199810792195,2364.530498599315,2161.186805543673,-0.10114140568338842,0.006860328547818702,0.007943538318526918,113,1111
TCGA-BRCA,ENSG00000109846.9,CRYAB,NA,NA,NA,NA,normal_vs_tumor,37645.69917838139,4479.682968916693,22671.223114340693,1220.3516346091158,-3.071015233808005,3.891825455879217e-61,4.281008001467138e-60,113,1111
TCGA-BRCA,ENSG00000113013.16,HSPA9,NA,NA,NA,NA,normal_vs_tumor,17305.76371754562,19648.18020189252,17752.53374401769,18478.609608030998,0.1831622396403785,4.85119473301443e-6,8.893857010526455e-6,113,1111
TCGA-BRCA,ENSG00000115541.11,HSPE1,NA,NA,NA,NA,normal_vs_tumor,668.3123705072418,1232.7296090397047,640.7571459325302,1016.7469351145598,0.8831424303434309,9.91960670911893e-37,5.455783690015411e-36,113,1111
TCGA-BRCA,ENSG00000120675.6,DNAJC15,NA,NA,NA,NA,normal_vs_tumor,3045.7956516506565,2384.1238770087703,2980.145990697973,2199.2839032361103,-0.3534269723007795,3.879532488168546e-6,7.759064976337092e-6,113,1111
TCGA-BRCA,ENSG00000126602.11,TRAP1,NA,NA,NA,NA,normal_vs_tumor,2651.5758529270825,2980.40466261146,2577.77787972309,2741.740161544081,0.16872810726889048,6.59238321478139e-4,9.064526920324411e-4,113,1111
TCGA-BRCA,ENSG00000135924.16,DNAJB2,NA,NA,NA,NA,normal_vs_tumor,5838.750219718004,6129.264674340539,5813.102911534168,5619.892251565471,0.07003368129661643,0.23575964082653347,0.23575964082653347,113,1111
TCGA-BRCA,ENSG00000144381.18,HSPD1,NA,NA,NA,NA,normal_vs_tumor,17635.601736878096,21774.69021046033,17280.50713702376,19541.121599351045,0.3041815745494981,3.700475713108886e-8,9.045607298710612e-8,113,1111
