"Gene_Name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"DPM1","ENSG00000000419.13",1797.57095257096,-1.02310749024396,0.0189467455162651,-53.9991150124256,0,0,"Up in Cluster 4"
"C1orf112","ENSG00000000460.17",410.225330786877,-1.54562886416854,0.0260422196974256,-59.3508879859936,0,0,"Up in Cluster 4"
"CFTR","ENSG00000001626.16",1985.46476643226,-4.55135592490698,0.0902714457006103,-50.4185558299552,0,0,"Up in Cluster 4"
"HECW1","ENSG00000002746.15",180.458985493101,2.73822512261175,0.0632166965091681,43.3149037171633,0,0,"Up in Cluster 7"
"ICA1","ENSG00000003147.19",1482.13976765072,-1.65866511346589,0.0404479194098362,-41.007427271093,0,0,"Up in Cluster 4"
"SARM1","ENSG00000004139.14",387.246282026382,1.27926265758182,0.0310747026002978,41.1673338933118,0,0,"Up in Cluster 7"
"FKBP4","ENSG00000004478.8",7511.52145074942,-1.35272823601147,0.0283358343692363,-47.7391354842228,0,0,"Up in Cluster 4"
"PRSS22","ENSG00000005001.10",695.027608742447,-5.36998967300393,0.0890068153912495,-60.3323425222994,0,0,"Up in Cluster 4"
"SLC25A5","ENSG00000005022.6",16448.4326243056,-1.2401101097396,0.0298468368815585,-41.5491301359919,0,0,"Up in Cluster 4"
"THSD7A","ENSG00000005108.16",629.562921767997,2.58340110744602,0.0519404995175121,49.7377023987805,0,0,"Up in Cluster 7"
"RPAP3","ENSG00000005175.10",1363.61935598921,-0.659399445614459,0.0163272319323161,-40.3864812080807,0,0,"Up in Cluster 4"
"PON1","ENSG00000005421.9",1610.27357252952,-6.49879587912251,0.126083490915006,-51.5435909329589,0,0,"Up in Cluster 4"
"SOX8","ENSG00000005513.10",5775.54241981555,6.20930449943021,0.0930519776440777,66.7294200149158,0,0,"Up in Cluster 7"
"CACNG3","ENSG00000006116.4",94.6814026528215,7.11092009378455,0.156491995902907,45.4395130738596,0,0,"Up in Cluster 7"
"CX3CL1","ENSG00000006210.7",4814.45217638494,2.15978920894024,0.0458954039684013,47.058943209809,0,0,"Up in Cluster 7"
"BAIAP2L1","ENSG00000006453.14",2497.20854519011,-3.08174422212652,0.0515342730836708,-59.7998969952096,0,0,"Up in Cluster 4"
"ETV1","ENSG00000006468.14",3111.73474962855,2.86950083147839,0.0654756564786564,43.8254610309067,0,0,"Up in Cluster 7"
"GGCT","ENSG00000006625.18",1281.02330219244,-1.65779410227705,0.0274767043362069,-60.3345321910578,0,0,"Up in Cluster 4"
"DBF4","ENSG00000006634.8",783.00080881787,-1.57839033889625,0.0283822478630397,-55.6118862224328,0,0,"Up in Cluster 4"
"CDKL3","ENSG00000006837.12",32.306911458941,1.09170258939974,0.0279675227365282,39.0346545771775,0,0,"Up in Cluster 7"
"PRSS21","ENSG00000007038.11",250.366263157078,-4.38259308170505,0.0957677851397534,-45.7627068988759,0,0,"Up in Cluster 4"
"PAFAH1B1","ENSG00000007168.14",6023.28323473886,0.832984007160737,0.0180299732323414,46.199958060202,0,0,"Up in Cluster 7"
"CEACAM7","ENSG00000007306.15",1692.1188555629,-9.33407707200568,0.139893607120344,-66.7226849328149,0,0,"Up in Cluster 4"
