Project,Gene,P_Value,N_Patients,Significant
TCGA-ACC,HSP90AA1,0.5310203347310782,79,FALSE
TCGA-ACC,HSP90AB1,0.2839423076364548,79,FALSE
TCGA-ACC,HSCB,0.05171768670317323,79,FALSE
TCGA-ACC,DNAJA3,0.3377336362849125,79,FALSE
TCGA-ACC,DNAJB6,0.08007891126502231,79,FALSE
TCGA-ACC,HSPB1,0.14564976946061048,79,FALSE
TCGA-ACC,GRPEL1,0.05639034327226922,79,FALSE
TCGA-ACC,CRYAB,0.5911140105740763,79,FALSE
TCGA-ACC,HSPA9,0.005600399908886722,79,TRUE
TCGA-ACC,HSPE1,0.002722498332037304,79,TRUE
TCGA-ACC,DNAJC15,0.041056665540334936,79,TRUE
TCGA-ACC,TRAP1,0.06509232651582231,79,FALSE
TCGA-ACC,DNAJB2,0.5293482870595847,79,FALSE
TCGA-ACC,HSPD1,0.018354636121802326,79,TRUE
TCGA-ACC,CCT6A,0.07713869909642102,79,FALSE
TCGA-ACC,HSPB8,0.0280876358095421,79,TRUE
TCGA-ACC,GRPEL2,0.6750657605141432,79,FALSE
TCGA-ACC,CLPX,0.08421849967609041,79,FALSE
TCGA-ACC,HSPB7,0.003600352443581145,79,TRUE
TCGA-ACC,SDHAF1,0.013980216024098935,79,TRUE
TCGA-ACC,DNAJC19,0.1905327452615928,79,FALSE
TCGA-ACC,DNLZ,0.0010062596037331284,79,TRUE
TCGA-BLCA,HSP90AA1,0.3431071082667949,401,FALSE
TCGA-BLCA,HSP90AB1,0.1593877752917059,401,FALSE
TCGA-BLCA,HSCB,0.0789413591817345,401,FALSE
TCGA-BLCA,DNAJA3,0.7968608413234808,401,FALSE
TCGA-BLCA,DNAJB6,0.1818755538395086,401,FALSE
TCGA-BLCA,HSPB1,0.8127892050132086,401,FALSE
TCGA-BLCA,GRPEL1,0.23530567802622981,401,FALSE
TCGA-BLCA,CRYAB,6.255693252930072e-4,401,TRUE
TCGA-BLCA,HSPA9,0.2658714134384601,401,FALSE
TCGA-BLCA,HSPE1,1.2985598075732074e-4,401,TRUE
TCGA-BLCA,DNAJC15,0.708866773763758,401,FALSE
TCGA-BLCA,TRAP1,0.41280547721761984,401,FALSE
TCGA-BLCA,DNAJB2,0.12226883107413034,401,FALSE
TCGA-BLCA,HSPD1,0.5385986100153003,401,FALSE
TCGA-BLCA,CCT6A,0.3227377092784315,401,FALSE
TCGA-BLCA,HSPB8,0.14160992951502693,401,FALSE
TCGA-BLCA,GRPEL2,0.6659696957268713,401,FALSE
TCGA-BLCA,CLPX,0.561099430363909,401,FALSE
TCGA-BLCA,HSPB7,0.005107776804737951,401,TRUE
TCGA-BLCA,SDHAF1,0.22994493041714392,401,FALSE
TCGA-BLCA,DNAJC19,0.3982898962620087,401,FALSE
