"Project","gene_id","module"
"TCGA-BLCA","CCT6A","yellow"
"TCGA-BLCA","CRYAB","turquoise"
"TCGA-BLCA","DNLZ","brown"
"TCGA-BLCA","GRPEL2","orange"
"TCGA-BLCA","HSCB","darkgrey"
"TCGA-BLCA","HSP90AA1","grey"
"TCGA-BLCA","HSPB1","tan"
"TCGA-BLCA","HSPB7","blue"
"TCGA-BLCA","HSPB8","red"
"TCGA-BLCA","HSPD1","orange"
"TCGA-BLCA","HSPE1","darkorange"
"TCGA-BRCA","CCT6A","green"
"TCGA-BRCA","CRYAB","turquoise"
"TCGA-BRCA","DNAJA3","brown"
"TCGA-BRCA","DNAJC19","purple"
"TCGA-BRCA","DNLZ","red"
"TCGA-BRCA","GRPEL1","magenta"
"TCGA-BRCA","GRPEL2","green"
"TCGA-BRCA","HSCB","skyblue"
"TCGA-BRCA","HSP90AA1","magenta"
"TCGA-BRCA","HSP90AB1","tan"
"TCGA-BRCA","HSPA9","magenta"
"TCGA-BRCA","HSPB1","turquoise"
"TCGA-BRCA","HSPB7","darkgrey"
"TCGA-BRCA","HSPB8","turquoise"
"TCGA-BRCA","HSPD1","green"
"TCGA-BRCA","HSPE1","green"
"TCGA-BRCA","SDHAF1","red"
"TCGA-BRCA","TRAP1","red"
"TCGA-CESC","CRYAB","grey"
"TCGA-CESC","GRPEL1","red"
"TCGA-CESC","HSPB1","turquoise"
"TCGA-CESC","HSPB7","green"
"TCGA-CESC","HSPB8","grey"
"TCGA-CESC","HSPD1","red"
"TCGA-CESC","HSPE1","red"
"TCGA-CESC","TRAP1","lightyellow"
"TCGA-ESCA","CCT6A","grey"
"TCGA-ESCA","CRYAB","yellow"
"TCGA-ESCA","DNLZ","tan"
"TCGA-ESCA","GRPEL2","grey"
"TCGA-ESCA","HSPB1","yellow"
"TCGA-ESCA","HSPB7","brown"
"TCGA-ESCA","HSPB8","grey"
"TCGA-ESCA","HSPE1","palevioletred3"
"TCGA-HNSC","CCT6A","greenyellow"
"TCGA-HNSC","CRYAB","black"
"TCGA-HNSC","DNAJC19","lightcyan"
"TCGA-HNSC","DNLZ","grey"
"TCGA-HNSC","GRPEL2","pink"
"TCGA-HNSC","HSPB1","cyan"
"TCGA-HNSC","HSPB7","black"
"TCGA-HNSC","HSPB8","pink"
"TCGA-HNSC","HSPD1","black"
"TCGA-HNSC","HSPE1","darkgrey"
"TCGA-KIRC","CRYAB","turquoise"
"TCGA-KIRC","DNAJC19","pink"
"TCGA-KIRC","DNLZ","turquoise"
"TCGA-KIRC","GRPEL1","darkgreen"
"TCGA-KIRC","GRPEL2","turquoise"
"TCGA-KIRC","HSP90AA1","lightgreen"
"TCGA-KIRC","HSP90AB1","darkgrey"
"TCGA-KIRC","HSPA9","purple"
"TCGA-KIRC","HSPB1","pink"
"TCGA-KIRC","HSPB7","grey60"
"TCGA-KIRC","HSPB8","blue"
"TCGA-KIRC","HSPD1","brown"
"TCGA-KIRC","HSPE1","pink"
"TCGA-KIRC","TRAP1","darkgreen"
