source	target	weight	module1	module2
C1QB	C1QC	0.9932468144467139	turquoise	turquoise
C1QA	C1QB	0.9902908927157557	turquoise	turquoise
C1QA	C1QC	0.9849692341088981	turquoise	turquoise
CD2	CD3E	0.9840700764539079	turquoise	turquoise
DDX3Y	USP9Y	0.9826541582728372	bisque4	bisque4
COL1A2	COL3A1	0.9824235318973752	blue	blue
KDM5D	TXLNGY	0.9815553384954339	bisque4	bisque4
USP9Y	UTY	0.9802865444989454	bisque4	bisque4
ACTG2	CNN1	0.9798805311925687	blue	blue
TMEM176A	TMEM176B	0.9794187766257885	turquoise	turquoise
EIF1AY	KDM5D	0.9765013867525998	bisque4	bisque4
CD3E	TRAC	0.9758118614904944	turquoise	turquoise
COL1A1	COL1A2	0.9753265634394157	blue	blue
CD2	TRAC	0.9752330014508516	turquoise	turquoise
CD53	SASH3	0.9745506548123395	turquoise	turquoise
DDX3Y	UTY	0.9738155888097806	bisque4	bisque4
FCER1G	TYROBP	0.9733184868404413	turquoise	turquoise
C1QA	TYROBP	0.9727971961432066	turquoise	turquoise
FCER1G	HAVCR2	0.972670764873977	turquoise	turquoise
H2BC12	H4C9	0.9724855975750863	lightsteelblue1	lightsteelblue1
CD53	EVI2B	0.9714635525310119	turquoise	turquoise
SPI1	TYROBP	0.9713917428794845	turquoise	turquoise
AIF1	C1QA	0.971313931565984	turquoise	turquoise
AIF1	TYROBP	0.9712028481959686	turquoise	turquoise
IGHG1	IGKC	0.9709462239437643	turquoise	turquoise
CD53	PLEK	0.9707237809738909	turquoise	turquoise
SOX21	SOX21-AS1	0.9702678607848705	grey60	grey60
AC007686.1	LINC01629	0.9699941820419533	grey	grey
C1QC	TYROBP	0.9694177338947434	turquoise	turquoise
AC110790.1	LINC02484	0.9692669528466705	lightcyan	lightcyan
LAIR1	SPI1	0.9686006585503361	turquoise	turquoise
CYBB	ITGB2	0.9685319367531051	turquoise	turquoise
AIF1	MS4A6A	0.968530043139072	turquoise	turquoise
SERPINB3	SERPINB4	0.9683546491792092	pink	pink
LAIR1	MS4A6A	0.9680935746560212	turquoise	turquoise
NCF1	NCF1C	0.9680165226383951	turquoise	turquoise
ITK	P2RY10	0.9679632925773805	turquoise	turquoise
AIF1	SPI1	0.9675391683351819	turquoise	turquoise
ZNF667	ZNF667-AS1	0.9675285320203605	darkgreen	darkgreen
AIF1	LST1	0.9674542237227269	turquoise	turquoise
ACTA2	TAGLN	0.967184177552069	blue	blue
C1QC	FCER1G	0.9671721320959917	turquoise	turquoise
C1QB	TYROBP	0.9666470539127323	turquoise	turquoise
CNN1	LMOD1	0.9665297158510266	blue	blue
AC005180.1	AC005180.2	0.9659138087170436	blue	blue
AC069061.2	GTF2IP6	0.9658223284541367	steelblue	steelblue
AL355516.1	USP24P1	0.9657928857382116	steelblue	steelblue
CD48	SASH3	0.9653185237269704	turquoise	turquoise
DDX3Y	KDM5D	0.9650909817743183	bisque4	bisque4
FCER1G	SPI1	0.9646250530949145	turquoise	turquoise
C3AR1	LAIR1	0.9642253488647667	turquoise	turquoise
AC007785.1	IGFL1P1	0.9639682101589985	grey	grey
ITGB2	SPI1	0.9638840961856832	turquoise	turquoise
RPS4Y1	ZFY	0.9636990133195175	bisque4	bisque4
SPI1	TNFAIP8L2	0.9636392553206603	turquoise	turquoise
C3AR1	MS4A6A	0.9635151751861735	turquoise	turquoise
AC007342.5	AC007342.9	0.9635146273452742	tan	tan
AC078925.4	ADGRD1-AS1	0.9634500102939675	salmon	salmon
DOK2	SPI1	0.9633369942378335	turquoise	turquoise
CD53	SPI1	0.9633313144998491	turquoise	turquoise
AL137001.2	PHF2P2	0.9632179716106682	steelblue	steelblue
NLGN4Y	USP9Y	0.9632135753853538	bisque4	bisque4
FCRL5	MZB1	0.9631008145228678	turquoise	turquoise
NCF1	NCF1B	0.963089888532248	turquoise	turquoise
FAR2P4	KLF2P4	0.9627669877448372	steelblue	steelblue
HLA-DPA1	HLA-DRA	0.962725183871756	turquoise	turquoise
LAIR1	TYROBP	0.9622970023798078	turquoise	turquoise
C1QC	C3AR1	0.9622590768996637	turquoise	turquoise
HLA-DMB	HLA-DRA	0.9621444644303511	turquoise	turquoise
P2RY10	SH2D1A	0.9620869782512323	turquoise	turquoise
COL1A1	COL3A1	0.9618440042505374	blue	blue
AC007342.4	AC007342.5	0.961548825076765	tan	tan
P2RY10	ZNF831	0.961495587698306	turquoise	turquoise
DDX3Y	NLGN4Y	0.9614337799956019	bisque4	bisque4
COL1A1	COL5A1	0.9613884216991573	blue	blue
CD3E	CD3G	0.9613738376472506	turquoise	turquoise
IGHGP	IGKC	0.9612324968210783	turquoise	turquoise
C3AR1	FCER1G	0.9612188729796617	turquoise	turquoise
IGHG2	IGKC	0.9611374746299339	turquoise	turquoise
CD3E	ITGAL	0.9610464004140654	turquoise	turquoise
IGKC	IGLC2	0.9609952156197953	turquoise	turquoise
LCE3D	LCE3E	0.9609659773784577	skyblue	skyblue
LRRC25	SPI1	0.9609621251162682	turquoise	turquoise
C1QC	HAVCR2	0.9607992248257367	turquoise	turquoise
C1QB	FCER1G	0.9603566075025182	turquoise	turquoise
CD53	CYBB	0.9602036557210502	turquoise	turquoise
EIF1AY	TXLNGY	0.9600966027740685	bisque4	bisque4
BTK	CD53	0.9600744809369953	turquoise	turquoise
NLGN4Y	UTY	0.9600276027754474	bisque4	bisque4
AIF1	C1QB	0.9599573399828824	turquoise	turquoise
CD53	ITGB2	0.9598875208505673	turquoise	turquoise
C1QC	LAIR1	0.9596480387194556	turquoise	turquoise
CD53	CD84	0.959600946703759	turquoise	turquoise
FCER1G	LAIR1	0.9595140616663085	turquoise	turquoise
CD34	DIPK2B	0.9595130880900856	blue	blue
C1QC	SPI1	0.9595095629142192	turquoise	turquoise
IGHG1	IGLC2	0.9591422890124062	turquoise	turquoise
C3AR1	TYROBP	0.9591282742964143	turquoise	turquoise
AL355516.1	PHF2P2	0.9591204495456128	steelblue	steelblue
AC244102.3	MAGEA3	0.9591161937183892	lightcyan	lightcyan
CD53	PTPRC	0.9590301494082453	turquoise	turquoise
CD2	UBASH3A	0.959024535684042	turquoise	turquoise
CYTH4	SPI1	0.9589400947339268	turquoise	turquoise
AC010329.2	AC010329.5	0.958730667492081	yellow	yellow
LST1	SPI1	0.9586468185361721	turquoise	turquoise
CD2	CD3G	0.9584175342820046	turquoise	turquoise
C1QA	FCER1G	0.9582443568289135	turquoise	turquoise
TSPEAR-AS1	TSPEAR-AS2	0.9581884978945602	salmon	salmon
CD53	GPR65	0.9581224076200918	turquoise	turquoise
HAVCR2	SPI1	0.9580124641520633	turquoise	turquoise
CD53	WAS	0.9578399132639615	turquoise	turquoise
CD84	CYBB	0.9578201921516764	turquoise	turquoise
AIF1	FCER1G	0.9578168794453942	turquoise	turquoise
CD53	SLA	0.9577962850575911	turquoise	turquoise
C3AR1	SPI1	0.9577534858061562	turquoise	turquoise
AC018865.2	FAR2P1	0.9575080331445537	steelblue	steelblue
PLEK	SASH3	0.9575024612093397	turquoise	turquoise
EVI2B	SASH3	0.9574466378380158	turquoise	turquoise
FCER1G	LILRB2	0.9572731499461198	turquoise	turquoise
C3AR1	HAVCR2	0.9572046606826203	turquoise	turquoise
AIF1	C1QC	0.9571246819786138	turquoise	turquoise
ITGB2	LAIR1	0.9570504138405275	turquoise	turquoise
HLA-DMB	HLA-DPB1	0.9570160487384854	turquoise	turquoise
CYTH4	DOK2	0.9569659719507576	turquoise	turquoise
C1QB	HAVCR2	0.9568275581992993	turquoise	turquoise
C1QB	MS4A6A	0.9566924858379701	turquoise	turquoise
CD53	IL10RA	0.9565006337399575	turquoise	turquoise
CYBB	MNDA	0.9564310407210369	turquoise	turquoise
GPR174	ITGAL	0.9563540428887339	turquoise	turquoise
PTPRC	SASH3	0.9563317936492068	turquoise	turquoise
CD53	LAIR1	0.9563092235226204	turquoise	turquoise
C1QC	MS4A6A	0.956218395645639	turquoise	turquoise
C1QB	LAIR1	0.9560967177780357	turquoise	turquoise
NCF1B	NCF1C	0.9560917364516704	turquoise	turquoise
C1QB	C3AR1	0.95601945165548885	turquoise	turquoise
MS4A6A	RNASE6	0.9559753016944195	turquoise	turquoise
C1QA	SPI1	0.9559494790971849	turquoise	turquoise
MYH11	SYNPO2	0.9559040363505547	blue	blue
ITK	SH2D1A	0.955901627675483	turquoise	turquoise
HAVCR2	TYROBP	0.9558615769393073	turquoise	turquoise
RASAL3	TBC1D10C	0.9557360110093049	turquoise	turquoise
CD53	CXorf21	0.955705718204648	turquoise	turquoise
CD163	VSIG4	0.9555549124123922	turquoise	turquoise
PTPN7	SASH3	0.9555209188835716	turquoise	turquoise
CLEC14A	DIPK2B	0.9553712907937694	blue	blue
MS4A6A	TYROBP	0.9553669108401632	turquoise	turquoise
CD84	PLEK	0.9553481682501708	turquoise	turquoise
MYL9	TAGLN	0.9553256436234797	blue	blue
AIF1	LAIR1	0.9552403207712609	turquoise	turquoise
ARHGAP9	SASH3	0.9552192840854123	turquoise	turquoise
DDX3Y	EIF1AY	0.9552120210543826	bisque4	bisque4
EMX2	EMX2OS	0.9551901511303929	green	green
CD3E	SLA2	0.955147450002206	turquoise	turquoise
IL21R	SASH3	0.9551421910311494	turquoise	turquoise
CD53	LILRB1	0.9550537723862428	turquoise	turquoise
PRSS1	PRSS2	0.9548367191726609	darkmagenta	darkmagenta
CD3E	ITK	0.9543821139202229	turquoise	turquoise
IGHG1	IGHGP	0.9543058154333596	turquoise	turquoise
ACTA2	LMOD1	0.9542293514941658	blue	blue
CD53	LAPTM5	0.9541232741568283	turquoise	turquoise
GIMAP1	GIMAP4	0.9540330419546066	turquoise	turquoise
