source	target	weight	module1	module2
CSRP3	MYL1	0.9887930691306797	black	black
ACTC1	MYBPH	0.9874795893594859	black	black
C1QA	C1QB	0.9874085257662176	blue	blue
USP9Y	UTY	0.9872978148087378	floralwhite	floralwhite
KLHL41	LMOD2	0.9869052061412068	black	black
ACTN2	KLHL41	0.9865183715133484	black	black
ACTN2	LMOD2	0.9862580488136227	black	black
C1QB	C1QC	0.9855909962215165	blue	blue
MYBPH	MYOG	0.985523048935032	black	black
DDX3Y	USP9Y	0.9846622909618364	floralwhite	floralwhite
ACTA1	MYL1	0.9843974611909897	black	black
COL1A2	COL3A1	0.9843914382674637	green	green
CSRP3	LMOD2	0.9840678367246746	black	black
ACTA1	LMOD2	0.9840520574975412	black	black
DES	MYL1	0.9839369317987187	black	black
LMOD2	SMYD1	0.9836379215041862	black	black
S100A8	S100A9	0.9836038036870386	pink	pink
KLHL41	SMYD1	0.9835109385315155	black	black
ACTN2	CACNA1S	0.983492724348483	black	black
ACTA1	ACTN2	0.9832203527985551	black	black
ACTC1	DES	0.982810638694648	black	black
LMOD2	MYL1	0.9828020910476674	black	black
ACTN2	NRAP	0.982488354928073	black	black
MYPN	SMYD1	0.9823745013988624	black	black
COL1A1	COL1A2	0.982325507919706	green	green
C10orf71	LMOD2	0.9821706033847551	black	black
NRAP	XIRP2	0.981828665438885	black	black
ACTA1	SMYD1	0.9815577436876567	black	black
ACTN2	CSRP3	0.9813930906916422	black	black
MYL1	SMYD1	0.9813744720693283	black	black
CSRP3	SMPX	0.9810809391086441	black	black
CSRP3	SMYD1	0.9806249678783371	black	black
LMOD3	SMYD1	0.9805062058245833	black	black
KDM5D	TXLNGY	0.9803234643151222	floralwhite	floralwhite
ACTN2	SMYD1	0.9802587574498008	black	black
ACTC1	ASB5	0.9802181054670023	black	black
CSRP3	DES	0.9801863178320422	black	black
C10orf71	NRAP	0.9801422408914102	black	black
ASB5	MYF6	0.9800851584504786	black	black
ACTN2	MYL1	0.9800242725397028	black	black
HJV	SMYD1	0.979991729526192	black	black
CACNA1S	SMYD1	0.9798096430717658	black	black
ACTA1	CSRP3	0.9796119228972893	black	black
ARPP21	SMYD1	0.9795153189744102	black	black
LMOD2	NRAP	0.9795008755533576	black	black
DDX3Y	UTY	0.9794118791281379	floralwhite	floralwhite
MYH2	NRAP	0.9794064985970831	black	black
CSRP3	KLHL41	0.9791479468317088	black	black
ASB5	MYL1	0.9789727195585222	black	black
ACTC1	MYL1	0.978860965418353	black	black
ACTA1	KLHL41	0.9787282606218451	black	black
ASB5	SMYD1	0.9786967128383655	black	black
CSRP3	MYF6	0.9786629043014397	black	black
ACTN2	DES	0.9786100752334466	black	black
ASB5	CSRP3	0.9784736051141046	black	black
CACNA1S	LMOD2	0.9784391097991678	black	black
TMEM176A	TMEM176B	0.9783551928182785	blue	blue
LMOD2	MYPN	0.9783414923630822	black	black
LMOD2	SMPX	0.9783192117193862	black	black
CACNA1S	MYPN	0.9781014003389529	black	black
LMOD2	SLN	0.9779310312715102	black	black
ASB5	MYPN	0.9779219332732488	black	black
SMYD1	STYXL2	0.9778692432026461	black	black
ACTN2	C10orf71	0.977822668908541	black	black
C10orf71	CACNA1S	0.9775469061279768	black	black
LMOD3	MYPN	0.9774844070592991	black	black
CACNA1S	LMOD3	0.9774040105117267	black	black
ACTA1	NRAP	0.9772972315715516	black	black
KLHL41	MYPN	0.9772560204184895	black	black
CACNA1S	KLHL41	0.9771995079734067	black	black
HJV	LMOD2	0.9771643266982786	black	black
HJV	LMOD3	0.9771388537721091	black	black
ACTN2	MYPN	0.9770638609330267	black	black
ACTN2	KLHL40	0.976953265196636	black	black
KLHL41	MYL1	0.9767789419290508	black	black
CACNA1S	STYXL2	0.9767215747574426	black	black
ACTC1	MYOG	0.9765853243346334	black	black
MYPN	STYXL2	0.97655299207765	black	black
COL6A1	COL6A2	0.9763890925552391	green	green
C10orf71	KLHL41	0.9763318089142428	black	black
ACTC1	CASQ2	0.97609259919231	black	black
DES	MYBPH	0.9760668902973728	black	black
ATP1B4	SMYD1	0.9760454483309752	black	black
CHRND	LMOD3	0.9759991949104038	black	black
LMOD3	STYXL2	0.9758631234668735	black	black
C10orf71	MYPN	0.9758243666974632	black	black
ASB5	CASQ2	0.9758219046209291	black	black
MYF6	MYPN	0.9756037683662211	black	black
KLHL40	LMOD2	0.9756009404370277	black	black
LMOD2	LMOD3	0.9754094898123914	black	black
LMOD3	MYF6	0.975377322230912	black	black
DES	MYF6	0.9753474386956928	black	black
LMOD2	TCAP	0.975232830732871	black	black
APOBEC2	HJV	0.9750122121036988	black	black
KLHL41	LMOD3	0.9749709238512962	black	black
LMOD2	MYF6	0.9748845065042567	black	black
HJV	SMPX	0.97479905103384	black	black
ACTA1	DES	0.9747973852125243	black	black
EIF1AY	TXLNGY	0.9745908114243607	floralwhite	floralwhite
CHRND	STYXL2	0.9744852851490657	black	black
MYF6	MYL1	0.9744742404719253	black	black
KLHL41	NRAP	0.9744526879045219	black	black
SMPX	SMYD1	0.9743066221677374	black	black
MYF6	SMYD1	0.974292668843395	black	black
ASB5	LMOD2	0.9741933159959778	black	black
C10orf71	SMYD1	0.9741756329892683	black	black
ASB5	MYBPH	0.974160320559354	black	black
LMOD2	STYXL2	0.9741382073149892	black	black
DES	LMOD2	0.9740148397595346	black	black
MYF6	STYXL2	0.9739447705980668	black	black
EIF1AY	KDM5D	0.9738763223485768	floralwhite	floralwhite
ARPP21	CAV3	0.9738299706384518	black	black
ASB5	DES	0.9737716017177329	black	black
HHATL	HRC	0.9737292367555059	black	black
ASB5	SMPX	0.97368401353723	black	black
CSRP3	SLN	0.9735738222611054	black	black
HJV	HRC	0.9735494238543025	black	black
MYL1	SMPX	0.9735106016644263	black	black
HRC	TNNI1	0.9732493936990396	black	black
CSRP3	HJV	0.9730905278680283	black	black
SLN	TCAP	0.9730900174011572	black	black
CHRND	MYF6	0.9730764902182029	black	black
IGHG1	IGKC	0.9727001488388497	lightgreen	lightgreen
LMOD2	MYOZ2	0.97269228486792	black	black
C10orf71	LMOD3	0.9726482033561615	black	black
ACTN2	MYOZ2	0.9726438715727759	black	black
KLHL41	MYF6	0.9725091362477317	black	black
AC078925.4	ADGRD1-AS1	0.9725026079936971	grey60	grey60
C10orf71	STYXL2	0.9724986329357559	black	black
HJV	MYPN	0.9724982764306465	black	black
CACNA1S	HJV	0.9723325381570237	black	black
CASQ2	MYBPH	0.972146480654282	black	black
ASB5	LMOD3	0.9721014445407162	black	black
DES	KLHL41	0.9720629083066225	black	black
APOBEC2	LMOD3	0.9720386907408645	black	black
SMYD1	TNNI1	0.9719432928688182	black	black
ASB5	KLHL41	0.9719128108029932	black	black
ACTC1	MYF6	0.9718557204739814	black	black
LMOD3	SMPX	0.9718377566375055	black	black
MYF6	SMPX	0.9718250843914477	black	black
KLHL41	SMPX	0.9715859932331276	black	black
HHATL	HJV	0.9715664076778677	black	black
KLHL41	STYXL2	0.9715456576075044	black	black
LMOD2	MYL2	0.9715161815531574	black	black
LMOD2	XIRP2	0.9715121875783373	black	black
HRC	LMOD3	0.9714654135806128	black	black
MYH2	XIRP2	0.9713964849254869	black	black
CAV3	MYOG	0.9713927100668399	black	black
ACTN2	LMOD3	0.9713860236419555	black	black
CSRP3	MYPN	0.9713664843113291	black	black
HHATL	KLHL40	0.9713363427798345	black	black
ACTA1	C10orf71	0.9711909169876778	black	black
CACNG1	CAV3	0.9711760229364865	black	black
ACTC1	CSRP3	0.9711474810479921	black	black
HJV	KLHL41	0.9710593570777641	black	black
HHATL	LMOD3	0.9710473550381079	black	black
CSRP3	TNNC1	0.9710417240154425	black	black
CASQ2	MYOG	0.9707827821221551	black	black
ATP1B4	MYPN	0.9707132416464679	black	black
MYL2	TNNC1	0.9706895622774203	black	black
ACTA1	CACNA1S	0.9706154276558009	black	black
CHRND	SMYD1	0.9705204698117462	black	black
ACTA1	MYL2	0.9704779233292858	black	black
ASB5	ATP1B4	0.9704536738588115	black	black
CACNG1	CHRND	0.9703333164617152	black	black
DES	SMYD1	0.9703317065252329	black	black
ACTN2	MYL2	0.9701902626324966	black	black
ARPP21	MYPN	0.9701466710836305	black	black
KLHL40	SMYD1	0.9701406165232993	black	black
ACTN2	MYF6	0.9701295450719828	black	black
ACTN2	STYXL2	0.9701185184901087	black	black
CHRND	MYPN	0.9700903815322347	black	black
CHRNA1	MYOG	0.9700494478457067	black	black
KLHL40	KLHL41	0.9699710393336756	black	black
ARPP21	ATP1B4	0.9699096418106705	black	black
COX6A2	HHATL	0.9698570450167784	black	black
C1QA	C1QC	0.9698556911438753	blue	blue
ACTN2	ASB5	0.9695355309283245	black	black
CAV3	SMYD1	0.969262660085131	black	black
MYL1	SLN	0.9691905937682467	black	black
ACTA1	SLN	0.9691699407121693	black	black
ACTA1	KLHL40	0.9691304369531618	black	black
MYBPH	MYF6	0.9690992552570531	black	black
CD2	CD3E	0.9690733812524052	blue	blue
HJV	TNNI1	0.9690392186193366	black	black
CSRP3	STYXL2	0.9690040674314484	black	black
ACTN2	HJV	0.969003212430322	black	black
ACTN2	SMPX	0.9688176036340493	black	black
CACNG1	UNC45B	0.9686539769117762	black	black
HLA-DMB	HLA-DPB1	0.96859781268821	blue	blue
MYBPH	MYL1	0.9685770830612104	black	black
ACTA1	HJV	0.9685487312111573	black	black
