gene_id,module
7SK,yellow
A1BG,salmon
A1BG-AS1,salmon
A1CF,sienna3
A2M,blue
A2M-AS1,lightgreen
A2ML1,tan
A2MP1,red
A4GALT,magenta
A4GNT,black
AACS,yellow
AACSP1,steelblue
AADAC,tan
AADACL2,skyblue
AADACL2-AS1,grey60
AADACL3,grey
AADACL4,pink
AADACP1,grey60
AADAT,green
AAK1,magenta
AAMDC,black
AANAT,midnightblue
AARD,blue
AARSD1,brown
AARSD1P1,darkgreen
AASS,orange
AATBC,yellow
AATK,grey
ABAT,yellow
ABCA1,grey
ABCA10,darkred
ABCA11P,green
ABCA12,pink
ABCA13,grey60
ABCA17P,salmon4
ABCA2,lightgreen
ABCA3,pink
ABCA4,grey60
ABCA5,black
ABCA6,red
ABCA7,grey
ABCA8,blue
ABCA9,orange
ABCA9-AS1,magenta
ABCB1,blue
ABCB10,green
ABCB10P1,royalblue
ABCB11,grey60
ABCB4,blue
ABCB5,blue
ABCB6,grey60
ABCB9,grey
ABCC1,grey60
ABCC11,lightcyan1
ABCC12,cyan
ABCC13,grey
ABCC2,grey60
ABCC3,red
ABCC4,darkorange2
ABCC5,tan
ABCC6,salmon
ABCC6P1,salmon
ABCC6P2,salmon
ABCC8,lightgreen
ABCC9,blue
ABCD1,greenyellow
ABCD2,turquoise
ABCD3,yellow
ABCE1,red
ABCG1,red
ABCG2,grey
ABCG4,salmon
ABCG5,green
ABCG8,green
ABHD1,salmon4
ABHD11,yellow
ABHD11-AS1,yellow
ABHD12,yellow
ABHD12B,plum1
ABHD14A,plum2
ABHD14B,darkgrey
ABHD15,yellow
ABHD17AP4,steelblue
ABHD17AP6,tan
ABHD17C,midnightblue
ABHD2,darkred
ABHD3,blue
ABHD4,grey60
ABHD5,midnightblue
ABHD6,grey
ABHD8,grey
ABI3,turquoise
ABI3BP,blue
ABITRAM,darkmagenta
ABL2,purple
ABLIM1,tan
ABLIM2,white
ABLIM3,red
ABO,red
ABR,grey
ABRA,blue
ABRACL,white
ABRAXAS1,orange
ABTB1,grey
ABTB2,magenta
AC000032.1,yellow
AC000065.1,green
AC000068.1,lightyellow
AC000072.1,salmon
AC000078.1,black
AC000085.1,brown
AC000089.1,darkgrey
AC000093.1,black
AC000120.1,black
AC000123.3,greenyellow
AC000403.1,blue
AC001226.2,black
AC002044.1,yellow
AC002044.2,yellow
AC002059.1,yellow
AC002059.3,grey
AC002064.2,black
AC002066.1,purple
AC002069.2,lightcyan1
AC002070.1,blue
AC002074.1,blue
AC002075.2,darkturquoise
AC002091.1,turquoise
AC002091.2,turquoise
AC002116.2,brown
AC002128.1,brown
AC002128.2,black
AC002306.1,green
AC002310.1,lightcyan
AC002310.2,red
AC002310.5,grey
AC002350.2,pink
AC002377.1,lightcyan
AC002398.1,darkgrey
AC002401.4,green
AC002451.1,blue
AC002456.1,grey
AC002460.2,blue
AC002463.1,black
AC002467.1,lightyellow
AC002470.1,lightyellow
AC002480.1,purple
AC002480.2,magenta
AC002511.1,pink
AC002511.2,grey
AC002519.1,black
AC002525.1,yellow
AC002540.1,magenta
AC002546.1,turquoise
AC002553.1,brown
AC003005.2,coral1
AC003035.1,brown
AC003070.1,brown
AC003070.2,red
AC003072.1,greenyellow
AC003086.1,green
AC003092.1,purple
AC003093.1,darkred
AC003101.2,darkred
AC003102.1,brown
AC003681.1,black
AC003682.1,black
AC003956.1,black
AC003958.2,mediumpurple3
AC003965.1,lightyellow
AC003965.2,grey
AC003973.2,royalblue
AC003986.2,white
AC003991.1,black
AC004000.1,grey
AC004009.1,yellow
AC004009.2,yellow
AC004012.1,grey
AC004034.1,plum1
AC004053.1,magenta
AC004057.1,darkturquoise
AC004067.1,tan
AC004069.1,brown
AC004076.2,coral1
AC004080.1,yellow
AC004080.2,red
AC004080.4,brown
AC004083.1,lightcyan1
AC004130.2,grey
AC004148.1,brown
AC004156.1,brown
AC004158.1,royalblue
AC004160.1,blue
AC004221.1,grey
AC004223.4,brown
AC004231.1,grey
AC004232.2,purple
AC004233.1,magenta
AC004233.2,magenta
AC004233.3,brown
AC004241.1,grey
AC004241.2,grey
AC004241.3,darkorange
AC004241.4,tan
AC004241.5,pink
AC004253.1,brown
AC004263.1,brown
AC004263.2,black
AC004264.1,grey
AC004264.2,black
AC004381.3,black
AC004448.2,grey
AC004449.1,salmon
AC004453.1,darkturquoise
AC004453.2,royalblue
AC004461.2,black
AC004466.3,grey
AC004470.2,yellow
AC004471.1,orange
AC004486.1,darkturquoise
AC004492.1,black
AC004494.1,turquoise
AC004522.5,midnightblue
AC004540.1,green
AC004540.2,cyan
AC004551.1,black
AC004554.1,blue
AC004584.3,black
AC004585.1,turquoise
AC004593.1,darkgreen
AC004594.1,black
AC004596.1,midnightblue
AC004597.1,red
AC004637.1,blue
AC004678.2,black
AC004687.1,turquoise
AC004687.3,salmon
AC004704.1,lightcyan
AC004706.1,turquoise
AC004706.3,greenyellow
AC004707.1,tan
AC004765.1,black
AC004771.2,black
AC004771.4,black
AC004775.1,brown
AC004784.1,grey
AC004801.2,grey
AC004803.1,blue
AC004808.2,grey60
AC004812.2,lightyellow
AC004816.1,grey
AC004816.2,midnightblue
AC004817.3,purple
AC004817.5,grey
AC004825.2,turquoise
AC004830.2,magenta
AC004832.4,grey
AC004832.5,grey
AC004832.6,brown
AC004834.1,brown
AC004835.1,pink
AC004837.2,black
AC004837.4,black
AC004839.1,greenyellow
AC004846.1,purple
AC004846.2,brown
AC004847.1,turquoise
AC004854.2,lightyellow
AC004863.1,brown
AC004870.1,lightcyan
AC004870.2,grey60
AC004875.1,grey
AC004877.1,salmon
AC004877.2,green
AC004888.1,grey
AC004890.2,brown
AC004890.3,brown
AC004895.1,lightyellow
AC004908.1,black
AC004908.2,black
AC004908.3,brown
AC004917.1,purple
AC004918.1,black
AC004918.3,grey60
AC004921.1,turquoise
AC004923.1,yellow
AC004923.4,pink
AC004925.1,yellow
AC004938.2,lightyellow
AC004943.1,red
AC004943.2,red
AC004943.3,brown
AC004947.1,blue
AC004947.2,blue
AC004947.3,floralwhite
AC004948.1,brown
AC004951.2,grey
AC004951.3,brown
AC004951.4,brown
AC004967.1,green
AC004967.2,brown
AC004975.2,grey
AC004980.2,magenta
AC004980.3,yellow
AC004980.4,yellow
AC004982.1,yellow
AC004982.2,yellow
AC004990.1,grey60
AC005005.3,grey
AC005006.1,darkorange2
AC005009.1,floralwhite
AC005014.2,brown
AC005014.4,black
AC005019.1,darkgrey
AC005034.4,lightyellow
AC005041.1,red
AC005041.2,yellow
AC005041.3,lightyellow
AC005041.4,brown
AC005046.1,red
AC005050.1,purple
AC005050.2,grey
AC005050.3,grey60
AC005052.1,grey
AC005052.2,grey
AC005062.1,red
AC005064.1,lightcyan1
AC005076.1,lightyellow
AC005077.2,red
AC005077.4,pink
AC005081.1,turquoise
AC005082.1,red
AC005083.1,grey
AC005099.1,darkturquoise
AC005104.1,black
AC005154.1,black
AC005154.2,brown
AC005154.4,black
AC005162.1,pink
AC005162.2,grey
AC005165.1,blue
AC005165.2,darkturquoise
AC005180.1,blue
AC005180.2,blue
AC005224.2,purple
AC005224.3,purple
AC005225.2,lightgreen
AC005225.4,red
AC005229.4,grey
AC005244.1,yellow
AC005252.3,royalblue
AC005256.1,pink
AC005261.2,coral1
AC005264.1,pink
AC005281.1,yellow
AC005291.1,blue
AC005291.2,blue
AC005324.2,grey
AC005329.1,salmon
AC005329.3,brown
AC005330.1,blue
AC005332.1,brown
AC005332.2,turquoise
AC005332.3,green
AC005332.4,pink
AC005332.5,brown
AC005332.7,lightgreen
AC005336.1,grey60
AC005336.2,grey
AC005336.3,grey
AC005355.1,salmon
AC005387.1,brown
AC005391.1,grey
AC005392.2,skyblue
AC005393.1,salmon
AC005394.2,plum1
AC005400.1,grey
AC005476.2,grey
AC005479.1,greenyellow
AC005479.2,grey
AC005481.1,salmon
AC005498.2,darkgreen
AC005498.3,darkgreen
AC005519.1,black
AC005520.2,red
AC005520.5,black
AC005532.1,grey
AC005534.1,salmon
AC005537.1,purple
AC005544.1,magenta
AC005546.1,black
AC005550.2,grey
AC005551.1,darkorange2
AC005586.1,blue
AC005592.1,grey
AC005599.1,cyan
AC005606.2,brown
AC005609.5,steelblue
AC005618.1,magenta
AC005618.4,lightyellow
AC005622.1,purple
AC005632.3,darkolivegreen
AC005670.1,lightyellow
AC005674.1,brown
AC005682.1,yellow
AC005695.1,yellow
AC005695.3,darkturquoise
AC005696.1,brown
AC005696.3,brown
AC005696.4,lightyellow
AC005699.1,darkred
AC005703.5,turquoise
AC005722.3,yellow
AC005722.4,grey60
AC005725.1,plum1
AC005726.1,brown4
AC005730.2,lightgreen
AC005740.4,lightgreen
AC005740.5,royalblue
AC005746.1,black
AC005746.2,yellow
AC005746.3,yellow
AC005753.1,yellow
AC005753.2,red
AC005753.3,yellow
AC005775.1,lightyellow
