gene_id,module
A1BG,blue
A1BG-AS1,blue
A1CF,grey
A2M,magenta
A2M-AS1,grey
A2ML1,blue
A2MP1,brown
A3GALT2,grey
A4GALT,red
A4GNT,grey
AACS,grey
AACSP1,grey
AADAC,darkgrey
AADACL2,darkslateblue
AADACL2-AS1,magenta
AADACL3,grey
AADACP1,turquoise
AADAT,blue
AAGAB,black
AAK1,purple
AAMDC,skyblue1
AAMP,red
AANAT,tan
AARD,turquoise
AARS1,darkgreen
AARS2,tan
AARSD1,yellow
AARSD1P1,yellow
AASDH,black
AASDHPPT,skyblue3
AASS,green
AATBC,turquoise
AATF,magenta
AATK,yellow
ABAT,blue
ABCA1,purple
ABCA10,magenta
ABCA11P,yellow
ABCA12,grey
ABCA13,turquoise
ABCA17P,cyan
ABCA2,blue
ABCA3,blue
ABCA4,grey
ABCA5,grey
ABCA6,magenta
ABCA7,red
ABCA8,magenta
ABCA9,magenta
ABCB1,magenta
ABCB10,orange
ABCB11,magenta
ABCB4,greenyellow
ABCB5,magenta
ABCB6,grey
ABCB8,red
ABCB9,red
ABCC1,grey
ABCC10,tan
ABCC11,grey
ABCC12,grey
ABCC13,grey
ABCC2,darkolivegreen
ABCC3,green
ABCC4,brown
ABCC5,turquoise
ABCC6,green
ABCC6P1,grey
ABCC6P2,grey
ABCC8,blue
ABCC9,magenta
ABCD1,red
ABCD2,brown
ABCD3,black
ABCD4,yellow
ABCE1,yellow
ABCF1,tan
ABCF2,black
ABCF3,red
ABCG1,turquoise
ABCG2,magenta
ABCG4,lightyellow
ABCG5,grey
ABCG8,grey
ABHD1,blue
ABHD10,lightyellow
ABHD11,red
ABHD11-AS1,blue
ABHD12,coral2
ABHD12B,grey
ABHD13,brown4
ABHD14A,purple
ABHD14A-ACY1,grey
ABHD14B,purple
ABHD15,indianred4
ABHD16A,yellow
ABHD17A,red
ABHD17AP4,grey
ABHD17AP5,red
ABHD17AP6,turquoise
ABHD17B,yellow
ABHD17C,grey
ABHD18,black
ABHD2,black
ABHD3,grey
ABHD4,coral1
ABHD5,honeydew1
ABHD6,honeydew1
ABHD8,red
ABI1,green
ABI2,purple
ABI3,brown
ABI3BP,magenta
ABITRAM,grey
ABL2,violet
ABLIM1,grey
ABLIM2,grey
ABLIM3,blue
ABO,grey
ABR,green
ABRA,lightsteelblue1
ABRACL,darkred
ABRAXAS1,black
ABT1,tan
ABTB1,yellow
ABTB2,blue
AC000036.1,grey
AC000050.2,green
AC000065.1,brown
AC000067.1,grey
AC000068.1,grey
AC000078.1,pink
AC000085.1,magenta
AC000089.1,lightcyan
AC000093.1,yellow
AC000120.1,pink
AC000123.1,lightcoral
AC000123.2,grey
AC000123.3,lightcoral
AC000124.1,royalblue
