gene_id,module
5S_rRNA,darkorange
A1BG-AS1,royalblue
A1CF,pink
A2M,green
A2M-AS1,purple
A2ML1,turquoise
A2MP1,blue
A3GALT2,yellow
A4GALT,salmon
A4GNT,red
AACSP1,grey
AADAC,salmon
AADACL2,salmon
AADACL2-AS1,salmon
AADACP1,salmon
AADAT,grey
AAMDC,red
AANAT,turquoise
AARD,salmon
AARSD1P1,lightyellow
AASS,grey
AATBC,pink
AATK,grey
ABAT,cyan
ABCA1,turquoise
ABCA10,brown
ABCA11P,brown
ABCA12,red
ABCA13,plum2
ABCA17P,darkorange
ABCA2,grey
ABCA3,grey
ABCA4,turquoise
ABCA5,grey
ABCA6,green
ABCA7,darkgrey
ABCA8,green
ABCA9,blue
ABCA9-AS1,orange
ABCB1,blue
ABCB11,steelblue
ABCB4,blue
ABCB5,purple
ABCB6,blue
ABCB9,grey
ABCC1,darkgrey
ABCC11,lightcyan1
ABCC13,darkturquoise
ABCC2,plum1
ABCC3,midnightblue
ABCC4,turquoise
ABCC5,skyblue
ABCC6,turquoise
ABCC6P1,pink
ABCC6P2,pink
ABCC8,green
ABCC9,green
ABCD1,grey
ABCD2,blue
ABCG1,grey
ABCG2,green
ABCG4,saddlebrown
ABCG5,grey60
ABCG8,grey
ABHD1,ivory
ABHD11,turquoise
ABHD11-AS1,salmon4
ABHD12B,turquoise
ABHD14A,black
ABHD14B,red
ABHD16A,yellow
ABHD17AP4,grey
ABHD17AP6,grey
ABHD17C,grey
ABHD2,red
ABHD4,plum2
ABHD5,darkgreen
ABHD6,grey
ABI2,purple
ABI3,blue
ABI3BP,blue
ABLIM1,brown4
ABLIM2,cyan
ABLIM3,cyan
ABO,cyan
ABR,darkred
ABRACL,darkorange
ABTB1,brown
ABTB2,lightcyan
AC000032.1,grey
AC000065.1,grey60
AC000068.1,greenyellow
AC000068.2,lightgreen
AC000072.1,lightcyan
AC000078.1,yellow
AC000089.1,greenyellow
AC000093.1,red
AC000120.1,yellow
AC000403.1,cyan
AC001226.1,lightgreen
AC002044.2,lightgreen
AC002056.1,grey60
AC002059.1,lightgreen
AC002059.3,grey
AC002064.2,yellow
AC002066.1,midnightblue
AC002070.1,green
AC002074.1,green
AC002075.2,greenyellow
AC002091.1,blue
AC002091.2,blue
AC002116.2,black
AC002128.1,yellow
AC002128.2,yellow
AC002310.1,magenta
AC002310.2,brown
AC002310.5,darkorange2
AC002350.2,grey
AC002401.3,grey
AC002401.4,grey
AC002407.1,turquoise
AC002451.1,green
AC002456.1,grey
AC002460.2,grey
AC002467.1,grey
AC002470.1,magenta
AC002480.1,salmon
AC002480.2,grey
AC002511.1,grey
AC002511.2,blue
AC002519.1,yellow
AC002525.1,purple
AC002542.6,black
AC002553.2,yellow
AC003002.2,yellow
AC003002.3,grey
AC003070.1,yellow
AC003072.1,lightgreen
AC003086.1,black
AC003101.2,red
AC003102.1,brown
AC003681.1,yellow
AC003956.1,yellow
AC003958.2,turquoise
AC003965.1,ivory
AC003965.2,red
AC003986.2,midnightblue
AC003991.1,cyan
AC004000.1,lightgreen
AC004012.1,grey
AC004034.1,navajowhite2
AC004039.1,grey
AC004057.1,greenyellow
AC004067.1,lightcyan
AC004069.1,darkred
AC004076.2,lightsteelblue1
AC004080.1,pink
AC004080.2,brown
AC004080.4,magenta
AC004083.1,darkturquoise
AC004130.2,darkred
AC004148.1,brown
AC004156.1,darkturquoise
AC004160.1,green
AC004221.1,grey
AC004223.4,lightgreen
AC004231.1,salmon4
AC004232.2,lightyellow
AC004233.1,turquoise
AC004233.2,turquoise
AC004241.1,brown
AC004241.3,red
AC004241.4,brown
AC004241.5,cyan
AC004263.1,brown
AC004263.2,yellow
AC004264.1,orangered4
AC004264.2,grey
AC004381.3,turquoise
AC004448.2,brown
AC004449.1,black
AC004453.1,greenyellow
AC004461.2,yellow
AC004466.3,cyan
AC004471.1,grey
AC004471.2,turquoise
AC004477.2,lightgreen
AC004486.1,grey60
AC004490.1,grey
AC004492.1,yellow
AC004494.1,blue
AC004522.5,turquoise
AC004540.1,turquoise
AC004540.2,green
AC004584.3,blue
AC004585.1,blue
AC004593.1,grey
AC004594.1,brown
AC004687.1,blue
AC004687.3,skyblue
AC004704.1,grey
AC004706.1,grey
AC004706.3,black
AC004707.1,midnightblue
AC004765.1,red
AC004771.2,yellow
AC004771.4,yellow
AC004784.1,grey
AC004801.2,brown
AC004801.6,black
AC004803.1,grey
AC004808.2,plum2
AC004812.2,magenta
AC004816.1,turquoise
AC004817.3,paleturquoise
AC004817.5,brown
AC004825.2,darkred
AC004830.2,plum1
AC004832.1,turquoise
AC004832.5,white
AC004832.6,black
AC004834.1,magenta
AC004835.1,grey
AC004837.2,lightpink4
AC004837.4,yellow
AC004839.1,black
AC004846.1,darkgrey
AC004846.2,brown
AC004847.1,blue
AC004854.2,greenyellow
AC004863.1,brown
AC004870.2,steelblue
AC004877.1,grey60
AC004877.2,lightgreen
AC004884.2,turquoise
AC004890.1,greenyellow
AC004890.2,yellow
AC004890.3,yellow
AC004900.1,yellow
AC004908.1,yellow
AC004908.2,grey
AC004908.3,brown
AC004918.1,red
AC004918.3,red
AC004921.1,blue
AC004923.1,turquoise
AC004923.4,turquoise
AC004925.1,salmon
AC004938.2,magenta
AC004943.1,brown
AC004943.2,grey
AC004943.3,darkred
AC004947.1,green
AC004947.2,green
AC004947.3,brown
AC004948.1,brown
AC004951.2,yellowgreen
AC004951.3,yellowgreen
AC004951.4,yellowgreen
AC004967.1,grey
AC004967.2,yellow
AC004975.1,yellow
AC004975.2,magenta
AC004980.2,turquoise
AC004980.3,grey
AC004982.1,grey
AC004982.2,darkgrey
AC004990.1,plum2
AC005005.3,magenta
AC005013.1,grey
AC005014.2,brown
AC005014.3,grey
AC005019.1,red
AC005034.4,magenta
AC005041.1,pink
AC005041.2,pink
AC005041.3,turquoise
AC005041.4,turquoise
AC005046.1,turquoise
AC005050.1,grey
AC005050.2,grey
AC005052.1,darkmagenta
AC005062.1,cyan
AC005064.1,grey
AC005070.3,grey
AC005076.1,darkred
AC005077.2,turquoise
AC005077.4,grey
AC005081.1,grey
AC005082.1,midnightblue
AC005083.1,brown
AC005089.1,grey
AC005099.1,greenyellow
AC005104.1,yellow
AC005154.2,yellow
AC005162.1,darkred
AC005162.2,brown
AC005165.1,green
AC005165.2,grey60
AC005180.1,green
AC005180.2,green
AC005224.2,lightyellow
AC005224.3,blue
AC005225.2,grey
AC005225.4,turquoise
AC005229.4,magenta
AC005256.1,grey
AC005261.2,royalblue
AC005261.5,grey
AC005264.1,turquoise
AC005280.1,pink
AC005281.1,grey
AC005291.2,green
AC005324.2,grey
AC005324.4,lightgreen
AC005329.1,grey
AC005329.3,yellow
AC005330.1,darkgreen
AC005332.2,brown
AC005332.3,grey60
AC005332.4,lightyellow
AC005332.5,brown
AC005332.7,lightyellow
AC005336.1,darkgrey
AC005336.2,saddlebrown
AC005336.3,grey
AC005355.1,saddlebrown
AC005355.2,brown
AC005383.1,midnightblue
AC005392.2,grey
AC005393.1,brown
AC005400.1,darkred
AC005476.2,grey
AC005479.1,red
AC005479.2,brown4
AC005481.1,green
AC005498.2,royalblue
AC005498.3,royalblue
AC005519.1,yellow
AC005520.2,magenta
AC005523.1,darkgreen
AC005532.1,grey
AC005534.1,darkorange
AC005537.1,darkturquoise
AC005550.2,pink
AC005551.1,pink
AC005586.1,turquoise
AC005606.2,turquoise
AC005609.5,sienna3
AC005618.1,sienna3
AC005618.4,turquoise
AC005622.1,skyblue
AC005632.3,lightyellow
AC005674.1,brown
AC005682.1,red
AC005695.1,turquoise
AC005696.1,grey
AC005696.3,brown
AC005696.4,magenta
AC005699.1,steelblue
AC005722.3,grey
AC005722.4,darkgrey
AC005725.1,grey
AC005726.1,grey
AC005730.2,grey
AC005740.4,brown
AC005740.5,grey
AC005746.1,yellow
AC005753.1,cyan
AC005753.2,cyan
AC005753.3,cyan
AC005759.1,red
AC005776.2,brown
AC005785.1,brown
AC005790.1,yellowgreen
