gene_id,module
A1BG,grey
A1BG-AS1,grey
A2M,green
A2M-AS1,darkred
A2ML1,cyan
A2MP1,black
A3GALT2,darkorange
A4GALT,magenta
A4GNT,brown
AACSP1,ivory
AADAC,turquoise
AADACL2,pink
AADACL2-AS1,grey
AADACL3,pink
AADACP1,grey
AADAT,turquoise
AANAT,grey
AARD,grey
AARSD1,yellow
AASDHPPT,lightcyan
AASS,turquoise
AATBC,magenta
AATK,red
ABAT,red
ABCA1,purple
ABCA10,grey
ABCA11P,yellow
ABCA12,pink
ABCA13,turquoise
ABCA17P,darkorange
ABCA2,greenyellow
ABCA3,greenyellow
ABCA4,paleturquoise
ABCA5,magenta
ABCA6,green
ABCA7,darkred
ABCA8,green
ABCA9,blue
ABCA9-AS1,grey60
ABCB1,blue
ABCB10P1,grey
ABCB10P4,grey
ABCB11,grey
ABCB4,black
ABCB5,black
ABCB6,turquoise
ABCB9,grey
ABCC1,turquoise
ABCC11,pink
ABCC12,black
ABCC13,grey
ABCC2,paleturquoise
ABCC3,paleturquoise
ABCC4,sienna3
ABCC5,turquoise
ABCC5-AS1,turquoise
ABCC6,turquoise
ABCC6P1,ivory
ABCC6P2,grey
ABCC8,darkolivegreen
ABCC9,green
ABCD1,grey
ABCD2,blue
ABCG1,steelblue
ABCG2,red
ABCG4,pink
ABCG5,red
ABCG8,red
ABHD1,darkred
ABHD11,lightcyan
ABHD11-AS1,turquoise
ABHD12B,lightcyan1
ABHD16A,brown
ABHD17AP1,tan
ABHD17AP4,darkgreen
ABHD17AP5,plum1
ABHD17AP6,grey
ABHD17C,cyan
ABHD2,midnightblue
ABHD3,turquoise
ABHD4,turquoise
ABHD6,grey
ABHD8,turquoise
ABI3,blue
ABI3BP,blue
ABL2,ivory
ABLIM1,cyan
ABLIM2,black
ABLIM3,black
ABO,turquoise
ABR,red
ABRA,black
ABRACL,grey
ABTB1,grey
ABTB2,magenta
AC000065.1,grey
AC000068.1,turquoise
AC000068.2,salmon
AC000072.1,brown
AC000078.1,brown
AC000085.1,black
AC000089.1,tan
AC000093.1,brown
AC000120.1,brown
AC000123.1,brown
AC000123.3,purple
AC000403.1,blue
AC001226.2,brown
AC002044.2,grey
AC002056.1,tan
AC002059.1,yellow
AC002059.3,grey
AC002066.1,lightcyan
AC002070.1,green
AC002074.1,green
AC002075.2,tan
AC002091.1,blue
AC002091.2,blue
AC002094.5,yellow
AC002116.2,steelblue
AC002128.1,yellow
AC002128.2,brown
AC002306.1,lightyellow
AC002310.1,salmon
AC002310.2,grey
AC002310.5,brown
AC002350.2,salmon
AC002351.1,darkgreen
AC002401.4,turquoise
AC002451.1,black
AC002456.1,grey
AC002463.1,brown
AC002467.1,purple
AC002470.1,salmon
AC002480.1,grey
AC002480.2,grey
AC002511.1,cyan
AC002511.2,cyan
AC002519.2,tan
AC002525.1,black
AC002542.6,yellow
AC002553.1,yellow
AC002553.2,yellow
