ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR,comparison,cluster1,cluster2
ENSG00000280323,AC053503.5,ENSG00000280323.1,5.016456113967657,-0.9373167580685348,920.401171376789,2.9723152768015207e-139,6.571789077008162e-135,Cluster2_vs_Cluster1,1,2
ENSG00000267405,AC005180.1,ENSG00000267405.1,3.9795479682340478,-0.889980677369355,787.1892939347543,2.669465973724906e-119,2.9510946339528836e-115,Cluster2_vs_Cluster1,1,2
ENSG00000267505,AC005180.2,ENSG00000267505.1,3.904558783867742,-0.3549512093956525,828.5680197281158,2.0890371230577446e-116,1.5396203596935578e-112,Cluster2_vs_Cluster1,1,2
ENSG00000188778,ADRB3,ENSG00000188778.6,3.858858138408319,-1.1128457202139255,719.9595140221079,3.0826471528985087e-113,1.7039332137646508e-109,Cluster2_vs_Cluster1,1,2
ENSG00000174403,MIR1-1HG-AS1,ENSG00000174403.16,3.7992069531728325,-0.8591921576993904,709.1661749224376,4.633662658315494e-109,2.0490056275071114e-105,Cluster2_vs_Cluster1,1,2
ENSG00000164106,SCRG1,ENSG00000164106.8,4.305187478150605,0.46409362457154685,641.4165584998335,6.875737987048266e-94,2.5337094482272864e-90,Cluster2_vs_Cluster1,1,2
ENSG00000173641,HSPB7,ENSG00000173641.18,4.158362940820064,3.4618685937832203,681.4616729607358,8.625588679944195e-90,2.7244537959080877e-86,Cluster2_vs_Cluster1,1,2
ENSG00000171872,KLF17,ENSG00000171872.5,3.515871485408131,-1.8956997216579463,502.9331910657526,1.2109052227636391e-88,3.3466393094130073e-85,Cluster2_vs_Cluster1,1,2
ENSG00000163431,LMOD1,ENSG00000163431.13,3.7269816660567434,5.198084313184658,665.4621703874919,1.4913540495542908e-88,3.6637597817383743e-85,Cluster2_vs_Cluster1,1,2
ENSG00000260802,SERTM2,ENSG00000260802.1,3.9563590753149387,-0.9365180821382367,509.13684825617554,1.0496717456257086e-86,2.3208242295784416e-83,Cluster2_vs_Cluster1,1,2
ENSG00000092009,CMA1,ENSG00000092009.10,4.090072140329904,-0.3400160126050091,498.1733316284887,1.7831813078730405e-82,3.5841944288248115e-79,Cluster2_vs_Cluster1,1,2
ENSG00000130176,CNN1,ENSG00000130176.8,4.293414141469847,6.66504080687363,593.2485803977918,2.694398543279424e-82,4.9644293159923387e-79,Cluster2_vs_Cluster1,1,2
ENSG00000164122,ASB5,ENSG00000164122.9,4.717531246561187,0.7795757930754905,517.7911416895074,3.8727058261013837e-81,6.586578908853969e-78,Cluster2_vs_Cluster1,1,2
ENSG00000182253,SYNM,ENSG00000182253.15,3.763142549513056,5.656029964503334,575.002196109343,1.2577182614751287e-80,1.9862964829439355e-77,Cluster2_vs_Cluster1,1,2
ENSG00000108823,SGCA,ENSG00000108823.16,3.565216760453811,1.901040995607592,571.9882613689359,1.3769192957667972e-80,2.029579041960259e-77,Cluster2_vs_Cluster1,1,2
ENSG00000095637,SORBS1,ENSG00000095637.22,3.1707582786027473,5.493535147175682,568.8315937077072,4.571753076497627e-80,6.317591282585158e-77,Cluster2_vs_Cluster1,1,2
ENSG00000121577,POPDC2,ENSG00000121577.14,2.5410468667665276,2.0233410372635663,563.9473384586089,1.6198583314095888e-79,2.1067686886744708e-76,Cluster2_vs_Cluster1,1,2
ENSG00000145936,KCNMB1,ENSG00000145936.9,3.024591847963354,3.2143593992200747,558.2423551021665,5.385723992646324e-79,6.615464304300568e-76,Cluster2_vs_Cluster1,1,2
ENSG00000172403,SYNPO2,ENSG00000172403.11,3.5906510185008793,6.127745736186633,539.4955603521056,2.5405209753551875e-77,2.956364145531747e-74,Cluster2_vs_Cluster1,1,2
